prec_id,Elaine Marshall,Richard Burr,Michael Beitler,Write-in
columbus_P20,98,73,3,0
columbus_P21,107,170,4,2
columbus_P22,218,328,12,0
columbus_P23,224,249,6,0
columbus_P24,132,370,15,0
columbus_P25A,81,295,11,0
columbus_P26A,380,387,10,0
craven_03,411,1592,34,0
craven_04,201,270,3,1
craven_05,414,926,43,2
craven_06,166,175,7,0
craven_07,324,572,13,0
craven_08,229,253,8,0
craven_09,145,143,6,0
craven_10,136,206,9,0
craven_11,187,763,17,0
craven_12,25,183,7,0
craven_13,85,246,10,0
craven_14,535,738,19,0
craven_15,136,203,3,0
craven_16,392,1099,27,1
craven_17,191,718,17,0
craven_18,468,852,28,0
craven_19,587,615,13,0
craven_20,455,1192,30,0
craven_21,293,885,21,0
craven_22,306,957,26,2
craven_23,502,1315,28,0
craven_N1,397,441,18,2
craven_N2,588,215,9,0
craven_N3,297,452,12,0
craven_N4,608,539,23,2
craven_N5,390,241,24,0
craven_N6,664,1181,37,0
craven_CURBSIDE,0,0,0,0
cumberland_AL51,605,1120,28,2
cumberland_AH49,747,341,13,1
cumberland_G5A,1056,693,22,0
cumberland_G6B,178,329,12,0
cumberland_G7A,192,371,9,0
cumberland_G5C,464,346,14,1
cumberland_G6C,352,466,10,0
cumberland_CL57,1339,483,22,2
cumberland_CC01,488,70,12,0
cumberland_G1A,450,228,10,1
cumberland_CC03,188,106,7,0
cumberland_CC04,226,246,17,2
cumberland_CC05,565,89,12,0
cumberland_CC06,198,278,14,0
cumberland_CC07,153,364,14,0
cumberland_CC08,252,563,8,0
cumberland_G2A,1034,630,22,1
cumberland_CC10,222,247,6,0
cumberland_G3B,166,170,10,0
cumberland_CC12,227,784,13,1
cumberland_CC13,498,34,3,0
cumberland_CC14,384,829,21,1
cumberland_CC15,418,723,21,0
cumberland_CC16,978,34,5,2
cumberland_CC17,786,139,8,1
cumberland_CC18,239,597,15,1
cumberland_CC19,318,12,3,0
cumberland_G4B,275,430,12,0
cumberland_CC21,743,362,23,0
cumberland_G2B,789,630,23,0
cumberland_G2C,945,1014,30,2
cumberland_CC24,173,232,11,0
cumberland_CC25,387,309,11,0
cumberland_CC26,852,293,16,0
cumberland_CC27,646,274,13,0
cumberland_G5B,1460,325,14,1
cumberland_CC29,505,282,13,0
cumberland_G4A,286,309,11,0
cumberland_CC31,366,329,23,0
cumberland_CC32,348,108,7,2
cumberland_CC33,530,428,13,1
cumberland_CC34,334,635,17,0
cumberland_G8B,330,339,14,0
cumberland_CU02,387,373,29,0
cumberland_G8C,404,283,10,1
cumberland_G8A,633,403,16,0
cumberland_EO61-1,440,798,19,0
cumberland_EO61-2,304,490,11,0
cumberland_G8D,367,564,21,0
cumberland_G9B,935,1010,42,1
cumberland_G9A,420,571,22,0
cumberland_G10B,402,463,21,0
cumberland_G1B,602,960,23,2
cumberland_LR63,849,250,10,0
cumberland_LI65,440,828,26,0
cumberland_G2D,714,785,25,0
cumberland_G11B,205,161,9,0
cumberland_MB62,427,139,6,0
cumberland_MR02,582,374,17,0
cumberland_G3A,997,586,32,1
cumberland_G3C,221,300,4,0
cumberland_G4C,277,120,7,1
cumberland_SH77,326,528,14,1
cumberland_G11A,1019,305,16,1
cumberland_G6A,406,1053,22,0
cumberland_G10C,318,678,19,0
cumberland_G10A,547,930,21,2
cumberland_G7B,137,340,11,0
cumberland_G2E,1208,300,21,1
currituck_CB,27,39,1,2
currituck_CH,235,750,44,0
currituck_CI,24,90,2,0
currituck_CJ,79,121,3,1
currituck_GW,27,64,3,0
currituck_IR,116,244,8,0
currituck_KI,72,271,9,1
currituck_MY,338,1073,54,0
currituck_PB,364,705,42,0
currituck_PP,205,367,14,0
currituck_WH,77,133,9,0
dare_AVON,98,187,8,0
dare_BUX,234,308,11,0
dare_CHCA,95,141,13,0
dare_COL,448,747,27,0
dare_DUCK,90,133,6,0
dare_EL,16,11,1,0
dare_FRCO,110,216,11,0
dare_HAT,63,174,10,0
dare_KDH,624,1038,57,0
dare_KTHK,366,791,23,0
dare_MATO,908,1098,49,1
dare_MH,69,149,5,0
dare_NGHD,422,597,39,0
dare_SOSH,519,1125,38,0
dare_STPT,31,54,1,0
dare_WAN,124,370,9,0
dare_CURBSIDE,0,0,0,0
davidson_04,411,1596,47,2
davidson_06,242,672,35,0
davidson_08,179,307,4,0
davidson_10,294,600,26,0
davidson_12,78,290,11,0
davidson_14,104,532,17,0
davidson_16,149,1050,19,0
davidson_18,146,550,21,0
davidson_20,210,792,20,0
davidson_22,84,239,18,0
davidson_24,150,375,9,0
davidson_26,86,242,4,0
davidson_28,297,704,20,0
davidson_30,697,100,18,0
davidson_32,210,187,11,3
davidson_34,281,304,21,0
davidson_36,269,238,8,0
davidson_38,382,66,5,0
davidson_40,441,511,8,4
davidson_42,91,680,24,0
davidson_44,418,1326,35,1
davidson_46,213,784,28,0
davidson_48,222,690,33,0
davidson_50,190,899,28,1
davidson_52,424,1237,40,0
davidson_54,81,487,11,0
davidson_56,74,404,15,0
davidson_58,354,765,33,2
davidson_60,405,929,30,0
davidson_62,377,161,12,0
davidson_64,546,117,6,0
davidson_66,197,323,13,0
davidson_68,311,399,18,0
davidson_70,188,769,27,1
davidson_72,134,855,19,0
davidson_74,251,1110,39,1
davidson_76,198,1039,22,0
davidson_78,286,905,37,0
davidson_80A,247,1619,50,0
davidson_82,236,794,24,0
davidson_84,371,1337,35,1
davidson_86A,260,746,18,1
davidson_88,163,854,21,0
davidson_CURBSIDE,0,0,0,0
davie_01,143,375,12,0
davie_02,140,325,8,0
davie_03,229,902,17,1
davie_04,191,445,17,0
davie_05,182,957,19,0
davie_06,182,571,12,0
davie_07,186,585,17,1
davie_08,321,433,19,0
davie_09,330,658,23,0
davie_10,243,880,27,0
davie_11,116,615,15,0
davie_12,351,1341,44,2
davie_13,348,1238,24,2
davie_14,256,706,18,0
davie_CURBSIDE,22,39,1,0
duplin_ALBE,76,328,11,0
duplin_BEUL,188,629,9,0
duplin_CALY,90,253,1,0
duplin_CFRK,37,210,1,0
duplin_CHAR,257,131,7,0
duplin_CHIN,101,202,6,0
duplin_CYCK,110,369,7,1
duplin_FAIS,244,240,5,1
duplin_GLIS,52,170,7,0
duplin_HALL,169,181,6,0
duplin_KENA,313,297,6,0
duplin_LOCK,45,119,1,0
duplin_MAGN,216,149,9,0
duplin_ROCK,160,176,1,1
duplin_ROSE,290,297,6,0
duplin_SMCA,81,263,4,1
duplin_WALL,709,725,15,0
duplin_WARS,575,312,11,0
duplin_WOLF,111,382,15,0
durham_01,283,42,6,0
durham_02,542,58,13,1
durham_03,451,76,10,0
durham_04,541,123,11,0
durham_05,395,59,10,0
durham_06,489,99,10,2
durham_07,407,43,19,1
durham_08,494,29,8,0
durham_09,756,211,8,1
durham_10,240,6,3,0
durham_12,169,8,0,0
durham_13,224,10,1,0
durham_14,462,65,2,0
durham_15,248,37,2,0
durham_16,482,189,13,1
durham_17,523,22,3,0
durham_18,435,23,4,1
durham_19,663,100,10,1
durham_20,510,54,8,1
durham_21,510,89,12,0
durham_22,973,73,4,1
durham_23,1203,238,13,0
durham_24,688,576,18,1
durham_25,349,535,24,0
durham_26,200,377,7,0
durham_27,682,386,18,0
durham_28,433,726,30,0
durham_29,643,535,26,2
durham_30-1,1019,509,24,0
durham_30-2,1731,301,26,1
durham_31,615,471,21,1
durham_32,253,554,17,1
durham_33,739,293,33,0
durham_34-1,797,144,18,0
durham_34-2,972,105,15,1
durham_35-1,767,344,32,0
durham_35-2,743,340,22,0
durham_36,587,187,21,0
durham_37,781,808,33,0
durham_38,960,391,33,0
durham_39,773,616,19,1
durham_40,438,71,12,0
durham_41,558,11,2,1
durham_42,446,12,2,0
durham_43,1452,714,34,0
durham_44,852,836,34,1
durham_45,795,757,43,1
durham_46,587,184,9,1
durham_47,659,12,2,0
durham_48,454,203,18,0
durham_50,721,401,23,0
durham_51,1194,430,46,1
durham_52,884,121,7,0
durham_53-1,512,295,23,0
durham_53-2,768,385,31,1
durham_54,1099,321,26,2
durham_55-11,516,17,3,0
durham_55-49,561,10,4,0
edgecombe_0101,560,63,5,0
edgecombe_0102,383,332,8,0
edgecombe_0103,302,396,6,0
edgecombe_0104,292,258,2,0
edgecombe_0201,204,184,6,0
edgecombe_0301,78,70,2,0
edgecombe_0401,129,76,3,0
edgecombe_0501,113,96,2,0
edgecombe_0601,286,100,2,0
edgecombe_0701,465,128,4,0
edgecombe_0801,164,215,5,0
edgecombe_0901,157,350,5,0
edgecombe_1001,485,424,14,1
edgecombe_1101,145,186,5,0
edgecombe_1201,801,35,3,0
edgecombe_1202,400,22,2,0
edgecombe_1203,389,435,13,0
edgecombe_1204,443,25,0,0
edgecombe_1205,286,6,0,0
edgecombe_1301,129,270,7,0
edgecombe_1401,82,265,8,0
forsyth_011,561,1144,35,0
forsyth_012,204,860,26,0
forsyth_013,516,928,35,1
forsyth_014,194,644,12,0
forsyth_015,191,515,23,0
forsyth_021,282,1082,49,1
forsyth_031,307,525,12,0
forsyth_032,361,731,19,1
forsyth_033,450,418,11,0
forsyth_034,271,595,22,0
forsyth_042,399,583,21,1
forsyth_043,323,550,18,0
forsyth_051,317,882,22,3
forsyth_052,206,451,7,0
forsyth_053,203,674,18,0
forsyth_054,382,992,20,0
forsyth_055,392,1088,17,1
forsyth_061,228,503,22,1
forsyth_062,276,659,13,0
forsyth_063,377,1195,33,1
forsyth_064,140,341,8,0
forsyth_065,411,1252,32,0
forsyth_066,172,650,19,0
forsyth_067,214,390,23,1
forsyth_068,273,782,30,0
forsyth_071,448,1084,26,0
forsyth_072,590,1501,45,0
forsyth_073,338,1179,29,1
forsyth_074,439,792,34,1
forsyth_075,82,224,9,0
forsyth_081,599,526,19,0
forsyth_082,881,774,23,2
forsyth_083,533,283,9,0
forsyth_091,234,643,23,0
forsyth_092,186,641,17,0
forsyth_101,423,560,12,0
forsyth_111,192,588,19,0
forsyth_112,358,693,26,0
forsyth_122,815,869,36,0
forsyth_123,370,729,13,0
forsyth_131,441,913,31,0
forsyth_132,535,1032,28,3
forsyth_133,544,1456,44,0
forsyth_201,823,208,7,1
forsyth_203,419,20,1,0
forsyth_204,461,45,5,0
forsyth_205,226,14,4,0
forsyth_206,545,82,3,0
forsyth_207,441,189,12,1
