prec_id,Obama/Biden,Romney/Ryan,Johnson/Gray,Virgil Goode (Write-in),Write-in (miscellaneous)
buncombe_02.1,762,84,22,0,5
buncombe_03.1,518,84,13,0,4
buncombe_04.1,268,89,4,0,4
buncombe_05.1,303,224,16,0,1
buncombe_06.1,283,123,8,0,3
buncombe_07.1,264,80,4,0,3
buncombe_08.2,382,167,9,0,8
buncombe_08.3,400,165,9,0,3
buncombe_09.1,607,296,26,0,7
buncombe_10.1,425,19,6,0,3
buncombe_11.1,297,34,5,0,3
buncombe_12.1,387,116,14,0,7
buncombe_13.1,477,86,15,0,10
buncombe_14.2,409,131,14,0,4
buncombe_14.3,203,104,4,0,3
buncombe_15.1,369,126,15,0,11
buncombe_16.2,466,133,18,0,6
buncombe_17.1,314,136,12,0,2
buncombe_18.2,424,506,16,0,7
buncombe_19.1,108,100,3,0,0
buncombe_20.1,122,53,6,0,3
buncombe_21.1,411,266,13,1,1
buncombe_22.2,311,168,6,0,8
buncombe_23.2,58,42,3,0,2
buncombe_23.3,156,150,3,2,0
buncombe_24.1,317,265,14,0,2
buncombe_25.1,335,289,11,0,8
buncombe_26.1,270,134,15,0,7
buncombe_27.2,104,80,3,0,3
buncombe_28.1,387,102,29,0,10
buncombe_29.2,309,312,10,0,2
buncombe_30.2,161,253,9,1,6
buncombe_30.3,220,306,12,0,0
buncombe_31.1,177,387,6,0,3
buncombe_32.1,198,256,16,0,2
buncombe_33.2,172,170,7,0,4
buncombe_33.3,237,260,24,0,5
buncombe_34.1,171,161,5,0,3
buncombe_35.1,216,176,4,0,6
buncombe_36.1,223,256,7,0,5
buncombe_37.1,145,265,6,0,4
buncombe_38.2,108,272,9,0,1
buncombe_38.3,261,514,19,0,2
buncombe_39.2,168,223,15,1,1
buncombe_39.3,199,273,13,0,6
buncombe_40.2,265,510,15,0,6
buncombe_41.1,216,490,22,0,8
buncombe_42.1,318,298,7,0,4
buncombe_43.2,233,209,9,0,5
buncombe_44.1,341,417,18,2,2
buncombe_45.1,392,500,22,0,7
buncombe_46.1,156,173,5,0,4
buncombe_47.1,366,647,21,2,7
buncombe_48.1,329,484,20,0,3
buncombe_49.1,348,702,31,0,10
buncombe_50.1,201,368,12,0,13
buncombe_51.2,222,284,5,0,6
buncombe_52.1,255,463,13,1,2
buncombe_53.1,210,419,11,0,3
buncombe_54.2,341,351,11,1,3
buncombe_55.1,271,414,22,0,8
buncombe_56.2,266,262,9,0,3
buncombe_57.1,298,482,19,0,3
buncombe_58.1,162,227,5,0,0
buncombe_59.1,287,438,11,1,1
buncombe_60.2,175,144,5,0,1
buncombe_60.4,141,232,8,0,3
buncombe_61.1,339,403,18,0,7
buncombe_62.1,311,347,18,0,2
buncombe_63.1,89,145,6,0,1
buncombe_64.1,225,289,20,0,3
buncombe_65.1,467,296,17,0,6
buncombe_66.1,266,168,15,0,5
buncombe_67.1,199,226,8,0,1
buncombe_68.1,396,533,22,0,7
buncombe_681,53,103,2,0,0
buncombe_69.1,296,447,12,1,1
buncombe_70.1,354,294,18,0,6
buncombe_71.1,355,471,20,0,6
burke_0001,728,1195,20,0,8
burke_0003,193,539,9,0,3
burke_0011,378,1222,18,0,11
burke_0012,195,1009,16,0,4
burke_0013,361,1324,17,0,4
burke_0014,258,994,14,0,10
burke_0015,227,704,6,0,1
burke_0018,114,202,4,0,1
burke_0019,164,257,5,0,0
burke_0020,276,354,5,0,1
burke_0021,308,540,15,0,3
burke_0022,346,857,18,0,2
burke_0024,597,1055,30,2,11
burke_0029-A,190,514,8,0,2
burke_0029-B,233,439,8,0,3
burke_0031,826,404,10,1,5
burke_0034,713,591,11,0,8
burke_0035,573,391,11,0,1
burke_0036,430,762,16,0,5
burke_0038,539,793,19,1,2
burke_0039,545,479,17,0,2
burke_0040,424,620,14,0,4
burke_0047-A,773,566,13,0,4
burke_0047-B,387,443,12,0,5
burke_0048,617,789,19,0,8
burke_0051,857,1194,22,0,4
burke_0052,343,413,10,0,1
burke_0053,439,806,20,0,3
burke_0062,216,313,5,0,1
burke_0064,202,310,8,0,2
burke_0065,208,442,7,0,3
burke_0066,487,707,19,0,1
burke_0070,554,1039,18,0,5
cabarrus_01-02,447,1120,15,0,0
cabarrus_01-04,1184,1536,31,0,0
cabarrus_01-06,883,1277,12,0,0
cabarrus_01-07,539,1273,20,0,0
cabarrus_01-08,932,1270,26,0,0
cabarrus_01-09,178,540,7,0,0
cabarrus_01-10,760,1140,20,0,0
cabarrus_02-01,788,1133,37,0,0
cabarrus_02-02,1057,1747,20,0,0
cabarrus_02-03,1399,2250,47,0,0
cabarrus_02-05,990,1743,18,0,0
cabarrus_02-06,1153,975,22,0,0
cabarrus_02-07,661,1432,21,0,0
cabarrus_02-08,1647,2007,37,0,0
cabarrus_02-09,1817,1834,30,0,0
cabarrus_03-00,802,1868,47,0,0
cabarrus_04-01,977,914,11,0,0
cabarrus_04-02,944,634,10,0,0
cabarrus_04-03,919,911,25,0,0
cabarrus_04-04,536,447,8,0,0
cabarrus_04-05,456,513,9,0,0
cabarrus_04-06,655,534,10,0,0
cabarrus_04-07,314,820,9,0,0
cabarrus_04-08,386,660,9,0,0
cabarrus_04-09,617,1228,13,0,0
cabarrus_04-10,875,1451,32,0,0
cabarrus_05-00,439,1392,22,0,0
cabarrus_06-00,251,1121,16,0,0
cabarrus_07-00,144,543,5,0,0
cabarrus_08-00,622,1891,26,0,0
cabarrus_09-00,313,1273,17,0,0
cabarrus_10-00,779,2320,26,0,0
cabarrus_11-01,1306,1484,42,0,0
cabarrus_11-02,511,1342,28,0,0
cabarrus_12-01,251,173,11,0,0
cabarrus_12-02,836,342,10,0,0
cabarrus_12-03,548,861,15,0,0
cabarrus_12-04,829,811,15,0,0
cabarrus_12-05,528,947,18,0,0
cabarrus_12-06,496,528,14,0,0
cabarrus_12-07,912,64,1,0,0
cabarrus_12-08,406,398,9,0,0
cabarrus_12-09,471,875,17,0,0
cabarrus_12-10,293,527,15,0,0
cabarrus_12-11,447,572,16,0,0
cabarrus_12-12,520,790,18,0,0
cabarrus_ACCUMULATED,0,0,0,12,261
caldwell_PR01,251,377,10,0,0
caldwell_PR02,130,256,11,0,0
caldwell_PR05,178,432,18,0,0
caldwell_PR06,147,356,11,0,0
caldwell_PR07,119,406,12,0,0
caldwell_PR08,148,253,5,0,0
caldwell_PR13,209,598,25,0,0
caldwell_PR14,183,295,20,0,0
caldwell_PR15,168,472,11,0,0
caldwell_PR16,169,144,9,0,0
caldwell_PR17,140,254,17,0,0
caldwell_PR18,219,470,18,0,0
caldwell_PR21,189,551,13,0,0
caldwell_PR22,201,496,10,0,0
caldwell_PR24,106,254,10,0,0
caldwell_PR25,131,276,6,0,0
caldwell_PR28,160,450,18,0,0
caldwell_PR29,207,259,3,0,0
caldwell_PR30,232,186,2,0,0
caldwell_PR31,125,147,0,0,0
caldwell_PR32,201,535,13,0,0
caldwell_ACCUMULATED,0,0,0,15,111
camden_CH,217,447,11,0,3
camden_SH,149,426,6,0,4
camden_SM,270,653,20,0,4
carteret_ABCH,130,377,4,0,1
carteret_ATCS,123,247,2,0,0
carteret_BCRK,138,478,5,0,2
carteret_BFT1,184,110,9,0,2
carteret_BFT2,258,340,8,0,4
carteret_BOGU,135,418,5,0,4
carteret_CCCP,119,355,5,0,4
carteret_DASW,39,154,1,0,0
carteret_EMIS,225,522,7,0,2
carteret_HAIS,74,356,2,0,0
carteret_IBSP,55,93,2,0,0
carteret_MASM,80,193,5,0,0
carteret_MCRK,34,214,4,0,0
carteret_MERR,67,117,2,0,0
carteret_MHD1,263,440,7,0,3
carteret_MHD2,315,450,17,0,6
carteret_MHD3,280,688,10,0,4
carteret_MHD4,149,516,12,0,2
carteret_NPT1,250,539,20,0,2
carteret_NPT2,168,610,14,0,4
carteret_NRIV,129,44,2,0,1
carteret_OTBE,112,495,2,0,2
carteret_PELE,58,201,3,0,1
carteret_PKNL,151,369,4,0,2
carteret_STEL,78,315,11,0,4
carteret_WIHA,107,331,11,0,2
carteret_WILD,205,431,11,0,4
caswell_ANDE,223,399,5,0,2
caswell_HIGH,332,328,4,0,1
caswell_LEAS,236,225,7,0,0
caswell_LOCU,881,520,7,0,1
caswell_MILT,965,568,11,0,2
caswell_PELH,768,1275,18,0,1
caswell_PROS,168,435,10,0,0
caswell_PROVI,236,353,2,0,2
caswell_STON,574,841,11,0,2
caswell_YANC,965,650,9,0,2
catawba_01,450,1694,29,0,7
catawba_02,348,1075,17,0,4
catawba_03,435,984,17,0,5
catawba_04,244,234,7,0,1
catawba_05,720,1143,20,0,8
catawba_06,431,1090,12,0,4
catawba_07,806,1045,22,0,6
catawba_08,495,1160,23,0,8
catawba_09,352,1156,15,0,4
catawba_10,277,118,4,1,2
catawba_11,340,329,8,1,1
catawba_12,920,187,6,0,4
catawba_13,570,299,11,0,0
catawba_14,419,672,13,0,7
catawba_15,609,5,3,0,1
catawba_16,731,670,21,0,5
catawba_17,425,516,11,0,6
catawba_19,278,422,7,0,2
catawba_20,643,1384,25,0,10
catawba_21,262,797,10,0,3
catawba_22,698,1345,23,1,9
catawba_23,814,1778,29,0,8
catawba_24,754,1856,32,0,6
catawba_25,530,617,20,1,5
catawba_26,457,796,9,0,5
catawba_27,576,1692,32,0,7
catawba_28,704,1312,20,0,2
catawba_29,399,1155,16,0,6
catawba_30,961,1334,24,0,7
catawba_31,656,1953,31,0,5
catawba_32,806,1048,26,0,9
catawba_33,1099,2666,41,0,12
catawba_34,932,2216,25,1,10
catawba_35,575,827,27,0,2
catawba_36,510,1009,12,0,1
catawba_37,689,819,23,0,5
catawba_38,645,1320,20,1,2
catawba_39,411,1161,14,0,2
catawba_40,468,551,16,0,6
catawba_41,495,1509,17,0,4
catawba_CURBSIDE,325,422,0,0,1
chatham_3,167,444,12,0,0
chatham_6,64,366,3,0,0
chatham_9,144,347,4,0,1
chatham_15,249,186,8,0,1
chatham_18,237,534,10,0,2
chatham_20,247,435,6,0,3
chatham_21,228,270,15,0,0
chatham_24,63,324,1,0,1
chatham_30,146,237,6,0,2
chatham_42,196,317,4,0,3
chatham_45,133,222,6,0,1
chatham_73,336,126,1,0,0
chatham_75,331,455,11,0,3
chatham_78,289,271,11,0,0
chatham_85,195,254,12,0,2
chatham_ESC114,333,318,10,0,0
chatham_MCH110,405,255,23,0,6
chatham_NWM117,254,234,14,0,1
chatham_PIT113,492,452,26,0,7
cherokee_ANNW,275,630,10,0,1
cherokee_ANSW,292,755,16,0,2
cherokee_BELL,187,494,3,0,3
cherokee_BRAS,146,376,5,0,1
cherokee_CSON,113,372,9,0,3
cherokee_GCRK,46,226,2,0,2
cherokee_HANG,80,425,5,0,1
cherokee_HIWA,289,871,8,0,0
cherokee_HOTH,194,573,6,0,1
cherokee_MARB,204,653,22,0,4
cherokee_MURN,421,844,10,1,7
cherokee_MURS,404,944,15,5,7
cherokee_PCHT,348,982,23,0,6
cherokee_RGER,242,660,12,0,8
cherokee_TOPT,64,227,7,0,1
cherokee_UNKA,73,246,3,0,2
chowan_1,273,105,0,0,2
chowan_2,254,232,6,0,1
chowan_3,120,373,10,2,1
chowan_4,115,174,3,0,0
chowan_5,102,226,4,0,1
chowan_6,146,208,4,0,0
clay_BRAS,185,375,9,0,2
clay_HAY1,224,556,5,0,3
clay_HAY2,292,619,11,0,3
clay_HAYC,78,186,2,0,1
clay_HIAW,226,656,10,0,4
clay_SHCR,159,617,13,0,1
clay_SWEE,140,319,7,0,3
clay_TUSQ,127,325,3,0,0
clay_WARN,148,320,7,0,6
cleveland_B SPGS,792,1813,31,1,8
cleveland_BETHWR,320,812,14,0,1
cleveland_CASAR,108,744,18,0,4
cleveland_FALSTN,191,832,15,0,4
cleveland_GROVER,613,1311,22,2,3
cleveland_H SPGS,125,319,3,0,2
cleveland_KINGST,486,222,4,0,1
cleveland_KM N,1229,1745,20,1,5
cleveland_KM S,1119,1618,23,0,6
cleveland_LATT,414,1296,15,1,4
cleveland_LAWNDL,652,557,12,1,2
cleveland_MRB-YO,241,715,7,0,4
cleveland_MULLS,289,925,19,0,4
cleveland_OAKGRV,518,1565,14,0,3
cleveland_POLKVL,368,1095,15,0,1
cleveland_RIPPY,881,1400,19,2,10
cleveland_S 1,893,469,5,0,1
cleveland_S 2,995,1252,22,0,5
cleveland_S 3,726,448,6,2,4
cleveland_S 4,1071,614,8,0,1
cleveland_S 5,901,862,11,0,5
cleveland_S 6,1102,877,12,0,2
cleveland_S 7,857,1033,15,2,8
cleveland_S 8,768,788,9,0,3
cleveland_SHANGI,602,1216,22,1,0
cleveland_WACO,801,1265,15,0,5
columbus_P01A,237,346,7,0,6
columbus_P02A,192,104,5,0,2
columbus_P03,89,200,4,0,0
columbus_P04,76,99,1,0,1
columbus_P05,56,135,4,0,0
columbus_P06,98,229,2,0,1
columbus_P07,370,375,7,0,5
columbus_P08,27,160,2,0,1
columbus_P09,213,185,0,0,0
columbus_P10,53,256,3,0,0
columbus_P11,60,287,3,0,3
columbus_P12,34,108,1,0,0
columbus_P13,55,232,2,0,3
columbus_P14,293,449,9,0,0
columbus_P15,247,430,10,0,0
columbus_P16A,236,361,8,0,5
columbus_P17,234,135,0,0,1
columbus_P18,81,126,4,0,1
columbus_P19,206,301,3,0,3
columbus_P20,117,88,0,0,0
columbus_P21,74,250,3,0,1
columbus_P22,178,418,9,0,1
columbus_P23,193,263,4,0,3
columbus_P24,99,657,5,0,0
columbus_P25A,79,449,8,0,2
columbus_P26A,403,523,9,0,3
craven_03,230,753,11,0,3
craven_04,160,214,0,0,1
craven_05,266,549,9,0,4
craven_06,123,145,5,0,1
craven_07,228,302,3,0,0
craven_08,80,99,3,0,0
craven_09,108,116,0,0,0
craven_10,101,146,3,0,0
craven_11,207,634,6,0,4
craven_12,34,201,1,0,0
craven_13,48,183,2,0,1
craven_14,143,257,6,0,2
craven_15,83,119,2,0,0
craven_16,264,646,15,0,2
craven_17,107,386,13,0,3
craven_18,307,434,26,0,5
craven_19,285,227,7,0,1
craven_20,277,609,5,0,2
craven_21,182,585,9,0,0
craven_22,217,457,13,0,2
craven_23,241,539,10,0,1
craven_N1,245,140,7,0,5
craven_N2,366,147,1,0,4
craven_N3,224,273,12,0,2
craven_N4,467,395,18,0,3
craven_N5,271,181,8,0,1
craven_N6,318,533,12,0,5
cumberland_AL51,938,1730,19,0,8
cumberland_AH49,1394,568,11,0,4
cumberland_G5A-1,1238,438,7,0,5
cumberland_G5A-2,828,569,6,0,6
cumberland_G6B,251,562,4,0,2
cumberland_G7A,270,596,11,0,0
cumberland_G5C,1014,489,11,0,4
cumberland_G6C,613,718,12,0,5
cumberland_CL57-1,1406,471,13,0,0
cumberland_CL57-2,1388,365,8,0,3
cumberland_CC01,1202,127,8,0,0
cumberland_G1A,1032,371,9,0,3
cumberland_CC03,485,140,3,0,1
cumberland_CC04,356,341,13,0,0
cumberland_CC05,1233,110,9,0,0
cumberland_CC06,361,406,9,0,0
cumberland_CC07,271,475,8,0,1
cumberland_CC08,298,646,6,0,0
cumberland_G2A,1757,878,12,0,7
cumberland_CC10,459,299,9,0,1
cumberland_G3B,387,268,3,0,3
cumberland_CC12,265,919,13,0,1
cumberland_CC13,1647,41,3,0,0
cumberland_CC14,684,1133,13,0,2
cumberland_CC15,651,1051,11,0,3
cumberland_CC16,1456,22,5,0,1
cumberland_CC17,1531,158,5,0,1
cumberland_CC18,358,721,8,0,2
cumberland_CC19,631,8,2,0,0
cumberland_G4B,546,635,11,0,1
cumberland_CC21,1592,537,10,0,6
cumberland_G2B,1686,941,14,1,6
cumberland_G2C-1,862,645,22,0,4
cumberland_G2C-2,812,805,21,0,3
cumberland_CC24,436,340,7,0,3
cumberland_CC25,639,443,15,0,5
cumberland_CC26,1520,476,13,0,4
cumberland_CC27,1676,429,11,0,5
cumberland_G5B-1,1699,182,4,0,4
cumberland_G5B-2,1237,282,9,0,2
cumberland_CC29,964,396,9,0,5
cumberland_G4A,557,451,5,0,2
cumberland_CC31,761,481,18,0,2
cumberland_CC32,692,126,5,0,0
cumberland_CC33,945,555,13,0,5
cumberland_CC34,523,821,5,0,1
cumberland_G8B,633,617,6,0,2
cumberland_CU02,722,556,13,0,2
cumberland_G8C,907,521,16,0,3
cumberland_G8A,1268,708,21,0,3
cumberland_EO61-1,615,1244,9,0,2
cumberland_EO61-2,544,741,8,0,2
cumberland_G8D,844,937,35,0,4
cumberland_G9B-1,1142,1075,14,0,8
cumberland_G9B-2,1050,1039,13,0,2
cumberland_G9A,794,894,15,0,6
cumberland_G10B,816,735,14,0,5
cumberland_G1B,1064,1474,11,0,4
cumberland_LR63,1845,528,14,0,3
cumberland_LI65,727,1267,22,0,8
cumberland_G2D,1212,1162,16,0,6
cumberland_G11B,954,654,23,0,4
cumberland_MB62,1213,290,4,1,4
cumberland_MR02,1128,506,14,0,2
cumberland_G3A-1,1476,592,18,0,3
cumberland_G3A-2,789,558,13,0,3
cumberland_G3C,386,449,6,3,0
cumberland_G4C,752,274,10,0,1
cumberland_SH77,607,892,9,0,2
cumberland_G11A-1,1234,313,12,0,11
cumberland_G11A-2,1155,308,13,0,0
cumberland_G6A,706,1728,23,0,2
cumberland_G10C,624,1170,8,0,4
cumberland_G10A,1168,1527,17,0,8
cumberland_G7B,210,578,7,0,0
cumberland_G2E-1,1101,206,6,0,4
cumberland_G2E-2,1599,233,13,0,2
currituck_CB,50,62,0,0,0
currituck_CH,316,831,37,0,2
currituck_CI,47,99,3,0,1
currituck_CJ,118,158,6,0,2
currituck_GW,46,128,7,0,0
currituck_IR,109,317,9,2,2
currituck_KI,159,396,17,0,2
currituck_MY,497,1455,35,1,8
currituck_PB,505,921,35,0,7
currituck_PP,266,463,18,0,2
currituck_WH,116,194,2,0,1
dare_AVON,191,227,5,0,0
dare_BUX,265,418,8,0,0
dare_CHCA,161,136,20,0,0
dare_COL,854,1025,21,0,0
dare_DUCK,140,158,1,0,0
dare_EL,13,32,1,0,0
dare_FRCO,158,274,6,0,0
dare_HAT,104,219,6,0,0
dare_KDH,1317,1509,67,0,0
dare_KTHK,744,1021,16,0,0
dare_MATO,1325,1575,30,0,0
dare_MH,106,235,5,0,0
dare_NGHD,648,864,17,0,0
dare_SOSH,817,1350,26,0,0
dare_STPT,28,71,2,0,0
dare_WAN,178,496,10,0,0
dare_CURBSIDE,0,0,0,0,0
dare_ACCUMULATED,0,0,0,5,71
davidson_04,816,2491,28,0,5
davidson_06,366,1195,22,0,7
davidson_08,236,474,10,0,0
davidson_10,464,1023,24,0,2
davidson_12,157,383,12,0,2
davidson_14,170,853,15,0,1
davidson_16,358,1548,19,0,3
davidson_18,230,888,13,0,1
davidson_20,345,1292,14,0,4
davidson_22,138,405,9,0,2
davidson_24,229,528,10,0,2
davidson_26,162,376,5,0,4
davidson_28,451,1042,19,0,2
davidson_30,1171,168,7,0,1
davidson_32,429,264,6,0,2
davidson_34,565,445,13,0,2
davidson_36,469,290,4,0,4
davidson_38,630,109,4,0,0
davidson_40,659,630,16,0,3
davidson_42,196,1189,10,0,6
davidson_44,762,1931,22,0,5
davidson_46,379,1250,14,0,5
davidson_48,340,1186,19,0,2
davidson_50,385,1568,18,0,4
davidson_52,621,1978,31,0,4
davidson_54,137,852,12,0,0
davidson_56,136,600,15,0,3
davidson_58,493,1207,24,0,0
davidson_60,913,1651,28,0,6
davidson_62,673,247,13,0,0
davidson_64,914,190,5,0,0
davidson_66,444,557,7,0,5
davidson_68,565,677,8,0,3
davidson_70,296,1221,17,0,3
davidson_72,285,1324,18,0,1
davidson_74,440,1859,30,0,3
davidson_76,393,1624,24,0,9
davidson_78,487,1462,26,0,9
davidson_80A,506,2336,36,0,12
davidson_82,398,1223,25,0,3
davidson_84,686,2103,31,0,3
davidson_86A,691,1316,23,0,6
davidson_88,327,1206,14,0,3
davidson_CURBSIDE,231,242,4,0,0
davie_01,202,509,5,0,2
davie_02,188,483,12,0,0
davie_03,403,1234,23,0,4
davie_04,389,683,18,1,1
davie_05,333,1320,10,0,3
davie_06,298,777,10,0,1
davie_07,347,767,14,0,6
davie_08,651,659,13,0,3
davie_09,501,903,8,0,5
davie_10,385,1159,15,2,4
davie_11,207,887,9,0,5
davie_12,594,1853,20,1,3
davie_13,486,1495,18,0,1
davie_14,402,975,14,0,1
davie_CURBSIDE,83,156,2,0,0
duplin_ALBE,93,464,5,0,2
duplin_BEUL,187,692,15,0,0
duplin_CALY,118,342,1,0,1
duplin_CFRK,38,304,1,0,0
duplin_CHAR,318,152,1,0,0
duplin_CHIN,91,297,3,0,1
duplin_CYCK,131,521,2,0,0
duplin_FAIS,230,332,5,0,2
duplin_GLIS,56,260,11,0,0
duplin_HALL,161,263,3,0,3
duplin_KENA,292,274,5,0,0
duplin_LOCK,45,172,1,0,1
duplin_MAGN,247,172,3,0,0
duplin_ROCK,161,214,1,0,1
duplin_ROSE,281,367,0,0,0
duplin_SMCA,87,324,7,0,2
duplin_WALL,636,751,5,0,1
duplin_WARS,556,310,1,0,0
duplin_WOLF,130,509,3,0,0
durham_01,248,37,3,0,1
durham_02,440,76,10,0,3
durham_03,370,81,9,0,2
durham_04,370,105,10,0,4
durham_05,389,80,7,2,3
durham_06,295,65,7,0,4
