prec_id,Deborah K. Ross,Richard Burr,Sean Haugh
cumberland_CC34,521,810,38
cumberland_CC13,1225,68,23
cumberland_G8B,655,627,60
cumberland_CC15,671,1036,59
cumberland_CC18,313,708,22
cumberland_G4B,481,616,56
cumberland_CL57-2,1376,383,46
cumberland_G2A,1781,863,82
cumberland_LR63,1799,531,74
cumberland_CC14,634,1029,61
cumberland_G10B,748,786,70
cumberland_CC33,830,517,51
cumberland_CL57-1,1259,507,65
cumberland_G5B-1,1510,217,40
cumberland_G5C,808,461,48
cumberland_CC06,312,358,59
cumberland_G10C,742,1333,72
cumberland_G7A,215,600,24
cumberland_CC24,459,313,48
cumberland_CC29,809,394,49
cumberland_G2E-1,937,213,44
cumberland_G5A-1,1094,410,56
cumberland_MR02,1025,552,63
cumberland_G5A-2,815,568,40
cumberland_G4A,458,401,42
cumberland_CU02,617,527,41
cumberland_CC08,298,599,24
cumberland_ABSENTEE 1-30,1139,1097,100
cumberland_G5B-2,1096,312,38
cumberland_G7B,195,595,25
cumberland_CC10,410,303,21
cumberland_CC17,1297,187,31
cumberland_G10A,1281,1587,87
cumberland_G11A-1,1022,305,48
cumberland_CC32,587,129,20
cumberland_CC25,608,466,42
cumberland_CC26,1356,495,66
cumberland_G2E-2,1305,239,47
cumberland_CC19,441,17,8
cumberland_G3B,334,266,27
cumberland_G9B-2,1155,1269,92
cumberland_SH77,640,971,52
cumberland_CC16,1170,43,15
cumberland_EO61-1,603,1258,57
cumberland_G3A-2,790,556,50
cumberland_G1B,992,1570,58
cumberland_G9A,807,875,60
cumberland_G6A,740,2034,79
cumberland_CC05,973,143,27
cumberland_G6C,469,742,46
cumberland_AL51,981,1951,102
cumberland_G3C,315,470,33
cumberland_G1A,854,403,40
cumberland_G6B,198,567,21
cumberland_CC01,1129,143,31
cumberland_EO61-2,508,784,32
cumberland_G9B-1,1077,1190,73
cumberland_G3A-1,1358,668,82
davie_12,564,1929,80
davie_CURBSIDE,121,197,11
davie_7,272,843,58
davie_4,291,765,59
davie_9,434,958,77
davie_3,268,1447,95
davie_6,248,831,62
davie_10,418,1262,69
davie_8,550,717,83
davie_11,170,982,47
davie_14,348,1092,68
davie_ABSENTEE,203,508,30
davie_1,175,552,29
davie_13,551,1520,43
davie_5,332,1338,65
davie_2,149,554,47
catawba_30,865,1408,141
catawba_33,893,2954,184
catawba_11,313,326,28
catawba_ABSENTEE,719,1503,96
catawba_22,594,1462,87
catawba_29,385,1202,97
catawba_8,437,1255,71
catawba_5,580,1442,117
catawba_2,294,1165,62
catawba_21,226,913,63
catawba_37,605,863,105
clay_WARN,132,346,14
clay_SWEE,119,348,17
clay_HAYC,72,195,15
clay_HAY2,278,634,35
clay_TUSQ,115,339,10
clay_BRAS,161,426,25
clay_SHCR,146,646,22
clay_HAY1,219,577,27
dare_ABSENTEE,428,556,30
dare_FRCO,159,319,15
dare_MH,98,236,13
dare_WAN,152,526,17
dare_STPT,21,85,0
dare_AVON,154,278,12
dare_CHCA,166,200,22
dare_EL,13,35,2
dare_KDH,1270,1827,137
dare_KTHK,651,1162,60
dare_HAT,105,212,10
dare_DUCK,146,174,4
dare_BUX,205,444,30
dare_COL,791,1264,64
dare_MATO,1257,1757,73
dare_NGHD,693,901,41
dare_SOSH,880,1337,49
dare_CURBSIDE,0,0,0
catawba_CURBSIDE,232,292,19
catawba_39,426,1211,62
catawba_38,654,1368,77
catawba_36,557,960,55
catawba_25,469,664,69
catawba_4,198,244,23
catawba_1,341,1821,95
catawba_20,486,1478,122
catawba_19,255,419,41
catawba_14,429,612,41
catawba_16,604,833,90
catawba_41,459,1712,99
catawba_27,486,1834,142
catawba_28,557,1320,120
catawba_7,673,1117,96
catawba_12,677,216,33
catawba_15,417,27,4
catawba_17,370,550,59
catawba_34,794,2369,155
catawba_35,451,808,95
catawba_32,677,1128,98
catawba_23,734,2018,126
catawba_9,249,1305,61
catawba_26,496,748,56
catawba_31,648,2148,149
catawba_40,385,573,56
catawba_6,364,1181,70
catawba_3,331,1114,86
catawba_24,635,2038,132
catawba_13,504,349,50
catawba_10,188,123,16
clay_HIAW,240,672,27
columbus_P10,49,310,13
columbus_P03,52,186,7
columbus_OS LOBBY,3318,4497,233
columbus_P06,86,257,7
columbus_OS FAIR BLUFF,106,145,9
columbus_P02B,161,99,5
columbus_P17,174,144,13
columbus_ABSENTEE,226,245,12
columbus_P21,64,230,10
columbus_P14,279,395,25
columbus_P15,234,361,13
columbus_P09,207,152,9
columbus_P23,142,250,10
columbus_P22A,141,432,21
columbus_P04,52,97,5
columbus_P16B,131,359,21
columbus_OS BOLTON,246,163,26
columbus_P11,41,262,11
columbus_P08,12,155,11
columbus_OS TABOR CITY,431,810,26
columbus_OS CHADBOURN,336,340,25
columbus_P25B,55,418,24
columbus_P26B,402,431,30
columbus_P18,52,107,9
columbus_P19,208,256,15
columbus_OS EAST COLUMBUS,679,683,43
columbus_P01A,179,319,30
columbus_P24,82,566,31
columbus_P12,30,110,3
columbus_P13,48,233,11
columbus_P05,31,156,8
columbus_P07,411,309,22
columbus_P20A,114,81,7
davidson_74,360,1958,100
davidson_10,355,1156,76
davidson_56,95,715,35
davidson_66,397,536,44
davidson_40,539,664,39
davidson_60,861,1667,89
davidson_6,268,1363,94
davidson_24,179,623,38
davidson_26,166,474,26
davidson_50,314,1872,64
davidson_30,833,199,29
davidson_18,204,1070,45
davidson_CURBSIDE,0,0,0
davidson_64,631,206,28
davidson_8,176,513,31
davidson_22,107,442,29
davidson_42,138,1294,65
davidson_44,622,1925,86
davidson_82,299,1352,67
davidson_80A,502,2709,105
davidson_76,299,1738,57
davidson_70,268,1203,51
davidson_48,275,1312,64
davidson_68,498,676,64
davidson_34,481,488,50
davidson_88,387,1125,47
davidson_86A,679,1325,87
davidson_14,131,1064,44
davidson_16,282,1636,84
davidson_32,319,281,40
davidson_54,110,1016,47
davidson_4,794,2840,110
davidson_46,322,1293,61
davidson_58,372,1491,111
davidson_20,249,1443,80
davidson_38,446,125,28
davidson_ABSENTEE,836,2625,102
davidson_52,474,2242,112
davidson_36,411,296,30
davidson_12,90,407,39
davidson_84,719,2401,113
davidson_78,347,1632,112
davidson_28,379,1103,63
davidson_72,280,1449,56
davidson_62,548,233,29
chowan_4,32,132,6
chowan_1,187,123,7
chowan_5,68,190,0
chowan_2,230,204,15
chowan_6,96,215,9
chowan_3,64,346,11
chowan_OS BOE,1970,2386,77
chowan_OS NCC,112,258,3
chowan_ABSENTEE,107,150,5
currituck_ABSENTEE,119,224,10
currituck_KI,99,481,19
currituck_GW,31,145,6
currituck_CH,211,767,48
currituck_WH,122,192,13
currituck_IR,88,295,16
currituck_PB,313,967,50
currituck_CJ,71,163,14
currituck_PP,215,493,22
currituck_MY,376,1481,80
currituck_CB,39,61,4
currituck_CI,21,111,5
durham_37,363,403,28
durham_35.3,491,368,49
durham_21,282,78,11
durham_30-1,419,246,32
durham_22,713,54,22
durham_2,385,92,24
durham_5,428,127,17
durham_OS-FRONT,1546,605,86
durham_55-11,394,13,7
durham_44,237,280,25
durham_42,220,6,3
durham_29,421,307,22
durham_48,243,145,8
durham_OS-ERL,10378,4000,358
durham_8,403,51,14
durham_OS-NRL,11802,6917,451
durham_53-1,282,219,17
durham_54,511,178,32
durham_14,313,26,4
durham_16,272,150,14
durham_19,498,106,23
durham_OS-BOE,17165,1277,274
durham_OS-DTC,1527,192,45
durham_ABSENTEE,4005,1483,112
durham_39,301,353,19
durham_38,481,242,34
durham_1,195,32,7
durham_20,260,38,7
durham_34-1,286,113,18
durham_34-2,517,113,18
durham_43,426,346,25
durham_OS-NJBC,2209,194,68
durham_OS-DTCN,637,707,38
durham_41,290,11,1
durham_46,417,147,31
durham_47,290,14,4
durham_4,298,102,11
durham_7,270,53,12
durham_25,139,242,24
durham_OS-IVY,4097,523,78
durham_OS-ENO,14056,3750,324
durham_10,253,12,5
durham_45,304,335,35
durham_6,274,40,9
durham_3,322,89,16
durham_40,268,70,6
durham_24,390,326,26
durham_23,579,121,17
durham_9,357,120,13
durham_33,566,289,47
durham_OS-DUKE,6783,1209,165
durham_OS-SRL,17908,3459,453
durham_50,481,300,36
durham_31,392,320,35
durham_18,473,35,9
durham_13,265,12,9
durham_30-2,525,141,26
durham_OS-NCCU,3798,102,53
durham_55-49,340,7,11
durham_17,423,29,6
durham_15,260,34,7
durham_12,172,15,5
durham_36,429,119,20
durham_OS-GETG,1135,100,24
durham_52,464,60,13
edgecombe_1401,49,241,3
edgecombe_301,60,69,1
edgecombe_1201,567,31,4
edgecombe_104,223,203,18
edgecombe_1101,110,232,6
edgecombe_1204,251,20,4
edgecombe_601,208,106,12
edgecombe_CURBSIDE,17,14,1
edgecombe_501,115,112,5
edgecombe_701,207,127,2
edgecombe_801,68,241,11
edgecombe_102,323,287,21
edgecombe_103,258,301,14
edgecombe_401,116,84,4
edgecombe_ABSENTEE,94,86,3
edgecombe_1205,177,4,5
edgecombe_1203,254,381,17
edgecombe_1202,299,13,1
edgecombe_901,101,291,12
edgecombe_101,417,40,6
edgecombe_1301,79,287,8
edgecombe_201,203,207,10
edgecombe_1001,181,199,15
gaston_11,164,110,30
gaston_1,92,103,20
gaston_OS-DALLAS,1914,8150,428
gaston_16,150,442,29
gaston_19,201,458,51
gaston_20,145,477,34
gaston_32,168,509,48
gaston_39,107,619,60
gaston_38,60,336,27
gaston_7,211,10,2
gaston_4,266,580,53
gaston_25,99,322,33
gaston_28,227,600,55
gaston_41,105,276,34
gaston_43,170,548,44
gaston_46,198,445,50
gaston_27,230,696,60
gaston_OS-CHERRYVILLE,607,2386,121
gaston_15,273,583,48
gaston_17,200,338,36
gaston_12,175,347,28
gaston_36,103,434,22
gaston_10,165,195,32
gaston_OS-BOE,10395,10187,758
gaston_ABSENTEE,909,2381,114
gaston_6,237,77,14
gaston_9,150,136,27
gaston_40,178,337,27
gaston_23,276,557,53
gaston_26,160,337,45
gaston_OS-LIBRARY,3323,5123,402
gaston_3,247,111,27
gaston_24,221,402,52
gaston_45,208,307,49
gaston_18,386,480,59
gaston_13,184,405,47
gaston_30,131,366,39
gaston_33,57,258,31
gaston_31,121,456,44
gaston_21,166,268,37
gaston_37,88,266,20
gaston_2,241,173,26
gaston_5,234,100,22
gaston_8,188,100,17
gaston_44,230,591,49
gaston_42,140,481,44
gaston_22,173,578,40
gaston_29,145,559,37
gaston_OS-MOUNT HOLLY,3802,10001,624
gaston_OS-FBC GASTONIA,1607,5262,265
gaston_35,71,247,18
gaston_34,83,366,28
gaston_14,64,175,10
granville_WILT,1125,2460,181
granville_EAOX,999,429,28
granville_OKHL,435,443,23
granville_SALM,620,684,25
granville_BERE,504,611,32
granville_BTNR,1070,864,76
granville_CRDM,1624,1619,104
granville_ANTI,592,272,6
granville_SOOX,849,213,16
granville_MTEN,1220,1797,112
granville_SASS,573,721,26
granville_TYHO,865,1850,105
granville_CORI,691,826,34
granville_CRDL,893,443,33
granville_WOEL,698,348,24
forsyth_73,533,1481,67
forsyth_72,1242,2188,101
forsyth_507,1985,1180,118
forsyth_908,783,1107,39
forsyth_131,828,1264,68
forsyth_402,745,24,10
forsyth_405,1470,38,21
forsyth_601,954,311,56
forsyth_604,769,216,40
