prec_id,Joyce,Vallas,Wilson,Preckwinkle,Daley,Mccarthy,Chico,Mendoza,Enyia,Ford,Salesgriffin,Lightfoot,Fioretti,Kozlar
C02018,6,21,7,49,98,10,10,22,15,0,1,46,1,0
C02019,3,21,9,36,125,8,14,15,9,0,1,52,2,2
C02020,4,20,2,18,69,5,11,20,16,0,0,76,5,5
C02021,8,18,5,56,41,9,15,30,51,0,1,95,0,1
C02022,6,36,10,39,118,14,12,33,16,1,0,80,1,2
C02023,2,20,2,25,158,6,15,15,3,0,1,49,0,0
C02024,11,24,11,42,94,9,11,26,13,0,3,58,1,3
C02025,8,23,3,43,55,4,12,28,36,0,4,90,6,0
C02026,11,20,15,29,83,8,10,17,9,3,0,54,2,3
C02027,10,28,13,30,103,18,12,22,9,3,1,53,3,4
C02028,15,27,8,36,76,8,21,21,16,0,2,74,1,2
C02029,9,14,0,20,127,16,15,15,10,1,5,60,0,1
C02030,5,26,4,23,88,18,15,17,3,1,0,54,2,0
C02031,11,34,10,38,174,12,24,22,8,0,1,73,1,1
C02032,9,12,3,23,38,11,5,15,12,1,1,48,1,0
C02033,26,53,11,59,156,12,28,23,9,4,1,106,5,3
C02034,8,30,3,33,168,6,18,9,5,1,0,53,0,0
C02035,18,23,12,25,80,11,14,23,15,2,3,74,1,1
C02036,8,26,7,35,97,20,10,30,6,1,1,72,1,2
C02037,19,35,7,26,111,11,17,16,17,1,0,50,5,2
C02038,11,36,7,23,132,16,11,18,5,0,3,52,0,0
C02039,32,22,21,20,62,11,9,15,10,1,1,29,1,1
C02040,14,20,6,37,77,9,27,37,16,0,3,50,3,2
C02041,14,16,7,30,64,8,7,22,13,0,2,36,1,2
C02042,6,13,5,44,84,10,10,17,23,4,2,40,4,0
C02043,12,25,5,35,145,11,16,14,10,1,0,69,4,4
C02044,14,18,3,19,59,4,9,21,7,0,0,42,0,0
C02045,23,15,21,52,61,18,15,32,20,4,0,53,3,5
C02046,6,12,6,19,42,4,5,11,8,0,0,29,2,1
C03001,11,5,129,104,31,3,9,11,51,7,1,37,4,1
C03002,12,6,94,181,40,3,14,15,25,3,1,66,4,1
C03003,20,6,48,87,33,2,16,22,20,7,2,51,1,0
C03004,4,16,83,99,24,0,2,11,67,2,0,63,1,1
C03005,5,2,64,43,22,1,2,4,14,1,0,29,1,0
C03006,20,38,10,47,105,11,34,26,30,3,2,87,3,0
C03007,2,6,70,68,31,2,4,4,21,2,4,44,2,0
C03008,6,3,83,51,19,1,2,7,21,6,0,34,1,2
C03009,9,5,64,85,20,2,12,6,53,3,3,62,2,1
C03010,3,4,58,27,15,0,3,3,9,2,0,8,0,0
C03011,11,11,70,72,16,0,4,9,42,3,1,56,1,1
C03012,6,8,86,124,25,2,4,8,42,9,0,64,3,0
C03013,16,32,16,71,64,6,27,32,19,3,1,114,4,4
C03014,11,15,34,69,49,5,12,14,41,3,1,64,0,1
C03015,3,2,76,75,29,1,0,7,29,4,2,30,4,0
C03016,3,7,83,55,20,4,3,7,38,5,0,28,3,0
C03017,11,14,22,68,51,9,12,31,50,4,3,75,7,1
C03018,8,12,91,97,44,6,8,15,32,7,1,60,10,1
C03019,25,31,8,56,117,9,30,16,15,1,1,77,6,1
C03020,4,8,77,85,28,1,7,7,52,4,1,52,2,0
C03021,14,21,22,95,82,6,27,19,19,0,1,81,11,3
C03022,22,21,10,51,59,8,17,46,42,1,1,122,3,0
C03023,6,4,79,58,19,5,10,6,33,2,0,29,0,0
C03024,6,8,77,65,32,4,7,4,22,4,2,33,1,0
C03025,20,47,20,81,156,13,45,46,21,1,1,99,2,2
C03026,9,27,12,95,116,6,21,24,17,2,2,108,10,3
C03027,31,25,8,62,75,12,24,39,35,2,0,99,10,1
C03028,5,2,86,94,21,2,2,14,14,2,0,31,1,1
C03029,4,11,75,58,23,1,5,14,38,5,0,40,4,1
C03030,2,7,83,76,19,0,10,8,42,4,1,41,0,0
C03031,5,3,88,93,26,1,7,9,54,8,1,50,0,0
C03032,10,14,27,76,62,9,13,30,29,2,1,82,9,2
C03033,10,19,12,67,47,12,11,29,27,5,3,99,5,2
C03034,5,22,28,74,53,5,27,25,26,3,1,102,14,2
C03035,2,3,21,35,19,1,2,2,15,3,0,29,6,0
C03036,1,4,47,39,8,1,3,3,16,2,0,22,2,1
C03037,5,4,74,73,17,1,7,6,39,5,0,38,0,0
C03038,3,9,86,101,19,4,9,9,29,3,0,45,2,0
C03039,20,27,5,72,88,10,19,47,41,4,6,98,6,3
C03040,7,5,35,56,36,2,8,20,29,3,1,42,11,2
C03041,11,11,42,85,34,4,9,8,26,2,0,43,7,5
C04001,3,7,21,176,25,3,9,18,75,2,5,116,1,0
C04002,12,24,8,75,63,10,15,24,20,2,3,131,9,2
C04003,6,2,61,96,16,0,3,7,27,4,0,35,0,0
C04004,8,11,101,168,34,5,4,13,38,5,2,57,5,1
C04005,4,12,57,130,18,0,7,14,47,6,3,67,3,0
C04006,11,8,69,137,51,3,8,14,34,4,0,78,10,1
C04007,8,10,68,166,24,2,4,19,68,10,1,83,1,0
C04008,2,10,75,128,15,2,10,10,61,7,2,62,1,1
C04009,14,12,60,209,30,1,10,5,43,4,0,84,1,0
C04010,10,17,52,150,29,5,7,12,45,4,4,96,3,1
C04011,3,5,77,83,26,1,5,8,38,8,1,39,4,0
C04012,2,2,72,105,20,0,7,6,54,8,2,78,1,0
C04013,9,8,6,39,38,7,11,24,38,2,2,79,2,5
C04014,0,9,72,89,31,5,15,17,36,6,3,45,17,1
C04015,6,2,78,138,31,2,15,17,54,7,0,56,1,0
C04016,18,27,8,84,80,12,19,42,38,4,0,122,8,4
C04017,7,29,6,78,54,7,7,51,33,2,2,142,6,1
C04018,9,5,85,138,26,3,8,11,37,6,0,49,1,0
C04019,2,3,64,52,18,2,6,6,15,5,0,32,1,0
C04020,17,24,6,68,60,10,12,25,16,3,0,101,12,2
C04021,4,15,12,70,45,5,15,20,38,1,0,104,5,3
C04022,1,7,30,129,59,1,9,13,43,3,0,87,1,0
C04023,5,11,23,234,27,1,2,11,44,2,1,104,3,0
C04024,2,7,26,144,23,5,3,8,37,0,2,60,2,0
C04025,10,18,15,78,75,8,18,32,19,2,0,95,9,4
C04026,2,5,90,105,22,1,4,6,28,7,2,45,3,0
C04027,7,9,24,155,24,3,5,17,87,3,3,85,1,1
C04028,8,9,51,91,25,3,6,6,48,8,2,35,4,0
C04029,2,7,58,88,9,1,8,9,54,1,1,54,1,1
C04030,3,7,112,118,21,1,9,20,53,7,0,48,3,0
C04031,5,6,30,146,29,1,7,2,17,2,3,53,5,0
C04032,1,8,61,125,29,1,7,10,53,6,0,65,2,1
C04033,1,5,47,141,33,0,4,9,47,9,2,62,1,2
C04034,7,16,51,109,18,1,11,12,36,2,2,53,1,1
C04035,8,7,62,139,29,2,10,6,43,8,1,75,2,0
C04036,9,12,52,122,46,1,14,8,45,8,1,66,11,0
C04037,23,28,12,94,72,13,32,36,38,2,3,136,8,1
C04038,8,9,56,97,45,0,14,14,40,8,2,71,4,1
C05001,3,5,51,71,15,2,6,5,24,4,0,42,2,0
C05002,8,4,64,36,11,0,3,3,35,3,0,22,1,0
C05003,4,8,8,166,17,2,6,9,60,2,3,81,0,1
C05004,5,7,41,128,22,3,6,15,79,7,3,82,2,0
C05005,7,3,82,81,21,0,5,13,33,2,0,36,0,0
C05006,2,5,81,76,17,2,3,7,19,3,1,31,2,0
C05007,6,9,33,139,33,1,9,5,43,3,1,71,0,0
C05008,8,12,3,149,26,1,3,15,27,0,1,128,1,1
C05009,5,9,21,182,23,1,16,10,55,6,2,92,1,2
C05010,2,4,65,53,14,1,4,12,37,2,0,29,0,0
C05011,6,9,24,141,33,5,4,16,45,2,0,103,1,2
C05012,7,5,55,49,10,2,5,5,12,4,1,35,0,0
C05013,6,2,56,59,17,3,6,9,36,4,3,47,2,0
C05014,7,4,39,80,29,2,5,6,51,4,0,65,5,0
C05015,5,10,35,116,28,5,12,10,28,1,0,48,1,0
C05016,4,6,73,68,21,2,5,7,34,4,1,39,3,0
C05017,4,9,70,89,23,3,6,8,26,4,0,24,2,0
C05018,3,9,33,121,19,2,6,13,42,1,2,84,1,0
C05019,5,18,14,136,30,3,5,9,49,1,1,98,1,0
C05020,8,15,27,167,31,3,9,10,46,9,1,76,0,0
C05021,3,13,24,109,20,0,4,12,30,5,1,119,0,0
C05022,7,14,16,166,77,1,11,10,24,1,2,108,1,0
C05023,10,12,28,236,36,5,10,14,88,2,0,139,3,0
C05024,3,8,25,138,24,1,5,17,52,2,0,90,0,2
C05025,2,7,36,115,34,1,6,14,29,8,0,61,1,0
C05026,2,11,70,98,24,3,7,6,36,1,1,62,5,0
C05027,2,9,1,114,44,0,4,10,34,2,1,113,0,0
C05028,4,10,76,103,17,3,8,13,31,3,0,59,6,1
C05029,5,8,62,103,20,2,8,3,44,11,3,67,0,0
C05030,5,8,60,46,15,1,2,6,32,2,1,31,0,0
C05031,2,9,58,68,14,0,5,1,33,9,3,34,1,0
C05032,8,13,85,152,32,1,7,13,39,8,2,50,2,1
C05033,2,4,119,99,29,2,7,3,24,4,0,48,2,0
C05034,3,13,5,146,42,2,3,20,35,0,3,126,1,0
C05035,7,16,16,159,34,3,4,8,50,0,4,111,1,0
C05036,3,4,47,60,17,2,6,6,8,1,2,29,1,1
C05037,5,10,15,182,38,3,10,23,39,3,3,112,3,2
C05038,5,3,89,63,21,1,3,13,34,7,1,39,1,0
C05039,4,8,9,129,38,3,6,16,15,0,1,66,0,1
C05040,2,5,66,92,23,2,1,5,33,6,0,33,0,0
C05041,5,5,9,89,44,2,6,11,10,1,2,59,0,0
C06001,4,4,66,122,21,1,8,4,22,7,0,50,2,0
C06002,7,7,71,50,31,1,6,9,22,7,0,49,5,0
C06003,5,2,107,67,34,5,4,9,25,9,3,46,2,0
C06004,4,4,60,43,19,2,5,2,15,4,0,30,0,1
C06005,2,1,75,28,10,0,4,2,12,1,0,14,0,0
C06006,8,7,65,89,22,0,9,5,34,3,0,50,3,0
C06007,2,5,67,54,19,1,4,8,17,5,0,35,0,0
C06008,5,3,68,70,23,1,4,13,22,2,0,59,1,0
C06009,2,4,63,52,20,1,4,6,17,5,2,24,3,0
C06010,2,2,51,30,9,1,3,5,19,7,0,21,0,0
C06011,9,2,72,38,11,2,4,6,30,2,2,28,1,0
C06012,3,2,60,37,7,2,6,8,10,4,1,15,1,0
C06013,6,2,62,40,19,1,16,4,20,4,0,27,1,0
C06014,8,8,80,50,11,1,5,4,20,9,0,42,2,0
C06015,2,4,75,33,18,1,3,9,14,1,1,14,0,0
C06016,8,10,91,74,12,4,9,9,35,6,1,43,1,0
C06017,1,2,52,37,22,0,5,2,13,4,0,19,2,0
C06018,4,2,61,43,13,2,4,4,9,1,0,11,0,2
C06019,7,4,82,58,19,0,0,4,24,4,1,31,1,0
C06020,2,0,47,17,14,2,3,5,7,5,3,22,1,0
C06021,1,5,53,22,6,2,1,3,8,0,0,15,0,0
C06022,6,6,43,34,11,2,2,7,16,0,1,18,1,0
C06023,0,3,37,23,16,1,5,3,6,1,0,14,0,0
C06024,3,5,42,37,10,1,0,0,8,6,1,14,0,0
C06025,4,2,55,25,9,0,2,2,7,2,0,7,0,0
C06026,2,2,53,45,8,0,3,6,17,5,0,11,0,0
C06027,2,0,47,25,11,6,2,3,13,1,0,20,0,0
C06028,1,6,54,33,6,2,1,1,9,1,0,10,0,1
C06029,7,11,57,80,28,4,13,14,35,11,0,24,2,0
C06030,8,2,56,58,19,1,1,7,21,5,3,31,1,0
C06031,5,9,58,78,21,3,7,9,22,5,1,52,0,0
C06032,8,6,63,65,21,0,3,6,29,3,0,36,6,0
C06033,2,4,71,68,10,1,5,4,28,2,1,50,3,0
C06034,3,0,52,88,32,1,8,8,26,6,0,38,1,1
C06035,7,4,62,62,18,4,4,9,23,6,0,34,4,0
C06036,12,9,58,103,27,1,10,5,30,7,0,51,0,1
C06037,7,10,76,90,24,1,4,8,25,5,1,52,3,1
C06038,4,13,77,62,19,1,11,10,25,3,0,53,1,0
C06039,2,2,60,44,16,4,5,4,18,4,0,36,2,0
C06040,4,5,67,68,12,1,9,6,23,4,0,32,0,0
C06041,5,10,75,63,18,3,11,5,27,6,1,33,2,0
C06042,4,3,64,61,19,1,8,6,17,4,0,36,4,0
C06043,3,4,70,49,17,2,3,6,25,6,1,35,0,0
C06044,2,2,66,52,22,1,2,5,25,2,1,38,1,0
C06045,7,6,89,77,24,2,4,6,32,4,1,26,1,0
C06046,5,2,54,44,12,1,8,2,19,2,0,25,0,0
C06047,4,2,59,38,12,0,8,8,13,5,1,32,0,1
C06048,2,5,69,64,18,0,10,5,26,3,0,54,0,0
C07001,4,9,82,52,12,2,5,9,26,1,0,31,1,0
C07002,1,6,73,34,4,1,7,8,29,2,0,23,1,0
C07003,3,2,64,60,24,2,8,10,35,7,2,57,0,0
C07004,1,4,57,59,17,3,7,10,33,6,2,42,6,0
C07005,8,6,67,60,18,1,8,6,20,3,1,22,0,0
C07006,5,8,43,94,27,5,5,7,40,5,3,75,0,0
C07007,3,4,58,43,15,0,3,9,20,3,1,30,3,0
C07008,7,6,50,56,15,0,8,14,25,3,1,29,0,0
C07009,9,7,105,117,40,4,17,14,47,7,0,54,3,0
C07010,9,8,67,58,24,2,9,9,22,0,0,45,0,0
C07011,6,2,71,55,15,1,5,14,16,1,2,27,0,0
C07012,5,5,78,54,25,0,4,11,14,0,0,23,3,0
C07013,2,6,37,45,18,1,4,10,10,1,0,23,0,1
C07014,6,6,58,56,26,2,4,12,32,8,0,37,1,0
C07015,4,3,58,57,15,3,9,4,33,1,0,45,0,0
C07016,1,4,52,39,9,4,5,7,19,4,0,12,0,0
C07017,0,4,44,38,17,0,1,9,20,1,1,25,2,1
C07018,8,4,51,51,13,3,4,9,26,4,1,33,0,4
C07019,6,3,52,46,34,2,6,7,32,4,0,38,0,0
C07020,3,2,44,34,11,1,7,3,19,1,2,18,2,0
C07021,1,6,47,42,14,3,9,7,11,3,0,21,0,0
C07022,1,10,47,37,21,2,12,13,20,5,0,30,1,1
C07023,3,11,63,81,12,2,7,8,33,6,1,33,4,0
C07024,6,4,51,50,19,0,7,7,22,2,0,25,1,1
C07025,3,4,40,26,14,6,6,18,10,1,1,23,1,0
C07026,2,8,39,48,20,1,9,3,24,2,3,36,2,0
C07027,5,4,44,39,13,3,4,16,25,6,2,25,0,0
C07028,8,7,37,42,17,1,4,13,10,2,2,18,4,0
C07029,3,7,62,54,9,0,3,3,18,0,0,27,2,0
C07030,5,5,51,25,9,0,11,13,12,0,0,18,0,0
C07031,3,3,31,24,18,2,10,13,17,1,3,24,0,0
C07032,4,10,79,102,42,2,12,13,35,7,6,54,2,0
C07033,7,7,76,96,41,3,16,11,27,6,2,57,4,1
C07034,7,8,72,86,30,5,15,15,35,5,1,35,2,0
C07035,3,7,59,56,18,2,14,13,22,5,1,37,3,0
C07036,5,8,64,89,27,1,14,11,30,2,0,44,1,0
C07037,3,8,58,68,40,1,12,7,33,2,1,47,0,0
C07038,1,1,68,51,20,4,7,11,21,2,0,16,3,0
C07039,3,6,76,54,16,2,7,9,29,6,0,34,1,1
C07040,5,4,63,58,20,1,7,8,17,2,1,34,1,0
C07041,7,8,83,42,18,1,7,5,25,9,0,19,0,0
C07042,3,6,61,46,12,4,6,4,21,6,0,31,1,2
C07043,4,5,78,40,18,0,5,9,20,3,1,39,0,1
C07044,2,4,51,39,18,3,4,11,19,3,0,22,1,0
C07045,1,3,69,37,18,1,7,10,12,3,2,30,2,0
C07046,5,1,42,40,11,0,9,10,2,1,0,15,1,0
C08001,4,8,59,54,24,4,4,7,23,5,1,31,2,0
C08002,0,3,63,53,31,2,6,6,23,7,0,25,3,0
C08003,13,8,69,104,42,2,11,11,30,5,0,50,1,0
C08004,9,10,57,86,32,3,11,14,38,6,1,43,4,0
C08005,6,11,63,90,21,0,13,6,44,7,0,50,0,0
C08006,3,5,56,80,32,1,6,9,20,6,3,42,1,0
C08007,5,6,73,83,25,4,8,12,40,1,5,57,0,0
C08008,13,16,63,84,32,1,5,11,30,2,0,44,4,0
C08009,5,7,39,32,17,1,4,4,25,5,0,29,1,0
C08010,2,15,70,117,27,1,12,10,57,7,1,66,3,0
C08011,7,1,54,81,17,1,4,9,20,3,1,23,4,0
C08012,2,2,63,74,19,1,11,2,20,2,0,28,1,0
C08013,3,4,70,83,22,0,8,16,25,3,0,33,1,0
C08014,3,1,39,44,8,1,2,5,10,2,1,26,1,0
C08015,4,4,59,55,22,1,11,6,21,6,2,29,0,0
C08016,2,3,17,15,6,1,1,1,5,1,1,13,0,0
C08017,6,3,49,89,27,2,10,3,19,2,0,33,0,0
C08018,7,2,58,39,12,2,3,7,23,3,0,33,0,0
C08019,6,13,73,94,33,1,8,5,43,5,1,49,3,0
C08020,12,9,88,86,28,2,5,9,42,7,4,44,0,0
C08021,8,3,94,82,34,2,7,1,37,7,2,49,1,1
C08022,6,5,75,48,30,1,5,5,27,2,1,40,1,0
C08023,6,4,43,63,25,0,4,5,19,0,1,24,0,0
C08024,8,6,48,33,10,0,4,6,27,2,0,32,1,0
C08025,3,3,87,59,14,1,5,7,14,10,2,21,0,0
C08026,3,1,69,60,15,0,3,6,21,2,0,37,1,0
C08027,6,5,77,77,44,3,7,3,30,3,1,53,1,0
C08028,3,5,67,74,18,1,7,11,35,4,0,40,1,0
C08029,2,9,88,72,16,0,14,6,31,4,1,66,1,2
C08030,2,8,63,75,18,2,4,11,30,7,2,35,0,1
C08031,2,7,44,52,14,2,4,3,21,3,1,28,3,0
C08032,6,7,46,50,16,2,3,6,26,5,1,23,1,0
C08033,5,5,86,60,29,1,0,12,19,1,2,48,0,1
C08034,9,8,65,59,24,3,5,18,26,4,0,34,5,1
C08035,5,4,82,66,38,2,10,6,29,11,0,60,0,1
C08036,6,3,64,86,22,0,4,7,31,10,2,44,1,0
C08037,5,8,50,63,19,0,8,9,31,4,0,36,0,0
C08038,2,3,48,39,28,2,2,4,14,1,1,21,0,1
C08039,7,5,55,74,20,1,12,10,19,4,1,40,1,1
C08040,4,5,48,53,16,0,6,11,24,2,0,31,2,0
C08041,10,4,74,56,23,1,5,16,26,7,2,44,4,0
C08042,4,10,72,102,24,1,8,8,31,9,1,50,2,0
C08043,4,0,50,25,15,1,5,3,13,2,0,25,1,0
C08044,1,5,38,49,14,4,6,5,11,4,0,31,1,1
C08045,3,5,63,52,20,2,2,5,12,5,0,14,0,0
C08046,5,4,54,54,22,2,10,5,22,1,1,22,3,0
C08047,9,1,66,41,20,1,7,11,21,2,1,26,2,0
C08048,5,7,67,47,17,3,4,6,29,3,1,21,0,1
C08049,5,1,64,60,19,1,13,8,27,2,0,31,2,1
C08050,8,7,62,75,36,6,6,9,35,6,0,39,3,0
C08051,9,5,71,68,25,3,10,14,37,8,1,42,1,0
C08052,5,9,72,85,36,3,13,13,44,7,0,57,2,1
C08053,3,4,41,42,12,0,3,1,14,2,0,18,3,1
C08054,7,3,69,44,17,1,3,6,12,5,1,24,0,0
C08055,1,1,73,73,25,1,4,5,19,4,3,26,1,0
C08056,4,6,67,67,21,2,10,15,32,4,1,46,1,0
C09001,8,5,82,46,28,0,8,8,17,4,2,30,1,0
C09002,7,6,78,43,14,2,4,7,16,6,0,21,2,0
C09003,3,10,50,20,6,0,5,5,9,0,0,16,1,0
C09004,4,3,66,38,19,1,6,3,12,3,0,34,1,0
C09005,6,3,66,55,22,0,6,9,27,4,0,43,2,0
C09006,3,5,79,47,15,4,3,3,19,3,2,37,1,1
C09007,2,4,54,47,25,1,6,10,16,2,0,24,2,0
C09008,4,5,68,44,10,0,8,9,18,5,0,21,1,0
C09009,10,10,77,58,32,0,9,10,35,1,7,35,2,0
C09010,7,4,63,36,14,1,1,5,10,2,1,32,0,0
C09011,2,1,70,32,11,1,0,5,15,3,0,26,2,0
C09012,5,5,71,68,32,1,8,4,35,5,1,40,1,2
C09013,7,7,99,71,30,4,5,5,14,4,1,46,3,0
C09014,9,5,78,71,32,2,5,12,33,2,1,62,2,0
C09015,0,9,56,33,12,2,2,5,11,1,0,21,0,0
C09016,12,6,62,55,15,2,13,5,14,1,0,30,3,0
C09017,3,1,61,44,10,1,8,4,9,0,0,14,0,0
C09018,1,2,56,42,8,1,5,10,15,2,1,20,2,0
C09019,1,7,72,47,23,0,3,6,14,2,0,31,3,0
C09020,4,3,89,49,24,0,9,6,20,2,0,43,0,2
C09021,3,6,85,41,22,1,7,7,13,6,0,28,0,0
C09022,2,9,76,74,22,5,10,9,26,3,1,40,3,0
C09023,7,8,72,69,27,0,11,9,37,5,3,47,2,1
C09024,7,6,61,66,22,2,15,9,25,4,1,36,2,1
C09025,4,1,69,62,23,2,9,5,31,3,1,46,1,0
C09026,1,6,72,34,17,0,3,6,18,1,0,18,1,0
C09027,4,2,67,46,19,3,2,5,15,4,0,29,0,0
C09028,2,3,22,19,12,1,6,13,10,0,0,9,0,0
C09029,2,4,72,55,22,0,1,5,16,4,3,19,2,0
C09030,7,5,56,41,15,3,1,1,19,2,0,24,1,0
C09031,0,4,82,37,15,0,5,5,9,2,2,9,0,0
C09032,6,2,70,52,24,2,8,5,31,4,0,21,2,0
C09033,5,8,54,35,20,1,3,3,10,4,0,20,0,0
C09034,4,4,68,34,16,1,7,13,15,2,0,21,0,1
C09035,5,4,73,66,34,1,17,5,13,2,0,30,1,0
C09036,1,4,55,43,9,1,6,6,27,5,3,26,1,0
C09037,26,28,34,65,44,13,30,25,33,1,0,65,14,0
C09038,3,1,61,64,21,2,4,7,15,5,1,34,4,0
C09039,6,3,74,70,30,2,4,6,27,1,1,31,4,0
C09040,5,6,82,58,28,0,11,10,28,4,0,51,0,0
C09041,3,6,78,36,8,0,5,5,17,6,2,30,0,0
C09042,5,8,71,66,19,2,13,7,31,8,1,55,1,0
C09043,4,7,83,44,6,0,5,3,20,3,0,24,0,0
C09044,2,4,86,53,18,4,8,10,16,3,0,25,2,0
C09045,3,5,59,44,8,1,6,7,12,2,0,22,1,0
C09046,7,13,66,44,23,6,9,10,22,1,0,30,8,2
C09047,8,4,68,78,20,2,11,5,31,1,3,57,0,0
C09048,8,7,63,66,29,3,8,6,40,4,0,26,0,0
C09049,7,4,69,71,26,5,9,2,33,2,1,49,1,0
C09050,4,14,73,98,36,1,14,6,43,7,0,57,1,0
C09051,7,8,79,49,19,0,7,5,33,6,1,32,4,1
C10001,3,5,37,50,15,1,23,32,14,1,0,21,1,1
C10002,49,20,13,11,45,34,71,34,6,0,0,11,2,2
C10003,41,17,19,18,39,29,67,52,6,0,1,16,3,2
C10004,4,8,23,20,25,1,38,23,11,0,0,12,0,2
C10005,29,23,9,4,38,32,49,42,4,1,0,13,1,0
C10006,17,28,8,8,44,15,62,46,10,0,1,12,2,3
C10007,10,17,6,14,21,10,46,49,4,0,0,13,2,0
C10008,3,1,15,22,7,1,14,15,9,2,1,10,0,0
C10009,47,25,16,6,41,18,66,29,4,1,0,14,5,2
C10010,32,29,9,13,27,17,80,64,9,0,0,25,4,0
C10011,15,9,8,16,20,21,93,83,12,1,1,12,3,1
C10012,13,18,0,8,21,15,40,47,6,0,1,7,2,0
C10013,9,13,19,8,22,6,85,60,4,2,0,10,2,1
C10014,23,19,3,14,58,26,96,91,16,0,0,16,4,1
C10015,10,8,145,101,48,3,16,13,43,7,3,65,2,0
C10016,15,13,11,16,37,18,47,20,1,0,0,7,1,1
C10017,33,49,19,17,57,28,70,51,8,0,0,28,5,1
C10018,9,1,20,21,9,1,23,26,6,2,0,11,1,0
C10019,18,30,8,17,43,27,86,52,10,0,0,17,4,2
C10020,16,18,9,12,46,32,81,52,6,1,0,20,1,2
C10021,29,26,9,8,35,17,68,47,9,1,1,8,1,0
