prec_id,Emanuel,Wilson,Fioretti,Garcia,Walls
C13036,66,1,3,61,0
C13037,155,18,10,93,6
C13038,112,6,33,91,0
C13039,90,3,10,126,0
C13040,104,8,9,69,0
C13041,123,1,12,92,3
C13042,137,7,56,84,0
C13043,155,2,14,102,2
C13044,279,9,11,64,0
C13045,181,9,22,63,4
C13046,105,2,10,126,1
C13047,107,3,11,100,3
C13048,126,5,23,64,2
C14001,151,5,67,122,3
C14002,131,3,12,166,2
C14003,65,0,6,127,1
C14004,115,4,34,85,3
C14005,85,5,3,182,1
C14006,37,1,5,67,1
C14007,64,4,14,137,0
C14008,69,6,11,122,1
C14009,132,7,40,112,4
C14010,51,1,9,90,3
C14011,65,1,2,64,1
C14012,100,6,19,90,1
C14013,88,0,12,87,1
C14014,74,3,11,99,1
C14015,76,2,8,110,0
C14016,70,5,3,96,0
C14017,99,0,4,119,0
C14018,33,2,7,43,1
C14019,69,5,6,102,1
C14020,40,3,12,82,0
C14021,49,5,6,149,1
C14022,82,6,36,100,5
C14023,97,6,24,84,2
C14024,137,11,52,136,0
C14025,31,1,5,99,0
C14026,25,2,7,88,0
C14027,85,4,8,93,3
C14028,47,3,10,80,1
C14029,71,2,9,92,0
C14030,30,2,3,44,0
C14031,25,2,3,84,0
C15001,48,1,3,177,0
C15002,49,51,6,24,10
C15003,62,55,7,31,6
C15004,56,1,9,153,1
C15005,39,7,1,140,0
C15006,61,3,11,146,2
C15007,72,64,8,32,12
C15008,63,1,4,149,1
C15009,57,3,9,199,4
C15010,55,8,24,157,0
C15011,54,4,12,162,0
C15012,76,1,10,170,1
C15013,41,3,1,136,0
C15014,38,1,3,105,0
C15015,41,5,7,108,0
C15016,66,12,2,134,1
C15017,71,52,4,58,9
C15018,71,49,7,28,8
C15019,64,23,5,116,9
C15020,63,57,3,35,8
C15021,74,40,2,34,10
C15022,54,73,9,27,14
C15023,88,34,4,40,11
C15024,40,51,5,33,14
C16001,40,2,5,136,1
C16002,85,50,16,45,3
C16003,75,55,4,28,6
C16004,69,48,11,37,7
C16005,61,45,7,23,11
C16006,62,60,9,48,9
C16007,53,44,7,53,9
C16008,53,26,8,19,11
C16009,101,54,6,36,13
C16010,84,59,6,27,9
C16011,57,31,5,63,4
C16012,43,39,9,26,12
C16013,50,15,7,71,2
C16014,62,48,5,29,9
C16015,105,50,3,27,10
C16016,78,69,7,28,9
C16017,49,33,0,54,10
C16018,84,37,7,59,8
C16019,72,41,2,43,9
C16020,65,49,7,26,8
C16021,57,52,5,26,6
C16022,55,41,6,41,2
C16023,40,15,7,83,2
C16024,61,28,4,24,14
C16025,106,64,4,34,14
C16026,71,57,6,37,7
C16027,62,53,5,28,12
C16028,84,63,3,45,16
C16029,85,40,2,37,9
C16030,71,60,5,30,9
C16031,83,94,3,39,7
C16032,33,21,4,93,2
C16033,102,65,4,42,8
C16034,80,64,12,24,8
C16035,44,23,2,65,9
C16036,69,46,8,26,6
C17001,60,34,10,102,9
C17002,88,45,4,43,20
C17003,86,62,4,47,17
C17004,130,67,5,57,13
C17005,86,55,12,51,5
C17006,59,44,8,50,10
C17007,55,23,2,48,8
C17008,69,63,6,50,14
C17009,83,72,19,44,11
C17010,102,50,13,64,19
C17011,76,55,6,41,14
C17012,76,37,4,82,4
C17013,85,59,7,27,13
C17014,84,31,3,87,2
C17015,97,68,7,44,13
C17016,52,30,9,58,7
C17017,66,47,10,54,11
C17018,103,77,10,56,23
C17019,49,45,7,27,8
C17020,124,75,19,67,16
C17021,155,74,13,69,24
C17022,90,54,13,45,12
C17023,63,48,3,34,7
C17024,132,91,7,51,12
C17025,62,44,1,36,9
C17026,118,81,9,54,22
C17027,96,58,6,41,11
C17028,88,45,1,47,18
C17029,120,70,7,27,16
C17030,54,25,13,75,7
C17031,59,42,5,36,3
C17032,75,60,6,24,10
C17033,51,58,4,34,7
C17034,73,51,5,38,10
C17035,83,59,8,46,14
C17036,96,68,17,65,12
C17037,74,54,5,42,11
C17038,87,85,9,62,16
C17039,97,66,4,58,9
C17040,80,71,10,51,16
C17041,116,70,12,58,19
C18001,71,29,6,57,17
C18002,75,16,13,93,4
C18003,87,20,25,99,7
C18004,90,67,13,83,23
C18005,88,61,2,27,6
C18006,91,12,28,81,5
C18007,104,62,17,65,17
C18008,113,61,16,68,22
C18009,120,46,13,71,30
C18010,136,60,26,114,19
C18011,75,20,22,71,8
C18012,105,64,12,50,15
C18013,109,63,17,78,23
C18014,110,45,20,69,10
C18015,98,23,17,115,7
C18016,90,46,12,90,23
C18017,75,45,22,85,14
C18018,119,65,20,55,15
C18019,132,53,12,65,15
C18020,111,51,4,56,13
C18021,120,45,27,114,32
C18022,136,76,13,89,30
C18023,66,35,13,64,14
C18024,91,7,11,92,4
C18025,77,9,32,99,1
C18026,121,74,21,103,24
C18027,76,47,14,46,7
C18028,93,15,30,99,5
C18029,93,38,8,82,3
C18030,105,4,20,94,4
C18031,71,45,13,106,18
C18032,127,55,11,57,22
C18033,72,69,5,49,15
C18034,155,76,27,109,12
C18035,153,51,10,94,23
C18036,101,24,23,74,9
C18037,103,43,20,102,24
C18038,112,50,10,68,22
C18039,58,31,4,55,16
C18040,109,23,20,131,9
C18041,122,54,19,81,22
C18042,75,38,11,63,11
C18043,58,7,18,99,1
C18044,87,11,29,106,2
C18045,57,22,15,114,7
C18046,83,9,30,128,4
C18047,58,44,7,42,8
C18048,77,53,9,41,10
C18049,59,38,5,50,9
C18050,80,41,8,45,8
C19001,162,6,48,98,2
C19002,201,44,34,142,12
C19003,93,11,41,92,3
C19004,137,11,95,127,3
C19005,174,28,24,140,9
C19006,97,8,75,154,1
C19007,148,11,37,117,3
C19008,120,10,61,145,1
C19009,128,4,42,79,2
C19010,179,25,27,136,12
C19011,120,15,58,121,4
C19012,88,6,84,95,0
C19013,131,60,28,102,32
C19014,167,22,34,109,10
C19015,145,8,99,164,7
C19016,146,5,69,103,0
C19017,116,7,45,122,1
C19018,121,13,34,135,3
C19019,168,29,43,149,7
C19020,105,18,27,97,9
C19021,147,25,68,107,3
C19022,143,27,43,132,2
C19023,166,11,40,106,3
C19024,112,7,36,99,0
C19025,135,28,36,98,10
C19026,175,23,37,90,3
C19027,124,32,19,123,12
C19028,139,65,24,102,16
C19029,93,8,58,125,6
C19030,103,4,54,96,0
C19031,124,9,45,111,5
C19032,125,7,52,108,1
C19033,113,9,70,126,3
C19034,162,8,35,114,5
C19035,136,15,24,101,5
C19036,152,38,31,97,26
C19037,116,25,29,118,9
C19038,119,23,24,100,16
C19039,34,17,4,22,3
C19040,142,18,39,120,7
C19041,105,6,58,121,0
C19042,98,29,17,102,10
C19043,182,69,16,91,18
C19044,143,6,77,119,1
C19045,141,4,57,130,3
C19046,182,10,45,111,1
C19047,171,47,53,171,16
C19048,131,69,14,80,17
C19049,167,47,20,146,21
C19050,78,9,37,119,3
C19051,187,12,41,132,2
C19052,107,9,67,140,1
C19053,132,12,43,116,7
C19054,88,6,56,95,2
C19055,101,7,62,107,2
C19056,183,29,46,95,13
C19057,111,28,21,112,10
C20001,74,37,4,57,10
C20002,52,28,2,13,11
C20003,82,33,6,47,6
C20004,34,27,6,18,6
C20005,73,67,13,60,11
C20006,43,24,2,22,5
C20007,69,43,11,42,11
C20008,112,60,8,43,11
C20009,119,56,9,77,17
C20010,72,39,5,35,12
C20011,98,61,13,65,17
C20012,50,34,6,27,5
C20013,109,77,4,48,10
C20014,86,42,2,30,9
C20015,26,5,3,107,5
C20016,102,51,12,85,9
C20017,59,25,5,38,6
C20018,78,47,6,26,14
C20019,95,62,5,44,18
C20020,28,16,4,78,0
C20021,63,46,5,40,9
C20022,124,49,14,84,22
C20023,100,70,7,56,16
C20024,85,37,9,71,12
C20025,66,62,7,40,16
C20026,94,41,12,75,15
C20027,54,51,4,25,9
C20028,64,51,6,38,8
C20029,125,98,5,47,19
C20030,55,25,3,20,9
C20031,99,65,6,42,9
C20032,108,64,1,41,10
C20033,63,28,3,38,4
C20034,77,49,12,125,9
C20035,56,39,5,32,8
C20036,34,29,2,13,2
C20037,31,18,0,20,11
C20038,41,23,2,18,5
C20039,8,14,2,11,2
C21001,135,49,15,73,19
C21002,84,52,6,35,6
C21003,111,75,8,52,17
C21004,84,68,12,58,19
C21005,133,72,18,59,22
C21006,89,63,5,52,20
C21007,139,69,13,62,15
C21008,114,73,7,51,15
C21009,128,72,19,70,25
C21010,109,70,8,45,17
C21011,126,64,4,44,17
C21012,96,67,7,62,13
C21013,83,48,10,46,15
C21014,133,85,16,68,18
C21015,89,41,11,49,16
C21016,100,60,10,52,13
C21017,83,46,19,54,14
C21018,121,61,14,51,25
C21019,116,67,9,59,19
C21020,107,44,11,59,19
C21021,82,66,6,50,10
C21022,107,66,8,55,21
C21023,83,76,10,66,13
C21024,118,65,7,54,10
C21025,95,62,10,68,23
C21026,99,53,13,48,10
C21027,111,55,13,73,15
C21028,126,91,7,62,23
C21029,98,61,12,73,22
C21030,89,42,7,38,15
C21031,89,45,9,36,15
C21032,88,66,13,52,22
C21033,108,65,10,42,12
C21034,96,54,9,49,27
C21035,129,57,8,63,17
C21036,127,62,10,61,19
C21037,100,58,9,41,21
C21038,88,44,9,48,11
C21039,90,39,3,38,18
C21040,97,40,10,46,17
C21041,116,61,9,63,25
C21042,119,60,13,74,23
C21043,110,61,11,56,18
C21044,113,50,12,63,17
C21045,103,68,7,59,16
C21046,115,54,11,73,19
C21047,91,60,8,42,18
C21048,111,67,12,51,11
C21049,113,66,16,73,13
C21050,99,45,6,55,16
C21051,126,80,6,51,20
C21052,123,60,8,53,20
C21053,70,43,6,59,17
C21054,89,61,3,37,18
C22001,74,40,3,30,9
C22002,94,7,30,138,2
C22003,36,0,6,225,1
C22004,24,0,3,153,1
C22005,33,1,5,178,0
C22006,33,4,3,206,0
C22007,21,1,3,121,1
C22008,116,8,21,124,3
C22009,17,1,3,160,1
C22010,38,6,5,243,1
C22011,22,2,3,158,1
C22012,78,13,11,126,3
C22013,30,2,6,176,0
C22014,45,14,4,118,3
C22015,25,0,6,128,0
C22016,23,1,2,159,0
C22017,22,2,4,192,0
C22018,30,1,1,149,1
C22019,26,29,2,32,2
C22020,33,1,2,148,0
C22021,100,49,4,108,12
C22022,27,2,2,150,2
C22023,130,92,2,66,22
C22024,26,1,2,233,0
C22025,24,2,4,190,3
C23001,164,7,70,106,4
C23002,119,4,43,102,1
C23003,174,10,61,73,1
C23004,168,5,57,116,0
C23005,73,5,15,103,0
C23006,122,4,22,123,0
C23007,52,0,15,104,1
C23008,132,13,37,126,3
C23009,61,4,6,112,0
C23010,94,4,25,123,5
C23011,59,2,14,150,0
C23012,141,11,67,111,5
C23013,45,5,6,105,0
C23014,129,11,50,87,1
C23015,58,11,9,88,1
C23016,148,3,64,89,1
C23017,27,12,5,84,2
C23018,97,2,57,92,2
C23019,39,9,7,120,1
C23020,38,2,8,83,0
C23021,152,10,74,103,0
C23022,133,5,39,96,2
C23023,129,8,48,89,2
C23024,57,10,7,105,0
C23025,70,5,25,106,0
C23026,117,6,22,127,2
C23027,155,4,68,95,1
C23028,129,9,57,110,1
C23029,117,3,36,90,1
C23030,66,5,17,149,0
C23031,41,5,12,123,1
C23032,68,6,16,142,1
C23033,34,7,11,140,0
C23034,53,4,9,123,3
C23035,93,2,45,85,3
C23036,188,2,65,89,1
C23037,143,9,56,96,2
C23038,124,7,52,82,1
C23039,59,1,11,118,3
C24001,76,73,6,42,7
C24002,63,73,2,43,15
C24003,71,46,14,46,10
C24004,64,62,6,20,8
C24005,39,36,13,38,7
C24006,69,69,7,46,15
C24007,28,6,5,62,1
C24008,51,38,11,38,6
C24009,73,46,7,48,7
C24010,26,28,4,27,8
C24011,74,64,12,53,9
C24012,56,39,9,20,2
C24013,52,39,5,26,6
C24014,62,68,6,40,9
C24015,48,35,5,31,7
C24016,52,17,4,116,3
C24017,50,57,5,29,12
C24018,83,82,10,40,18
C24019,83,70,6,54,8
C24020,73,65,6,32,7
C24021,34,39,9,33,7
C24022,107,84,10,38,15
C24023,70,44,13,44,7
C24024,85,86,11,45,13
C24025,60,68,11,36,13
C24026,125,81,23,57,19
C24027,88,59,19,38,7
C24028,52,54,4,37,16
C24029,66,40,4,38,12
C24030,40,35,1,30,4
C24031,85,50,5,55,11
C24032,50,35,4,27,7
C24033,49,30,3,21,4
C24034,50,85,4,28,10
C24035,82,68,12,34,17
C24036,96,68,14,63,11
C24037,35,32,2,34,6
C24038,52,60,12,53,7
C24039,104,58,7,76,8
C24040,64,69,7,34,11
C24041,66,51,6,29,11
C25001,73,2,10,151,1
C25002,53,6,9,183,1
C25003,105,3,37,58,3
C25004,72,40,24,56,7
C25005,60,2,21,163,1
C25006,57,6,7,30,2
C25007,47,3,7,209,1
C25008,46,5,11,206,1
C25009,52,3,10,215,1
C25010,128,2,22,33,1
C25011,62,4,7,209,3
C25012,56,2,4,187,0
C25013,52,0,1,224,0
C25014,128,6,8,33,5
C25015,90,2,6,167,1
C25016,112,2,26,37,1
C25017,85,18,13,186,2
C25018,205,17,10,59,2
C25019,59,3,6,208,0
C25020,72,53,39,23,5
C25021,143,9,43,62,2
C25022,49,1,3,205,2
C25023,63,3,10,225,1
C25024,38,1,11,212,2
C25025,128,6,32,91,1
C25026,53,6,6,205,1
C25027,91,2,36,53,2
C25028,47,2,5,217,3
C25029,110,44,40,49,9
C25030,52,2,3,185,2
C25031,129,2,21,33,1
C25032,69,6,9,157,1
C26001,57,3,6,100,1
C26002,46,25,7,92,2
C26003,62,4,12,90,0
C26004,62,16,0,60,4
C26005,46,7,3,88,3
C26006,58,6,10,93,0
C26007,30,4,4,82,1
C26008,21,1,4,56,0
C26009,55,5,9,91,2
C26010,34,9,8,97,2
C26011,57,8,5,101,1
C26012,59,12,6,89,1
C26013,51,2,2,54,1
C26014,20,0,5,81,0
C26015,28,7,1,42,4
C26016,35,5,4,51,2
C26017,63,7,24,61,2
C26018,55,7,5,83,1
C26019,32,14,5,48,1
C26020,73,12,6,80,1
C26021,60,23,12,108,8
C26022,43,2,3,58,2
C26023,41,4,3,59,1
C26024,65,2,10,83,1
C26025,45,8,12,95,1
C26026,22,5,5,59,3
C26027,77,12,13,80,3
C26028,103,4,19,91,2
C26029,28,3,2,53,4
C26030,40,5,5,77,4
C26031,41,6,2,46,2
C26032,62,9,25,63,3
C26033,59,12,8,86,2
C26034,71,9,10,102,2
C26035,63,11,8,104,1
C26036,44,6,12,86,0
C26037,46,2,6,95,0
C26038,43,13,2,43,1
C26039,52,1,10,101,5
C26040,35,4,3,31,2
C26041,73,23,12,103,3
C26042,39,3,10,87,1
C26043,38,1,2,51,0
C26044,33,9,3,48,3
C26045,27,9,0,28,0
C26046,37,3,12,45,1
C26047,30,7,5,78,1
C26048,43,4,8,101,0
C26049,27,5,0,65,2
C27001,96,5,13,37,1
C27002,139,41,24,55,2
C27003,40,37,7,25,6
C27004,36,25,19,32,2
C27005,69,39,8,37,7
C27006,95,25,12,29,6
C27007,87,8,17,117,0
C27008,72,47,8,32,6
C27009,57,9,4,22,4
C27010,133,62,28,37,7
C27011,94,7,5,37,2
C27012,83,4,6,22,1
C27013,169,61,11,75,13
C27014,33,35,21,13,5
C27015,62,49,1,20,3
C27016,91,6,13,47,1
C27017,78,38,32,51,9
C27018,74,43,27,26,7
C27019,64,46,7,26,1
C27020,67,34,8,25,7
C27021,118,6,9,26,2
C27022,52,41,1,30,6
C27023,89,57,5,22,4
C27024,50,32,4,52,9
C27025,58,43,28,46,2
C27026,88,45,14,49,10
C27027,89,45,19,31,9
C27028,60,19,5,31,3
C27029,41,40,5,56,8
C27030,44,24,34,17,4
C27031,58,59,6,31,8
C27032,61,31,29,30,10
C27033,80,7,15,55,5
C27034,115,61,3,29,2
C27035,110,2,12,45,3
C27036,65,30,11,32,4
C27037,175,38,11,38,5
C27038,219,38,22,49,23
C27039,64,39,25,38,12
C27040,104,27,11,84,4
C27041,109,68,19,29,9
C27042,82,20,8,32,2
C27043,58,33,24,39,4
C27044,75,47,3,36,11
C27045,113,5,26,61,2
C27046,106,2,5,22,0
C27047,114,37,3,38,14
C27048,134,41,10,53,9
C27049,49,39,24,20,7
C27050,72,43,33,25,9
C28001,47,59,5,18,6
C28002,55,53,4,42,4
C28003,48,45,11,31,5
C28004,65,6,24,42,1
C28005,65,29,15,25,3
C28006,51,22,33,27,4
C28007,67,55,7,33,4
C28008,51,1,13,28,0
C28009,80,58,13,27,9
C28010,94,12,41,52,1
C28011,86,28,38,103,6
C28012,79,50,8,35,14
C28013,82,82,2,19,14
C28014,81,65,7,30,9
C28015,45,26,0,8,6
C28016,52,29,7,16,2
C28017,49,67,4,26,4
C28018,75,41,18,26,4
C28019,46,10,27,80,0
C28020,71,67,7,31,7
C28021,62,55,7,16,16
C28022,57,41,11,33,12
C28023,82,70,10,36,9
C28024,58,46,2,28,9
C28025,72,63,11,67,21
C28026,76,65,6,26,11
C28027,81,9,23,65,2
C28028,105,6,42,49,6
C28029,29,31,9,11,2
C28030,14,13,5,6,1
C28031,108,81,20,44,14
C28032,76,55,7,25,10
C28033,78,68,4,42,11
C28034,99,73,12,61,12
C28035,54,83,23,35,8
C28036,57,23,5,33,9
C28037,90,70,14,46,4
C28038,49,27,3,25,4
C28039,49,49,3,18,3
C28040,100,54,6,38,10
C28041,57,37,3,38,5
C28042,56,71,5,36,13
C28043,80,76,11,27,14
C28044,54,48,7,23,3
C28045,62,7,11,39,2
C28046,90,17,52,116,6
C29001,142,22,36,138,4
C29002,163,96,14,70,29
C29003,123,82,8,45,14
C29004,114,78,10,53,19
C29005,85,67,4,47,16
C29006,74,53,4,46,5
C29007,109,39,20,72,8
C29008,51,48,7,22,8
C29009,140,26,35,136,12
C29010,168,42,37,129,9
C29011,66,34,7,27,5
C29012,120,66,14,69,17
C29013,107,78,9,43,6
C29014,93,91,17,46,22
C29015,121,64,16,58,34
C29016,114,73,12,71,10
C29017,97,53,9,35,10
C29018,108,55,4,49,11
C29019,106,70,14,48,13
C29020,143,96,20,45,18
C29021,113,68,12,42,10
C29022,62,37,18,59,9
C29023,107,21,30,99,4
C29024,93,52,10,34,17
C29025,130,77,19,48,9
C29026,110,58,13,68,19
C29027,92,63,12,52,19
C29028,122,110,9,63,10
C29029,109,6,24,84,0
C29030,159,40,19,112,5
C29031,110,4,38,68,3
C29032,85,4,32,84,4
C29033,109,65,7,44,9
C29034,66,27,15,48,6
C29035,70,50,10,37,9
C29036,104,64,11,38,14
C29037,78,80,8,43,17
C29038,77,7,33,76,6
C29039,76,7,26,77,5
C29040,119,89,16,54,13
C29041,93,66,21,47,11
C29042,98,90,10,42,10
C29043,125,37,28,116,11
C29044,111,105,5,64,20
C30001,71,4,24,88,3
C30002,106,4,12,94,0
C30003,59,2,11,78,1
C30004,76,4,29,69,2
C30005,42,5,10,62,2
C30006,88,7,6,57,1
C30007,73,5,7,106,2
C30008,86,5,14,102,0
C30009,60,10,16,63,5
C30010,88,4,15,82,2
C30011,46,7,5,85,2
C30012,61,5,15,69,2
C30013,71,2,12,67,0
C30014,47,7,3,50,1
C30015,108,8,24,85,1
C30016,30,7,7,41,0
C30017,82,6,29,83,2
C30018,44,5,12,111,0
C30019,38,0,8,99,1
C30020,72,6,9,123,0
C30021,68,6,16,85,2
C30022,57,5,15,108,3
C30023,55,9,9,76,1
C30024,52,8,9,97,2
C30025,78,4,12,103,5
C30026,51,3,9,46,0
C30027,50,2,14,44,2
C30028,93,2,9,99,2
C30029,33,1,3,53,0
C30030,25,0,4,32,0
C30031,56,4,8,67,3
C30032,52,2,15,65,2
C31001,52,3,5,86,1
C31002,61,2,7,68,0
C31003,71,1,10,63,1
C31004,57,2,1,107,4
C31005,70,5,4,81,0
C31006,74,3,7,67,1
C31007,45,1,3,87,2
C31008,49,4,6,41,0
C31009,69,3,7,54,2
C31010,59,3,8,54,1
C31011,52,4,4,52,0
C31012,61,2,6,57,0
C31013,47,3,7,83,2
C31014,64,7,11,46,1
C31015,43,6,11,64,0
C31016,39,2,8,145,4
C31017,66,6,17,75,1
C31018,72,4,4,77,2
C31019,58,3,8,61,0
C31020,64,6,5,55,3
C31021,58,2,8,69,3
C31022,35,1,3,88,0
C31023,51,5,6,70,1
C31024,81,4,8,96,1
C31025,46,3,8,59,2
C31026,80,4,4,83,3
C31027,69,2,4,90,2
C31028,50,3,6,56,1
C31029,100,9,7,78,3
C31030,43,1,0,46,3
C31031,53,5,14,79,0
C31032,44,2,8,70,0
C31033,48,2,12,72,0
C31034,56,10,11,57,0
C31035,69,2,10,90,1
C31036,73,2,17,82,1
C31037,64,3,6,63,2
C31038,56,3,2,67,0
C31039,33,4,6,102,1
C31040,49,3,12,81,4
C31041,50,1,0,75,1
C32001,99,4,15,64,2
C32002,93,3,19,53,2
C32003,93,6,22,162,2
C32004,114,5,31,62,1
C32005,107,0,31,71,2
C32006,97,5,12,49,0
C32007,108,7,17,62,3
C32008,109,2,11,42,1
C32009,110,3,17,81,1
C32010,112,9,13,60,0
C32011,72,6,10,152,1
C32012,66,6,13,128,3
C32013,114,4,16,38,1
C32014,63,2,21,119,1
C32015,96,9,17,75,0
C32016,85,3,22,104,3
C32017,75,6,22,139,2
C32018,118,1,12,40,0
C32019,68,4,16,79,2
C32020,61,10,13,180,4
C32021,122,2,20,97,5
C32022,86,8,20,166,4
C32023,110,2,30,68,0
C32024,62,3,10,24,0
C32025,92,2,16,74,1
C32026,85,0,26,140,1
C32027,127,6,5,58,1
C32028,75,7,14,137,3
C32029,107,5,14,112,0
C32030,112,5,6,33,0
C32031,110,4,16,59,1
C32032,104,3,21,73,0
C32033,115,5,20,54,2
C32034,73,8,20,82,0
C32035,97,0,14,64,1
C32036,104,6,19,53,1
C32037,57,5,20,72,3
C32038,90,1,12,66,1
C32039,116,5,8,43,1
C32040,128,1,15,70,1
C32041,111,10,6,64,2
C32042,91,4,18,68,2
C32043,77,1,12,122,3
C33001,86,11,18,152,2
C33002,138,17,15,168,8
C33003,94,10,17,184,2
C33004,106,4,18,155,1
C33005,102,3,21,89,1
C33006,101,4,16,116,3
C33007,130,13,21,133,7
C33008,208,12,36,203,4
C33009,141,6,15,131,3
C33010,168,18,18,106,5
C33011,103,5,17,151,2
C33012,119,2,18,148,4
C33013,75,5,19,143,7
C33014,37,3,8,68,0
C33015,124,11,25,172,1
C33016,183,19,22,184,5
C33017,124,11,21,157,5
C33018,93,8,17,184,5
C33019,94,10,16,117,7
C33020,125,13,25,153,2
C33021,119,8,15,145,4
C33022,180,6,14,154,1
C33023,118,14,22,154,8
C33024,222,15,43,207,3
C33025,131,19,17,160,7
C33026,54,5,12,124,3
C33027,83,10,13,113,2
C33028,74,10,13,113,3
C34001,145,53,10,81,15
C34002,114,60,2,51,16
C34003,130,48,9,53,15
C34004,89,48,3,53,12
C34005,108,39,12,58,12
C34006,136,81,12,57,25
C34007,154,61,7,55,19
C34008,67,51,9,45,13
C34009,83,70,7,32,4
C34010,121,65,9,56,6
C34011,90,50,5,37,16
C34012,128,57,7,76,18
C34013,100,90,8,56,17
C34014,82,56,11,25,15
C34015,78,49,6,29,13
C34016,80,63,6,40,7
C34017,148,62,9,69,19
C34018,86,55,4,35,10
C34019,104,63,10,43,18
C34020,168,70,11,64,13
C34021,155,82,18,74,16
C34022,135,50,6,54,20
C34023,101,57,6,43,6
C34024,92,50,7,50,14
C34025,133,78,4,62,19
C34026,130,71,9,52,13
C34027,88,69,6,36,18
C34028,80,49,7,17,6
C34029,74,65,4,39,17
C34030,127,68,11,59,20
C34031,87,55,4,22,11
C34032,119,63,6,36,11
C34033,91,69,8,29,9
C34034,121,57,7,64,22
C34035,110,64,8,56,21
C34036,92,75,11,67,10
C34037,66,46,3,30,8
C34038,69,49,6,20,2
C34039,78,50,7,31,21
C34040,113,68,10,58,12
C34041,85,42,10,28,14
C34042,122,60,6,69,18
C34043,116,53,12,53,17
C34044,132,62,7,46,13
C34045,155,39,8,48,18
C34046,89,36,9,39,5
C34047,113,59,1,35,14
C34048,120,76,5,76,23
