prec_id,black,hispanic,asian,white,other
C04019,736,11,3,0,11
C04020,151,34,132,352,9
C04021,180,76,32,443,22
C04022,473,21,14,257,29
C04023,358,29,83,469,41
C04024,529,19,17,115,23
C04025,81,42,107,424,17
C04026,747,12,1,20,26
C04027,373,70,67,287,36
C04028,427,11,232,40,20
C04029,659,6,6,14,12
C04030,943,16,5,7,10
C04031,650,25,31,129,34
C04032,693,31,5,27,19
C04033,694,19,22,102,24
C04034,607,15,2,34,13
C04035,770,8,113,42,25
C04036,718,17,76,35,12
C04037,110,37,94,469,25
C04038,627,20,154,41,23
C05001,586,6,0,9,12
C05002,594,2,0,4,9
C05003,134,47,88,446,36
C05004,568,33,45,138,26
C05005,691,9,1,18,12
C05006,600,8,1,10,9
C05007,243,42,168,215,26
C05008,52,28,151,494,31
C05009,391,50,97,284,31
C05010,562,9,2,3,21
C05011,273,67,69,356,31
C05012,527,14,0,8,7
C05013,577,13,9,11,19
C05014,668,13,0,16,9
C05015,422,21,45,182,22
C05016,653,9,0,17,13
C05017,648,8,0,1,7
C05018,347,76,40,174,26
C05019,168,44,142,350,42
C05020,483,45,58,207,29
C05021,216,39,84,361,37
C05022,379,30,92,311,27
C05023,365,56,72,606,43
C05024,213,59,104,378,36
C05025,638,18,1,24,25
C05026,662,13,3,8,9
C05027,35,48,122,452,34
C05028,727,22,0,35,16
C05029,776,9,0,18,15
C05030,495,14,1,2,13
C05031,594,2,1,1,3
C05032,722,26,16,44,19
C05033,767,5,0,7,12
C05034,32,55,119,641,34
C05035,195,70,93,392,39
C05036,554,3,0,3,8
C05037,260,33,76,404,17
C05038,678,5,1,1,12
C05039,135,24,148,280,24
C05040,578,2,0,11,13
C05041,182,19,45,184,15
C06001,714,4,0,2,11
C06002,667,9,0,4,8
C06003,686,7,1,4,3
C06004,487,4,0,0,8
C06005,447,2,0,0,1
C06006,634,10,0,1,6
C06007,601,4,0,4,7
C06008,684,2,0,2,7
C06009,612,13,0,0,3
C06010,414,6,0,2,4
C06011,616,4,2,2,5
C06012,474,5,0,1,3
C06013,500,2,0,4,7
C06014,579,5,0,15,7
C06015,563,1,0,4,5
C06016,693,24,0,2,9
C06017,487,5,0,1,1
C06018,461,6,0,6,2
C06019,613,0,0,1,5
C06020,384,3,0,1,8
C06021,402,5,0,3,3
C06022,445,6,0,0,2
C06023,412,6,0,0,6
C06024,425,9,0,1,2
C06025,391,0,0,1,4
C06026,475,4,0,1,9
C06027,389,3,0,0,4
C06028,359,1,0,1,2
C06029,715,2,1,3,15
C06030,531,2,0,0,7
C06031,654,4,0,1,7
C06032,613,6,0,2,3
C06033,651,2,0,4,14
C06034,651,4,0,1,7
C06035,610,8,0,1,3
C06036,689,7,1,0,17
C06037,684,13,1,6,9
C06038,699,7,0,0,16
C06039,596,6,0,0,6
C06040,552,4,2,3,13
C06041,654,7,0,3,15
C06042,650,8,1,1,5
C06043,555,4,0,3,9
C06044,668,8,0,1,10
C06045,686,9,0,0,7
C06046,460,3,0,4,16
C06047,503,9,0,1,3
C06048,628,9,0,1,12
C07001,541,5,0,1,3
C07002,532,13,0,4,10
C07003,579,9,0,2,12
C07004,603,9,1,5,5
C07005,478,19,0,12,11
C07006,658,14,6,35,19
C07007,521,11,0,8,4
C07008,508,10,3,17,14
C07009,949,8,0,12,33
C07010,620,19,0,2,8
C07011,652,6,0,5,15
C07012,568,6,0,3,7
C07013,385,7,4,7,5
C07014,588,11,0,12,7
C07015,618,7,0,6,20
C07016,488,4,0,7,15
C07017,474,18,0,5,7
C07018,465,5,1,12,10
C07019,565,5,0,1,16
C07020,427,9,0,1,3
C07021,414,32,0,7,5
C07022,333,116,3,20,9
C07023,620,28,0,3,6
C07024,557,24,0,1,9
C07025,385,138,0,19,10
C07026,509,6,0,5,8
C07027,502,7,0,6,9
C07028,334,80,1,12,5
C07029,492,6,0,7,5
C07030,352,77,0,13,12
C07031,299,81,0,6,4
C07032,858,6,0,8,6
C07033,819,9,0,4,3
C07034,692,17,0,3,6
C07035,472,79,3,14,11
C07036,738,13,0,3,3
C07037,647,31,3,15,8
C07038,471,7,0,1,11
C07039,544,0,0,2,14
C07040,570,1,0,1,6
C07041,570,4,1,2,4
C07042,545,9,0,1,9
C07043,545,22,1,6,13
C07044,494,40,0,6,2
C07045,523,60,0,12,9
C07046,268,32,1,3,5
C08001,467,5,0,2,6
C08002,590,10,1,5,15
C08003,729,9,0,3,9
C08004,690,8,0,0,21
C08005,717,7,0,1,14
C08006,623,14,2,6,11
C08007,715,14,14,6,13
C08008,658,1,3,1,3
C08009,435,7,0,3,8
C08010,766,16,2,9,21
C08011,569,5,0,5,15
C08012,541,12,0,5,15
C08013,698,13,0,2,7
C08014,449,4,0,0,5
C08015,573,4,0,2,7
C08016,214,5,0,2,1
C08017,566,3,0,4,5
C08018,565,7,0,0,4
C08019,747,6,6,3,9
C08020,671,17,2,6,3
C08021,739,13,4,2,6
C08022,568,5,0,0,5
C08023,514,7,0,4,2
C08024,394,2,0,1,3
C08025,599,6,0,2,4
C08026,606,15,0,4,7
C08027,661,21,0,8,16
C08028,635,8,0,8,9
C08029,714,4,2,11,13
C08030,684,12,1,2,20
C08031,508,4,0,1,5
C08032,521,2,0,1,2
C08033,626,1,0,5,11
C08034,597,4,0,2,1
C08035,702,14,0,3,2
C08036,637,19,0,6,15
C08037,550,5,1,6,7
C08038,433,1,0,0,2
C08039,641,7,0,7,13
C08040,503,4,0,0,2
C08041,619,4,0,0,12
C08042,762,12,0,2,14
C08043,325,7,0,0,9
C08044,428,6,0,1,5
C08045,593,3,0,1,4
C08046,480,2,0,2,4
C08047,531,8,0,4,3
C08048,570,11,0,2,9
C08049,579,12,0,2,11
C08050,672,5,0,7,10
C08051,681,11,0,2,2
C08052,797,12,1,8,25
C08053,366,1,0,2,4
C08054,500,7,0,3,9
C08055,454,1,0,4,3
C08056,655,4,0,0,12
C09001,627,10,0,3,9
C09002,534,4,0,1,11
C09003,488,2,0,0,4
C09004,497,7,0,2,2
C09005,569,7,0,0,3
C09006,601,2,0,0,8
C09007,346,90,1,4,5
C09008,563,10,0,2,8
C09009,694,2,0,0,7
C09010,508,8,0,1,8
C09011,449,5,0,2,3
C09012,636,8,0,5,8
C09013,672,8,0,3,13
C09014,786,4,0,4,7
C09015,549,6,0,2,6
C09016,542,18,0,4,3
C09017,489,3,0,2,5
C09018,426,1,0,3,5
C09019,581,8,0,2,11
C09020,693,5,0,0,0
C09021,526,9,0,1,1
C09022,671,0,0,3,2
C09023,662,8,1,1,15
C09024,615,8,2,13,16
C09025,592,3,0,2,10
C09026,486,26,0,10,6
C09027,554,4,0,3,14
C09028,202,156,0,6,3
C09029,558,5,0,0,3
C09030,531,0,0,0,3
C09031,344,146,0,7,6
C09032,556,9,0,0,5
C09033,467,5,0,1,3
C09034,498,4,0,3,5
C09035,609,3,0,0,1
C09036,535,1,0,0,4
C09037,278,226,1,218,15
C09038,582,5,0,1,11
C09039,617,0,0,4,5
C09040,679,3,0,3,8
C09041,505,3,0,4,12
C09042,670,3,0,3,6
C09043,560,4,0,3,2
C09044,543,7,0,0,10
C09045,476,1,0,2,6
C09046,534,37,0,34,15
C09047,710,0,0,1,1
C09048,652,4,0,0,9
C09049,630,3,2,3,3
C09050,830,5,0,1,17
C09051,603,4,1,4,13
C10001,346,220,0,14,4
C10002,9,253,2,280,4
C10003,33,222,4,298,4
C10004,242,235,0,22,6
C10005,12,265,0,184,5
C10006,20,412,3,87,2
C10007,34,349,0,38,4
C10008,313,93,0,3,2
C10009,14,287,1,277,5
C10010,14,409,2,241,4
C10011,11,603,1,106,5
C10012,6,303,5,98,4
C10013,159,477,0,24,12
C10014,13,586,3,208,6
C10015,1119,17,0,12,14
C10016,41,233,1,158,7
C10017,23,357,0,361,8
C10018,139,222,0,8,3
C10019,8,384,2,227,6
C10020,11,479,1,175,3
C10021,33,528,1,99,4
C10022,20,307,0,26,4
C10023,12,485,1,100,0
C10024,18,269,4,296,6
C10025,91,89,0,8,4
C10026,54,361,1,28,6
C10027,283,258,1,14,9
C10028,8,592,0,126,5
C10029,11,461,0,74,1
C10030,12,525,0,46,2
C10031,34,388,0,40,2
C10032,11,440,3,141,3
C10033,7,377,0,51,2
C10034,168,220,1,7,2
C10035,0,397,9,287,9
C10036,69,84,0,7,0
C11001,42,153,220,250,11
C11002,61,7,1,14,2
C11003,31,264,24,220,16
C11004,6,207,276,122,4
C11005,62,292,171,227,11
C11006,48,109,116,361,29
C11007,200,84,197,315,33
C11008,6,225,228,141,3
C11009,6,172,233,170,4
C11010,5,69,405,128,4
C11011,23,160,198,240,12
C11012,20,175,37,760,12
C11013,13,205,27,600,13
C11014,4,20,256,88,3
C11015,11,64,122,90,1
C11016,0,66,269,136,4
C11017,26,267,132,278,9
C11018,0,85,308,175,5
C11019,13,423,98,263,14
C11020,7,83,212,167,3
C11021,8,237,111,543,17
C11022,9,177,289,352,15
C11023,3,101,135,180,6
C11024,4,219,125,522,16
C11025,20,224,88,323,19
C11026,6,198,168,454,7
C11027,1,32,184,37,1
C11028,32,101,34,180,4
C11029,7,208,149,384,13
C11030,2,9,303,24,1
C11031,4,160,134,333,3
C11032,1,44,74,224,2
C11033,57,65,134,262,22
C11034,47,20,88,84,6
C11035,61,15,97,72,0
C11036,7,16,202,58,4
C11037,18,4,194,8,1
C11038,15,199,6,70,4
C12001,2,507,26,106,11
C12002,9,398,62,44,1
C12003,11,437,94,178,6
C12004,8,448,62,118,3
C12005,9,240,204,102,4
C12006,16,399,88,70,4
C12007,31,473,3,30,6
C12008,6,389,140,116,9
C12009,9,278,129,86,5
C12010,18,595,2,16,6
C12011,5,510,53,22,3
C12012,10,482,27,38,4
C12013,4,489,45,59,2
C12014,11,493,0,8,2
C12015,31,474,0,7,2
C12016,4,528,0,5,1
C12017,8,477,72,58,1
C12018,7,482,0,16,0
C12019,9,450,52,72,4
C12020,5,580,17,61,2
C12021,28,464,47,67,6
C12022,12,534,0,13,1
C12023,4,430,66,103,2
C13001,1,257,5,227,5
C13002,0,178,3,342,1
C13003,1,344,5,51,1
C13004,4,178,11,382,5
C13005,4,548,2,110,2
C13006,0,180,4,374,0
C13007,5,340,3,122,0
C13008,1,201,0,207,6
C13009,11,413,1,88,0
C13010,2,98,3,367,6
C13011,6,230,8,368,4
C13012,7,323,8,142,7
C13013,4,397,1,181,3
C13014,9,362,5,142,2
C13015,6,671,9,189,3
C13016,8,350,0,65,2
C13017,12,248,0,231,5
C13018,0,152,0,264,3
C13019,71,556,10,45,2
C13020,0,106,1,222,2
C13021,2,155,4,457,5
C13022,1,199,4,361,1
C13023,7,348,0,77,0
C13024,3,373,3,124,2
C13025,21,360,4,182,10
C13026,7,336,4,260,10
C13027,4,237,1,282,3
C13028,8,371,2,72,4
C13029,0,323,0,120,1
C13030,10,367,0,40,1
C13031,2,188,3,366,8
C13032,0,148,4,346,0
C13033,0,182,1,303,2
C13034,6,599,5,91,2
C13035,2,414,0,81,1
C13036,9,245,5,60,1
C13037,67,410,4,152,11
C13038,0,170,0,285,0
C13039,1,438,3,122,2
C13040,4,321,0,133,2
C13041,21,506,4,49,0
C13042,0,132,4,401,2
C13043,7,356,9,234,8
C13044,18,709,6,96,2
C13045,11,343,1,311,6
C13046,7,540,8,92,7
C13047,20,498,3,62,1
C13048,0,140,2,332,1
C14001,1,194,4,444,5
C14002,3,575,19,166,2
C14003,6,566,4,32,1
C14004,0,152,0,321,0
C14005,51,698,1,27,1
C14006,1,275,0,11,0
C14007,2,481,3,102,3
C14008,6,449,1,125,3
C14009,1,289,3,337,5
C14010,3,329,26,35,1
C14011,4,333,1,12,0
C14012,4,371,11,142,4
C14013,8,366,15,81,1
C14014,11,500,0,26,1
C14015,11,575,3,28,1
C14016,2,331,56,44,0
C14017,5,487,4,28,0
C14018,4,132,4,75,0
C14019,6,506,0,34,1
C14020,4,326,9,39,2
C14021,4,501,1,32,0
C14022,11,288,5,308,2
C14023,0,214,5,219,2
C14024,0,227,2,411,5
C14025,1,322,4,26,1
C14026,1,361,0,17,0
C14027,9,374,10,120,3
C14028,1,297,1,73,2
C14029,18,440,2,21,1
C14030,1,267,0,15,0
C14031,3,282,14,21,0
C15001,5,525,3,18,2
C15002,371,4,0,0,3
C15003,357,32,0,1,7
C15004,5,507,5,36,0
C15005,21,474,5,21,3
C15006,2,509,2,55,2
C15007,462,8,0,2,9
C15008,4,493,3,32,0
C15009,13,627,11,43,3
C15010,7,598,29,63,2
C15011,19,547,17,53,2
C15012,3,579,11,57,4
C15013,17,464,1,21,2
C15014,25,414,1,13,2
C15015,33,463,2,15,2
C15016,67,474,2,20,2
C15017,430,15,0,3,4
C15018,440,11,0,1,4
C15019,86,374,1,30,1
C15020,380,8,0,2,3
C15021,399,28,0,1,1
C15022,473,1,0,1,5
C15023,451,30,0,2,3
C15024,409,2,0,0,5
C16001,17,510,1,27,3
C16002,390,135,0,1,4
C16003,409,24,0,0,5
C16004,397,24,0,8,13
C16005,411,10,1,0,8
C16006,466,23,0,3,3
C16007,286,169,0,7,3
C16008,229,127,0,2,2
C16009,516,10,0,0,8
C16010,453,15,0,4,3
C16011,267,190,0,8,2
C16012,307,90,0,3,3
C16013,118,323,2,9,1
C16014,407,5,0,3,1
C16015,515,15,1,1,1
C16016,506,6,0,1,0
C16017,147,294,4,9,5
C16018,343,151,0,11,2
C16019,385,89,0,9,2
C16020,413,12,0,1,7
C16021,381,16,4,5,5
C16022,367,56,1,4,4
C16023,71,374,0,10,0
C16024,323,16,0,0,2
C16025,528,5,0,0,4
C16026,436,1,0,2,4
C16027,446,5,0,0,1
C16028,504,3,1,1,10
C16029,464,5,0,2,5
C16030,416,5,0,0,6
C16031,530,8,0,0,8
C16032,82,388,0,19,3
C16033,490,6,0,1,5
C16034,472,5,0,1,6
C16035,148,305,0,13,5
C16036,373,2,0,0,8
C17001,113,379,3,32,3
C17002,530,2,0,0,0
C17003,522,29,0,16,1
C17004,742,2,2,0,5
C17005,495,12,0,2,7
C17006,388,104,1,14,5
C17007,175,268,0,16,3
C17008,484,66,0,13,8
C17009,569,6,1,5,8
C17010,617,15,0,1,1
C17011,487,15,0,1,7
C17012,233,362,2,43,5
C17013,486,1,0,5,8
C17014,205,326,2,38,4
C17015,615,4,0,3,9
C17016,230,224,1,28,6
C17017,435,60,6,17,8
C17018,649,0,0,0,1
C17019,360,2,0,1,5
C17020,729,6,0,2,8
C17021,750,3,5,1,16
C17022,515,4,0,2,3
C17023,379,5,0,0,4
C17024,699,4,0,3,9
C17025,364,37,1,40,5
C17026,662,16,0,2,10
C17027,571,8,3,1,0
C17028,503,3,0,0,3
C17029,570,10,0,1,8
C17030,88,327,1,42,0
C17031,379,5,0,1,4
C17032,481,6,0,0,6
C17033,387,11,0,3,4
C17034,441,6,0,0,1
C17035,494,3,0,1,2
C17036,641,22,2,3,2
C17037,494,16,0,0,7
C17038,625,3,0,0,5
C17039,549,13,0,8,6
C17040,597,2,0,4,6
C17041,669,4,0,0,4
C18001,275,191,0,36,8
C18002,86,356,4,58,6
C18003,100,204,2,184,6
C18004,596,19,6,29,5
C18005,405,16,0,1,4
C18006,105,154,6,197,5
C18007,342,175,1,89,6
C18008,544,30,0,61,5
C18009,460,45,5,94,12
C18010,736,33,6,46,4
C18011,149,261,1,82,0
C18012,524,35,4,20,5
C18013,501,88,4,61,12
C18014,561,31,2,28,16
C18015,209,339,11,103,11
C18016,551,32,0,21,7
C18017,231,289,1,63,3
C18018,553,11,0,21,4
C18019,627,3,0,0,3
C18020,534,9,1,0,1
C18021,637,79,1,56,10
C18022,725,37,1,12,10
C18023,365,141,1,27,7
C18024,24,327,4,150,6
C18025,29,311,7,166,1
C18026,726,13,0,45,12
C18027,327,106,2,30,1
C18028,42,188,2,276,11
C18029,237,240,7,73,5
C18030,21,380,9,151,5
C18031,382,221,0,19,5
C18032,621,10,3,1,18
C18033,492,22,0,5,9
C18034,688,39,4,82,11
C18035,632,41,0,51,9
C18036,173,190,6,202,5
C18037,567,54,0,57,9
C18038,586,5,0,5,8
C18039,276,130,1,24,7
C18040,149,379,16,138,2
C18041,633,36,1,27,5
C18042,314,139,1,36,2
C18043,34,285,2,130,9
C18044,40,257,5,186,5
C18045,91,388,3,37,1
C18046,44,416,2,130,3
C18047,327,68,4,23,4
C18048,444,21,1,17,9
C18049,333,68,0,15,0
C18050,392,47,7,19,3
C19001,16,30,0,523,2
C19002,505,42,5,331,23
C19003,0,20,1,386,1
C19004,13,37,2,582,1
C19005,252,41,1,446,18
C19006,16,40,4,510,1
C19007,56,30,3,487,7
C19008,9,49,3,527,5
C19009,90,50,10,287,7
C19010,223,42,6,486,19
C19011,3,37,2,476,1
C19012,12,39,3,402,5
C19013,703,10,0,81,31
C19014,269,26,4,414,9
C19015,18,69,10,598,11
C19016,7,49,4,518,3
C19017,6,29,2,488,5
C19018,117,27,1,461,4
C19019,165,25,7,606,14
C19020,388,41,1,148,11
C19021,15,40,7,482,8
C19022,160,36,8,440,10
C19023,19,25,4,553,4
C19024,2,25,1,408,0
C19025,121,29,4,440,15
C19026,71,41,1,502,1
C19027,349,37,7,274,26
C19028,662,19,1,87,20
C19029,3,61,2,448,6
C19030,3,33,2,442,3
C19031,108,20,0,438,11
C19032,25,39,2,480,3
C19033,1,28,2,510,5
C19034,73,10,4,520,11
C19035,122,30,5,401,9
C19036,549,29,2,231,30
C19037,274,35,7,335,7
C19038,386,24,6,208,9
C19039,68,36,4,124,4
C19040,185,38,6,449,16
C19041,3,23,2,471,7
C19042,263,17,7,236,15
C19043,810,23,11,57,13
C19044,0,29,1,575,6
C19045,33,48,3,492,11
C19046,11,24,2,587,2
C19047,541,140,3,306,23
C19048,745,11,1,27,16
C19049,660,43,3,156,18
C19050,103,18,1,355,4
C19051,17,27,2,669,6
C19052,10,53,1,507,4
C19053,76,41,1,435,6
C19054,3,32,2,365,2
C19055,19,36,2,402,2
C19056,229,31,0,443,9
C19057,188,38,4,337,12
C20001,506,4,0,5,10
C20002,248,24,0,3,2
C20003,472,6,1,1,4
C20004,159,80,18,5,4
C20005,581,6,0,7,7
C20006,294,8,0,3,2
C20007,535,3,0,3,10
C20008,577,6,0,1,4
C20009,661,18,4,24,14
C20010,460,2,0,0,3
C20011,714,5,0,3,11
C20012,378,3,0,1,2
C20013,638,7,0,1,12
C20014,375,5,2,4,3
C20015,46,439,3,20,3
C20016,461,18,45,116,19
C20017,166,154,0,9,6
C20018,459,8,0,0,2
C20019,607,4,0,9,14
C20020,64,317,0,16,1
C20021,405,51,0,6,5
C20022,655,24,11,45,27
C20023,629,1,0,1,7
C20024,443,16,25,64,11
C20025,459,25,0,3,6
C20026,476,16,29,92,17
C20027,372,4,0,5,6
C20028,404,8,0,0,7
C20029,666,11,12,5,5
C20030,298,4,0,2,0
C20031,665,6,0,4,8
C20032,566,23,0,4,8
C20033,348,4,0,3,3
C20034,304,58,113,307,29
C20035,503,2,1,2,3
C20036,200,1,0,0,9
C20037,219,1,0,0,1
C20038,201,22,9,13,4
C20039,91,1,0,0,0
C21001,646,15,0,2,22
C21002,463,4,0,0,5
C21003,642,7,0,0,11
C21004,629,6,0,1,5
C21005,696,9,0,2,14
C21006,552,6,0,3,1
C21007,689,1,1,0,4
C21008,629,1,0,0,8
C21009,713,0,0,2,4
C21010,583,7,0,0,3
C21011,620,7,0,4,5
C21012,604,1,0,0,4
C21013,532,3,0,0,5
C21014,755,2,0,2,4
C21015,538,3,0,0,12
C21016,591,4,1,2,7
C21017,548,9,0,3,6
C21018,690,3,0,1,13
C21019,643,5,0,0,8
C21020,566,9,0,0,10
C21021,528,9,0,4,9
C21022,607,2,0,1,1
C21023,559,6,1,3,7
C21024,599,3,0,0,6
C21025,569,11,0,0,15
C21026,583,3,0,2,6
C21027,619,11,0,1,7
C21028,739,7,0,2,2
C21029,655,4,0,0,7
C21030,499,4,0,0,3
C21031,458,0,0,0,1
C21032,588,8,0,0,1
C21033,619,6,0,0,2
C21034,597,2,0,2,7
C21035,647,4,0,0,11
C21036,658,6,0,0,6
C21037,528,0,0,4,0
C21038,577,3,0,0,3
C21039,472,10,0,0,3
C21040,514,3,0,3,7
C21041,624,3,1,11,5
C21042,665,6,0,3,11
C21043,665,5,0,1,7
C21044,582,13,0,4,1
C21045,589,7,0,1,2
C21046,654,2,0,2,11
C21047,565,1,0,0,5
C21048,585,3,0,3,4
C21049,675,3,0,1,1
C21050,540,7,0,1,3
C21051,634,5,0,1,5
C21052,637,2,0,0,14
C21053,473,6,0,2,5
C21054,549,1,0,0,0
C22001,341,45,0,2,1
C22002,4,346,7,251,0
C22003,0,742,0,13,1
C22004,2,475,1,7,1
C22005,5,563,0,11,1
C22006,2,560,0,11,0
C22007,1,399,0,10,1
C22008,45,422,17,177,1
C22009,0,480,0,7,1
C22010,0,734,0,24,2
C22011,1,457,0,7,1
C22012,68,375,21,60,5
C22013,3,559,1,15,2
C22014,64,392,0,18,0
C22015,1,436,2,7,1
C22016,0,506,0,15,0
C22017,10,555,0,9,0
C22018,10,488,0,10,1
C22019,228,32,0,6,0
C22020,1,523,0,10,0
C22021,628,63,0,3,9
C22022,13,471,0,6,6
C22023,679,100,0,3,4
C22024,0,676,0,11,2
C22025,2,576,0,4,1
C23001,13,129,3,484,1
C23002,8,162,7,345,4
C23003,0,154,1,381,2
C23004,0,244,2,405,7
C23005,16,456,3,64,1
C23006,11,488,7,148,2
C23007,4,424,1,56,0
C23008,12,336,4,300,2
C23009,24,405,7,46,1
C23010,5,498,6,128,4
C23011,8,561,0,68,0
C23012,0,153,3,420,2
C23013,2,402,0,26,0
C23014,1,133,9,338,6
C23015,32,400,2,31,3
C23016,3,155,0,381,8
C23017,45,318,0,26,1
C23018,15,155,3,310,7
C23019,36,408,0,30,2
C23020,4,336,0,25,0
C23021,1,149,0,422,8
C23022,0,186,2,369,4
C23023,1,157,4,395,3
C23024,2,375,6,72,0
C23025,9,332,1,129,1
C23026,12,404,7,160,2
C23027,7,219,31,292,6
C23028,3,247,18,304,6
C23029,1,217,3,242,6
C23030,21,512,6,80,3
C23031,39,374,1,43,2
C23032,37,494,0,60,5
C23033,1,500,4,47,2
C23034,10,471,0,36,2
C23035,2,120,3,262,2
C23036,2,155,3,403,15
C23037,0,127,2,385,2
C23038,7,167,0,318,1
C23039,1,455,4,58,0
C24001,460,30,0,4,5
C24002,537,8,0,0,1
C24003,484,33,0,4,6
C24004,483,10,0,1,6
C24005,324,9,0,0,3
C24006,521,17,0,13,5
C24007,63,203,4,17,2
C24008,308,8,0,0,2
C24009,515,12,0,11,4
C24010,271,12,1,1,2
C24011,577,27,0,3,7
C24012,352,9,0,1,5
C24013,315,5,0,2,1
C24014,486,14,0,11,7
C24015,326,4,0,0,1
C24016,355,134,1,73,1
C24017,434,12,0,5,2
C24018,593,4,0,2,4
C24019,615,6,1,1,3
C24020,452,2,0,0,0
C24021,286,4,0,2,1
C24022,684,8,0,7,7
C24023,454,12,0,17,3
C24024,654,12,1,1,8
C24025,482,15,0,4,3
C24026,714,23,0,5,11
C24027,513,29,1,29,1
C24028,405,14,0,4,4
C24029,345,45,0,6,8
C24030,295,2,0,0,1
C24031,575,15,0,5,1
C24032,314,4,0,0,1
C24033,285,9,0,1,4
C24034,468,3,1,5,6
C24035,500,15,1,4,11
C24036,634,17,0,9,5
C24037,320,5,0,0,4
C24038,387,23,6,21,5
C24039,333,260,0,21,8
C24040,503,19,6,9,1
C24041,397,6,1,10,2
C25001,5,528,7,63,4
C25002,28,558,8,93,9
C25003,36,34,66,427,21
C25004,344,41,50,120,12
