prec_id,amer_indian,asian,black,hispanic,other,polyracial,white
buncombe_62.1,6,13,24,28,53,8,66
buncombe_63.1,1,1,6,4,11,2,50
buncombe_64.1,4,9,33,24,43,8,58
buncombe_65.1,10,16,25,34,59,17,65
buncombe_66.1,3,2,29,34,58,9,65
buncombe_67.1,3,5,16,17,49,10,63
buncombe_68.1,8,13,39,47,63,15,70
buncombe_681,8,0,5,2,9,0,47
buncombe_69.1,6,10,32,34,62,10,70
buncombe_7.1,3,5,31,19,39,8,64
buncombe_70.1,7,18,29,36,60,17,69
buncombe_71.1,7,21,23,30,69,9,72
buncombe_8.2,8,11,46,44,61,20,66
buncombe_8.3,6,14,47,27,53,13,65
buncombe_9.1,11,11,41,43,68,15,69
burke_0029-A,1,22,19,10,17,2,54
burke_0029-B,2,1,7,3,10,2,55
burke_0047-A,3,12,32,13,29,7,55
burke_0047-B,2,8,34,10,19,3,48
burke_1,2,26,25,28,33,2,61
burke_11,4,32,17,23,28,4,58
burke_12,6,7,5,5,25,1,56
burke_13,5,26,15,17,30,4,58
burke_14,1,21,5,12,20,4,56
burke_15,0,25,9,11,22,2,56
burke_18,1,1,1,0,6,0,47
burke_19,0,0,13,6,6,1,49
burke_20,2,0,23,2,10,1,46
burke_21,2,16,10,8,18,1,59
burke_22,2,24,16,10,19,1,56
burke_24,1,23,13,12,29,2,56
burke_3,2,9,11,8,12,1,49
burke_31,7,4,38,40,32,10,59
burke_34,1,13,32,25,34,6,54
burke_35,4,7,35,34,20,8,51
burke_36,0,20,18,23,22,3,58
burke_38,2,20,34,27,29,3,58
burke_39,7,17,36,36,35,6,55
burke_40,3,18,27,15,20,6,54
burke_48,2,12,25,21,31,4,54
burke_51,4,37,39,26,49,6,61
burke_52,5,24,29,4,32,3,54
burke_53,2,20,14,17,31,2,56
burke_62,0,2,10,3,6,1,49
burke_64,1,5,1,2,13,0,50
burke_65,2,8,6,6,20,0,50
burke_66,2,22,31,21,21,2,58
burke_70,3,12,16,12,21,2,60
cabarrus_36586,6,29,42,46,68,21,67
cabarrus_36647,6,13,28,28,35,6,63
cabarrus_36678,5,7,10,24,16,5,54
cabarrus_36708,5,3,9,3,14,1,54
cabarrus_36739,4,4,30,22,42,5,62
cabarrus_36770,2,7,22,21,33,7,60
cabarrus_36800,19,10,42,38,59,16,75
cabarrus_43832,6,5,30,43,37,6,62
cabarrus_43834,8,43,48,41,65,20,73
cabarrus_43836,9,34,45,42,60,11,58
cabarrus_43837,4,21,36,27,42,8,55
cabarrus_43838,9,21,45,63,62,17,69
cabarrus_43839,5,4,20,7,22,1,57
cabarrus_43840,10,25,40,45,57,9,66
cabarrus_43862,8,14,44,52,48,12,61
cabarrus_43863,10,27,48,73,74,18,65
cabarrus_43864,6,28,57,68,79,18,70
cabarrus_43866,12,26,40,47,58,16,70
cabarrus_43867,12,22,56,64,60,17,64
cabarrus_43868,6,24,36,34,49,8,59
cabarrus_43869,13,40,59,79,75,24,76
cabarrus_43870,17,49,54,75,77,24,71
cabarrus_43922,8,8,52,48,45,15,60
cabarrus_43923,4,14,48,52,39,12,57
cabarrus_43924,7,10,45,48,38,9,59
cabarrus_43925,4,2,42,35,27,5,51
cabarrus_43926,5,12,35,43,32,7,56
cabarrus_43927,3,7,50,43,34,11,54
cabarrus_43928,1,5,36,31,30,4,55
cabarrus_43929,8,6,32,36,31,5,53
cabarrus_43930,3,16,44,33,43,8,65
cabarrus_43931,6,18,47,50,53,10,65
cabarrus_44136,9,14,46,80,57,21,67
cabarrus_44137,7,5,35,35,38,10,63
cabarrus_44166,2,1,32,22,18,5,48
cabarrus_44167,8,1,52,56,46,13,54
cabarrus_44168,4,21,40,44,46,8,58
cabarrus_44169,11,11,49,56,44,14,61
cabarrus_44170,1,9,27,22,28,4,64
cabarrus_44171,4,3,42,37,28,9,49
cabarrus_44172,1,3,49,30,29,12,42
cabarrus_44173,3,3,41,52,31,8,57
cabarrus_44174,3,2,43,48,35,10,63
cabarrus_44175,2,4,20,16,18,7,51
cabarrus_44176,2,9,41,44,34,12,55
cabarrus_44177,4,8,38,45,34,7,59
caldwell_PR01,3,3,41,36,29,10,58
caldwell_PR02,2,7,26,5,16,5,56
caldwell_PR07,0,0,13,6,16,1,58
caldwell_PR08,1,0,13,3,12,1,56
caldwell_PR13,2,10,7,9,27,1,67
caldwell_PR14,4,8,27,32,34,3,66
caldwell_PR16,3,6,37,24,31,6,51
caldwell_PR17,1,13,20,16,20,2,60
caldwell_PR18,2,14,28,21,36,8,64
caldwell_PR21,6,3,16,16,28,5,61
caldwell_PR22,4,5,23,28,42,7,65
caldwell_PR24,3,3,15,25,17,3,59
caldwell_PR25,4,3,11,13,19,4,59
caldwell_PR29,5,11,35,39,37,10,67
caldwell_PR30,5,5,78,56,56,21,111
caldwell_PR31,0,2,51,24,30,6,89
caldwell_PR32,0,3,25,7,29,3,107
caldwell_PR33,9,12,39,61,59,8,126
caldwell_PR34,4,18,28,32,64,7,119
caldwell_PR35,1,1,11,18,27,3,64
camden_CH,6,14,38,9,44,9,62
camden_SH,4,10,32,6,31,4,61
camden_SM,4,5,35,10,42,6,63
carteret_ABCH,6,7,5,13,30,7,67
carteret_ATSL,1,0,0,4,9,1,82
carteret_BCRK,5,2,21,10,34,7,61
carteret_BFT1,0,9,36,12,33,5,67
carteret_BFT2,3,5,35,25,36,7,68
carteret_BOGU,4,7,28,24,46,10,66
carteret_CCCP,3,19,13,25,42,3,74
carteret_CISL,2,0,0,0,1,1,31
carteret_DASW,1,2,0,0,10,1,106
carteret_EMIS,6,14,11,15,48,6,71
carteret_HAIS,1,3,1,1,9,1,52
carteret_IBSP,0,0,2,4,10,0,46
carteret_MASM,1,3,3,2,14,0,81
carteret_MCRK,3,0,3,7,11,1,44
carteret_MERR,0,1,14,1,10,0,46
carteret_MHD1,4,14,42,22,47,10,69
carteret_MHD2,4,16,39,19,53,6,73
carteret_MHD3,3,10,31,21,45,6,70
carteret_MHD4,2,12,11,14,40,1,69
carteret_NPT1,10,13,35,31,51,12,72
carteret_NPT2,9,12,34,37,36,7,68
carteret_NRIV,2,0,40,1,13,2,37
carteret_OTBE,6,3,3,4,30,5,97
carteret_PELE,5,4,8,10,25,0,57
carteret_PKNL,2,3,5,6,17,2,56
carteret_STEL,3,2,24,15,28,5,56
carteret_WIHA,7,4,33,13,34,7,109
carteret_WILD,9,19,34,31,38,9,67
caswell_ANDE,1,1,31,6,21,4,49
caswell_LEAS,1,2,31,3,13,1,46
caswell_LOCU,3,2,45,14,24,4,51
caswell_MILT,1,2,44,6,25,5,52
caswell_PELH,5,7,38,20,31,6,62
caswell_PH,1,2,57,16,32,3,97
caswell_PROVI,2,0,27,3,9,1,50
caswell_STON,4,1,40,18,40,9,56
caswell_YANC,4,5,78,14,40,5,99
catawba_1,4,18,23,23,36,4,61
catawba_10,1,3,33,18,18,2,43
catawba_11,2,13,27,26,24,8,54
catawba_12,6,17,45,32,35,8,52
catawba_13,3,21,42,34,37,5,58
catawba_14,0,7,16,9,17,6,56
catawba_15,3,7,45,20,16,4,30
catawba_16,4,16,39,40,41,5,63
catawba_17,5,25,37,37,38,11,54
catawba_19,1,20,28,20,19,2,52
catawba_2,4,13,20,16,25,2,55
catawba_20,3,21,34,30,40,10,59
catawba_21,3,3,20,13,25,2,59
catawba_22,2,32,36,45,36,6,63
catawba_23,3,22,37,29,52,8,61
catawba_24,3,32,30,29,52,15,59
catawba_25,5,20,39,54,39,9,56
catawba_26,1,11,29,14,26,6,61
catawba_27,5,34,30,33,41,8,59
catawba_28,5,30,36,64,52,13,59
catawba_29,3,18,22,35,35,5,60
catawba_3,3,26,30,23,37,1,58
catawba_30,5,33,44,53,63,17,60
catawba_31,3,6,36,26,46,12,66
catawba_32,3,32,39,55,45,8,58
catawba_33,8,41,35,60,55,13,64
catawba_34,3,30,33,46,48,8,64
catawba_35,3,29,43,43,44,9,60
catawba_36,0,18,31,14,30,6,58
catawba_37,1,21,42,43,45,7,63
catawba_38,2,22,28,39,47,9,61
catawba_39,1,19,19,16,31,4,55
catawba_4,1,15,27,17,25,3,51
catawba_40,0,16,37,45,31,5,55
catawba_41,6,7,22,29,45,10,65
catawba_5,5,17,32,29,33,7,59
catawba_6,3,24,26,15,30,5,55
catawba_7,2,29,38,50,42,12,61
catawba_8,4,28,23,29,37,4,62
catawba_9,2,15,31,30,29,5,59
chatham_15,2,13,30,20,40,12,70
chatham_18,4,4,38,25,37,9,62
chatham_20,10,5,37,20,40,6,67
chatham_21,2,5,18,10,33,4,66
chatham_24,1,0,11,6,15,1,55
chatham_3,5,4,30,21,32,3,63
chatham_30,4,2,36,28,35,2,62
chatham_42,4,10,25,9,43,7,64
chatham_45,1,2,26,8,23,3,60
chatham_6,0,2,13,2,14,1,55
chatham_75,4,37,42,32,65,9,71
chatham_78,3,25,32,35,63,14,78
chatham_85,9,7,45,68,48,12,67
chatham_9,2,1,29,19,32,1,67
chatham_ESC114,9,12,49,82,61,21,70
chatham_MCH110,9,31,42,54,83,21,83
chatham_NWM117,7,43,46,66,77,27,79
chatham_PIT113,15,25,51,65,82,20,83
cherokee_ANNW,15,8,10,11,20,2,59
cherokee_ANSW,9,4,17,13,19,3,53
cherokee_BELL,4,4,3,10,10,1,53
cherokee_BRAS,5,2,1,7,6,2,49
cherokee_CSON,7,4,5,6,8,2,49
cherokee_GCRK,14,0,0,4,4,1,42
cherokee_HANG,3,0,0,4,6,0,54
cherokee_HIWA,9,0,6,15,10,1,55
cherokee_HOTH,3,3,5,6,17,3,53
cherokee_MARB,8,3,9,6,17,1,59
cherokee_MURN,13,9,29,16,29,5,55
cherokee_MURS,17,10,16,20,32,5,62
cherokee_PCHT,13,4,10,20,20,6,58
cherokee_RGER,7,3,10,13,12,3,56
cherokee_TOPT,2,0,0,0,5,0,45
cherokee_UNKA,1,1,1,1,3,1,49
chowan_1,2,4,48,8,31,5,53
chowan_2,2,6,47,9,35,11,60
chowan_3,5,0,24,4,21,2,51
chowan_4,2,2,37,4,29,2,46
chowan_5,1,0,25,4,14,3,47
chowan_6,0,1,33,5,25,1,53
clay_BRAS,2,0,2,2,13,0,54
clay_HAY1,2,1,11,10,25,1,54
clay_HAY2,1,3,6,12,21,5,59
clay_HAYC,1,0,7,4,11,0,49
clay_HIAW,3,1,10,8,21,0,57
clay_SHCR,1,6,2,4,21,0,52
clay_SWEE,3,0,0,4,5,2,50
clay_TUSQ,0,1,1,3,7,0,52
clay_WARN,2,1,5,2,12,0,49
cleveland_BETHWR,2,9,26,13,29,2,51
cleveland_BR,4,10,54,29,62,8,110
cleveland_CASAR,1,1,1,5,16,1,49
cleveland_FALSTN,2,2,18,6,16,7,52
cleveland_GROVER,3,14,44,12,40,13,57
cleveland_KINGST,0,1,34,2,13,2,43
cleveland_KM N,7,17,87,24,73,15,122
cleveland_KM S,5,25,79,29,64,6,110
cleveland_LATT,2,2,37,20,35,6,53
cleveland_LAWNDL,2,1,32,10,15,3,53
cleveland_MRB-YO,3,1,22,6,20,2,50
cleveland_MULLS,2,1,18,15,15,0,62
cleveland_OAKGRV,6,8,31,38,44,7,63
cleveland_POLKVL,2,2,30,13,27,4,63
cleveland_RIPPY,5,4,45,25,33,14,62
cleveland_S 4A,4,9,79,51,59,20,107
cleveland_S 5,2,6,44,14,31,4,53
cleveland_S C,14,24,131,60,117,40,157
cleveland_S S,7,17,92,63,73,19,112
cleveland_SHANGI,5,7,36,15,24,8,58
cleveland_WACO,5,11,38,15,43,7,61
columbus_P01A,18,6,37,9,26,7,48
columbus_P02B,37,7,34,7,12,8,41
columbus_P03,4,2,22,7,15,0,46
columbus_P04,1,0,27,3,4,1,40
columbus_P05,1,0,14,3,4,0,44
columbus_P06,7,1,30,2,7,0,46
columbus_P07,21,6,51,12,40,8,55
columbus_P08,5,0,7,5,2,1,43
columbus_P09,4,0,33,4,14,3,48
columbus_P10,4,0,9,7,3,0,51
columbus_P11,4,0,20,5,15,2,49
columbus_P12,2,0,0,0,0,0,33
columbus_P13,3,1,15,11,8,0,47
columbus_P14,22,4,43,17,42,11,55
columbus_P15,11,1,40,2,23,2,51
columbus_P16B,33,10,31,2,23,5,112
columbus_P17,23,1,38,8,22,6,46
columbus_P18,3,0,28,1,11,0,46
columbus_P19,11,5,43,13,37,6,52
columbus_P20A,8,1,49,4,30,5,49
columbus_P21,11,5,33,4,21,6,49
columbus_P22A,14,1,38,13,27,3,55
columbus_P23,17,5,42,13,29,7,56
columbus_P24,3,1,32,7,18,2,51
columbus_P25B,6,1,21,3,18,0,54
columbus_P26B,10,4,50,10,28,3,79
craven_10,0,0,35,12,17,0,49
craven_11,11,5,34,24,45,6,59
craven_12,0,1,8,6,8,2,47
craven_13,0,1,27,4,16,1,50
craven_14,11,3,47,21,48,14,61
craven_15,2,1,31,14,19,1,46
craven_16,4,16,46,43,57,9,67
craven_17,5,18,33,35,41,9,60
craven_19,9,13,47,35,45,12,58
craven_2,30,68,98,158,141,55,133
craven_20,3,3,29,18,41,6,64
craven_21,3,8,34,17,35,10,58
craven_23,7,19,43,51,59,9,63
craven_3,2,17,19,14,47,4,66
craven_4,1,6,41,14,26,3,49
craven_5,2,8,31,23,44,4,60
craven_6,2,15,47,16,24,5,52
craven_7,4,3,47,21,29,5,57
craven_8,0,2,33,9,16,4,54
craven_9,0,1,31,0,11,0,41
craven_N1,8,11,43,19,41,8,59
craven_N2,3,10,50,29,39,13,52
craven_N3,7,23,44,25,34,5,60
craven_N4,10,35,49,58,63,16,63
craven_N5,5,20,52,37,41,7,53
craven_N6,6,34,42,35,55,16,68
cumberland_AH49,11,28,62,71,63,21,65
cumberland_AL51,38,18,57,57,69,12,68
cumberland_CC01,13,15,61,41,55,19,51
cumberland_CC03,10,14,47,59,57,18,57
cumberland_CC04,4,8,41,34,38,11,63
cumberland_CC05,8,8,61,41,55,14,50
cumberland_CC06,6,10,40,29,45,10,59
cumberland_CC07,4,4,25,24,36,9,60
cumberland_CC08,3,14,35,20,24,1,59
cumberland_CC10,7,15,50,35,32,6,50
cumberland_CC12,3,15,25,20,37,3,65
cumberland_CC13,10,9,63,37,40,21,49
cumberland_CC14,20,36,48,61,78,21,61
cumberland_CC15,22,30,45,40,52,16,64
cumberland_CC16,4,4,59,31,42,13,26
cumberland_CC17,17,13,58,47,52,12,50
cumberland_CC18,14,17,42,39,41,9,59
cumberland_CC19,12,5,52,20,36,13,27
cumberland_CC21,18,20,59,59,65,32,67
cumberland_CC24,6,27,51,55,52,15,56
cumberland_CC25,6,27,51,67,58,17,68
cumberland_CC26,13,38,55,81,69,25,65
cumberland_CC27,20,32,56,88,76,30,66
cumberland_CC29,16,21,56,70,61,21,61
cumberland_CC31,15,12,50,56,51,18,61
cumberland_CC32,6,14,50,51,49,16,53
cumberland_CC33,10,23,51,62,64,20,61
cumberland_CC34,13,44,47,54,66,10,60
cumberland_CL57-1,12,29,61,83,69,22,61
cumberland_CL57-2,13,16,59,72,65,23,60
cumberland_CU02,28,17,50,61,59,17,64
cumberland_EO61-1,21,13,47,32,53,14,63
cumberland_EO61-2,18,5,47,25,37,8,60
cumberland_G10A,31,47,53,90,74,28,70
cumberland_G10B,29,14,49,59,65,21,67
cumberland_G10C,36,29,48,63,65,23,70
cumberland_G11A-1,10,25,62,82,64,22,58
cumberland_G11A-2,12,29,63,75,63,21,64
cumberland_G11B,18,36,55,96,77,28,74
cumberland_G1A,42,19,54,41,49,17,57
cumberland_G1B,35,17,52,60,66,18,70
cumberland_G2A,15,33,60,72,69,30,69
cumberland_G2B,21,31,61,86,68,34,73
cumberland_G2C-1,10,20,49,55,53,17,64
cumberland_G2C-2,9,30,53,73,67,26,67
cumberland_G2D,12,33,57,75,71,25,73
cumberland_G2E-1,11,14,57,54,48,17,61
cumberland_G2E-2,10,16,59,60,58,18,54
cumberland_G3A-1,32,19,58,85,62,21,67
cumberland_G3A-2,35,17,57,61,61,23,71
cumberland_G3B,24,9,51,36,37,12,53
cumberland_G3C,15,6,39,33,39,6,59
cumberland_G4A,13,10,52,50,52,13,58
cumberland_G4B,22,8,48,56,48,11,60
cumberland_G4C,23,18,54,56,51,13,61
cumberland_G5A-1,13,21,58,55,61,22,56
cumberland_G5A-2,13,22,52,61,59,16,61
cumberland_G5B-1,14,24,64,73,65,20,60
cumberland_G5B-2,10,27,61,63,66,22,57
cumberland_G5C,19,15,58,54,61,16,54
cumberland_G6A,39,7,48,39,59,15,67
cumberland_G6B,8,1,29,9,21,4,54
cumberland_G6C,21,3,47,29,45,13,65
cumberland_G7A,11,5,38,18,31,6,56
cumberland_G7B,10,3,37,12,21,6,58
cumberland_G8A,24,23,55,78,66,23,64
cumberland_G8B,16,33,50,68,68,14,66
cumberland_G8C,25,15,50,68,52,17,63
cumberland_G8D,20,19,46,71,59,12,70
cumberland_G9A,20,22,50,65,67,15,67
cumberland_G9B-1,36,23,60,63,68,20,71
cumberland_G9B-2,38,22,58,70,76,24,64
cumberland_LI65,17,23,48,43,63,21,68
cumberland_LR63,20,27,59,94,78,31,62
cumberland_MB62,10,21,55,77,58,20,59
cumberland_MR02,16,28,53,84,62,25,60
cumberland_SH77,30,13,47,52,50,8,57
currituck_CB,2,0,0,1,5,0,42
currituck_CH,9,10,29,23,39,7,66
currituck_CI,1,0,0,2,6,0,47
currituck_CJ,1,3,31,3,19,6,52
currituck_GW,0,0,0,1,1,0,48
