prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
harnett_PR16,889,78,484,7,12,
harnett_PR07,1117,98,613,11,25,
harnett_PR25,626,14,626,2,5,
harnett_PR23,721,36,355,3,4,
hoke_61,348,24,651,0,3,
hoke_15,506,46,739,6,13,
hoke_12,1359,88,804,8,18,
hoke_3,188,15,344,1,3,
hoke_4,387,11,281,1,8,
hoke_1,124,7,102,0,0,
hoke_5,493,34,463,2,5,
hoke_2,452,38,629,1,9,
hoke_62,242,16,326,2,2,
hoke_14,855,91,1435,3,26,
hoke_63,488,44,1328,0,17,
hoke_06B,1211,106,1166,2,11,
hoke_13,547,20,282,1,14,
hoke_64,548,33,680,0,10,
hoke_65,12,4,496,0,1,
johnston_PR04,390,6,151,0,1,
johnston_PR37,918,37,291,2,8,
johnston_PR23A,841,55,258,5,15,
johnston_PR35,552,31,249,3,2,
johnston_PR08,716,7,93,0,4,
johnston_PR22,856,17,239,3,7,
johnston_PR23B,800,48,285,1,11,
johnston_PR13,590,19,142,0,8,
johnston_PR26,171,9,299,1,3,
johnston_PR38,720,9,108,2,4,
johnston_PR33,965,49,251,3,11,
johnston_PR36,930,24,269,0,6,
johnston_PR07,1007,21,221,2,6,
johnston_PR14,618,24,112,1,10,
martin_HS,43,1,78,0,1,
martin_CR,241,4,135,0,0,
martin_J,460,8,190,2,7,
martin_W,268,8,68,1,3,
martin_BG,574,17,106,0,4,
martin_HM,152,9,197,0,0,
martin_PP,70,2,38,0,0,
martin_ABSENTEE,125,6,96,0,1,
martin_GN,187,11,221,0,1,
martin_R2,194,2,322,0,2,
martin_GR,405,13,103,0,1,
martin_W1,299,10,326,1,8,
martin_R1,150,8,246,0,2,
martin_W2,245,7,341,0,2,
jackson_GLV,780,23,288,3,11,
jackson_CFK,244,10,136,2,5,
jackson_SAV,503,24,250,4,18,
jackson_ABSENTEE,260,17,258,0,14,
jackson_SSW,875,69,826,7,28,
jackson_SND,877,76,792,16,22,
jackson_RIV,327,17,167,3,6,
jackson_CAN,217,8,85,1,4,
jackson_BCK,559,21,257,1,10,
jackson_CURBSIDE OS,48,0,57,0,0,
jackson_SCC,622,33,361,6,17,
jackson_QUA,917,79,838,11,33,
jackson_CURBSIDE ED,20,1,18,0,0,
jackson_GCK,423,24,252,3,10,
jackson_CUL,1668,262,2086,41,67,
jackson_WEB,644,50,610,8,16,
jackson_CAS,812,22,388,4,11,
johnston_PR31A,374,21,135,2,8,
johnston_PR34,552,39,398,3,25,
johnston_PR12B,542,51,275,1,8,
johnston_PR10A,242,25,269,6,6,
johnston_PR09,594,40,276,1,13,
johnston_PR29A,556,62,229,3,18,
johnston_PR27B,381,21,225,2,5,
johnston_PR10B,315,27,122,1,6,
johnston_PR25,320,23,303,0,3,
johnston_PR20,760,28,398,2,6,
johnston_PR11A,406,30,186,3,7,
johnston_PR21,744,13,120,0,4,
johnston_PR27A,185,10,173,0,3,
johnston_PR28,543,32,226,2,7,
johnston_PR30,562,26,304,1,16,
johnston_PR12A,500,52,235,1,12,
johnston_PR32,582,34,201,0,11,
johnston_PR24,258,14,357,1,8,
johnston_PR31B,681,43,273,0,14,
johnston_PR29B,834,61,372,3,22,
johnston_PR11B,463,39,277,0,13,
johnston_PR19,567,7,159,1,1,
hertford_WN,70,2,137,0,1,
hertford_UN,139,5,140,0,3,
hertford_CM,120,1,89,0,4,
hertford_A1,187,11,295,0,2,
hertford_A2,228,8,217,0,3,
hertford_SJ,107,2,203,0,1,
hertford_OS AHOSKIE,566,18,1887,0,6,
hertford_ML,213,6,54,0,1,
hertford_BR,23,1,114,0,0,
hertford_HV,146,3,192,0,4,
hertford_CO,33,0,135,0,3,
hertford_M2,61,6,204,0,0,
hertford_OS MBORO,413,32,1343,0,3,
hertford_M1,178,16,377,0,4,
hertford_A3,14,3,286,0,1,
hertford_OS BOE,548,13,1093,0,4,
hertford_MAIL ABSENTEE,41,6,131,0,4,
lenoir_I,803,21,335,0,2,
lenoir_K3,152,8,639,2,0,
lenoir_K6,158,15,1100,2,4,
lenoir_K8,9,3,627,1,0,
lenoir_K2,15,13,527,0,1,
lenoir_K5,210,16,668,3,11,
lenoir_C,792,37,679,1,6,
lenoir_MH,1270,41,1157,3,18,
lenoir_N,1446,24,674,1,9,
lenoir_K7,205,7,996,1,1,
lenoir_K1,3,8,492,0,7,
lenoir_CURBSIDE,140,2,464,0,0,
lenoir_PH2,656,12,122,0,5,
lenoir_T1,745,15,156,0,4,
lenoir_ABSENTEE,282,6,223,0,2,
lenoir_FC,2062,50,780,3,19,
lenoir_W,681,15,133,0,4,
lenoir_SW,583,9,121,0,0,
lenoir_K9,468,21,851,0,5,
lenoir_K4,863,41,815,1,23,
lenoir_T2,541,5,89,0,6,
lenoir_V,678,16,754,1,10,
lenoir_SH,407,7,100,0,2,
lenoir_PH1,374,6,80,0,4,
halifax_HAL,63,0,149,0,1,
halifax_RR 3,232,6,99,0,2,
halifax_ONE-STOP HALIFAX,878,25,3774,0,11,
halifax_RR 9,178,4,353,0,1,
halifax_FAUCT,275,3,115,0,3,
halifax_RR 10,431,18,229,0,5,
halifax_ONE-STOP SCOTLAND NECK,411,15,1261,0,3,
halifax_HOL,75,6,791,0,6,
halifax_BUTWD,88,1,81,0,1,
halifax_RRC,352,14,169,0,1,
halifax_ABSENTEE,171,14,246,0,4,
halifax_ENF1,122,6,697,0,1,
halifax_RR 4,212,13,68,0,3,
halifax_RR 7,69,5,178,0,0,
halifax_LIT 1,132,7,381,0,3,
halifax_WEL1-2,125,5,286,0,0,
halifax_RR 5,230,6,68,0,1,
halifax_WEL 3,151,6,292,0,4,
halifax_RR1-2,166,16,126,0,1,
halifax_SN,140,4,379,0,2,
halifax_RR 11,403,16,192,0,4,
halifax_LIT 2,321,11,181,0,4,
halifax_HPR,152,3,187,0,2,
halifax_ONE-STOP ROANOKE RAPIDS,3469,75,4214,0,31,
halifax_CONC,32,2,88,0,1,
halifax_RINGW,55,4,508,0,0,
halifax_ENF 2,44,1,529,0,2,
haywood_SA,834,43,481,5,11,
haywood_PC,566,13,167,5,4,
haywood_WW,615,38,400,2,10,
haywood_WS-1,765,38,618,7,17,
haywood_P,1270,49,435,9,17,
haywood_BE-7,606,27,171,1,5,
haywood_BE-2,471,27,223,1,11,
haywood_BC,12,1,4,0,0,
haywood_FC-1,305,11,145,2,2,
haywood_EF,583,17,176,7,9,
haywood_CE,237,5,47,0,0,
haywood_BE-4,742,36,320,2,11,
haywood_CL-N,885,40,440,3,23,
haywood_CURBSIDE,196,7,221,0,1,
haywood_WE,600,35,419,2,11,
haywood_WO,108,6,71,1,2,
haywood_LJ,620,47,578,3,15,
haywood_ABSENTEE,563,24,457,2,7,
haywood_AC,862,37,456,3,15,
haywood_JC,1286,60,648,8,16,
haywood_IH,1524,79,791,15,29,
haywood_FC-2,73,5,30,1,0,
haywood_CR,619,21,400,7,10,
haywood_BE-3,839,38,359,5,15,
haywood_BE56,675,42,435,8,9,
haywood_HA,343,17,235,1,5,
haywood_WC,180,27,211,2,5,
macon_11,498,17,129,1,6,
macon_8,123,6,25,0,1,
macon_2,136,6,47,0,3,
macon_5,355,17,87,1,3,
macon_10,134,10,37,0,2,
macon_ABSENTEE,561,30,324,3,8,
macon_13,262,7,33,2,0,
macon_3,262,17,91,0,14,
macon_9,307,13,125,1,7,
macon_6,315,12,93,0,3,
macon_OSBOE,6681,235,2858,24,115,
macon_4,263,14,77,0,9,
macon_1,215,17,90,1,8,
macon_14,195,7,43,0,3,
macon_15,379,12,133,0,12,
macon_12,337,13,111,0,10,
macon_OSHOS,694,18,455,1,19,
macon_7,317,10,97,2,4,
mcdowell_NEBO,1495,23,446,1,15,
mcdowell_N.COVE,449,15,104,0,4,
mcdowell_FORT 2,555,13,172,2,6,
mcdowell_CCREEK,1320,38,480,0,24,
mcdowell_DYSART,1148,29,278,3,16,
mcdowell_43894,415,16,161,1,8,
mcdowell_WEST M,1699,37,530,0,28,
mcdowell_GLENWD,946,22,214,0,10,
mcdowell_43891,1344,63,488,0,26,
mcdowell_PLEASA,1211,30,352,1,23,
mcdowell_T.COVE,472,5,76,0,1,
mcdowell_M.COVE,920,17,204,1,10,
mcdowell_43893,416,12,133,4,5,
mcdowell_43892,497,24,465,0,23,
mcdowell_43895,400,10,164,2,5,
mcdowell_HIGGIN,636,12,167,0,6,
mcdowell_FORT 1,645,30,233,0,19,
mecklenburg_217,803,78,914,7,43,
mecklenburg_223.1,1595,162,2884,11,55,
mecklenburg_220,1314,66,815,3,23,
mecklenburg_135,540,72,3712,19,44,
mecklenburg_240,2405,139,1633,12,47,
mecklenburg_CURBSIDE 21-40,299,7,1796,1,7,
mecklenburg_4,309,34,1057,7,10,
mecklenburg_31,56,18,1441,2,12,
mecklenburg_18,594,46,576,1,28,
mecklenburg_50,394,95,812,4,20,
mecklenburg_94,357,24,858,4,7,
mecklenburg_91,1525,106,1400,5,50,
mecklenburg_97,159,32,758,5,15,
mecklenburg_71,610,43,554,1,37,
mecklenburg_65,443,39,534,0,17,
mecklenburg_68,357,43,794,3,23,
mecklenburg_142,2199,163,1694,8,50,
mecklenburg_147,358,50,1809,8,17,
mecklenburg_148,2875,258,3812,14,89,
mecklenburg_221,1973,100,970,5,31,
mecklenburg_88,774,84,968,11,29,
mecklenburg_89,1186,77,2751,11,28,
mecklenburg_39,65,15,1393,1,9,
mecklenburg_41,132,20,1412,3,5,
mecklenburg_128,634,74,1310,4,37,
mecklenburg_123,283,37,1321,10,17,
mecklenburg_115,269,39,752,5,8,
mecklenburg_7,315,60,837,10,17,
mecklenburg_20,522,101,1071,2,42,
mecklenburg_234,983,79,1161,8,23,
mecklenburg_239,587,66,1599,3,22,
mecklenburg_236,1986,84,920,5,28,
mecklenburg_CURBSIDE 41-60,386,18,938,5,3,
mecklenburg_5,148,39,767,6,19,
mecklenburg_139.1,1219,84,1117,2,28,
mecklenburg_103,1162,107,1106,9,40,
mecklenburg_63,248,40,1118,5,17,
mecklenburg_80,464,36,1444,5,18,
mecklenburg_58,625,59,824,8,34,
mecklenburg_53,148,30,1836,4,11,
mecklenburg_34,396,67,1108,7,17,
mecklenburg_33,259,46,950,12,19,
mecklenburg_110,477,38,504,2,15,
mecklenburg_90,568,46,571,2,16,
mecklenburg_82,72,22,1781,4,17,
mecklenburg_83,587,52,1521,12,26,
mecklenburg_222,890,101,3456,13,43,
mecklenburg_212,1090,175,4979,27,61,
mecklenburg_214,570,55,1765,8,25,
mecklenburg_215,1184,100,1080,6,40,
mecklenburg_132,300,32,864,9,10,
mecklenburg_241,2029,192,1951,11,48,
mecklenburg_119,453,60,565,2,18,
mecklenburg_100,884,66,992,15,35,
mecklenburg_101,831,67,823,6,22,
mecklenburg_42,72,14,1609,3,4,
mecklenburg_49,631,61,932,4,35,
mecklenburg_22,1195,225,3013,15,71,
mecklenburg_15,437,121,1687,11,25,
mecklenburg_12,89,36,1450,5,32,
mecklenburg_25,27,13,1352,3,11,
mecklenburg_28,185,45,1178,10,11,
mecklenburg_203,710,95,2756,10,37,
mecklenburg_206,1249,143,2474,8,57,
mecklenburg_229,2213,190,3005,14,55,
mecklenburg_201,1293,127,3010,17,48,
mecklenburg_17,96,26,1128,5,16,
mecklenburg_6,166,36,1197,11,18,
mecklenburg_1,383,48,645,1,21,
mecklenburg_92,935,92,1000,3,59,
mecklenburg_54,103,28,1681,5,16,
mecklenburg_35,469,60,730,0,22,
mecklenburg_73,525,52,661,2,37,
mecklenburg_62,199,25,1093,2,9,
mecklenburg_67,474,45,507,5,18,
mecklenburg_209,1676,108,1388,8,44,
mecklenburg_224,717,40,985,2,11,
mecklenburg_226,1122,113,1283,7,32,
mecklenburg_141,741,135,2296,31,59,
mecklenburg_146,337,56,2190,8,33,
mecklenburg_CURBSIDE 61-80,53,0,109,1,0,
mecklenburg_95,218,33,979,4,11,
mecklenburg_98,190,33,1301,0,7,
mecklenburg_121,1512,111,1179,3,45,
mecklenburg_127,1658,157,1480,2,47,
mecklenburg_69,1451,108,1299,8,61,
mecklenburg_75,1066,87,1015,5,50,
mecklenburg_72,482,54,574,3,18,
mecklenburg_78.1,277,48,912,5,12,
mecklenburg_51,647,105,1193,12,23,
mecklenburg_104,141,26,1780,7,17,
mecklenburg_105,484,68,2112,17,34,
mecklenburg_102,734,82,1987,9,36,
mecklenburg_130,288,38,717,6,7,
mecklenburg_59,329,47,568,4,20,
mecklenburg_56,30,14,870,0,3,
mecklenburg_36,678,74,960,6,32,
mecklenburg_8,748,84,876,4,44,
mecklenburg_231,1062,79,1682,6,23,
mecklenburg_202,2850,237,2418,26,59,
mecklenburg_CURBSIDE 1-20,346,14,2379,2,2,
mecklenburg_213,319,49,2625,9,20,
mecklenburg_211,1434,173,4687,21,66,
mecklenburg_210,363,46,3455,15,32,
mecklenburg_150,734,71,1474,7,33,
mecklenburg_204.1,508,76,2863,13,24,
mecklenburg_145,2222,221,3997,15,90,
mecklenburg_125,187,22,643,4,8,
mecklenburg_122,1200,159,2256,11,49,
mecklenburg_86,774,50,628,1,29,
mecklenburg_87,805,90,1062,10,24,
mecklenburg_114,1040,87,973,4,34,
mecklenburg_112,842,68,689,1,26,
mecklenburg_81,415,33,2185,7,16,
mecklenburg_9,638,122,1486,2,26,
mecklenburg_40,159,20,1349,2,16,
mecklenburg_140,1724,127,1781,7,55,
mecklenburg_207,2042,155,1391,10,42,
mecklenburg_134,2173,211,2157,14,65,
mecklenburg_136,796,54,637,4,47,
mecklenburg_133,1912,134,1367,11,55,
mecklenburg_118,855,72,988,5,29,
mecklenburg_2,478,126,1570,8,33,
mecklenburg_233,1411,107,1081,10,39,
mecklenburg_218,1144,84,656,8,29,
mecklenburg_219,999,57,608,8,14,
mecklenburg_11,1448,268,3523,11,73,
mecklenburg_14,134,54,1378,7,8,
mecklenburg_243,2011,245,3831,18,48,
mecklenburg_29,289,48,961,5,10,
mecklenburg_26,214,32,1883,2,10,
mecklenburg_23,143,41,1036,5,7,
mecklenburg_108,143,27,1203,6,12,
mecklenburg_109,425,95,1287,9,34,
mecklenburg_43,138,30,1589,5,16,
mecklenburg_44,279,49,833,8,23,
mecklenburg_46,334,69,1406,7,21,
mecklenburg_CURBSIDE 81-96,63,0,147,0,2,
mecklenburg_238.1,659,78,1368,2,28,
mecklenburg_38,450,85,875,4,12,
mecklenburg_21,399,80,989,7,15,
mecklenburg_235,898,54,1269,2,26,
mecklenburg_85,593,65,1065,4,26,
mecklenburg_84,194,37,1141,5,7,
mecklenburg_70,738,50,779,3,33,
mecklenburg_74,895,75,951,2,37,
mecklenburg_76,926,87,1057,6,35,
mecklenburg_77,93,31,1376,0,6,
mecklenburg_106,543,62,627,3,19,
mecklenburg_99,166,29,1120,5,11,
mecklenburg_111,889,71,1013,3,44,
mecklenburg_93,726,52,549,2,20,
mecklenburg_96,650,47,781,1,28,
mecklenburg_30,361,116,1591,16,29,
mecklenburg_117,291,44,1030,8,19,
mecklenburg_116,192,24,831,0,5,
mecklenburg_208,2091,117,1200,3,29,
mecklenburg_37,598,87,793,1,18,
mecklenburg_32,689,67,667,3,46,
mecklenburg_60,69,20,1206,1,12,
mecklenburg_52,69,20,1544,2,8,
mecklenburg_55,29,12,981,1,5,
mecklenburg_57,646,44,727,1,22,
mecklenburg_61,326,30,1051,6,5,
mecklenburg_13,410,88,1636,9,18,
mecklenburg_16,38,16,1908,10,9,
mecklenburg_10,571,114,1182,1,41,
mecklenburg_120,210,32,1198,7,19,
mecklenburg_66,418,46,671,2,9,
mecklenburg_129,212,28,554,4,8,
mecklenburg_126,260,42,1668,8,19,
mecklenburg_149,530,90,2914,11,32,
mecklenburg_216,1456,95,1578,13,47,
mecklenburg_242,1394,60,642,1,31,
mecklenburg_232,1802,106,1653,2,40,
mecklenburg_237,508,87,2098,17,26,
mecklenburg_151,643,70,2152,16,41,
mecklenburg_143,2057,161,1676,6,51,
mecklenburg_144,1160,67,1156,2,33,
mecklenburg_107.1,385,56,2007,8,26,
mecklenburg_124,144,25,1424,4,16,
mecklenburg_45,265,34,839,12,9,
mecklenburg_19,549,60,655,0,27,
mecklenburg_3,90,23,1304,6,2,
mecklenburg_64,213,27,472,0,9,
mecklenburg_138,396,46,1649,7,23,
mecklenburg_137,2001,122,1696,5,68,
mecklenburg_228,639,87,1860,11,26,
mecklenburg_225,690,56,650,8,14,
mecklenburg_200,653,40,667,5,16,
mecklenburg_205,729,56,1534,6,14,
mecklenburg_131,652,47,600,5,22,
mecklenburg_230,1298,158,3355,9,45,
mecklenburg_227,1960,130,1903,6,48,
mecklenburg_48,681,69,634,1,43,
mecklenburg_47,753,76,1029,6,47,
mecklenburg_24,214,48,1493,3,23,
mecklenburg_27,101,26,1381,8,11,
mecklenburg_79,371,27,842,2,10,
mecklenburg_113,1201,94,1120,4,37,
moore_OS-DC PAPER,638,6,225,1,7,
moore_VSS,381,21,150,0,3,
moore_WAB,721,58,437,2,16,
moore_WEM,649,11,98,1,3,
moore_ABSENTEE,1573,98,971,2,35,
moore_WKWD,341,24,145,0,8,
moore_BEN,397,5,149,1,2,
moore_SLS,681,24,185,1,11,
moore_CAM,416,20,146,2,4,
moore_EUR-WP,922,44,258,0,16,
moore_CAR,575,30,212,0,7,
moore_PHB2,454,16,138,0,10,
moore_SSP,322,26,610,0,14,
moore_OS-WEG PAPER,2005,61,1126,0,25,
moore_PHB1,468,18,166,0,9,
moore_LTR,586,25,189,0,12,
moore_DHR,462,10,86,0,5,
moore_EWD,314,15,122,0,2,
moore_OS-AG PAPER,8888,290,5437,22,98,
moore_NSP,404,43,319,4,8,
moore_TLT,52,3,151,0,2,
moore_PHA1,564,42,201,1,14,
moore_PHA2,367,16,121,1,9,
moore_PDN,635,67,327,1,22,
moore_OS-PFD PAPER,4005,181,2373,8,65,
moore_OS-VRS PAPER,891,25,514,1,14,
moore_WND,308,16,161,0,4,
moore_PHC,767,45,348,0,20,
moore_RBN,252,5,77,2,2,
moore_PBF,552,40,333,0,5,
moore_EKWD,234,11,94,0,3,
moore_EAB,518,42,353,3,8,
nash_P21A,135,11,364,2,7,
nash_P06A,276,14,277,1,3,
nash_MT PLEASANT OS,1491,30,679,0,5,
nash_P14A,238,9,75,0,2,
nash_P19A,609,30,427,5,15,
nash_P08A,406,30,370,1,1,
nash_ABSENTEE,596,28,390,5,6,
nash_P04A,281,10,170,0,2,
nash_P07A,214,11,73,0,2,
nash_NASHVILLE OS,10795,225,8982,13,108,
nash_P22A,28,4,370,0,3,
nash_P10A,145,8,283,2,2,
nash_SPRING HOPE OS,786,21,903,3,7,
nash_P05A,649,22,84,2,5,
nash_P15A,422,16,202,2,5,
nash_P20A,276,16,244,2,7,
nash_P17A,386,25,459,1,17,
nash_P23A,91,6,487,0,1,
nash_P13A,90,1,297,0,1,
nash_ROCKY MOUNT OS,1977,92,5989,12,48,
nash_P12A,169,7,183,0,2,
nash_P16A,227,15,254,0,3,
nash_P03A,442,12,150,0,10,
nash_P11A,550,14,109,1,10,
nash_P18A,223,13,353,1,7,
nash_P24A,483,22,241,0,2,
nash_P01A,437,21,232,3,9,
nash_P09A,280,14,162,0,5,
nash_P02A,496,17,258,2,4,
montgomery_LIT,321,13,59,0,4,
montgomery_T1,862,25,528,0,5,
montgomery_MTG,421,10,856,2,7,
montgomery_CHE,364,8,126,0,2,
montgomery_ROC,172,7,335,0,2,
montgomery_OPH,215,3,26,0,0,
montgomery_BIS,490,27,510,0,0,
montgomery_UWH,803,17,147,0,7,
montgomery_ELD,783,21,200,0,7,
montgomery_PEE,550,8,189,2,3,
montgomery_STA,845,20,198,0,7,
montgomery_CAN,523,21,460,0,3,
montgomery_WAD,149,4,195,0,0,
montgomery_T2,632,19,321,2,4,
new hanover_W27,415,70,1632,18,20,
new hanover_W24,971,139,1544,19,45,
new hanover_FP07,2119,86,1206,7,31,
new hanover_OS CAB PAPER,138,1,86,0,2,
new hanover_M06,1257,81,832,6,21,
new hanover_OS CFCC PAPER,8,2,220,0,1,
new hanover_W21,1301,81,1264,7,21,
new hanover_W15,567,93,2196,15,33,
new hanover_W12,507,55,727,6,17,
new hanover_W18,550,41,508,6,17,
new hanover_W30,1236,97,1430,19,23,
new hanover_FP03,794,41,513,4,12,
new hanover_H11,2487,154,1591,12,33,
new hanover_CF01,1224,88,1107,10,13,
new hanover_CF02,1255,63,638,5,16,
new hanover_ABSENTEE,0,0,0,0,0,
new hanover_W28,859,125,1321,30,18,
new hanover_CF05,1162,81,831,8,23,
new hanover_CF06,1155,72,777,7,19,
new hanover_M07,915,63,544,4,13,
new hanover_M02,2593,181,1841,8,58,
new hanover_OS GVT PAPER,338,12,496,0,3,
new hanover_H08,2532,168,1618,7,42,
new hanover_H12,1554,96,897,2,29,
new hanover_FP08,2159,117,1407,14,47,
new hanover_FP04,2121,110,1161,14,38,
new hanover_OS SRC PAPER,325,10,390,0,1,
new hanover_M04,2516,156,1956,11,46,
new hanover_H03,2070,125,1405,22,34,
new hanover_H04,1540,107,1219,12,21,
new hanover_H10,1238,117,1311,16,34,
new hanover_W31,1460,105,1230,6,40,
new hanover_W03,192,43,1162,15,10,
new hanover_W08,383,23,678,7,7,
new hanover_H06,1126,110,837,8,27,
new hanover_H13,1874,117,1276,2,40,
new hanover_M03,1645,83,990,16,33,
new hanover_W17,860,60,775,6,23,
new hanover_H01,654,46,547,6,15,
new hanover_H02,1808,92,933,3,43,
new hanover_W25,335,86,1872,23,37,
new hanover_W16,1208,76,1069,6,31,
new hanover_W13,389,53,913,12,21,
new hanover_WB,951,49,652,6,19,
new hanover_W29,138,29,1869,13,10,
new hanover_W26,622,61,971,10,17,
new hanover_OS NLB PAPER,197,5,116,0,1,
new hanover_H05,1604,112,1029,8,31,
new hanover_FP06,1548,109,946,5,31,
madison_GRAPEV,490,20,235,10,7,
madison_LAUREL,397,11,175,7,3,
madison_BEECH,1185,60,516,16,20,
madison_MARS H,1436,90,1055,18,30,
madison_EBBS C,473,13,210,8,6,
madison_SANDY,217,12,127,4,0,
madison_REVERE,89,10,87,3,1,
madison_HOT SP,356,12,174,6,7,
madison_NORTH,961,41,566,26,7,
madison_SPRING,297,16,204,1,4,
madison_WALNUT,527,27,312,12,8,
madison_SOUTH,355,24,265,10,10,
mitchell_9,669,10,278,2,4,
mitchell_6,340,8,62,2,1,
mitchell_3,359,7,60,1,4,
mitchell_7,143,1,14,0,1,
mitchell_4,3219,87,869,14,36,
mitchell_1,722,13,199,3,3,
mitchell_2,207,1,14,0,1,
mitchell_8,181,1,33,0,2,
mitchell_5,442,10,67,2,4,
northampton_GASTON,221,11,418,0,2,
northampton_WOODLA,114,6,156,0,0,
northampton_SEVERN,124,5,79,0,1,
northampton_LAKE G,158,3,104,0,2,
northampton_OS RICH SQUARE,191,4,655,0,4,
northampton_REHOBE,43,1,53,0,0,
northampton_RICH S,78,4,235,0,0,
northampton_SEABOA,83,3,186,0,3,
northampton_GALATI,131,3,89,0,2,
northampton_PENDLE,72,3,51,0,2,
northampton_NEWTOW,176,5,88,0,0,
northampton_POTECA,32,0,57,0,0,
northampton_JACKSO,82,2,77,0,0,
northampton_GARYSB,35,0,406,0,0,
northampton_OS LAKE GASTON,369,8,323,0,4,
northampton_OS OFFICE,763,13,1754,0,6,
northampton_MILWAU,104,5,75,0,0,
northampton_CREEKS,136,2,62,0,0,
northampton_OS GASTON,181,2,887,0,1,
northampton_LASKER,109,1,22,0,1,
northampton_CONWAY,265,7,127,0,1,
northampton_PLEASA,32,1,85,0,0,
pamlico_4HB,127,0,9,0,0,
pamlico_5AP,968,31,466,3,13,
pamlico_ABSENTEE,115,6,121,1,0,
pamlico_4MSIC,57,1,71,0,0,
pamlico_4VM A,61,0,75,0,0,
pamlico_1AL A,229,1,100,0,1,
pamlico_1RB,742,28,193,0,5,
pamlico_2OT,784,27,600,6,8,
pamlico_1GB,489,8,129,0,0,
pamlico_2SW,199,4,108,0,1,
pamlico_CURBSIDE,61,1,80,0,0,
pamlico_3BY,407,16,492,0,2,
person_OLHI,860,26,335,1,13,
person_WDSD,364,17,376,1,10,
person_HLWY,548,11,213,1,6,
person_CUCL,844,22,474,1,7,
person_ALVI,784,41,703,4,13,
person_ROX4,506,26,648,0,5,
person_PNTH,1207,41,1470,7,16,
person_RCTL,1409,57,1528,3,27,
person_SWST,927,26,488,5,10,
person_FLRI,2525,99,1054,6,23,
person_MTTZ,1211,53,544,7,12,
pitt_1507B,273,34,262,6,7,
pitt_1511A,434,20,256,1,14,
pitt_1510B,284,21,228,0,7,
pitt_ABSENTEE #2,246,21,309,0,9,
pitt_OS WILLIS BUILDING #2,1832,230,3217,0,65,
pitt_1102B,573,32,240,0,9,
pitt_1301,222,9,70,2,1,
pitt_1201,441,16,403,2,3,
pitt_OS AYDEN #2,21,6,17,0,0,
pitt_1509,454,54,523,5,17,
pitt_OS COMMUNITY SCHOOLS 2,3544,162,3445,0,86,
pitt_1403B,336,35,287,4,20,
pitt_1001,467,22,353,0,10,
pitt_OS COMMUNITY SCHOOLS 1,5519,188,3389,29,44,
pitt_OS COUNTY OFFICE 1,1371,114,4648,14,31,
pitt_OS FARMVILLE 2,27,2,20,0,0,
pitt_OS FARMVILLE 1,1000,36,1068,0,10,
pitt_ABSENTEE #1,419,24,507,3,10,
pitt_1403A2,186,18,167,2,6,
pitt_1508B,235,28,255,6,7,
pitt_1102A,370,26,204,0,9,
pitt_1101,222,15,201,0,1,
pitt_OS COUNTY OFFICE 2,538,64,2509,0,22,
pitt_OS WINTERVILLE #2,2072,107,2318,0,43,
pitt_OS AYDEN #1,900,25,766,7,11,
pitt_1507,396,51,473,4,5,
pitt_501,313,8,108,0,2,
pitt_OS AG CENTER 2,390,23,876,0,7,
pitt_1511B,342,34,322,1,9,
pitt_1508A,203,22,134,3,2,
pitt_0200B,178,12,214,4,3,
pitt_401,270,9,409,2,5,
pitt_OS ECU-WILLIS BLDG 1,845,76,955,22,1,
pitt_OS AG CENTER 1,1980,56,3021,5,15,
pitt_601,507,20,167,2,9,
pitt_1510A,368,21,178,2,14,
pitt_1513B,249,23,178,0,6,
pitt_1513A,303,31,203,1,11,
pitt_OS WINTERVILLE #1,3350,127,2696,15,40,
pitt_1503,83,13,434,0,6,
pitt_901,208,3,111,0,0,
pitt_101,386,36,335,3,10,
pitt_701,411,11,157,2,3,
pitt_1501,12,1,147,0,2,
pitt_1506,150,16,311,1,2,
pitt_1512A,279,34,489,1,11,
pitt_1512B,216,30,309,5,13,
pitt_1505B,37,11,518,0,4,
pitt_301,278,15,537,3,6,
pitt_1504B,244,31,483,1,15,
pitt_1504A,48,17,440,2,1,
pitt_1505A,132,19,445,3,4,
richmond_10,103,4,239,1,1,
richmond_11,180,3,118,0,2,
richmond_ABSENTEE,173,11,129,0,1,
richmond_9,811,31,467,3,7,
richmond_13,197,1,108,0,2,
richmond_6,273,6,72,1,3,
richmond_3,200,6,46,0,1,
richmond_14,26,2,64,0,0,
richmond_2,619,25,304,2,9,
richmond_8,379,13,463,2,5,
richmond_5,95,4,37,0,1,
richmond_16,116,6,8,0,0,
richmond_15,61,3,22,0,0,
richmond_1,393,21,559,0,8,
richmond_12,285,13,154,0,5,
richmond_4,210,3,156,0,5,
richmond_7,151,4,122,0,5,
rockingham_NB,1920,67,465,5,19,
rockingham_IR,1359,45,389,6,10,
rockingham_LK-2,1462,45,819,1,15,
rockingham_MA,1905,56,757,0,15,
rockingham_RC,2470,47,991,4,31,
rockingham_LI,1913,44,706,0,15,
rockingham_ED-1,1691,41,901,0,19,
rockingham_EC,1640,52,961,0,14,
rockingham_DR,880,36,516,5,8,
rockingham_MC,1691,72,1409,3,28,
rockingham_WS,2865,118,1407,12,35,
