prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
buncombe_OS NABL,1721,155,5995,94,73,
buncombe_58.1,164,15,136,5,7,
buncombe_27.2,58,0,84,1,4,
buncombe_30.2,258,22,177,6,17,
buncombe_43.2,213,26,194,15,9,
buncombe_10.1,34,6,284,12,10,
cabarrus_44175,303,26,127,1,10,
cabarrus_44177,472,33,229,7,4,
cabarrus_43837,533,22,216,1,13,
cabarrus_43834,677,67,539,9,19,
cabarrus_43870,651,58,619,10,26,
cabarrus_43867,471,32,444,0,12,
cabarrus_43931,517,24,316,4,13,
cabarrus_43929,313,24,114,4,0,
cabarrus_43928,351,16,112,2,5,
cabarrus_36739,1180,31,251,0,21,
cabarrus_36770,944,37,135,2,7,
cabarrus_OS-CBB,4462,186,2838,4,68,
cabarrus_36586,783,54,336,6,3,
cabarrus_43926,214,12,167,1,9,
cabarrus_36800,1709,66,407,4,9,
cabarrus_44173,219,20,191,3,5,
cabarrus_44172,36,6,427,2,2,
cabarrus_43922,379,28,381,4,6,
cabarrus_OS-CFS,6075,346,4365,4,110,
cabarrus_44168,366,19,225,3,13,
cabarrus_44169,274,20,285,4,9,
cabarrus_43923,290,15,362,4,10,
cabarrus_43930,479,23,249,4,10,
cabarrus_43836,455,36,323,2,10,
cabarrus_OS-LOB,10739,354,9043,4,154,
cabarrus_36647,667,21,161,5,7,
cabarrus_43866,733,38,377,6,17,
cabarrus_43863,758,54,470,10,20,
cabarrus_43840,513,49,283,7,7,
cabarrus_43924,456,23,374,3,6,
cabarrus_43927,280,14,285,2,1,
cabarrus_OS-HBL,4906,203,3924,3,95,
cabarrus_43925,193,14,197,2,2,
cabarrus_44170,493,36,221,2,11,
cabarrus_44174,512,29,232,0,10,
cabarrus_36708,500,11,65,0,5,
cabarrus_43839,232,18,71,1,10,
cabarrus_43862,469,34,245,5,9,
cabarrus_43869,895,76,673,9,32,
cabarrus_36678,938,24,120,4,2,
cabarrus_43868,474,36,257,2,12,
cabarrus_44136,800,69,661,4,21,
cabarrus_44171,325,34,238,2,8,
cabarrus_44137,760,42,243,2,15,
cabarrus_43864,989,71,501,9,16,
cabarrus_ABSENTEE,2557,154,1564,3,65,
cabarrus_44176,295,20,182,3,4,
cabarrus_43838,647,51,442,5,26,
cabarrus_44167,189,13,337,4,0,
cabarrus_44166,97,15,117,1,1,
cabarrus_43832,721,41,196,5,14,
caldwell_PR01,424,25,134,3,4,
caldwell_PR08,289,8,87,1,7,
caldwell_ABSENTEE,679,25,326,1,17,
caldwell_PR17,210,17,90,2,3,
caldwell_PR32,613,21,100,5,5,
caldwell_PR24,229,12,46,3,6,
caldwell_PR29,317,24,159,2,7,
caldwell_PR33,728,31,166,0,10,
caldwell_PR18,511,26,156,7,10,
caldwell_PR13,694,23,104,0,6,
caldwell_PR02,268,18,79,2,3,
caldwell_PR07,409,10,72,1,2,
caldwell_PR25,278,15,58,1,5,
caldwell_PR35,305,12,63,3,1,
caldwell_PR22,492,12,96,2,8,
caldwell_PR34,673,42,167,15,10,
caldwell_PR14,346,25,101,8,8,
caldwell_PR16,142,13,93,4,3,
caldwell_PR21,550,22,85,2,6,
caldwell_PR30,225,14,183,2,5,
caldwell_PR31,171,9,87,0,3,
bertie_SN,36,1,145,0,0,
bertie_ABSENTEE,60,3,84,0,4,
bertie_OS-POW,494,6,916,0,5,
bertie_OS-LOB,1396,21,2492,2,16,
