prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
burke_31,,0,,551,40,244,1,,,
burke_34,,0,,514,30,387,2,,,
burke_24,,1,,390,70,710,2,,,
burke_40,,1,,279,58,415,1,,,
burke_1,,0,,473,90,756,1,,,
burke_0047-B,,0,,233,38,265,3,,,
burke_3,,0,,123,37,344,0,,,
burke_35,,0,,371,42,255,0,,,
burke_22,,0,,244,66,566,2,,,
burke_48,,0,,463,64,531,1,,,
burke_20,,0,,213,29,278,0,,,
burke_70,,0,,368,80,653,2,,,
burke_ONESTOP,,0,,0,0,0,0,,,
burke_19,,0,,115,15,173,0,,,
burke_36,,0,,286,57,498,0,,,
burke_52,,0,,203,41,251,1,,,
burke_0047-A,,0,,561,56,381,6,,,
burke_12,,0,,129,39,665,1,,,
burke_21,,1,,209,49,306,0,,,
burke_51,,0,,501,91,784,2,,,
burke_62,,0,,137,18,194,0,,,
burke_66,,0,,290,38,427,1,,,
burke_11,,0,,191,87,695,4,,,
burke_14,,0,,139,32,617,1,,,
burke_39,,0,,347,36,292,1,,,
burke_0029-B,,0,,150,27,298,2,,,
burke_64,,0,,127,15,204,0,,,
burke_53,,0,,237,71,521,3,,,
burke_0029-A,,0,,75,34,340,1,,,
burke_65,,0,,114,39,274,1,,,
cabarrus_43868,,,,486,45,920,6,0,0,4
cabarrus_43839,,,,121,37,323,1,0,0,0
cabarrus_44174,,,,267,53,517,6,0,0,0
cabarrus_43838,,,,560,72,694,10,0,0,0
cabarrus_44173,,,,194,28,204,1,0,0,0
cabarrus_43864,,,,826,90,1284,7,0,0,1
cabarrus_43863,,,,667,72,1026,0,0,0,0
cabarrus_36586,,,,577,70,1111,2,0,0,0
cabarrus_43870,,,,1176,46,1120,1,0,0,0
cabarrus_43834,,,,806,62,973,5,0,0,2
cabarrus_43837,,,,389,44,782,3,0,0,0
cabarrus_44172,,,,503,2,34,0,0,0,0
cabarrus_44177,,,,291,45,447,2,0,1,0
cabarrus_44175,,,,206,18,319,1,0,0,0
cabarrus_ONESTOP,,,,45,1,32,-13,2,3,8
cabarrus_44166,,,,152,17,95,0,0,0,0
cabarrus_44167,,,,447,21,188,2,0,0,1
cabarrus_43836,,,,647,37,792,4,0,0,0
cabarrus_44171,,,,360,36,293,2,0,0,0
cabarrus_43869,,,,1005,79,1141,5,0,2,0
cabarrus_43840,,,,486,51,636,6,0,0,1
cabarrus_43928,,,,198,26,499,1,0,0,0
cabarrus_36800,,,,478,85,1426,2,1,0,2
cabarrus_44168,,,,344,45,516,0,0,0,0
cabarrus_44169,,,,437,42,451,2,0,0,0
cabarrus_43926,,,,214,15,293,0,0,1,0
cabarrus_43929,,,,211,37,362,3,0,0,0
cabarrus_43927,,,,262,40,300,0,0,0,0
cabarrus_43866,,,,682,68,1092,3,0,0,0
cabarrus_43925,,,,327,29,238,1,0,0,0
cabarrus_43867,,,,606,44,536,5,0,0,0
cabarrus_43832,,,,295,62,685,1,0,0,0
cabarrus_43922,,,,535,45,502,1,0,1,0
cabarrus_44176,,,,227,39,307,2,0,0,0
cabarrus_43923,,,,534,30,376,3,0,0,0
cabarrus_43930,,,,394,45,797,6,0,0,0
cabarrus_44170,,,,408,56,597,4,0,0,3
cabarrus_43862,,,,419,42,617,2,0,0,0
cabarrus_44136,,,,730,70,767,5,0,2,0
cabarrus_44137,,,,339,80,799,1,0,0,1
cabarrus_43931,,,,491,48,878,4,0,0,0
cabarrus_36647,,,,277,59,835,0,0,0,0
cabarrus_36739,,,,432,79,1140,11,0,0,1
cabarrus_36770,,,,203,57,753,1,0,0,0
cabarrus_36678,,,,173,60,705,4,0,0,1
cabarrus_43924,,,,552,61,596,3,0,0,0
cabarrus_36708,,,,91,22,365,2,0,0,0
caldwell_PR14,1,0,0,143,52,354,1,,,
caldwell_ONESTOP,0,0,1,3015,465,5858,28,,,
caldwell_PR05,0,0,0,175,70,469,2,,,
caldwell_PR16,0,0,2,160,17,106,0,,,
caldwell_PR22,0,0,0,130,67,475,3,,,
caldwell_PR25,0,0,0,84,36,255,1,,,
caldwell_PR02,0,0,0,125,24,207,1,,,
caldwell_PR21,0,0,0,162,44,465,2,,,
caldwell_PR28,0,0,0,120,74,531,4,,,
caldwell_PR30,0,0,0,211,39,163,1,,,
caldwell_PR07,0,0,0,99,27,335,2,,,
caldwell_PR31,0,0,0,90,17,138,1,,,
caldwell_PR01,0,0,0,207,47,362,4,,,
caldwell_PR06,0,0,0,159,54,351,0,,,
caldwell_PR15,0,0,1,179,38,538,2,,,
caldwell_PR13,0,0,0,149,65,516,5,,,
caldwell_PR18,0,0,0,216,68,498,2,,,
caldwell_PR17,0,0,0,137,30,234,1,,,
caldwell_PR08,0,0,0,101,25,225,5,,,
caldwell_PR24,0,0,0,98,31,249,5,,,
caldwell_PR29,0,0,0,187,34,249,2,,,
caldwell_PR32,0,0,0,173,38,484,0,,,
camden_SM,0,0,0,230,25,456,1,,,
