WARD,PRECINCT,JOINID,Emanuel_M11,DelValle_M11,Braun_M11,Chico_M11,Watkins_M11,Walls_M11
6,24,C06024,132,6,57,19,12,6
6,25,C06025,122,2,35,11,7,2
6,26,C06026,171,12,63,25,9,5
6,27,C06027,184,8,67,33,15,8
6,28,C06028,238,9,121,57,10,8
6,29,C06029,184,11,83,32,10,9
6,30,C06030,132,3,41,18,11,7
6,31,C06031,183,7,69,33,11,6
6,32,C06032,137,5,62,20,3,6
6,33,C06033,182,10,61,33,11,11
6,34,C06034,124,5,50,19,8,2
6,35,C06035,135,5,68,18,9,6
6,36,C06036,79,6,35,16,5,3
6,37,C06037,174,18,75,24,21,9
6,38,C06038,144,12,74,19,8,1
6,39,C06039,109,7,49,19,8,0
6,40,C06040,69,4,26,18,7,2
6,41,C06041,148,9,85,32,18,3
6,42,C06042,80,2,36,8,3,3
6,43,C06043,160,13,72,17,10,7
6,44,C06044,159,10,58,18,9,9
6,45,C06045,104,10,58,22,9,2
6,46,C06046,129,8,64,16,7,7
6,47,C06047,160,8,70,25,6,8
6,48,C06048,143,5,37,9,6,8
6,49,C06049,150,7,67,22,12,6
6,50,C06050,182,11,59,12,14,5
6,51,C06051,96,0,54,13,8,2
6,52,C06052,94,8,21,15,6,1
6,53,C06053,135,7,62,22,5,3
6,54,C06054,143,7,56,12,5,15
6,55,C06055,132,2,53,21,1,2
6,56,C06056,27,3,23,6,2,1
6,57,C06057,93,5,29,6,4,1
6,58,C06058,161,15,79,19,8,8
6,59,C06059,160,4,43,27,2,10
6,60,C06060,87,5,37,12,13,7
6,61,C06061,74,4,27,15,8,0
6,62,C06062,137,4,48,18,7,5
6,63,C06063,112,5,51,24,6,5
6,64,C06064,170,9,70,40,7,5
7,1,C07001,253,13,89,44,14,4
7,2,C07002,159,12,51,19,8,2
7,3,C07003,90,7,42,12,7,0
7,4,C07004,99,13,36,26,6,3
7,5,C07005,99,18,26,26,4,1
7,6,C07006,111,6,54,9,9,3
7,7,C07007,113,9,22,11,7,3
7,8,C07008,36,5,16,18,2,1
7,9,C07009,120,8,57,17,10,6
7,10,C07010,105,3,27,20,5,0
7,11,C07011,144,14,53,23,8,10
7,12,C07012,112,11,21,24,7,2
7,13,C07013,101,2,35,16,3,2
7,14,C07014,140,15,58,19,9,5
7,15,C07015,72,5,26,9,17,1
7,16,C07016,81,1,27,13,12,1
7,17,C07017,71,1,33,4,5,2
7,18,C07018,84,10,26,27,7,1
7,19,C07019,183,10,79,27,16,2
7,20,C07020,46,0,17,14,1,3
7,21,C07021,123,9,38,30,10,9
7,22,C07022,89,9,25,21,7,7
7,23,C07023,151,8,42,19,7,3
7,24,C07024,117,1,57,24,8,4
7,25,C07025,156,9,76,34,9,5
7,26,C07026,175,9,56,27,8,4
7,27,C07027,214,11,70,21,20,9
7,28,C07028,129,6,63,20,10,6
7,29,C07029,123,6,53,18,8,1
7,30,C07030,147,8,62,28,4,5
7,31,C07031,135,4,43,25,7,4
7,32,C07032,93,11,17,31,4,1
7,33,C07033,114,18,33,18,1,5
7,34,C07034,115,8,31,27,5,3
7,35,C07035,155,17,71,28,10,7
7,36,C07036,135,4,47,26,4,2
7,37,C07037,67,2,20,8,2,1
7,38,C07038,87,6,35,11,8,4
7,39,C07039,121,2,42,16,9,4
7,40,C07040,166,6,65,29,3,8
7,41,C07041,126,9,31,19,3,5
7,42,C07042,194,11,57,27,9,8
7,43,C07043,154,11,45,21,11,5
7,44,C07044,216,9,93,31,10,7
7,45,C07045,200,18,80,31,11,8
7,46,C07046,79,5,30,17,2,3
7,47,C07047,123,4,33,20,10,2
7,48,C07048,128,5,30,16,7,4
7,49,C07049,71,4,26,8,2,3
7,50,C07050,97,9,43,10,6,4
7,51,C07051,196,15,91,32,12,7
7,52,C07052,104,7,36,18,5,2
7,53,C07053,107,4,41,16,7,0
7,54,C07054,50,4,18,12,1,3
7,55,C07055,124,4,39,21,10,0
7,56,C07056,129,7,37,13,7,4
7,57,C07057,94,1,51,18,6,5
7,58,C07058,172,9,60,28,8,6
7,59,C07059,70,3,12,25,5,2
7,60,C07060,85,3,25,15,3,4
7,61,C07061,113,11,50,11,2,2
8,1,C08001,161,9,62,26,6,6
8,2,C08002,63,4,28,14,3,5
8,3,C08003,177,7,91,33,10,5
8,4,C08004,145,10,52,26,2,3
8,5,C08005,147,12,101,26,5,5
8,6,C08006,150,9,63,22,14,5
8,7,C08007,126,5,47,22,5,2
8,8,C08008,165,9,78,20,6,6
8,9,C08009,177,9,77,22,13,10
8,10,C08010,209,23,69,30,7,10
8,11,C08011,136,11,55,17,13,12
8,12,C08012,125,6,56,18,10,4
8,13,C08013,116,3,49,24,7,0
8,14,C08014,71,9,28,10,6,3
8,15,C08015,107,7,48,10,10,5
8,16,C08016,139,8,68,32,8,7
8,17,C08017,136,8,44,28,15,6
8,18,C08018,94,4,32,7,5,5
8,19,C08019,168,13,75,23,8,4
8,20,C08020,102,5,50,12,9,2
8,21,C08021,127,9,52,12,7,4
8,22,C08022,130,3,45,17,10,0
8,23,C08023,113,6,48,16,10,10
8,24,C08024,143,10,50,38,4,12
8,25,C08025,133,3,48,24,13,6
8,26,C08026,118,5,29,6,3,7
8,27,C08027,168,9,70,30,8,2
8,28,C08028,139,9,32,26,4,4
8,29,C08029,120,11,70,25,12,0
8,30,C08030,128,7,53,22,6,9
8,31,C08031,113,8,36,5,4,0
8,32,C08032,216,9,56,32,18,2
8,33,C08033,124,6,52,23,5,4
8,34,C08034,178,10,69,34,8,7
8,35,C08035,186,9,59,23,3,11
8,36,C08036,134,8,37,16,5,8
8,37,C08037,156,7,58,26,12,5
8,38,C08038,134,5,52,24,5,4
8,39,C08039,158,5,44,24,4,3
8,40,C08040,112,2,48,11,5,4
8,41,C08041,116,3,35,18,9,6
8,42,C08042,154,13,64,27,5,4
8,43,C08043,111,4,36,6,7,8
8,44,C08044,103,7,49,29,3,7
8,45,C08045,123,2,31,14,7,4
8,46,C08046,115,7,45,22,9,3
8,47,C08047,147,7,70,24,11,2
8,48,C08048,122,9,55,22,3,0
8,49,C08049,169,11,73,29,11,5
8,50,C08050,157,9,46,26,8,10
8,51,C08051,180,17,70,25,5,4
8,52,C08052,149,6,64,17,6,11
8,53,C08053,159,6,66,30,8,11
8,54,C08054,136,7,67,24,11,5
8,55,C08055,122,4,42,11,12,1
8,56,C08056,148,5,42,25,11,3
8,57,C08057,137,11,44,7,7,5
8,58,C08058,140,6,64,19,17,7
8,59,C08059,82,4,27,14,3,3
8,60,C08060,116,13,46,17,8,4
8,61,C08061,107,7,46,25,7,5
8,62,C08062,127,13,60,22,3,9
8,63,C08063,154,17,53,24,7,3
8,64,C08064,138,8,46,15,5,8
8,65,C08065,77,7,36,18,8,2
8,66,C08066,206,10,67,27,12,5
8,67,C08067,95,3,36,20,6,4
8,68,C08068,86,5,31,8,8,2
8,69,C08069,75,6,40,7,5,5
8,70,C08070,180,6,56,27,6,4
9,1,C09001,147,5,71,37,13,10
9,2,C09002,156,3,49,18,7,3
9,3,C09003,58,2,12,5,5,0
9,4,C09004,119,0,66,23,12,7
9,5,C09005,156,5,73,26,10,6
9,6,C09006,140,1,77,25,8,10
9,7,C09007,134,3,30,19,3,5
9,8,C09008,162,2,48,28,8,3
9,9,C09009,178,7,81,32,7,11
9,10,C09010,119,9,59,19,5,4
9,11,C09011,101,2,45,16,10,2
9,12,C09012,133,4,41,18,8,7
9,13,C09013,168,5,64,24,5,4
9,14,C09014,204,8,76,31,11,4
9,15,C09015,117,3,42,12,5,8
9,16,C09016,95,2,43,9,12,5
9,17,C09017,128,1,43,21,7,2
9,18,C09018,155,9,49,21,13,1
9,19,C09019,146,5,54,25,10,1
9,20,C09020,133,8,64,29,12,8
9,21,C09021,134,5,51,10,13,4
9,22,C09022,159,10,71,32,7,5
9,23,C09023,90,5,52,16,4,1
9,24,C09024,52,1,28,8,7,2
9,25,C09025,101,26,11,49,4,3
9,26,C09026,90,0,23,13,6,1
9,27,C09027,146,3,51,13,4,1
9,28,C09028,60,8,20,30,2,1
9,29,C09029,98,5,57,20,6,7
9,30,C09030,138,13,62,31,6,1
9,31,C09031,103,3,50,23,6,5
9,32,C09032,148,5,40,20,9,3
9,33,C09033,118,3,30,12,6,3
9,34,C09034,116,2,46,13,13,4
9,35,C09035,162,8,68,27,10,4
9,36,C09036,143,4,86,24,14,6
9,37,C09037,117,22,13,55,5,2
9,38,C09038,151,5,35,15,11,7
9,39,C09039,170,5,60,32,10,5
9,40,C09040,166,10,56,19,8,7
9,41,C09041,142,6,73,20,5,5
9,42,C09042,53,6,14,7,1,1
9,43,C09043,75,2,31,13,10,1
9,44,C09044,77,5,30,6,6,6
9,45,C09045,123,2,48,14,9,2
9,46,C09046,120,3,44,14,5,4
9,47,C09047,168,12,48,26,12,5
9,48,C09048,148,12,74,23,11,10
9,49,C09049,108,3,16,11,4,2
9,50,C09050,144,7,63,14,10,7
9,51,C09051,62,3,42,23,13,2
9,52,C09052,148,12,63,25,7,2
9,53,C09053,71,1,38,8,4,2
10,1,C10001,121,11,16,55,2,1
10,2,C10002,90,12,2,100,0,0
10,3,C10003,93,9,1,163,0,0
10,4,C10004,58,18,16,87,5,1
10,5,C10005,112,14,6,94,4,1
10,6,C10006,129,4,46,24,6,3
10,7,C10007,25,6,4,20,0,4
10,8,C10008,79,16,1,130,1,2
10,9,C10009,79,9,2,169,0,0
10,10,C10010,82,19,2,171,0,0
10,11,C10011,65,32,6,185,0,0
10,12,C10012,96,19,0,111,2,0
10,13,C10013,75,16,1,139,1,3
10,14,C10014,68,18,4,190,1,1
10,15,C10015,43,9,0,57,1,1
10,16,C10016,86,16,2,157,1,1
10,17,C10017,76,24,3,132,2,1
10,18,C10018,42,12,12,72,0,1
10,19,C10019,112,33,3,160,3,0
10,20,C10020,73,17,3,129,0,0
10,21,C10021,92,12,5,135,1,1
10,22,C10022,72,8,13,56,0,1
10,23,C10023,52,15,0,114,0,0
10,24,C10024,103,11,0,131,1,2
10,25,C10025,87,31,25,100,4,4
10,26,C10026,63,25,2,107,1,0
10,27,C10027,113,26,0,189,0,0
10,28,C10028,120,4,24,27,6,7
10,29,C10029,112,2,31,35,8,1
10,30,C10030,59,20,2,167,1,1
10,31,C10031,64,31,1,163,0,0
10,32,C10032,77,26,5,143,2,0
10,33,C10033,53,31,4,162,1,0
10,34,C10034,63,22,0,143,1,2
10,35,C10035,65,22,3,127,2,1
10,36,C10036,85,10,19,147,2,0
10,37,C10037,63,9,8,53,1,2
10,38,C10038,103,19,1,165,0,1
10,39,C10039,77,19,6,129,1,0
10,40,C10040,69,13,10,91,4,0
10,41,C10041,87,17,2,220,1,0
10,42,C10042,91,19,3,149,2,1
10,43,C10043,45,23,8,41,1,1
10,44,C10044,66,34,2,118,0,0
10,45,C10045,47,11,2,88,0,1
10,46,C10046,89,30,1,143,1,1
10,47,C10047,73,26,1,141,0,0
10,48,C10048,96,10,17,32,3,3
11,1,C11001,153,22,4,135,0,1
11,2,C11002,82,27,4,127,0,2
11,3,C11003,75,26,3,82,2,0
11,4,C11004,101,38,2,100,0,1
11,5,C11005,67,23,4,54,0,0
11,6,C11006,85,58,1,139,0,1
11,7,C11007,97,25,4,97,2,1
11,8,C11008,84,32,2,109,1,0
11,9,C11009,80,11,2,74,1,2
11,10,C11010,43,24,0,72,0,1
11,11,C11011,185,30,3,160,2,0
11,12,C11012,103,9,1,159,1,0
11,13,C11013,87,16,2,113,1,0
11,14,C11014,100,23,2,82,1,0
11,15,C11015,60,15,0,136,2,0
11,16,C11016,136,37,4,108,0,1
11,17,C11017,117,56,0,139,4,0
11,18,C11018,78,31,4,84,1,0
11,19,C11019,86,44,2,75,1,0
11,20,C11020,83,15,1,96,2,0
11,21,C11021,90,8,4,126,0,1
11,22,C11022,112,18,3,75,0,1
11,23,C11023,93,15,1,72,0,1
11,24,C11024,200,11,2,199,1,0
11,25,C11025,124,17,1,94,2,0
11,26,C11026,115,35,1,153,0,2
11,27,C11027,124,30,4,104,3,1
11,28,C11028,74,12,2,84,1,0
11,29,C11029,106,31,3,132,0,2
11,30,C11030,64,36,3,124,0,0
11,31,C11031,82,9,0,104,0,0
