JOINID,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT,MG_VOTES,MG_E,MG_WIL,MG_F,MG_G,MG_WAL,MRO_VOTES,MRO_E,MRO_G,DPP_VOTES,DPP_C,DPP_S,Maj Cand?,Plu Cand?,RO Winner?,Change?,GE 2nd Place?
C10008,0.007660577,0.758397155,0.22510314,0.002357101,0.006482027,129,0.403100775,0.19379845,0.007751938,0.364341085,0.031007752,165,0.406060606,0.593939394,285,0.543859649,0.456140351,None,Rahm,Chuy,Yes,Chuy
C10020,0.260874915,0.017542566,0.714718038,0.00228816,0.004576321,338,0.48816568,0.032544379,0.068047337,0.396449704,0.014792899,412,0.419902913,0.580097087,333,0.432432432,0.567567568,None,Rahm,Chuy,Yes,Chuy
C13005,0.165771807,0.006040271,0.820805372,0.003355705,0.004026845,272,0.492647059,0.003676471,0.051470588,0.441176471,0.011029412,351,0.435897436,0.564102564,396,0.454545455,0.545454545,None,Rahm,Chuy,Yes,Chuy
C13013,0.308360509,0.007600435,0.675352845,0.002171553,0.006514659,230,0.473913043,0.008695652,0.073913043,0.443478261,0,312,0.445512821,0.554487179,358,0.555865922,0.444134078,None,Rahm,Chuy,Yes,Chuy
C13014,0.272848567,0.017344894,0.6957972,0.010006671,0.004002668,208,0.461538462,0.014423077,0.086538462,0.418269231,0.019230769,271,0.479704797,0.520295203,313,0.466453674,0.533546326,None,Rahm,Chuy,Yes,Chuy
C13023,0.179186236,0.017214401,0.802034418,1.42E-10,0.001564945,165,0.478787879,0.018181818,0.072727273,0.418181818,0.012121212,233,0.446351931,0.553648069,270,0.396296296,0.603703704,None,Rahm,Chuy,Yes,Chuy
C13047,0.1065996,0.034405257,0.8497814,0.006142496,0.003071247,224,0.477678571,0.013392857,0.049107143,0.446428571,0.013392857,313,0.453674121,0.546325879,363,0.542699725,0.457300275,None,Rahm,Chuy,Yes,Chuy
C14011,0.03436185,0.011921456,0.946704071,0.004908836,0.002103787,133,0.488721805,0.007518797,0.015037594,0.481203008,0.007518797,171,0.321637427,0.678362573,219,0.438356164,0.561643836,None,Rahm,Chuy,Yes,Chuy
C14012,0.26715039,0.007915569,0.694591034,0.022427439,0.007915567,216,0.462962963,0.027777778,0.087962963,0.416666667,0.00462963,312,0.41025641,0.58974359,319,0.448275862,0.551724138,None,Rahm,Chuy,Yes,Chuy
C14013,0.171983359,0.018030512,0.772538142,0.033287099,0.004160888,188,0.468085106,0,0.063829787,0.462765957,0.005319149,238,0.369747899,0.630252101,287,0.449477352,0.550522648,None,Rahm,Chuy,Yes,Chuy
C16018,0.02163624,0.675456375,0.298174452,3.91E-09,0.004732929,195,0.430769231,0.18974359,0.035897436,0.302564103,0.041025641,250,0.444,0.556,314,0.665605096,0.334394904,None,Rahm,Chuy,Yes,Chuy
C16019,0.019808742,0.790983612,0.183060106,0,0.00614754,167,0.431137725,0.245508982,0.011976048,0.25748503,0.053892216,190,0.484210526,0.515789474,320,0.6125,0.3875,None,Rahm,Chuy,Yes,Chuy
C17007,0.036417322,0.377460633,0.577755903,0.000492126,0.007874016,136,0.404411765,0.169117647,0.014705882,0.352941176,0.058823529,181,0.342541436,0.657458564,329,0.531914894,0.468085106,None,Rahm,Chuy,Yes,Chuy
C18001,0.071367148,0.537403271,0.373172831,0.000859845,0.017196905,180,0.394444444,0.161111111,0.033333333,0.316666667,0.094444444,231,0.467532468,0.532467532,332,0.545180723,0.454819277,None,Rahm,Chuy,Yes,Chuy
C18004,0.044152742,0.908114564,0.029832934,0.009546538,0.008353222,276,0.326086957,0.242753623,0.047101449,0.300724638,0.083333333,314,0.496815287,0.503184713,381,0.624671916,0.375328084,None,Rahm,Chuy,Yes,Chuy
C18013,0.091658082,0.750772403,0.131822862,0.007209062,0.01853759,290,0.375862069,0.217241379,0.05862069,0.268965517,0.079310345,318,0.490566038,0.509433962,378,0.605820106,0.394179894,None,Rahm,Chuy,Yes,Chuy
C18029,0.13064914,0.42070665,0.426458508,0.013147083,0.009038619,224,0.415178571,0.169642857,0.035714286,0.366071429,0.013392857,308,0.5,0.5,341,0.62170088,0.37829912,None,Rahm,Chuy,Yes,Chuy
C18030,0.266334783,0.038581209,0.668948353,0.016179214,0.00995644,227,0.462555066,0.017621145,0.088105727,0.414096916,0.017621145,327,0.474006116,0.525993884,342,0.470760234,0.529239766,None,Rahm,Chuy,Yes,Chuy
C18037,0.083619706,0.82245132,0.079037795,0.001145475,0.013745704,292,0.352739726,0.147260274,0.068493151,0.349315068,0.082191781,358,0.497206704,0.502793296,398,0.58040201,0.41959799,None,Rahm,Chuy,Yes,Chuy
C20017,0.027981377,0.492364592,0.458129894,0.001076207,0.020447929,133,0.443609023,0.187969925,0.037593985,0.285714286,0.045112782,157,0.439490446,0.560509554,205,0.570731707,0.429268293,None,Rahm,Chuy,Yes,Chuy
C20026,0.146222553,0.752234006,0.02680747,0.046303805,0.028432165,237,0.396624473,0.172995781,0.050632911,0.316455696,0.063291139,279,0.46953405,0.53046595,396,0.474747475,0.525252525,None,Rahm,Chuy,Yes,Chuy
C23018,0.631268421,0.031465092,0.315634238,0.006882989,0.014749261,250,0.388,0.008,0.228,0.368,0.008,279,0.47311828,0.52688172,242,0.433884298,0.566115702,None,Rahm,Chuy,Yes,Chuy
C24005,5.98E-10,0.962962964,0.027434841,0,0.009602194,133,0.293233083,0.270676692,0.097744361,0.285714286,0.052631579,136,0.485294118,0.514705882,204,0.661764706,0.338235294,None,Rahm,Chuy,Yes,Chuy
C24039,0.035060978,0.534298755,0.416158562,0.00152439,0.012957316,253,0.411067194,0.229249012,0.027667984,0.300395257,0.031620553,296,0.496621622,0.503378378,372,0.725806452,0.274193548,None,Rahm,Chuy,Yes,Chuy
C26004,0.030840401,0.28064767,0.684656878,0.00231303,0.001542021,142,0.436619718,0.112676056,0,0.422535211,0.028169014,168,0.357142857,0.642857143,238,0.546218487,0.453781513,None,Rahm,Chuy,Yes,Chuy
C26040,0.080042692,0.107790826,0.801494123,0.004268944,0.006403416,75,0.466666667,0.053333333,0.04,0.413333333,0.026666667,98,0.326530612,0.673469388,194,0.381443299,0.618556701,None,Rahm,Chuy,Yes,Chuy
C28025,0.024885396,0.941715783,0.017681729,0.003274394,0.012442698,234,0.307692308,0.269230769,0.047008547,0.286324786,0.08974359,273,0.490842491,0.509157509,429,0.668997669,0.331002331,None,Rahm,Chuy,Yes,Chuy
C29022,0.149056606,0.583647802,0.217610058,0.037735848,0.011949685,185,0.335135135,0.2,0.097297297,0.318918919,0.048648649,218,0.45412844,0.54587156,346,0.624277457,0.375722543,None,Rahm,Chuy,Yes,Chuy
C29023,0.497607006,0.116621938,0.324603928,0.033050227,0.028116901,261,0.409961686,0.08045977,0.114942529,0.379310345,0.01532567,331,0.486404834,0.513595166,333,0.477477477,0.522522523,None,Rahm,Chuy,Yes,Chuy
C29032,0.744500827,0.00169205,0.215454043,0.024252683,0.014100397,209,0.406698565,0.019138756,0.153110048,0.401913876,0.019138756,267,0.490636704,0.509363296,245,0.436734694,0.563265306,None,Rahm,Chuy,Yes,Chuy
C29038,0.455388091,0.047212382,0.467961954,0.019532368,0.009905205,199,0.386934673,0.035175879,0.165829146,0.381909548,0.030150754,258,0.476744186,0.523255814,304,0.519736842,0.480263158,None,Rahm,Chuy,Yes,Chuy
C29043,0.23105707,0.434985966,0.27689429,0.036482693,0.020579981,317,0.394321767,0.116719243,0.088328076,0.365930599,0.034700315,390,0.5,0.5,440,0.547727273,0.452272727,None,Rahm,Chuy,Yes,Chuy
C30002,0.367081098,0.02072232,0.577856735,0.024866785,0.009473061,216,0.490740741,0.018518519,0.055555556,0.435185185,0,276,0.460144928,0.539855072,327,0.49235474,0.50764526,None,Rahm,Chuy,Yes,Chuy
C30004,0.432158139,0.013354701,0.523504253,0.023504274,0.007478634,180,0.422222222,0.022222222,0.161111111,0.383333333,0.011111111,282,0.475177305,0.524822695,307,0.433224756,0.566775244,None,Rahm,Chuy,Yes,Chuy
C30010,0.171162327,0.023050516,0.775870531,0.022069643,0.007846984,191,0.460732984,0.020942408,0.078534031,0.429319372,0.010471204,279,0.401433692,0.598566308,377,0.49867374,0.50132626,None,Rahm,Chuy,Yes,Chuy
C30013,0.25288136,0.017627117,0.635932203,0.08,0.013559321,152,0.467105263,0.013157895,0.078947368,0.440789474,0,252,0.444444444,0.555555556,281,0.59430605,0.40569395,None,Rahm,Chuy,Yes,Chuy
C30026,0.210347762,0.005089059,0.710771824,0.055979651,0.017811704,109,0.467889908,0.027522936,0.082568807,0.422018349,0,175,0.44,0.56,192,0.333333333,0.666666667,None,Rahm,Chuy,Yes,Chuy
C30027,0.41659067,0.025524156,0.518687358,0.031905201,0.007292616,112,0.446428571,0.017857143,0.125,0.392857143,0.017857143,157,0.47133758,0.52866242,197,0.532994924,0.467005076,None,Rahm,Chuy,Yes,Chuy
C31003,0.283825824,0.00777605,0.669517877,0.034214618,0.004665631,146,0.48630137,0.006849315,0.068493151,0.431506849,0.006849315,237,0.417721519,0.582278481,230,0.482608696,0.517391304,None,Rahm,Chuy,Yes,Chuy
C31006,0.200544467,0.019056263,0.744101631,0.021778583,0.014519056,152,0.486842105,0.019736842,0.046052632,0.440789474,0.006578947,214,0.406542056,0.593457944,215,0.548837209,0.451162791,None,Rahm,Chuy,Yes,Chuy
C31008,0.21993128,0.030927833,0.703608244,0.032646047,0.012886596,100,0.49,0.04,0.06,0.41,0,151,0.397350993,0.602649007,164,0.554878049,0.445121951,None,Rahm,Chuy,Yes,Chuy
C31010,0.161098722,0.021529322,0.797327414,0.014847809,0.005196733,125,0.472,0.024,0.064,0.432,0.008,181,0.425414365,0.574585635,226,0.5,0.5,None,Rahm,Chuy,Yes,Chuy
C31012,0.28877464,0.015424168,0.651242492,0.034275922,0.010282777,126,0.484126984,0.015873016,0.047619048,0.452380952,0,183,0.43715847,0.56284153,195,0.441025641,0.558974359,None,Rahm,Chuy,Yes,Chuy
C31014,0.378084184,0.011611032,0.571843246,0.025399129,0.013062408,129,0.496124031,0.054263566,0.085271318,0.356589147,0.007751938,203,0.443349754,0.556650246,201,0.427860697,0.572139303,None,Rahm,Chuy,Yes,Chuy
C31020,0.141503049,0.030467162,0.800270817,0.01150982,0.016249151,133,0.481203008,0.045112782,0.037593985,0.413533835,0.022556391,203,0.359605911,0.640394089,220,0.5,0.5,None,Rahm,Chuy,Yes,Chuy
C31037,0.135846372,0.022759608,0.815789466,0.012802278,0.012802276,138,0.463768116,0.02173913,0.043478261,0.456521739,0.014492754,188,0.404255319,0.595744681,213,0.511737089,0.488262911,None,Rahm,Chuy,Yes,Chuy
C33005,0.363813224,0.036316471,0.536964986,0.039559015,0.023346304,216,0.472222222,0.013888889,0.097222222,0.412037037,0.00462963,285,0.487719298,0.512280702,352,0.380681818,0.619318182,None,Rahm,Chuy,Yes,Chuy
C35030,0.124521082,0.040996167,0.583908039,0.214942534,0.035632179,202,0.435643564,0.044554455,0.069306931,0.415841584,0.034653465,273,0.454212454,0.545787546,385,0.462337662,0.537662338,None,Rahm,Chuy,Yes,Chuy
C36005,0.063007158,0.113603818,0.807637234,0.01097852,0.00477327,210,0.40952381,0.123809524,0.057142857,0.404761905,0.004761905,293,0.368600683,0.631399317,348,0.577586207,0.422413793,None,Rahm,Chuy,Yes,Chuy
C36016,0.469904226,0.008207936,0.462380313,0.047195627,0.012311898,237,0.447257384,0.054852321,0.105485232,0.383966245,0.008438819,318,0.48427673,0.51572327,283,0.477031802,0.522968198,None,Rahm,Chuy,Yes,Chuy
C36027,0.374362228,0.022321432,0.562500013,0.022321428,0.018494899,196,0.479591837,0.035714286,0.12755102,0.331632653,0.025510204,272,0.430147059,0.569852941,280,0.496428571,0.503571429,None,Rahm,Chuy,Yes,Chuy
C37002,0.015247779,0.441550172,0.538754779,5.66E-10,0.004447271,127,0.354330709,0.267716535,0.031496063,0.307086614,0.039370079,176,0.414772727,0.585227273,233,0.639484979,0.360515021,None,Rahm,Chuy,Yes,Chuy
C37012,0.029243118,0.427178908,0.517201834,0.002866972,0.023509168,157,0.382165605,0.210191083,0.038216561,0.318471338,0.050955414,191,0.476439791,0.523560209,287,0.557491289,0.442508711,None,Rahm,Chuy,Yes,Chuy
C37022,0.022357728,0.476287288,0.492547394,0.002032522,0.006775069,200,0.405,0.195,0.05,0.33,0.02,240,0.4625,0.5375,325,0.627692308,0.372307692,None,Rahm,Chuy,Yes,Chuy
C39006,0.406420031,0.015778025,0.463003242,0.084330801,0.030467902,251,0.430278884,0.011952191,0.147410359,0.406374502,0.003984064,287,0.466898955,0.533101045,329,0.446808511,0.553191489,None,Rahm,Chuy,Yes,Chuy
C39007,0.444260946,0.028901726,0.321222136,0.180016514,0.025598678,246,0.455284553,0.020325203,0.093495935,0.426829268,0.004065041,273,0.468864469,0.531135531,293,0.460750853,0.539249147,None,Rahm,Chuy,Yes,Chuy
C39016,0.305323597,0.050626304,0.234864306,0.355949888,0.053235905,171,0.467836257,0.01754386,0.035087719,0.456140351,0.023391813,223,0.421524664,0.578475336,267,0.501872659,0.498127341,None,Rahm,Chuy,Yes,Chuy
C39031,0.256382377,0.031504612,0.558392197,0.120586645,0.03313417,209,0.435406699,0.019138756,0.110047847,0.425837321,0.009569378,250,0.468,0.532,312,0.46474359,0.53525641,None,Rahm,Chuy,Yes,Chuy
C40018,0.335288359,0.170087982,0.22189639,0.237536652,0.035190617,180,0.433333333,0.122222222,0.05,0.372222222,0.022222222,231,0.428571429,0.571428571,310,0.483870968,0.516129032,None,Rahm,Chuy,Yes,Chuy
C40039,0.284090889,0.174242447,0.387626263,0.146464641,0.007575761,66,0.484848485,0.075757576,0.045454545,0.348484848,0.045454545,95,0.442105263,0.557894737,111,0.486486486,0.513513514,None,Rahm,Chuy,Yes,Chuy
C45008,0.434103251,0.034646737,0.445652191,0.063858692,0.021739129,263,0.467680608,0.045627376,0.053231939,0.429657795,0.003802281,328,0.5,0.5,335,0.480597015,0.519402985,None,Rahm,Chuy,Yes,Chuy
C45010,0.490138774,0.018991965,0.430971526,0.03798393,0.021913805,291,0.47766323,0.013745704,0.103092784,0.402061856,0.003436426,389,0.483290488,0.516709512,346,0.439306358,0.560693642,None,Rahm,Chuy,Yes,Chuy
C48032,0.463400238,0.276859504,0.139315221,0.076741453,0.043683584,201,0.44278607,0.059701493,0.049751244,0.427860697,0.019900498,258,0.484496124,0.515503876,459,0.407407407,0.592592593,None,Rahm,Chuy,Yes,Chuy
C49009,0.553583627,0.218430028,0.090784991,0.097610908,0.039590446,270,0.455555556,0.044444444,0.062962963,0.422222222,0.014814815,311,0.47266881,0.52733119,441,0.430839002,0.569160998,None,Rahm,Chuy,Yes,Chuy
C49015,0.256934297,0.369343048,0.247445298,0.073722616,0.052554741,190,0.442105263,0.057894737,0.052631579,0.421052632,0.026315789,228,0.469298246,0.530701754,334,0.422155689,0.577844311,None,Rahm,Chuy,Yes,Chuy
C49019,0.190314083,0.294554246,0.452359738,0.019775684,0.042996249,222,0.495495495,0.040540541,0.027027027,0.40990991,0.027027027,272,0.492647059,0.507352941,386,0.445595855,0.554404145,None,Rahm,Chuy,Yes,Chuy
C49027,0.320021882,0.388949672,0.117614881,0.130743979,0.042669585,266,0.443609023,0.082706767,0.018796992,0.417293233,0.037593985,335,0.420895522,0.579104478,523,0.401529637,0.598470363,None,Rahm,Chuy,Yes,Chuy
C50013,0.23841061,0.167402488,0.271891087,0.276306117,0.045989698,190,0.426315789,0.078947368,0.063157895,0.384210526,0.047368421,243,0.407407407,0.592592593,375,0.416,0.584,None,Rahm,Chuy,Yes,Chuy
C50019,0.202133074,0.054342307,0.3011681,0.396648038,0.045708481,156,0.423076923,0.076923077,0.108974359,0.371794872,0.019230769,200,0.355,0.645,194,0.505154639,0.494845361,None,Rahm,Chuy,Yes,Chuy
C50031,0.212523023,0.198526694,0.340699824,0.208103133,0.040147326,211,0.469194313,0.066350711,0.023696682,0.412322275,0.028436019,286,0.458041958,0.541958042,373,0.487935657,0.512064343,None,Rahm,Chuy,Yes,Chuy
C50032,0.24247562,0.195845705,0.215345497,0.300551064,0.045782115,209,0.492822967,0.076555024,0.071770335,0.354066986,0.004784689,256,0.48046875,0.51953125,339,0.486725664,0.513274336,None,Rahm,Chuy,Yes,Chuy
C13016,0.153846162,0.020833333,0.820512813,2.47E-13,0.004807692,157,0.50955414,0.006369427,0.050955414,0.420382166,0.012738854,237,0.455696203,0.544303797,270,0.474074074,0.525925926,Rahm,Rahm,Chuy,Yes,Chuy
C13030,0.097333174,0.025351645,0.874597782,6.04E-11,0.002717399,156,0.506410256,0,0.051282051,0.442307692,0,233,0.446351931,0.553648069,264,0.571969697,0.428030303,Rahm,Rahm,Chuy,Yes,Chuy
C13036,0.187782787,0.029411763,0.761312242,0.018099543,0.003393665,131,0.503816794,0.007633588,0.022900763,0.465648855,0,169,0.437869822,0.562130178,191,0.476439791,0.523560209,Rahm,Rahm,Chuy,Yes,Chuy
C13041,0.084832907,0.036632392,0.869537269,0.007712085,0.001285348,231,0.532467532,0.004329004,0.051948052,0.398268398,0.012987013,284,0.450704225,0.549295775,351,0.495726496,0.504273504,Rahm,Rahm,Chuy,Yes,Chuy
C30006,0.177976182,0.066071419,0.741666684,0.010714288,0.003571428,159,0.553459119,0.044025157,0.037735849,0.358490566,0.006289308,228,0.434210526,0.565789474,283,0.537102473,0.462897527,Rahm,Rahm,Chuy,Yes,Chuy
C31009,0.160389619,0.007792208,0.797402589,0.026623376,0.007792207,135,0.511111111,0.022222222,0.051851852,0.4,0.014814815,248,0.383064516,0.616935484,274,0.427007299,0.572992701,Rahm,Rahm,Chuy,Yes,Chuy
C31029,0.115384623,0.034455123,0.824519228,0.018429488,0.007211538,197,0.507614213,0.045685279,0.035532995,0.395939086,0.015228426,248,0.491935484,0.508064516,272,0.580882353,0.419117647,Rahm,Rahm,Chuy,Yes,Chuy
C50026,0.367798551,0.09385731,0.19687142,0.291873328,0.049599391,210,0.542857143,0.042857143,0.052380952,0.352380952,0.00952381,272,0.481617647,0.518382353,296,0.506756757,0.493243243,Rahm,Rahm,Chuy,Yes,Chuy
C50028,0.298994967,0.219095489,0.179397008,0.274874344,0.027638191,234,0.564102564,0.072649573,0.051282051,0.294871795,0.017094017,313,0.49201278,0.50798722,328,0.594512195,0.405487805,Rahm,Rahm,Chuy,Yes,Chuy
C01003,0.633199461,0.02008032,0.292503347,0.036813925,0.017402947,208,0.456730769,0.014423077,0.072115385,0.451923077,0.004807692,269,0.553903346,0.446096654,424,0.386792453,0.613207547,None,Rahm,Rahm,No,Chuy
C01004,0.545203557,0.01794341,0.385093202,0.035196685,0.016563146,232,0.482758621,0.017241379,0.090517241,0.400862069,0.00862069,277,0.523465704,0.476534296,385,0.441558442,0.558441558,None,Rahm,Rahm,No,Chuy
C01029,0.464653885,0.038291607,0.430780576,0.038291605,0.027982327,224,0.46875,0.044642857,0.071428571,0.401785714,0.013392857,257,0.540856031,0.459143969,363,0.385674931,0.614325069,None,Rahm,Rahm,No,Chuy
C01036,0.676067075,0.017530491,0.226371944,0.051829271,0.02820122,191,0.481675393,0.020942408,0.151832461,0.345549738,0,232,0.646551724,0.353448276,347,0.42074928,0.57925072,None,Rahm,Rahm,No,Chuy
C01037,0.727125512,0.01295547,0.202429144,0.041295544,0.016194331,206,0.45631068,0.004854369,0.13592233,0.398058252,0.004854369,241,0.547717842,0.452282158,376,0.401595745,0.598404255,None,Rahm,Rahm,No,Chuy
C01040,0.409176642,0.101194208,0.445003126,0.027027029,0.017598995,227,0.497797357,0.052863436,0.088105727,0.339207048,0.022026432,281,0.587188612,0.412811388,375,0.522666667,0.477333333,None,Rahm,Rahm,No,Chuy
C02001,0.565363859,0.045148294,0.315363862,0.056603769,0.017520216,186,0.483870968,0.043010753,0.064516129,0.408602151,0,251,0.545816733,0.454183267,384,0.385416667,0.614583333,None,Rahm,Rahm,No,Chuy
C02003,0.744477167,0.017673049,0.181885132,0.040500735,0.015463916,194,0.489690722,0.036082474,0.082474227,0.371134021,0.020618557,276,0.637681159,0.362318841,414,0.449275362,0.550724638,None,Rahm,Rahm,No,Chuy
C02015,0.750000011,0.093543035,0.115066222,0.025662255,0.015728478,205,0.482926829,0.063414634,0.092682927,0.336585366,0.024390244,276,0.630434783,0.369565217,356,0.390449438,0.609550562,None,Rahm,Rahm,No,Chuy
C02021,0.781774577,0.011990409,0.155075935,0.033573144,0.017585934,233,0.459227468,0.012875536,0.072961373,0.450643777,0.004291845,315,0.59047619,0.40952381,376,0.401595745,0.598404255,None,Rahm,Rahm,No,Chuy
C03004,0.017345404,0.941930613,0.021116137,0.002262444,0.017345403,292,0.393835616,0.167808219,0.085616438,0.284246575,0.068493151,351,0.504273504,0.495726496,484,0.599173554,0.400826446,None,Rahm,Rahm,No,Chuy
C03008,0.023722627,0.953163019,0.007907543,0.003041362,0.01216545,197,0.426395939,0.197969543,0.060913706,0.253807107,0.060913706,229,0.585152838,0.414847162,443,0.618510158,0.381489842,None,Rahm,Rahm,No,Chuy
C03009,0.014267185,0.939688715,0.027237354,0.000648509,0.018158237,296,0.429054054,0.219594595,0.047297297,0.260135135,0.043918919,304,0.575657895,0.424342105,444,0.560810811,0.439189189,None,Rahm,Rahm,No,Chuy
C03011,0.015613379,0.956133834,0.011895909,0.000743494,0.015613384,252,0.373015873,0.23015873,0.071428571,0.261904762,0.063492063,304,0.5625,0.4375,472,0.569915254,0.430084746,None,Rahm,Rahm,No,Chuy
C03017,0.292433463,0.55112484,0.04805726,0.087934538,0.0204499,263,0.467680608,0.148288973,0.095057034,0.239543726,0.049429658,309,0.660194175,0.339805825,445,0.579775281,0.420224719,None,Rahm,Rahm,No,Chuy
C03018,0.133333337,0.699186974,0.043902436,0.100813021,0.022764232,334,0.461077844,0.131736527,0.125748503,0.22754491,0.053892216,432,0.611111111,0.388888889,664,0.643072289,0.356927711,None,Rahm,Rahm,No,Chuy
C03020,0.013177158,0.947291363,0.011713031,0.002928258,0.02489019,259,0.420849421,0.212355212,0.054054054,0.235521236,0.077220077,318,0.572327044,0.427672956,493,0.598377282,0.401622718,None,Rahm,Rahm,No,Chuy
C03022,0.600786612,0.133235015,0.072271384,0.162733537,0.030973451,226,0.451327434,0.030973451,0.181415929,0.32300885,0.013274336,296,0.689189189,0.310810811,469,0.44989339,0.55010661,None,Rahm,Rahm,No,Chuy
C03027,0.590501806,0.151433696,0.074372759,0.149641561,0.034050178,225,0.497777778,0.022222222,0.222222222,0.244444444,0.013333333,313,0.709265176,0.290734824,362,0.535911602,0.464088398,None,Rahm,Rahm,No,Chuy
C03030,0.003728562,0.948545864,0.014914242,0.004474272,0.02833706,292,0.383561644,0.205479452,0.071917808,0.273972603,0.065068493,324,0.595679012,0.404320988,434,0.615207373,0.384792627,None,Rahm,Rahm,No,Chuy
C03035,0.071770327,0.844497616,0.055023924,0.011961722,0.016746412,121,0.396694215,0.148760331,0.157024793,0.214876033,0.082644628,163,0.521472393,0.478527607,213,0.633802817,0.366197183,None,Rahm,Rahm,No,Chuy
C03037,0.017391304,0.943478262,0.023913042,0.000724638,0.014492754,220,0.404545455,0.231818182,0.027272727,0.240909091,0.095454545,254,0.582677165,0.417322835,390,0.643589744,0.356410256,None,Rahm,Rahm,No,Chuy
C03040,0.222067048,0.636871497,0.059357542,0.053770952,0.02793296,303,0.491749175,0.115511551,0.095709571,0.234323432,0.062706271,367,0.613079019,0.386920981,492,0.585365854,0.414634146,None,Rahm,Rahm,No,Chuy
C04003,0.017332336,0.941220789,0.021100226,0.004521478,0.015825171,265,0.411320755,0.249056604,0.01509434,0.267924528,0.056603774,305,0.563934426,0.436065574,460,0.636956522,0.363043478,None,Rahm,Rahm,No,Chuy
C04004,0.021943572,0.941065833,0.015047021,0.001253919,0.020689655,352,0.409090909,0.232954545,0.045454545,0.25,0.0625,412,0.550970874,0.449029126,641,0.611544462,0.388455538,None,Rahm,Rahm,No,Chuy
C04005,0.025129988,0.914211439,0.028596187,0.017331016,0.01473137,325,0.406153846,0.153846154,0.049230769,0.344615385,0.046153846,342,0.520467836,0.479532164,480,0.5375,0.4625,None,Rahm,Rahm,No,Chuy
C04007,0.054650043,0.891658684,0.020134228,0.016299135,0.01725791,369,0.433604336,0.157181572,0.059620596,0.292682927,0.056910569,410,0.570731707,0.429268293,545,0.658715596,0.341284404,None,Rahm,Rahm,No,Chuy
C04008,0.030377667,0.922824308,0.019704431,0.005747126,0.021346469,363,0.363636364,0.231404959,0.038567493,0.303030303,0.063360882,416,0.53125,0.46875,533,0.581613508,0.418386492,None,Rahm,Rahm,No,Chuy
C04009,0.034414951,0.882005895,0.014749263,0.041297935,0.027531956,462,0.413419913,0.142857143,0.04978355,0.331168831,0.062770563,485,0.517525773,0.482474227,565,0.626548673,0.373451327,None,Rahm,Rahm,No,Chuy
