prec_id,Arthur Rich,G. K. Butterfield,election
franklin_2,252,481,us_house_of_representatives_district_01
franklin_16,372,732,us_house_of_representatives_district_01
franklin_1,269,658,us_house_of_representatives_district_01
franklin_15,376,918,us_house_of_representatives_district_01
franklin_3,234,419,us_house_of_representatives_district_01
franklin_10,276,236,us_house_of_representatives_district_01
gates_4S,118,222,us_house_of_representatives_district_01
gates_ONESTOP,76,273,us_house_of_representatives_district_01
gates_1,175,241,us_house_of_representatives_district_01
granville_WOEL,162,484,us_house_of_representatives_district_01
granville_ANTI,167,485,us_house_of_representatives_district_01
granville_SOOX,119,591,us_house_of_representatives_district_01
granville_TYHO,922,600,us_house_of_representatives_district_01
granville_CORI,444,532,us_house_of_representatives_district_01
granville_CRDL,253,631,us_house_of_representatives_district_01
granville_BTNR,449,719,us_house_of_representatives_district_01
granville_EAOX,318,734,us_house_of_representatives_district_01
granville_SALM,367,416,us_house_of_representatives_district_01
greene_ONESTOP,529,909,us_house_of_representatives_district_01
greene_BULL,116,126,us_house_of_representatives_district_01
greene_WALS,81,136,us_house_of_representatives_district_01
greene_SHIN,259,167,us_house_of_representatives_district_01
greene_SUGG,143,139,us_house_of_representatives_district_01
greene_SH#1,163,134,us_house_of_representatives_district_01
greene_ARBA,142,150,us_house_of_representatives_district_01
halifax_RR 5,192,100,us_house_of_representatives_district_01
halifax_RR 8,157,162,us_house_of_representatives_district_01
halifax_ENF 2,48,383,us_house_of_representatives_district_01
halifax_WEL 1,51,246,us_house_of_representatives_district_01
halifax_HPR,166,255,us_house_of_representatives_district_01
halifax_WEL 2,76,115,us_house_of_representatives_district_01
halifax_CONC,26,92,us_house_of_representatives_district_01
halifax_RR 4,261,134,us_house_of_representatives_district_01
halifax_ENF1,120,585,us_house_of_representatives_district_01
halifax_RINGW,43,474,us_house_of_representatives_district_01
halifax_RR 7,70,198,us_house_of_representatives_district_01
halifax_RR1-2,248,135,us_house_of_representatives_district_01
halifax_RR 10,505,357,us_house_of_representatives_district_01
halifax_RR 3,242,143,us_house_of_representatives_district_01
halifax_RR 6,222,95,us_house_of_representatives_district_01
halifax_RR 9,176,447,us_house_of_representatives_district_01
halifax_BUTWD,70,75,us_house_of_representatives_district_01
halifax_FAUCT,215,183,us_house_of_representatives_district_01
halifax_HOL,58,684,us_house_of_representatives_district_01
halifax_HAL,85,222,us_house_of_representatives_district_01
halifax_ONESTOP,1260,3900,us_house_of_representatives_district_01
halifax_RR 11,471,281,us_house_of_representatives_district_01
halifax_LIT 1,110,407,us_house_of_representatives_district_01
halifax_LIT 2,387,231,us_house_of_representatives_district_01
halifax_SN,276,676,us_house_of_representatives_district_01
halifax_WEL 3,154,397,us_house_of_representatives_district_01
hertford_M1,222,629,us_house_of_representatives_district_01
hertford_ONESTOP,310,1176,us_house_of_representatives_district_01
hertford_A3,27,423,us_house_of_representatives_district_01
hertford_ML,126,83,us_house_of_representatives_district_01
hertford_SJ,68,215,us_house_of_representatives_district_01
hertford_CM,66,95,us_house_of_representatives_district_01
hertford_BR,18,149,us_house_of_representatives_district_01
hertford_UN,94,177,us_house_of_representatives_district_01
hertford_WN,76,178,us_house_of_representatives_district_01
hertford_A2,250,353,us_house_of_representatives_district_01
hertford_A1,199,401,us_house_of_representatives_district_01
hertford_CO,26,160,us_house_of_representatives_district_01
hertford_HV,96,170,us_house_of_representatives_district_01
hertford_M2,85,305,us_house_of_representatives_district_01
lenoir_K3,114,421,us_house_of_representatives_district_01
lenoir_CURBSIDE,0,0,us_house_of_representatives_district_01
lenoir_V,241,503,us_house_of_representatives_district_01
lenoir_MH,811,1033,us_house_of_representatives_district_01
lenoir_SH,260,118,us_house_of_representatives_district_01
lenoir_K5,156,532,us_house_of_representatives_district_01
lenoir_K1,7,310,us_house_of_representatives_district_01
lenoir_K7,126,779,us_house_of_representatives_district_01
lenoir_K2,10,388,us_house_of_representatives_district_01
lenoir_K6,103,799,us_house_of_representatives_district_01
lenoir_K8,5,555,us_house_of_representatives_district_01
lenoir_K9,333,697,us_house_of_representatives_district_01
martin_GN,130,250,us_house_of_representatives_district_01
martin_R2,141,355,us_house_of_representatives_district_01
martin_HM,92,234,us_house_of_representatives_district_01
martin_ONESTOP,507,1268,us_house_of_representatives_district_01
martin_R1,127,259,us_house_of_representatives_district_01
martin_W1,259,394,us_house_of_representatives_district_01
martin_HS,30,83,us_house_of_representatives_district_01
martin_J,48,112,us_house_of_representatives_district_01
martin_W2,253,505,us_house_of_representatives_district_01
nash_0040A,475,637,us_house_of_representatives_district_01
nash_31,59,215,us_house_of_representatives_district_01
nash_33,44,415,us_house_of_representatives_district_01
nash_34,92,676,us_house_of_representatives_district_01
nash_38,217,476,us_house_of_representatives_district_01
nash_22,172,215,us_house_of_representatives_district_01
nash_32,156,273,us_house_of_representatives_district_01
nash_ONESTOP,1679,4192,us_house_of_representatives_district_01
nash_42,104,170,us_house_of_representatives_district_01
nash_7,146,370,us_house_of_representatives_district_01
nash_21,85,294,us_house_of_representatives_district_01
nash_2,160,202,us_house_of_representatives_district_01
nash_37,40,146,us_house_of_representatives_district_01
nash_25,0,1,us_house_of_representatives_district_01
nash_11,294,421,us_house_of_representatives_district_01
nash_3,226,200,us_house_of_representatives_district_01
nash_4,0,0,us_house_of_representatives_district_01
northampton_GALATI,74,89,us_house_of_representatives_district_01
northampton_SEABOA,95,214,us_house_of_representatives_district_01
northampton_LAKE G,263,252,us_house_of_representatives_district_01
northampton_LASKER,86,41,us_house_of_representatives_district_01
northampton_NEWTOW,103,114,us_house_of_representatives_district_01
northampton_ONESTOP,456,1593,us_house_of_representatives_district_01
northampton_PENDLE,43,53,us_house_of_representatives_district_01
northampton_CREEKS,101,91,us_house_of_representatives_district_01
northampton_MILWAU,54,92,us_house_of_representatives_district_01
northampton_POTECA,20,46,us_house_of_representatives_district_01
northampton_JACKSO,87,131,us_house_of_representatives_district_01
northampton_RICH S,72,319,us_house_of_representatives_district_01
northampton_REHOBE,32,77,us_house_of_representatives_district_01
northampton_WOODLA,61,175,us_house_of_representatives_district_01
northampton_GARYSB,36,432,us_house_of_representatives_district_01
northampton_SEVERN,65,59,us_house_of_representatives_district_01
northampton_CONWAY,144,140,us_house_of_representatives_district_01
northampton_GASTON,162,493,us_house_of_representatives_district_01
northampton_PLEASA,22,87,us_house_of_representatives_district_01
pasquotank_ONESTOP,889,1925,us_house_of_representatives_district_01
pasquotank_4-B,44,265,us_house_of_representatives_district_01
pasquotank_4-A,7,174,us_house_of_representatives_district_01
pasquotank_PRO,73,49,us_house_of_representatives_district_01
pasquotank_MH,389,369,us_house_of_representatives_district_01
pasquotank_3-A,53,149,us_house_of_representatives_district_01
pasquotank_2-B,41,118,us_house_of_representatives_district_01
pasquotank_2-A,32,77,us_house_of_representatives_district_01
pasquotank_1-A,66,125,us_house_of_representatives_district_01
pasquotank_1-B,89,125,us_house_of_representatives_district_01
pasquotank_3-B,10,198,us_house_of_representatives_district_01
pasquotank_NEW,39,141,us_house_of_representatives_district_01
perquimans_WEST H,167,162,us_house_of_representatives_district_01
perquimans_ONESTOP,0,0,us_house_of_representatives_district_01
perquimans_EAST H,164,251,us_house_of_representatives_district_01
perquimans_PARKVI,395,363,us_house_of_representatives_district_01
pitt_1509,2,4,us_house_of_representatives_district_01
pitt_1506,20,91,us_house_of_representatives_district_01
pitt_1201,143,230,us_house_of_representatives_district_01
pitt_1403A2,5,65,us_house_of_representatives_district_01
pitt_1403B,2,15,us_house_of_representatives_district_01
pitt_1512A,36,198,us_house_of_representatives_district_01
pitt_1512B,23,85,us_house_of_representatives_district_01
pitt_1508A,0,1,us_house_of_representatives_district_01
pitt_1403A1,0,0,us_house_of_representatives_district_01
pitt_ONESTOP,774,3624,us_house_of_representatives_district_01
pitt_1101,202,201,us_house_of_representatives_district_01
pitt_0800A,1,0,us_house_of_representatives_district_01
pitt_901,148,132,us_house_of_representatives_district_01
pitt_501,13,29,us_house_of_representatives_district_01
pitt_1505A,128,318,us_house_of_representatives_district_01
pitt_1504A,58,393,us_house_of_representatives_district_01
pitt_1504B,188,494,us_house_of_representatives_district_01
pitt_701,154,114,us_house_of_representatives_district_01
pitt_301,269,535,us_house_of_representatives_district_01
pitt_1503,64,387,us_house_of_representatives_district_01
pitt_1501,10,157,us_house_of_representatives_district_01
pitt_1505B,45,524,us_house_of_representatives_district_01
vance_EH1,61,800,us_house_of_representatives_district_01
vance_NH1,78,805,us_house_of_representatives_district_01
vance_NV,183,394,us_house_of_representatives_district_01
vance_NH,604,1061,us_house_of_representatives_district_01
vance_SH2,71,232,us_house_of_representatives_district_01
vance_MIDD,542,943,us_house_of_representatives_district_01
vance_SH1,145,684,us_house_of_representatives_district_01
vance_WH,876,1093,us_house_of_representatives_district_01
vance_CC,510,548,us_house_of_representatives_district_01
vance_HTOP,100,273,us_house_of_representatives_district_01
warren_14,165,511,us_house_of_representatives_district_01
warren_11,50,124,us_house_of_representatives_district_01
warren_8,66,493,us_house_of_representatives_district_01
warren_9,82,180,us_house_of_representatives_district_01
warren_3,148,272,us_house_of_representatives_district_01
warren_2,242,191,us_house_of_representatives_district_01
warren_12,283,150,us_house_of_representatives_district_01
warren_7,81,296,us_house_of_representatives_district_01
warren_6,106,458,us_house_of_representatives_district_01
warren_1,314,230,us_house_of_representatives_district_01
warren_10,148,702,us_house_of_representatives_district_01
warren_13,104,170,us_house_of_representatives_district_01
warren_4,95,270,us_house_of_representatives_district_01
warren_5,124,511,us_house_of_representatives_district_01
washington_P3,79,203,us_house_of_representatives_district_01
washington_ONESTOP,394,989,us_house_of_representatives_district_01
washington_P1,58,252,us_house_of_representatives_district_01
washington_LM,139,444,us_house_of_representatives_district_01
washington_P2,48,206,us_house_of_representatives_district_01
wayne_22,142,197,us_house_of_representatives_district_01
wayne_ONESTOP,2386,4782,us_house_of_representatives_district_01
wayne_30,94,229,us_house_of_representatives_district_01
wayne_21,111,255,us_house_of_representatives_district_01
wayne_19,9,273,us_house_of_representatives_district_01
wayne_11,153,235,us_house_of_representatives_district_01
wayne_26,224,341,us_house_of_representatives_district_01
wayne_10,94,264,us_house_of_representatives_district_01
wayne_17,15,197,us_house_of_representatives_district_01
wayne_25,2,18,us_house_of_representatives_district_01
wayne_7,605,310,us_house_of_representatives_district_01
wayne_12,263,341,us_house_of_representatives_district_01
wayne_13,117,268,us_house_of_representatives_district_01
wayne_18,39,222,us_house_of_representatives_district_01
wayne_27,62,308,us_house_of_representatives_district_01
wayne_20,32,340,us_house_of_representatives_district_01
wayne_29,104,250,us_house_of_representatives_district_01
wilson_PRWQ,3,302,us_house_of_representatives_district_01
wilson_PRWE,165,487,us_house_of_representatives_district_01
wilson_PRWR,45,628,us_house_of_representatives_district_01
wilson_CURBSIDE,8,187,us_house_of_representatives_district_01
wilson_PRWA,64,306,us_house_of_representatives_district_01
wilson_PRWC,59,664,us_house_of_representatives_district_01
wilson_PRWH,11,222,us_house_of_representatives_district_01
wilson_PRBL,4,4,us_house_of_representatives_district_01
wilson_PRWI,216,542,us_house_of_representatives_district_01
wilson_PRWN,51,1038,us_house_of_representatives_district_01
wilson_PRGA,282,483,us_house_of_representatives_district_01
wilson_PRWB,17,398,us_house_of_representatives_district_01
wilson_PRWD,11,5,us_house_of_representatives_district_01
wilson_PRWJ,29,112,us_house_of_representatives_district_01
wilson_PRST,0,8,us_house_of_representatives_district_01
wilson_PRSA,214,302,us_house_of_representatives_district_01
wilson_PRWM,47,276,us_house_of_representatives_district_01
