prec_id,Alma Adams,Leon Threatt,election
mecklenburg_210,3435,391,us_house_of_representatives_district_12
mecklenburg_150,1457,795,us_house_of_representatives_district_12
mecklenburg_204.1,2793,618,us_house_of_representatives_district_12
mecklenburg_145,3822,2540,us_house_of_representatives_district_12
mecklenburg_125,628,208,us_house_of_representatives_district_12
mecklenburg_122,2215,1340,us_house_of_representatives_district_12
mecklenburg_87,1040,874,us_house_of_representatives_district_12
mecklenburg_81,2176,398,us_house_of_representatives_district_12
mecklenburg_9,1276,903,us_house_of_representatives_district_12
mecklenburg_40,1330,158,us_house_of_representatives_district_12
mecklenburg_140,1553,2014,us_house_of_representatives_district_12
mecklenburg_207,1305,2197,us_house_of_representatives_district_12
mecklenburg_134,2045,2404,us_house_of_representatives_district_12
mecklenburg_133,1220,2088,us_house_of_representatives_district_12
mecklenburg_2,1296,646,us_house_of_representatives_district_12
mecklenburg_11,3249,1877,us_house_of_representatives_district_12
mecklenburg_14,1341,173,us_house_of_representatives_district_12
mecklenburg_243,3698,2248,us_house_of_representatives_district_12
mecklenburg_29,924,345,us_house_of_representatives_district_12
mecklenburg_26,1855,232,us_house_of_representatives_district_12
mecklenburg_23,1000,186,us_house_of_representatives_district_12
mecklenburg_108,1177,175,us_house_of_representatives_district_12
mecklenburg_109,1183,595,us_house_of_representatives_district_12
mecklenburg_43,1564,158,us_house_of_representatives_district_12
mecklenburg_44,802,343,us_house_of_representatives_district_12
mecklenburg_46,1349,423,us_house_of_representatives_district_12
mecklenburg_CURBSIDE 81-96,124,28,us_house_of_representatives_district_12
mecklenburg_238.1,1314,771,us_house_of_representatives_district_12
mecklenburg_38,837,512,us_house_of_representatives_district_12
mecklenburg_21,903,509,us_house_of_representatives_district_12
mecklenburg_235,1197,967,us_house_of_representatives_district_12
mecklenburg_85,981,719,us_house_of_representatives_district_12
mecklenburg_84,1119,225,us_house_of_representatives_district_12
mecklenburg_77,1351,109,us_house_of_representatives_district_12
mecklenburg_106,580,652,us_house_of_representatives_district_12
mecklenburg_99,1097,182,us_house_of_representatives_district_12
mecklenburg_30,1539,493,us_house_of_representatives_district_12
mecklenburg_117,1014,331,us_house_of_representatives_district_12
mecklenburg_116,812,206,us_house_of_representatives_district_12
mecklenburg_208,1031,2241,us_house_of_representatives_district_12
mecklenburg_37,717,729,us_house_of_representatives_district_12
mecklenburg_60,1204,78,us_house_of_representatives_district_12
mecklenburg_52,1521,61,us_house_of_representatives_district_12
mecklenburg_55,960,35,us_house_of_representatives_district_12
mecklenburg_61,1038,341,us_house_of_representatives_district_12
mecklenburg_13,1561,518,us_house_of_representatives_district_12
mecklenburg_16,1885,55,us_house_of_representatives_district_12
mecklenburg_10,1046,805,us_house_of_representatives_district_12
mecklenburg_120,1177,243,us_house_of_representatives_district_12
mecklenburg_66,600,511,us_house_of_representatives_district_12
mecklenburg_129,536,240,us_house_of_representatives_district_12
mecklenburg_126,1659,305,us_house_of_representatives_district_12
mecklenburg_149,2890,603,us_house_of_representatives_district_12
mecklenburg_242,495,1576,us_house_of_representatives_district_12
mecklenburg_237,2079,574,us_house_of_representatives_district_12
mecklenburg_151,2148,710,us_house_of_representatives_district_12
mecklenburg_143,1486,2296,us_house_of_representatives_district_12
mecklenburg_107.1,1953,465,us_house_of_representatives_district_12
mecklenburg_124,1381,183,us_house_of_representatives_district_12
mecklenburg_45,810,291,us_house_of_representatives_district_12
mecklenburg_3,1281,103,us_house_of_representatives_district_12
mecklenburg_64,448,256,us_house_of_representatives_district_12
mecklenburg_138,1632,415,us_house_of_representatives_district_12
mecklenburg_228,1796,726,us_house_of_representatives_district_12
mecklenburg_225,620,723,us_house_of_representatives_district_12
mecklenburg_200,655,665,us_house_of_representatives_district_12
mecklenburg_205,1493,784,us_house_of_representatives_district_12
mecklenburg_230,3250,1442,us_house_of_representatives_district_12
mecklenburg_47,849,996,us_house_of_representatives_district_12
mecklenburg_24,1479,245,us_house_of_representatives_district_12
mecklenburg_27,1351,117,us_house_of_representatives_district_12
mecklenburg_79,850,364,us_house_of_representatives_district_12
