prec_id,B. Mark Walker,Pete Glidewell,election
caswell_PH,809,426,us_house_of_representatives_district_6
caswell_CURBSIDE,74,150,us_house_of_representatives_district_6
caswell_LEAS,259,198,us_house_of_representatives_district_6
caswell_PELH,1301,612,us_house_of_representatives_district_6
caswell_PROVI,349,193,us_house_of_representatives_district_6
caswell_ABSENTEE,177,79,us_house_of_representatives_district_6
guilford_SF4,1888,881,us_house_of_representatives_district_6
guilford_SF3,1335,841,us_house_of_representatives_district_6
guilford_NMAD,939,661,us_house_of_representatives_district_6
guilford_G10,360,1476,us_house_of_representatives_district_6
guilford_G29,478,720,us_house_of_representatives_district_6
guilford_G27,1172,1050,us_house_of_representatives_district_6
guilford_G40A2,444,448,us_house_of_representatives_district_6
guilford_G09,322,1586,us_house_of_representatives_district_6
guilford_GR,1462,318,us_house_of_representatives_district_6
guilford_NWASH,793,146,us_house_of_representatives_district_6
guilford_JEF1,1165,839,us_house_of_representatives_district_6
guilford_SF1,1765,681,us_house_of_representatives_district_6
guilford_G25,605,826,us_house_of_representatives_district_6
guilford_G28,366,475,us_house_of_representatives_district_6
guilford_MON2B,464,831,us_house_of_representatives_district_6
guilford_CG1,839,984,us_house_of_representatives_district_6
guilford_G05,86,983,us_house_of_representatives_district_6
guilford_ABS/CURB/PROV 4,79,54,us_house_of_representatives_district_6
guilford_G72,104,1410,us_house_of_representatives_district_6
guilford_G71,62,1404,us_house_of_representatives_district_6
guilford_MON1,611,1061,us_house_of_representatives_district_6
guilford_OR2,1417,520,us_house_of_representatives_district_6
guilford_NCGR2,1254,445,us_house_of_representatives_district_6
guilford_OR1,2028,722,us_house_of_representatives_district_6
guilford_MON3,2065,967,us_house_of_representatives_district_6
guilford_NCGR1,1662,724,us_house_of_representatives_district_6
guilford_CG3A,727,638,us_house_of_representatives_district_6
guilford_CG3B,1037,1028,us_house_of_representatives_district_6
guilford_MON2A,584,1569,us_house_of_representatives_district_6
guilford_G68,48,1247,us_house_of_representatives_district_6
guilford_G06,45,987,us_house_of_representatives_district_6
guilford_G24,282,619,us_house_of_representatives_district_6
guilford_SCLAY,1261,269,us_house_of_representatives_district_6
guilford_RC2,1649,1351,us_house_of_representatives_district_6
guilford_G26,577,1662,us_house_of_representatives_district_6
guilford_JEF4,793,600,us_house_of_representatives_district_6
guilford_JEF3,526,2221,us_house_of_representatives_district_6
guilford_ABS/PROV/CURB 1,111,152,us_house_of_representatives_district_6
guilford_JEF2,721,1078,us_house_of_representatives_district_6
guilford_SMAD,1080,747,us_house_of_representatives_district_6
guilford_CG2,833,709,us_house_of_representatives_district_6
guilford_ABS/PROV/CURB 3,97,117,us_house_of_representatives_district_6
guilford_SF2,958,324,us_house_of_representatives_district_6
guilford_G02,243,559,us_house_of_representatives_district_6
guilford_STOK,2197,650,us_house_of_representatives_district_6
guilford_RC1,1250,1174,us_house_of_representatives_district_6
guilford_ABS/PROV/CURB 2,29,168,us_house_of_representatives_district_6
guilford_G07,349,891,us_house_of_representatives_district_6
guilford_G04,121,1088,us_house_of_representatives_district_6
guilford_SWASH,554,121,us_house_of_representatives_district_6
guilford_G03,99,1189,us_house_of_representatives_district_6
guilford_G08,364,1172,us_house_of_representatives_district_6
guilford_GIB,1014,754,us_house_of_representatives_district_6
guilford_NCLAY2,836,266,us_house_of_representatives_district_6
lee_C2,347,172,us_house_of_representatives_district_6
lee_E2,262,241,us_house_of_representatives_district_6
lee_OS-PAPER,9375,7522,us_house_of_representatives_district_6
lee_B1,443,129,us_house_of_representatives_district_6
lee_D1,489,188,us_house_of_representatives_district_6
lee_D2,488,183,us_house_of_representatives_district_6
lee_B2,246,204,us_house_of_representatives_district_6
lee_A2,217,528,us_house_of_representatives_district_6
lee_A1,329,372,us_house_of_representatives_district_6
lee_C1,449,266,us_house_of_representatives_district_6
lee_ABSENTEE,352,290,us_house_of_representatives_district_6
lee_E1,431,182,us_house_of_representatives_district_6
person_OLHI,841,319,us_house_of_representatives_district_6
person_WDSD,361,357,us_house_of_representatives_district_6
person_HLWY,519,212,us_house_of_representatives_district_6
person_CUCL,821,443,us_house_of_representatives_district_6
person_ALVI,740,707,us_house_of_representatives_district_6
person_ROX4,496,616,us_house_of_representatives_district_6
person_PNTH,1171,1378,us_house_of_representatives_district_6
person_RCTL,1384,1431,us_house_of_representatives_district_6
person_SWST,902,478,us_house_of_representatives_district_6
person_FLRI,2461,1058,us_house_of_representatives_district_6
person_MTTZ,1197,543,us_house_of_representatives_district_6
rockingham_NB,1984,433,us_house_of_representatives_district_6
rockingham_IR,1372,399,us_house_of_representatives_district_6
rockingham_LK-2,1479,801,us_house_of_representatives_district_6
rockingham_MA,1906,744,us_house_of_representatives_district_6
rockingham_RC,2485,955,us_house_of_representatives_district_6
rockingham_LI,1881,718,us_house_of_representatives_district_6
rockingham_ED-1,1676,891,us_house_of_representatives_district_6
rockingham_EC,1656,942,us_house_of_representatives_district_6
rockingham_DR,905,498,us_house_of_representatives_district_6
rockingham_MC,1755,1386,us_house_of_representatives_district_6
rockingham_WS,2894,1398,us_house_of_representatives_district_6
rockingham_MS,2385,2765,us_house_of_representatives_district_6
rockingham_SE,1613,1103,us_house_of_representatives_district_6
rockingham_HU,2223,593,us_house_of_representatives_district_6
rockingham_HO,945,336,us_house_of_representatives_district_6
randolph_AW,2460,1228,us_house_of_representatives_district_6
randolph_DR,2360,471,us_house_of_representatives_district_6
randolph_AS,2162,633,us_house_of_representatives_district_6
randolph_PR,3332,560,us_house_of_representatives_district_6
randolph_RN,2829,795,us_house_of_representatives_district_6
randolph_RM,1315,559,us_house_of_representatives_district_6
randolph_LC,1294,295,us_house_of_representatives_district_6
randolph_ST,1117,249,us_house_of_representatives_district_6
randolph_SW,1653,211,us_house_of_representatives_district_6
randolph_SE,1206,217,us_house_of_representatives_district_6
randolph_AN,1530,708,us_house_of_representatives_district_6
randolph_NM,2500,413,us_house_of_representatives_district_6
randolph_SO,2047,375,us_house_of_representatives_district_6
randolph_TR,4555,903,us_house_of_representatives_district_6
randolph_LB,1191,649,us_house_of_representatives_district_6
randolph_TB,1665,212,us_house_of_representatives_district_6
randolph_AR,4427,1084,us_house_of_representatives_district_6
randolph_TT,2420,366,us_house_of_representatives_district_6
randolph_GR,2069,463,us_house_of_representatives_district_6
randolph_UG,4088,887,us_house_of_representatives_district_6
randolph_BC,1867,263,us_house_of_representatives_district_6
randolph_AE,1555,1220,us_house_of_representatives_district_6
