prec_id,Mark Meadows,Tom Hill,election
haywood_WE,366,347,us_house_of_representatives_district_11
haywood_AC,500,323,us_house_of_representatives_district_11
haywood_WW,368,291,us_house_of_representatives_district_11
haywood_LJ,452,486,us_house_of_representatives_district_11
henderson_AR,403,212,us_house_of_representatives_district_11
henderson_GR,826,266,us_house_of_representatives_district_11
henderson_EF,584,248,us_house_of_representatives_district_11
henderson_AT,1082,469,us_house_of_representatives_district_11
henderson_HS,803,432,us_house_of_representatives_district_11
henderson_ES,573,329,us_house_of_representatives_district_11
henderson_RR,256,175,us_house_of_representatives_district_11
henderson_CB,389,168,us_house_of_representatives_district_11
henderson_ONESTOP,313,169,us_house_of_representatives_district_11
henderson_EV,858,418,us_house_of_representatives_district_11
henderson_FR,1206,636,us_house_of_representatives_district_11
henderson_RG,742,313,us_house_of_representatives_district_11
henderson_CC,910,371,us_house_of_representatives_district_11
henderson_HV-1,584,541,us_house_of_representatives_district_11
henderson_HV-2,417,438,us_house_of_representatives_district_11
henderson_SB,835,273,us_house_of_representatives_district_11
henderson_NW,474,315,us_house_of_representatives_district_11
henderson_CV,210,125,us_house_of_representatives_district_11
henderson_FL,963,698,us_house_of_representatives_district_11
henderson_BC,226,158,us_house_of_representatives_district_11
henderson_SM,1111,483,us_house_of_representatives_district_11
henderson_HC,898,410,us_house_of_representatives_district_11
henderson_NE,424,266,us_house_of_representatives_district_11
henderson_ED,679,278,us_house_of_representatives_district_11
henderson_BK,221,169,us_house_of_representatives_district_11
henderson_GM,387,153,us_house_of_representatives_district_11
henderson_NM,906,447,us_house_of_representatives_district_11
henderson_MG,245,133,us_house_of_representatives_district_11
henderson_PV,680,409,us_house_of_representatives_district_11
henderson_LJ,659,417,us_house_of_representatives_district_11
henderson_LP,539,430,us_house_of_representatives_district_11
henderson_SW,713,395,us_house_of_representatives_district_11
henderson_HV-3,506,513,us_house_of_representatives_district_11
henderson_NB,989,383,us_house_of_representatives_district_11
henderson_SE,302,129,us_house_of_representatives_district_11
