prec_id,Patrick McHenry,Tate MacQueen,election
cleveland_SHANGI,824,374,us_house_of_representatives_district_10
cleveland_KINGST,160,316,us_house_of_representatives_district_10
cleveland_S S,1322,1137,us_house_of_representatives_district_10
cleveland_POLKVL,746,223,us_house_of_representatives_district_10
cleveland_BR,1414,559,us_house_of_representatives_district_10
cleveland_CASAR,527,86,us_house_of_representatives_district_10
cleveland_MRB-YO,456,145,us_house_of_representatives_district_10
cleveland_RIPPY,932,492,us_house_of_representatives_district_10
cleveland_BETHWR,555,175,us_house_of_representatives_district_10
cleveland_KM N,1108,730,us_house_of_representatives_district_10
cleveland_KM S,1023,611,us_house_of_representatives_district_10
cleveland_FALSTN,591,128,us_house_of_representatives_district_10
cleveland_GROVER,802,346,us_house_of_representatives_district_10
gaston_9,226,137,us_house_of_representatives_district_10
gaston_10,348,199,us_house_of_representatives_district_10
gaston_26,427,154,us_house_of_representatives_district_10
gaston_24,426,211,us_house_of_representatives_district_10
gaston_30,318,102,us_house_of_representatives_district_10
gaston_44,831,272,us_house_of_representatives_district_10
gaston_13,442,209,us_house_of_representatives_district_10
gaston_18,767,429,us_house_of_representatives_district_10
gaston_42,505,141,us_house_of_representatives_district_10
gaston_8,121,190,us_house_of_representatives_district_10
gaston_32,476,193,us_house_of_representatives_district_10
gaston_ONESTOP,14099,8178,us_house_of_representatives_district_10
gaston_12,406,148,us_house_of_representatives_district_10
gaston_45,395,212,us_house_of_representatives_district_10
gaston_7,11,198,us_house_of_representatives_district_10
gaston_25,404,105,us_house_of_representatives_district_10
gaston_14,272,87,us_house_of_representatives_district_10
gaston_43,648,226,us_house_of_representatives_district_10
gaston_46,628,220,us_house_of_representatives_district_10
gaston_15,929,370,us_house_of_representatives_district_10
gaston_17,654,248,us_house_of_representatives_district_10
gaston_1,159,122,us_house_of_representatives_district_10
gaston_16,730,179,us_house_of_representatives_district_10
gaston_19,604,225,us_house_of_representatives_district_10
gaston_4,644,296,us_house_of_representatives_district_10
gaston_27,878,290,us_house_of_representatives_district_10
gaston_28,722,207,us_house_of_representatives_district_10
gaston_31,686,169,us_house_of_representatives_district_10
gaston_6,72,226,us_house_of_representatives_district_10
gaston_23,559,254,us_house_of_representatives_district_10
gaston_3,139,180,us_house_of_representatives_district_10
gaston_11,133,150,us_house_of_representatives_district_10
gaston_29,812,150,us_house_of_representatives_district_10
gaston_2,195,200,us_house_of_representatives_district_10
gaston_5,142,233,us_house_of_representatives_district_10
gaston_33,313,57,us_house_of_representatives_district_10
gaston_40,480,203,us_house_of_representatives_district_10
gaston_36,786,174,us_house_of_representatives_district_10
gaston_41,427,121,us_house_of_representatives_district_10
gaston_37,395,112,us_house_of_representatives_district_10
gaston_21,308,182,us_house_of_representatives_district_10
gaston_22,755,216,us_house_of_representatives_district_10
gaston_20,584,142,us_house_of_representatives_district_10
gaston_38,482,78,us_house_of_representatives_district_10
gaston_39,660,110,us_house_of_representatives_district_10
gaston_34,413,93,us_house_of_representatives_district_10
gaston_35,385,104,us_house_of_representatives_district_10
lincoln_LW31,603,177,us_house_of_representatives_district_10
lincoln_PC22,385,78,us_house_of_representatives_district_10
lincoln_IS20,480,95,us_house_of_representatives_district_10
lincoln_ONESTOP,5652,2937,us_house_of_representatives_district_10
lincoln_AS25,641,165,us_house_of_representatives_district_10
lincoln_DN29,447,103,us_house_of_representatives_district_10
lincoln_NB35,796,197,us_house_of_representatives_district_10
lincoln_BS26,432,129,us_house_of_representatives_district_10
lincoln_LS12,219,171,us_house_of_representatives_district_10
lincoln_DV08,662,175,us_house_of_representatives_district_10
lincoln_DW28,372,108,us_house_of_representatives_district_10
lincoln_LN11,261,185,us_house_of_representatives_district_10
lincoln_LI14,353,132,us_house_of_representatives_district_10
lincoln_LW18,225,79,us_house_of_representatives_district_10
lincoln_HC33,694,268,us_house_of_representatives_district_10
lincoln_TA37,566,161,us_house_of_representatives_district_10
lincoln_IS23,559,195,us_house_of_representatives_district_10
lincoln_CF19,365,78,us_house_of_representatives_district_10
lincoln_ST36,614,205,us_house_of_representatives_district_10
lincoln_WP32,765,230,us_house_of_representatives_district_10
lincoln_OB21,453,65,us_house_of_representatives_district_10
lincoln_SL24,470,130,us_house_of_representatives_district_10
lincoln_LB34,645,175,us_house_of_representatives_district_10
lincoln_BC13,206,136,us_house_of_representatives_district_10
polk_WO06,508,296,us_house_of_representatives_district_10
polk_TR123,720,836,us_house_of_representatives_district_10
polk_CL07,667,460,us_house_of_representatives_district_10
polk_GC09,772,485,us_house_of_representatives_district_10
polk_CG05,444,145,us_house_of_representatives_district_10
polk_CL08,832,484,us_house_of_representatives_district_10
polk_SA04,435,291,us_house_of_representatives_district_10
rutherford_CURBSIDE,135,92,us_house_of_representatives_district_10
rutherford_27,1156,560,us_house_of_representatives_district_10
rutherford_28,465,199,us_house_of_representatives_district_10
rutherford_06A,688,373,us_house_of_representatives_district_10
rutherford_19,492,200,us_house_of_representatives_district_10
rutherford_04A,689,261,us_house_of_representatives_district_10
rutherford_14,581,373,us_house_of_representatives_district_10
rutherford_34,489,160,us_house_of_representatives_district_10
rutherford_10A,431,105,us_house_of_representatives_district_10
rutherford_16A,808,311,us_house_of_representatives_district_10
rutherford_09A,1039,336,us_house_of_representatives_district_10
rutherford_29,566,218,us_house_of_representatives_district_10
rutherford_11,1658,568,us_house_of_representatives_district_10
rutherford_03A,811,177,us_house_of_representatives_district_10
rutherford_05A,652,282,us_house_of_representatives_district_10
rutherford_13,877,731,us_house_of_representatives_district_10
rutherford_18,631,330,us_house_of_representatives_district_10
rutherford_30,749,539,us_house_of_representatives_district_10
