prec_id,David Rouzer,J. Wesley Casteen,"Jonathan Barfield, Jr.",Write-In (Miscellaneous),election,Louis Harmati (Write-In)
hoke_1,48,6,70,1,us_house_of_representatives_district_07,0
hoke_62,153,19,177,2,us_house_of_representatives_district_07,0
hoke_3,98,9,211,2,us_house_of_representatives_district_07,0
johnston_PR36,903,40,294,0,us_house_of_representatives_district_07,
johnston_PR37,1253,47,403,1,us_house_of_representatives_district_07,
johnston_PR08,742,32,128,0,us_house_of_representatives_district_07,
johnston_PR28,1137,63,492,0,us_house_of_representatives_district_07,
johnston_PR30,771,40,473,1,us_house_of_representatives_district_07,
johnston_PR19,530,17,176,0,us_house_of_representatives_district_07,
johnston_PR31B,1408,88,687,0,us_house_of_representatives_district_07,
johnston_PR11A,709,36,495,0,us_house_of_representatives_district_07,
johnston_PR09,1397,70,600,0,us_house_of_representatives_district_07,
johnston_PR26,333,17,620,0,us_house_of_representatives_district_07,
johnston_PR33,1140,48,293,0,us_house_of_representatives_district_07,
johnston_PR38,753,25,115,0,us_house_of_representatives_district_07,
johnston_PR12A,1150,48,588,0,us_house_of_representatives_district_07,
johnston_PR04,402,5,167,0,us_house_of_representatives_district_07,
johnston_PR07,954,40,249,1,us_house_of_representatives_district_07,
johnston_PR11B,1094,66,754,3,us_house_of_representatives_district_07,
johnston_PR12B,1040,52,588,1,us_house_of_representatives_district_07,
johnston_PR14,782,23,141,0,us_house_of_representatives_district_07,
johnston_PR23A,1003,46,341,1,us_house_of_representatives_district_07,
johnston_PR22,999,38,285,0,us_house_of_representatives_district_07,
johnston_PR34,1232,85,1123,0,us_house_of_representatives_district_07,
johnston_PR35,1364,61,454,0,us_house_of_representatives_district_07,
johnston_PR27B,619,25,392,1,us_house_of_representatives_district_07,
johnston_PR31A,726,40,362,0,us_house_of_representatives_district_07,
johnston_PR13,830,18,231,0,us_house_of_representatives_district_07,
johnston_PR21,882,34,193,1,us_house_of_representatives_district_07,
johnston_PR24,345,19,523,0,us_house_of_representatives_district_07,
johnston_PR29A,1491,88,547,0,us_house_of_representatives_district_07,
johnston_PR32,807,40,320,0,us_house_of_representatives_district_07,
johnston_PR27A,471,23,370,0,us_house_of_representatives_district_07,
johnston_PR10A,521,35,563,0,us_house_of_representatives_district_07,
johnston_PR29B,1881,88,916,1,us_house_of_representatives_district_07,
johnston_PR25,440,24,435,0,us_house_of_representatives_district_07,
johnston_PR20,772,33,413,0,us_house_of_representatives_district_07,
johnston_PR10B,684,29,271,0,us_house_of_representatives_district_07,
johnston_PR23B,1015,68,404,0,us_house_of_representatives_district_07,
lenoir_W,420,7,111,0,us_house_of_representatives_district_07,
lenoir_N,895,32,418,0,us_house_of_representatives_district_07,
lenoir_CURBSIDE,0,0,0,0,us_house_of_representatives_district_07,
lenoir_SW,310,22,101,1,us_house_of_representatives_district_07,
lenoir_PH1,236,8,46,0,us_house_of_representatives_district_07,
lenoir_I,500,18,214,0,us_house_of_representatives_district_07,
lenoir_T1,496,22,131,0,us_house_of_representatives_district_07,
lenoir_K4,780,25,572,0,us_house_of_representatives_district_07,
lenoir_FC,1436,35,544,5,us_house_of_representatives_district_07,
lenoir_T2,345,13,82,2,us_house_of_representatives_district_07,
lenoir_PH2,369,12,114,1,us_house_of_representatives_district_07,
new hanover_ONESTOP,0,0,0,0,us_house_of_representatives_district_07,0
new hanover_M02,1768,127,1273,1,us_house_of_representatives_district_07,0
new hanover_M07,517,47,364,1,us_house_of_representatives_district_07,0
new hanover_W28,10,2,8,0,us_house_of_representatives_district_07,0
new hanover_H08,1655,118,1007,1,us_house_of_representatives_district_07,0
new hanover_M04,1596,116,1312,4,us_house_of_representatives_district_07,0
new hanover_H03,1463,107,860,3,us_house_of_representatives_district_07,0
new hanover_H04,956,79,672,2,us_house_of_representatives_district_07,0
new hanover_FP04,1158,67,713,0,us_house_of_representatives_district_07,0
new hanover_FP05,599,53,342,0,us_house_of_representatives_district_07,0
new hanover_FP03,546,34,365,1,us_house_of_representatives_district_07,0
new hanover_W30,791,84,844,4,us_house_of_representatives_district_07,0
new hanover_WB,686,36,383,1,us_house_of_representatives_district_07,0
new hanover_H11,1275,96,878,2,us_house_of_representatives_district_07,0
new hanover_W12,375,35,527,1,us_house_of_representatives_district_07,0
new hanover_W18,331,35,310,0,us_house_of_representatives_district_07,0
new hanover_W21,782,95,791,1,us_house_of_representatives_district_07,0
new hanover_FP07,1216,81,759,1,us_house_of_representatives_district_07,0
new hanover_CF05,657,48,484,0,us_house_of_representatives_district_07,0
new hanover_FP02,646,83,523,0,us_house_of_representatives_district_07,0
new hanover_CF06,707,58,522,3,us_house_of_representatives_district_07,0
new hanover_M06,874,40,566,0,us_house_of_representatives_district_07,0
new hanover_H06,627,79,528,1,us_house_of_representatives_district_07,0
new hanover_W31,1144,56,800,3,us_house_of_representatives_district_07,0
new hanover_H10,608,57,772,1,us_house_of_representatives_district_07,0
new hanover_H01,389,30,317,0,us_house_of_representatives_district_07,0
new hanover_H02,1462,57,565,2,us_house_of_representatives_district_07,0
new hanover_M03,877,78,612,1,us_house_of_representatives_district_07,0
new hanover_W17,673,47,565,0,us_house_of_representatives_district_07,0
new hanover_H05,1079,79,657,3,us_house_of_representatives_district_07,0
new hanover_FP06,825,75,609,1,us_house_of_representatives_district_07,0
new hanover_H09,2360,129,1326,4,us_house_of_representatives_district_07,0
new hanover_CF02,714,51,450,0,us_house_of_representatives_district_07,0
new hanover_W16,860,82,712,0,us_house_of_representatives_district_07,1
pender_LT18,1033,52,357,0,us_house_of_representatives_district_07,
pender_CURBSIDE,12,0,13,0,us_house_of_representatives_district_07,
pender_UT14,1151,69,413,1,us_house_of_representatives_district_07,
pender_SC13,885,48,395,2,us_house_of_representatives_district_07,
pender_SP15,792,49,365,1,us_house_of_representatives_district_07,
pender_MT19,931,54,456,3,us_house_of_representatives_district_07,
pender_SH12,624,37,202,1,us_house_of_representatives_district_07,
robeson_28,0,0,0,0,us_house_of_representatives_district_07,
robeson_34,130,14,138,2,us_house_of_representatives_district_07,
robeson_ONESTOP,38,1,84,0,us_house_of_representatives_district_07,
robeson_10,169,10,167,0,us_house_of_representatives_district_07,
robeson_33,55,9,72,0,us_house_of_representatives_district_07,
robeson_26A,149,13,152,4,us_house_of_representatives_district_07,
robeson_21,329,33,328,2,us_house_of_representatives_district_07,
sampson_MING,696,28,178,1,us_house_of_representatives_district_07,0
sampson_GARL,145,7,169,0,us_house_of_representatives_district_07,0
sampson_PLVW,828,16,123,0,us_house_of_representatives_district_07,0
sampson_KEEN,283,18,84,1,us_house_of_representatives_district_07,0
sampson_KFRK,305,9,222,0,us_house_of_representatives_district_07,0
sampson_ROSE,213,12,80,0,us_house_of_representatives_district_07,0
sampson_CLWE,344,16,138,0,us_house_of_representatives_district_07,0
sampson_NGRV,282,13,135,0,us_house_of_representatives_district_07,0
sampson_GIDD,169,6,181,0,us_house_of_representatives_district_07,0
sampson_SBRG,251,9,92,0,us_house_of_representatives_district_07,0
sampson_ONESTOP,2828,106,3008,5,us_house_of_representatives_district_07,0
sampson_INGO,144,9,121,0,us_house_of_representatives_district_07,0
sampson_TURK,173,15,217,1,us_house_of_representatives_district_07,0
sampson_CLNE,317,24,166,1,us_house_of_representatives_district_07,0
sampson_LAKE,211,21,421,2,us_house_of_representatives_district_07,0
sampson_ROWA,293,10,171,0,us_house_of_representatives_district_07,0
sampson_HARR,187,6,396,1,us_house_of_representatives_district_07,0
sampson_HERR,290,9,36,0,us_house_of_representatives_district_07,0
sampson_CLSW,186,17,127,0,us_house_of_representatives_district_07,0
sampson_WBRK,341,10,108,0,us_house_of_representatives_district_07,0
sampson_CLCE,37,6,189,1,us_house_of_representatives_district_07,0
sampson_CLEM,383,16,123,0,us_house_of_representatives_district_07,0
sampson_AUTR,334,14,82,0,us_house_of_representatives_district_07,0
sampson_CLEA,253,14,402,0,us_house_of_representatives_district_07,0
