prec_id,David Price,Sue Googe,election
wake_14246,357,245,us_house_of_representatives_district_4
wake_43841,297,605,us_house_of_representatives_district_4
wake_43846,551,410,us_house_of_representatives_district_4
wake_43848,483,456,us_house_of_representatives_district_4
wake_43940,284,310,us_house_of_representatives_district_4
wake_43939,453,401,us_house_of_representatives_district_4
wake_OSWD 81-91,7,6,us_house_of_representatives_district_4
wake_16-06,275,168,us_house_of_representatives_district_4
wake_OSWD 1-40,605,411,us_house_of_representatives_district_4
wake_43937,430,354,us_house_of_representatives_district_4
wake_43942,376,224,us_house_of_representatives_district_4
wake_44013,418,298,us_house_of_representatives_district_4
wake_OSCH 81-91,174,18,us_house_of_representatives_district_4
wake_OSAB 1-40,2736,1384,us_house_of_representatives_district_4
wake_OSHS 41-80,37,24,us_house_of_representatives_district_4
wake_PROVI 81-91,8,10,us_house_of_representatives_district_4
wake_43954,392,529,us_house_of_representatives_district_4
wake_43837,472,227,us_house_of_representatives_district_4
wake_44023,228,250,us_house_of_representatives_district_4
wake_44017,316,298,us_house_of_representatives_district_4
wake_07-07A,257,150,us_house_of_representatives_district_4
wake_44014,281,260,us_house_of_representatives_district_4
wake_OSKD 1-40,2880,1263,us_house_of_representatives_district_4
wake_OSGR 1-40,7812,2095,us_house_of_representatives_district_4
wake_20-17,435,514,us_house_of_representatives_district_4
wake_OSFV 41-80,12,11,us_house_of_representatives_district_4
wake_43956,913,809,us_house_of_representatives_district_4
wake_43941,565,452,us_house_of_representatives_district_4
wake_44052,319,296,us_house_of_representatives_district_4
wake_44045,536,570,us_house_of_representatives_district_4
wake_19-16,333,399,us_house_of_representatives_district_4
wake_43840,427,319,us_house_of_representatives_district_4
wake_43843,469,173,us_house_of_representatives_district_4
wake_43845,315,331,us_house_of_representatives_district_4
wake_OSCH 41-80,2164,205,us_house_of_representatives_district_4
wake_OSAB 81-91,52,38,us_house_of_representatives_district_4
wake_OSHS 1-40,375,179,us_house_of_representatives_district_4
wake_OSLL 41-80,4405,1823,us_house_of_representatives_district_4
wake_OSOP 1-40,5656,3734,us_house_of_representatives_district_4
wake_16-07,483,563,us_house_of_representatives_district_4
wake_16-02,846,244,us_house_of_representatives_district_4
wake_18264,576,52,us_house_of_representatives_district_4
wake_OSFB 1-40,6654,3388,us_house_of_representatives_district_4
wake_OSFB 81-91,4,1,us_house_of_representatives_district_4
wake_OSAV 1-40,6150,2328,us_house_of_representatives_district_4
wake_OSNB 81-91,3,0,us_house_of_representatives_district_4
