prec_id,Robert Pittenger,Shawn Eckles (Write-In),Write-In (Miscellaneous),election
mecklenburg_47,808,5,46,us_house_of_representatives_district_09
mecklenburg_32,827,6,23,us_house_of_representatives_district_09
mecklenburg_37,536,13,40,us_house_of_representatives_district_09
mecklenburg_38,405,8,42,us_house_of_representatives_district_09
mecklenburg_57,686,6,33,us_house_of_representatives_district_09
mecklenburg_8,835,2,41,us_house_of_representatives_district_09
mecklenburg_19,629,6,19,us_house_of_representatives_district_09
mecklenburg_9,684,15,75,us_house_of_representatives_district_09
mecklenburg_93,642,8,23,us_house_of_representatives_district_09
mecklenburg_226,949,17,55,us_house_of_representatives_district_09
mecklenburg_209,1250,23,67,us_house_of_representatives_district_09
mecklenburg_229,1577,27,97,us_house_of_representatives_district_09
mecklenburg_243,1599,41,122,us_house_of_representatives_district_09
mecklenburg_122,1095,23,63,us_house_of_representatives_district_09
mecklenburg_225,470,5,21,us_house_of_representatives_district_09
mecklenburg_228,584,16,73,us_house_of_representatives_district_09
mecklenburg_134,1488,21,76,us_house_of_representatives_district_09
mecklenburg_230,1093,215,97,us_house_of_representatives_district_09
mecklenburg_114,1028,15,42,us_house_of_representatives_district_09
mecklenburg_223.1,1526,27,107,us_house_of_representatives_district_09
mecklenburg_142,1578,27,46,us_house_of_representatives_district_09
mecklenburg_143,1770,23,70,us_house_of_representatives_district_09
mecklenburg_224,559,6,25,us_house_of_representatives_district_09
mecklenburg_200,419,2,24,us_house_of_representatives_district_09
mecklenburg_145,2038,49,147,us_house_of_representatives_district_09
mecklenburg_241,1433,28,63,us_house_of_representatives_district_09
mecklenburg_207,1552,12,48,us_house_of_representatives_district_09
mecklenburg_127,1484,31,56,us_house_of_representatives_district_09
mecklenburg_239,589,13,67,us_house_of_representatives_district_09
mecklenburg_202,1772,75,102,us_house_of_representatives_district_09
mecklenburg_133,1399,10,58,us_house_of_representatives_district_09
mecklenburg_240,1559,27,54,us_house_of_representatives_district_09
mecklenburg_206,1131,55,147,us_house_of_representatives_district_09
mecklenburg_208,1632,30,49,us_house_of_representatives_district_09
mecklenburg_242,1294,14,23,us_house_of_representatives_district_09
mecklenburg_115,329,7,13,us_house_of_representatives_district_09
mecklenburg_94,361,7,39,us_house_of_representatives_district_09
mecklenburg_85,612,12,60,us_house_of_representatives_district_09
mecklenburg_44,303,18,77,us_house_of_representatives_district_09
mecklenburg_34,367,11,46,us_house_of_representatives_district_09
mecklenburg_2,492,15,95,us_house_of_representatives_district_09
mecklenburg_15,482,29,138,us_house_of_representatives_district_09
mecklenburg_109,439,30,96,us_house_of_representatives_district_09
mecklenburg_102,704,16,71,us_house_of_representatives_district_09
mecklenburg_64,212,6,22,us_house_of_representatives_district_09
mecklenburg_235,815,5,39,us_house_of_representatives_district_09
mecklenburg_217,712,5,35,us_house_of_representatives_district_09
mecklenburg_150,681,15,49,us_house_of_representatives_district_09
mecklenburg_80,439,13,66,us_house_of_representatives_district_09
mecklenburg_89,1137,26,108,us_house_of_representatives_district_09
mecklenburg_35,483,6,37,us_house_of_representatives_district_09
mecklenburg_221,1539,11,43,us_house_of_representatives_district_09
mecklenburg_236,1291,15,30,us_house_of_representatives_district_09
mecklenburg_234,786,13,32,us_house_of_representatives_district_09
mecklenburg_218,921,5,24,us_house_of_representatives_district_09
mecklenburg_219,721,4,22,us_house_of_representatives_district_09
mecklenburg_215,1017,15,36,us_house_of_representatives_district_09
mecklenburg_136,747,12,21,us_house_of_representatives_district_09
mecklenburg_220,1128,4,30,us_house_of_representatives_district_09
mecklenburg_91,1532,13,61,us_house_of_representatives_district_09
mecklenburg_233,1427,15,36,us_house_of_representatives_district_09
mecklenburg_216,1199,13,49,us_house_of_representatives_district_09
mecklenburg_227,1606,17,87,us_house_of_representatives_district_09
mecklenburg_121,1469,7,49,us_house_of_representatives_district_09
mecklenburg_70,764,4,40,us_house_of_representatives_district_09
mecklenburg_65,463,4,42,us_house_of_representatives_district_09
mecklenburg_68,366,5,23,us_house_of_representatives_district_09
mecklenburg_110,531,3,20,us_house_of_representatives_district_09
mecklenburg_100,828,8,34,us_house_of_representatives_district_09
mecklenburg_103,1137,17,62,us_house_of_representatives_district_09
mecklenburg_119,446,7,27,us_house_of_representatives_district_09
mecklenburg_71,731,4,35,us_house_of_representatives_district_09
mecklenburg_90,487,9,21,us_house_of_representatives_district_09
mecklenburg_36,760,6,48,us_house_of_representatives_district_09
mecklenburg_67,504,6,32,us_house_of_representatives_district_09
mecklenburg_69,1436,17,78,us_house_of_representatives_district_09
mecklenburg_7,331,9,41,us_house_of_representatives_district_09
mecklenburg_96,588,14,38,us_house_of_representatives_district_09
mecklenburg_111,881,7,39,us_house_of_representatives_district_09
mecklenburg_106,595,11,35,us_house_of_representatives_district_09
mecklenburg_74,872,5,40,us_house_of_representatives_district_09
mecklenburg_131,674,5,16,us_house_of_representatives_district_09
mecklenburg_48,828,4,29,us_house_of_representatives_district_09
mecklenburg_118,812,9,40,us_house_of_representatives_district_09
mecklenburg_72,579,6,39,us_house_of_representatives_district_09
mecklenburg_73,535,1,32,us_house_of_representatives_district_09
mecklenburg_66,448,9,34,us_house_of_representatives_district_09
mecklenburg_232,1438,16,59,us_house_of_representatives_district_09
mecklenburg_148,2303,25,108,us_house_of_representatives_district_09
mecklenburg_112,810,8,25,us_house_of_representatives_district_09
mecklenburg_113,1223,3,50,us_house_of_representatives_district_09
mecklenburg_137,1800,5,49,us_house_of_representatives_district_09
mecklenburg_139.1,999,7,26,us_house_of_representatives_district_09
mecklenburg_231,853,16,50,us_house_of_representatives_district_09
mecklenburg_144,1157,16,34,us_house_of_representatives_district_09
mecklenburg_129,170,1,12,us_house_of_representatives_district_09
mecklenburg_140,1489,14,53,us_house_of_representatives_district_09
mecklenburg_128,683,27,55,us_house_of_representatives_district_09
mecklenburg_214,650,29,60,us_house_of_representatives_district_09
mecklenburg_238.1,662,15,47,us_house_of_representatives_district_09
union_029C,685,9,24,us_house_of_representatives_district_09
union_037A,1104,9,98,us_house_of_representatives_district_09
union_ONESTOP,0,0,0,us_house_of_representatives_district_09
union_14,378,3,7,us_house_of_representatives_district_09
union_21,705,1,17,us_house_of_representatives_district_09
union_15,1295,14,62,us_house_of_representatives_district_09
union_029B,586,3,27,us_house_of_representatives_district_09
union_40,1353,14,58,us_house_of_representatives_district_09
union_7,229,0,6,us_house_of_representatives_district_09
union_028C,1148,7,35,us_house_of_representatives_district_09
union_028D,1242,5,42,us_house_of_representatives_district_09
union_020A,965,13,56,us_house_of_representatives_district_09
union_5,425,3,40,us_house_of_representatives_district_09
union_020B,1087,15,64,us_house_of_representatives_district_09
union_22,1102,2,16,us_house_of_representatives_district_09
union_18,1047,10,35,us_house_of_representatives_district_09
union_42,149,0,3,us_house_of_representatives_district_09
union_029A,1089,6,116,us_house_of_representatives_district_09
union_41,1214,8,39,us_house_of_representatives_district_09
union_19,1522,15,55,us_house_of_representatives_district_09
union_017B,1405,7,103,us_house_of_representatives_district_09
union_33,804,6,31,us_house_of_representatives_district_09
union_017A,992,5,49,us_house_of_representatives_district_09
union_028A,1514,4,58,us_house_of_representatives_district_09
union_028B,1170,6,30,us_house_of_representatives_district_09
union_31,682,2,42,us_house_of_representatives_district_09
union_037B,667,1,17,us_house_of_representatives_district_09
union_35,707,4,22,us_house_of_representatives_district_09
