prec_id,Christian Cano,Robert Pittenger,election
robeson_17,83,68,us_house_of_representatives_district_9
robeson_36,152,179,us_house_of_representatives_district_9
robeson_ABSENTEE,285,334,us_house_of_representatives_district_9
robeson_12,242,145,us_house_of_representatives_district_9
robeson_15,225,41,us_house_of_representatives_district_9
robeson_3,150,415,us_house_of_representatives_district_9
robeson_23,347,397,us_house_of_representatives_district_9
robeson_24,133,139,us_house_of_representatives_district_9
robeson_40,103,111,us_house_of_representatives_district_9
robeson_32A,501,545,us_house_of_representatives_district_9
robeson_37,41,236,us_house_of_representatives_district_9
robeson_21,335,441,us_house_of_representatives_district_9
robeson_18A,145,337,us_house_of_representatives_district_9
robeson_05A,574,340,us_house_of_representatives_district_9
robeson_30,327,335,us_house_of_representatives_district_9
robeson_33,103,100,us_house_of_representatives_district_9
robeson_13,188,252,us_house_of_representatives_district_9
robeson_26A,538,250,us_house_of_representatives_district_9
robeson_10,213,211,us_house_of_representatives_district_9
robeson_9,188,252,us_house_of_representatives_district_9
robeson_OS LUMBERTON BOE,5283,4173,us_house_of_representatives_district_9
scotland_1,386,64,us_house_of_representatives_district_9
scotland_2,271,74,us_house_of_representatives_district_9
scotland_5,131,301,us_house_of_representatives_district_9
scotland_8,104,192,us_house_of_representatives_district_9
scotland_10,259,274,us_house_of_representatives_district_9
scotland_9,194,286,us_house_of_representatives_district_9
scotland_6,93,73,us_house_of_representatives_district_9
scotland_3,282,326,us_house_of_representatives_district_9
scotland_4,282,432,us_house_of_representatives_district_9
scotland_7,399,301,us_house_of_representatives_district_9
scotland_ABSENTEE,120,159,us_house_of_representatives_district_9
union_27,265,1006,us_house_of_representatives_district_9
union_028D,1036,2004,us_house_of_representatives_district_9
union_24,303,1351,us_house_of_representatives_district_9
union_028C,806,1736,us_house_of_representatives_district_9
union_7,801,1552,us_house_of_representatives_district_9
union_36,382,969,us_house_of_representatives_district_9
union_35,414,1073,us_house_of_representatives_district_9
union_5,679,1343,us_house_of_representatives_district_9
union_4,655,169,us_house_of_representatives_district_9
union_15,1082,1947,us_house_of_representatives_district_9
union_12,208,1549,us_house_of_representatives_district_9
union_40,772,1989,us_house_of_representatives_district_9
union_029B,402,830,us_house_of_representatives_district_9
union_16,1029,2374,us_house_of_representatives_district_9
union_22,286,1536,us_house_of_representatives_district_9
union_18,516,1438,us_house_of_representatives_district_9
union_25,346,993,us_house_of_representatives_district_9
union_42,437,861,us_house_of_representatives_district_9
union_038A,873,1389,us_house_of_representatives_district_9
union_029A,1380,1834,us_house_of_representatives_district_9
union_34,577,1748,us_house_of_representatives_district_9
union_33,518,1139,us_house_of_representatives_district_9
union_ABSENTEE,0,0,us_house_of_representatives_district_9
union_41,799,1966,us_house_of_representatives_district_9
union_39,290,1257,us_house_of_representatives_district_9
union_13,226,1761,us_house_of_representatives_district_9
union_10,551,270,us_house_of_representatives_district_9
union_3,394,319,us_house_of_representatives_district_9
union_2,724,405,us_house_of_representatives_district_9
union_9,601,365,us_house_of_representatives_district_9
union_19,1140,2626,us_house_of_representatives_district_9
union_26,273,1036,us_house_of_representatives_district_9
