prec_id,George Holding,John P. McNeil,election
wake_43865,586,225,us_house_of_representatives_district_2
wake_OSWD 81-91,0,0,us_house_of_representatives_district_2
wake_20-06B,716,429,us_house_of_representatives_district_2
wake_OSWD 1-40,1664,1106,us_house_of_representatives_district_2
wake_19-03,674,357,us_house_of_representatives_district_2
wake_OSCH 81-91,0,35,us_house_of_representatives_district_2
wake_20-05,713,377,us_house_of_representatives_district_2
wake_OSAB 1-40,3322,3397,us_house_of_representatives_district_2
wake_OSHS 41-80,46,76,us_house_of_representatives_district_2
wake_PROVI 81-91,2,3,us_house_of_representatives_district_2
wake_44167,821,609,us_house_of_representatives_district_2
wake_OSKD 1-40,493,442,us_house_of_representatives_district_2
wake_OSGR 1-40,268,385,us_house_of_representatives_district_2
wake_OSFV 41-80,181,103,us_house_of_representatives_district_2
wake_19-09,606,290,us_house_of_representatives_district_2
wake_44047,461,259,us_house_of_representatives_district_2
wake_44171,630,318,us_house_of_representatives_district_2
wake_44050,650,397,us_house_of_representatives_district_2
wake_44075,498,245,us_house_of_representatives_district_2
wake_19-13,329,309,us_house_of_representatives_district_2
wake_43863,1205,553,us_house_of_representatives_district_2
wake_43866,314,176,us_house_of_representatives_district_2
wake_OSCH 41-80,41,540,us_house_of_representatives_district_2
wake_OSAB 81-91,4,5,us_house_of_representatives_district_2
wake_20-11,714,425,us_house_of_representatives_district_2
wake_OSHS 1-40,6361,7231,us_house_of_representatives_district_2
wake_OSLL 41-80,531,631,us_house_of_representatives_district_2
wake_OSOP 1-40,894,648,us_house_of_representatives_district_2
wake_19-10,1172,586,us_house_of_representatives_district_2
wake_15-03,1204,448,us_house_of_representatives_district_2
wake_44105,237,103,us_house_of_representatives_district_2
wake_44166,1088,466,us_house_of_representatives_district_2
wake_43867,672,226,us_house_of_representatives_district_2
wake_44077,273,152,us_house_of_representatives_district_2
wake_43991,988,499,us_house_of_representatives_district_2
wake_43986,482,445,us_house_of_representatives_district_2
wake_OSFB 1-40,204,242,us_house_of_representatives_district_2
wake_OSFB 81-91,0,0,us_house_of_representatives_district_2
wake_OSAV 1-40,3094,2936,us_house_of_representatives_district_2
wake_OSNB 81-91,48,8,us_house_of_representatives_district_2
wilson_PRTO,0,0,us_house_of_representatives_district_2
wilson_CURBSIDE,0,0,us_house_of_representatives_district_2
wilson_ABSENTEE,233,73,us_house_of_representatives_district_2
wilson_PRWP,0,0,us_house_of_representatives_district_2
wilson_PRBL,609,175,us_house_of_representatives_district_2
wilson_PRCR,531,197,us_house_of_representatives_district_2
wilson_PRWL,0,0,us_house_of_representatives_district_2
wilson_PRSP,522,151,us_house_of_representatives_district_2
wilson_PRWJ,0,0,us_house_of_representatives_district_2
wilson_PROL,700,211,us_house_of_representatives_district_2
wilson_PRTA,491,397,us_house_of_representatives_district_2
