prec_id,Joshua (Josh) Brannon,Virginia Foxx,election
forsyth_53,371,755,us_house_of_representatives_district_05
forsyth_101,562,562,us_house_of_representatives_district_05
forsyth_909,355,327,us_house_of_representatives_district_05
forsyth_12,271,855,us_house_of_representatives_district_05
forsyth_15,257,565,us_house_of_representatives_district_05
forsyth_67,280,442,us_house_of_representatives_district_05
forsyth_705,594,350,us_house_of_representatives_district_05
forsyth_133,912,1779,us_house_of_representatives_district_05
forsyth_54,509,998,us_house_of_representatives_district_05
forsyth_51,404,880,us_house_of_representatives_district_05
forsyth_72,817,1490,us_house_of_representatives_district_05
forsyth_73,437,1121,us_house_of_representatives_district_05
forsyth_75,96,264,us_house_of_representatives_district_05
forsyth_92,241,627,us_house_of_representatives_district_05
forsyth_112,443,806,us_house_of_representatives_district_05
forsyth_14,263,695,us_house_of_representatives_district_05
forsyth_708,920,801,us_house_of_representatives_district_05
forsyth_803,395,719,us_house_of_representatives_district_05
forsyth_806,389,634,us_house_of_representatives_district_05
forsyth_809,725,915,us_house_of_representatives_district_05
forsyth_11,759,1223,us_house_of_representatives_district_05
forsyth_62,364,656,us_house_of_representatives_district_05
forsyth_82,1139,863,us_house_of_representatives_district_05
forsyth_132,721,1093,us_house_of_representatives_district_05
forsyth_43,450,557,us_house_of_representatives_district_05
forsyth_903,727,455,us_house_of_representatives_district_05
forsyth_801,389,350,us_house_of_representatives_district_05
forsyth_13,704,1000,us_house_of_representatives_district_05
forsyth_21,396,1222,us_house_of_representatives_district_05
forsyth_63,532,1284,us_house_of_representatives_district_05
forsyth_65,579,1263,us_house_of_representatives_district_05
forsyth_68,400,846,us_house_of_representatives_district_05
forsyth_131,641,935,us_house_of_representatives_district_05
forsyth_709,659,521,us_house_of_representatives_district_05
forsyth_52,245,436,us_house_of_representatives_district_05
forsyth_32,418,744,us_house_of_representatives_district_05
forsyth_55,525,1153,us_house_of_representatives_district_05
forsyth_74,667,767,us_house_of_representatives_district_05
forsyth_701,330,417,us_house_of_representatives_district_05
forsyth_702,491,285,us_house_of_representatives_district_05
forsyth_707,359,288,us_house_of_representatives_district_05
forsyth_905,542,296,us_house_of_representatives_district_05
forsyth_123,527,712,us_house_of_representatives_district_05
forsyth_601,535,200,us_house_of_representatives_district_05
forsyth_604,357,132,us_house_of_representatives_district_05
forsyth_802,419,590,us_house_of_representatives_district_05
forsyth_805,672,791,us_house_of_representatives_district_05
forsyth_907,560,413,us_house_of_representatives_district_05
forsyth_111,208,623,us_house_of_representatives_district_05
forsyth_507,1156,727,us_house_of_representatives_district_05
forsyth_808,759,484,us_house_of_representatives_district_05
forsyth_61,341,570,us_house_of_representatives_district_05
forsyth_64,191,309,us_house_of_representatives_district_05
forsyth_66,266,678,us_house_of_representatives_district_05
forsyth_81,839,508,us_house_of_representatives_district_05
forsyth_703,399,227,us_house_of_representatives_district_05
forsyth_704,532,293,us_house_of_representatives_district_05
forsyth_908,693,914,us_house_of_representatives_district_05
forsyth_201,1160,249,us_house_of_representatives_district_05
forsyth_506,350,247,us_house_of_representatives_district_05
forsyth_902,524,143,us_house_of_representatives_district_05
forsyth_904,655,258,us_house_of_representatives_district_05
forsyth_83,670,290,us_house_of_representatives_district_05
forsyth_306,476,96,us_house_of_representatives_district_05
forsyth_706,339,225,us_house_of_representatives_district_05
forsyth_607,644,513,us_house_of_representatives_district_05
forsyth_606,413,281,us_house_of_representatives_district_05
forsyth_603,694,202,us_house_of_representatives_district_05
forsyth_602,951,650,us_house_of_representatives_district_05
forsyth_605,900,481,us_house_of_representatives_district_05
forsyth_207,674,178,us_house_of_representatives_district_05
forsyth_503,463,104,us_house_of_representatives_district_05
iredell_ST2,510,729,us_house_of_representatives_district_05
iredell_ST5,642,698,us_house_of_representatives_district_05
iredell_TB,370,686,us_house_of_representatives_district_05
iredell_EM,135,395,us_house_of_representatives_district_05
iredell_CS,412,822,us_house_of_representatives_district_05
iredell_NH,119,481,us_house_of_representatives_district_05
iredell_ST1,621,1191,us_house_of_representatives_district_05
iredell_ST4,602,857,us_house_of_representatives_district_05
iredell_CH-A,456,711,us_house_of_representatives_district_05
iredell_ST3,699,550,us_house_of_representatives_district_05
iredell_UG,154,604,us_house_of_representatives_district_05
iredell_ST6,761,575,us_house_of_representatives_district_05
iredell_CH-B,73,123,us_house_of_representatives_district_05
rowan_41,556,634,us_house_of_representatives_district_05
rowan_39,388,476,us_house_of_representatives_district_05
rowan_29,129,408,us_house_of_representatives_district_05
rowan_32,241,532,us_house_of_representatives_district_05
rowan_27,182,402,us_house_of_representatives_district_05
rowan_12,384,387,us_house_of_representatives_district_05
rowan_7,369,462,us_house_of_representatives_district_05
rowan_24,144,467,us_house_of_representatives_district_05
rowan_40,578,639,us_house_of_representatives_district_05
rowan_45,286,276,us_house_of_representatives_district_05
rowan_21,411,759,us_house_of_representatives_district_05
rowan_11,427,875,us_house_of_representatives_district_05
watauga_12,112,60,us_house_of_representatives_district_05
watauga_15,297,414,us_house_of_representatives_district_05
watauga_17,100,117,us_house_of_representatives_district_05
watauga_7,294,368,us_house_of_representatives_district_05
watauga_13,197,152,us_house_of_representatives_district_05
watauga_10,137,166,us_house_of_representatives_district_05
watauga_6,120,82,us_house_of_representatives_district_05
watauga_3,314,383,us_house_of_representatives_district_05
watauga_9,75,128,us_house_of_representatives_district_05
watauga_18,186,385,us_house_of_representatives_district_05
watauga_2,131,250,us_house_of_representatives_district_05
watauga_5,167,74,us_house_of_representatives_district_05
watauga_8,236,422,us_house_of_representatives_district_05
watauga_ONESTOP,4540,3194,us_house_of_representatives_district_05
watauga_11,207,397,us_house_of_representatives_district_05
watauga_14,246,311,us_house_of_representatives_district_05
watauga_16,14,39,us_house_of_representatives_district_05
watauga_19,341,512,us_house_of_representatives_district_05
watauga_4,313,525,us_house_of_representatives_district_05
watauga_1,64,76,us_house_of_representatives_district_05
watauga_20,52,94,us_house_of_representatives_district_05
wilkes_107,176,711,us_house_of_representatives_district_05
wilkes_ONESTOP,1780,3380,us_house_of_representatives_district_05
wilkes_124,88,336,us_house_of_representatives_district_05
wilkes_104,92,313,us_house_of_representatives_district_05
wilkes_105,93,320,us_house_of_representatives_district_05
wilkes_102,144,322,us_house_of_representatives_district_05
wilkes_108,124,237,us_house_of_representatives_district_05
wilkes_109,79,161,us_house_of_representatives_district_05
wilkes_111,114,366,us_house_of_representatives_district_05
wilkes_117,124,375,us_house_of_representatives_district_05
wilkes_123,63,218,us_house_of_representatives_district_05
wilkes_128,232,587,us_house_of_representatives_district_05
wilkes_113,154,302,us_house_of_representatives_district_05
wilkes_114,55,164,us_house_of_representatives_district_05
wilkes_120,89,355,us_house_of_representatives_district_05
wilkes_126,57,187,us_house_of_representatives_district_05
wilkes_129,179,506,us_house_of_representatives_district_05
wilkes_106,96,239,us_house_of_representatives_district_05
wilkes_112,143,534,us_house_of_representatives_district_05
wilkes_118,217,294,us_house_of_representatives_district_05
wilkes_110,35,90,us_house_of_representatives_district_05
wilkes_121,126,380,us_house_of_representatives_district_05
wilkes_127,214,367,us_house_of_representatives_district_05
wilkes_125,59,196,us_house_of_representatives_district_05
wilkes_119,223,662,us_house_of_representatives_district_05
wilkes_101,71,167,us_house_of_representatives_district_05
wilkes_115A,211,694,us_house_of_representatives_district_05
wilkes_103,50,178,us_house_of_representatives_district_05
wilkes_122,34,310,us_house_of_representatives_district_05
yadkin_BNVL,269,800,us_house_of_representatives_district_05
yadkin_SLIB,171,663,us_house_of_representatives_district_05
yadkin_DCRK,144,489,us_house_of_representatives_district_05
yadkin_NFAL,74,397,us_house_of_representatives_district_05
yadkin_NLIB,269,717,us_house_of_representatives_district_05
yadkin_FBSH,238,986,us_house_of_representatives_district_05
yadkin_NKNB,308,739,us_house_of_representatives_district_05
yadkin_NBCK,111,455,us_house_of_representatives_district_05
yadkin_EBND,213,630,us_house_of_representatives_district_05
yadkin_SKNB,53,434,us_house_of_representatives_district_05
yadkin_ONESTOP,533,1392,us_house_of_representatives_district_05
yadkin_SFAL,110,488,us_house_of_representatives_district_05
yadkin_SBCK,83,251,us_house_of_representatives_district_05
