prec_id,Mark Meadows,Rick Bryson,election
burke_52,536,291,us_house_of_representatives_district_11
burke_3,616,166,us_house_of_representatives_district_11
burke_48,907,551,us_house_of_representatives_district_11
burke_ABSENTEE,0,0,us_house_of_representatives_district_11
burke_22,936,316,us_house_of_representatives_district_11
burke_20,420,253,us_house_of_representatives_district_11
burke_15,739,189,us_house_of_representatives_district_11
burke_64,369,156,us_house_of_representatives_district_11
burke_0029-B,502,177,us_house_of_representatives_district_11
burke_70,1167,424,us_house_of_representatives_district_11
cherokee_PCHT,1067,371,us_house_of_representatives_district_11
cherokee_GCRK,255,54,us_house_of_representatives_district_11
cherokee_HOTH,671,198,us_house_of_representatives_district_11
cherokee_ANSW,756,267,us_house_of_representatives_district_11
cherokee_MURN,898,393,us_house_of_representatives_district_11
cherokee_MARB,698,202,us_house_of_representatives_district_11
cherokee_ANNW,683,269,us_house_of_representatives_district_11
cherokee_HANG,433,88,us_house_of_representatives_district_11
cherokee_RGER,787,290,us_house_of_representatives_district_11
cherokee_HIWA,948,264,us_house_of_representatives_district_11
cherokee_CSON,469,136,us_house_of_representatives_district_11
cherokee_UNKA,287,83,us_house_of_representatives_district_11
cherokee_TOPT,245,49,us_house_of_representatives_district_11
cherokee_BRAS,402,187,us_house_of_representatives_district_11
cherokee_BELL,592,223,us_house_of_representatives_district_11
cherokee_MURS,1033,362,us_house_of_representatives_district_11
clay_WARN,345,140,us_house_of_representatives_district_11
clay_SWEE,346,129,us_house_of_representatives_district_11
clay_HAYC,196,83,us_house_of_representatives_district_11
clay_HAY2,643,287,us_house_of_representatives_district_11
clay_TUSQ,334,122,us_house_of_representatives_district_11
clay_BRAS,422,179,us_house_of_representatives_district_11
clay_SHCR,647,156,us_house_of_representatives_district_11
clay_HAY1,575,241,us_house_of_representatives_district_11
clay_HIAW,677,258,us_house_of_representatives_district_11
graham_STEC,571,180,us_house_of_representatives_district_11
graham_EAST,1180,401,us_house_of_representatives_district_11
graham_WEST,1013,300,us_house_of_representatives_district_11
graham_TAPO,273,47,us_house_of_representatives_district_11
haywood_WS-2,622,501,us_house_of_representatives_district_11
haywood_ID,336,272,us_house_of_representatives_district_11
haywood_BE-1,524,235,us_house_of_representatives_district_11
haywood_CL-S,989,573,us_house_of_representatives_district_11
henderson_HC,1517,666,us_house_of_representatives_district_11
henderson_EV,1218,540,us_house_of_representatives_district_11
henderson_ED,1163,406,us_house_of_representatives_district_11
henderson_CURBSIDE,1272,701,us_house_of_representatives_district_11
henderson_CB,575,231,us_house_of_representatives_district_11
henderson_NB,1700,609,us_house_of_representatives_district_11
henderson_FR,1538,895,us_house_of_representatives_district_11
henderson_BC,370,228,us_house_of_representatives_district_11
henderson_RG,1075,453,us_house_of_representatives_district_11
henderson_HV-3,794,793,us_house_of_representatives_district_11
henderson_RR,406,223,us_house_of_representatives_district_11
henderson_SM,1741,677,us_house_of_representatives_district_11
henderson_EF,1010,433,us_house_of_representatives_district_11
henderson_CC,1582,713,us_house_of_representatives_district_11
henderson_GR,1310,411,us_house_of_representatives_district_11
henderson_PR,1095,492,us_house_of_representatives_district_11
henderson_HS,1066,577,us_house_of_representatives_district_11
henderson_AR,619,327,us_house_of_representatives_district_11
henderson_ES,927,440,us_house_of_representatives_district_11
henderson_LP,697,581,us_house_of_representatives_district_11
henderson_SW,1039,596,us_house_of_representatives_district_11
henderson_SE,499,246,us_house_of_representatives_district_11
henderson_LJ,896,571,us_house_of_representatives_district_11
henderson_ABSENTEE,1973,1099,us_house_of_representatives_district_11
henderson_NM,1298,684,us_house_of_representatives_district_11
henderson_PV,946,524,us_house_of_representatives_district_11
henderson_GM,569,268,us_house_of_representatives_district_11
henderson_MG,441,208,us_house_of_representatives_district_11
henderson_AT,1485,643,us_house_of_representatives_district_11
henderson_CV,235,142,us_house_of_representatives_district_11
henderson_FL,1623,1080,us_house_of_representatives_district_11
henderson_HV-1,812,739,us_house_of_representatives_district_11
henderson_HV-2,653,673,us_house_of_representatives_district_11
henderson_NW,759,477,us_house_of_representatives_district_11
henderson_BK,530,276,us_house_of_representatives_district_11
henderson_NE,674,386,us_house_of_representatives_district_11
henderson_SB,1380,403,us_house_of_representatives_district_11
jackson_GLV,788,309,us_house_of_representatives_district_11
jackson_CFK,239,154,us_house_of_representatives_district_11
jackson_SAV,501,295,us_house_of_representatives_district_11
jackson_ABSENTEE,265,263,us_house_of_representatives_district_11
jackson_SSW,834,948,us_house_of_representatives_district_11
jackson_SND,859,907,us_house_of_representatives_district_11
jackson_RIV,311,207,us_house_of_representatives_district_11
jackson_CAN,202,102,us_house_of_representatives_district_11
jackson_BCK,546,294,us_house_of_representatives_district_11
jackson_CURBSIDE OS,45,57,us_house_of_representatives_district_11
jackson_SCC,558,453,us_house_of_representatives_district_11
jackson_QUA,955,870,us_house_of_representatives_district_11
jackson_CURBSIDE ED,19,20,us_house_of_representatives_district_11
jackson_GCK,391,313,us_house_of_representatives_district_11
jackson_CUL,1776,2199,us_house_of_representatives_district_11
jackson_WEB,663,652,us_house_of_representatives_district_11
jackson_CAS,851,368,us_house_of_representatives_district_11
haywood_SA,801,550,us_house_of_representatives_district_11
haywood_PC,550,187,us_house_of_representatives_district_11
haywood_WW,626,410,us_house_of_representatives_district_11
haywood_WS-1,780,635,us_house_of_representatives_district_11
haywood_P,1277,474,us_house_of_representatives_district_11
haywood_BE-7,604,195,us_house_of_representatives_district_11
haywood_BE-2,478,249,us_house_of_representatives_district_11
haywood_BC,9,6,us_house_of_representatives_district_11
haywood_FC-1,297,155,us_house_of_representatives_district_11
haywood_EF,565,210,us_house_of_representatives_district_11
haywood_CE,235,52,us_house_of_representatives_district_11
haywood_BE-4,775,314,us_house_of_representatives_district_11
haywood_CL-N,900,463,us_house_of_representatives_district_11
haywood_CURBSIDE,197,203,us_house_of_representatives_district_11
haywood_WE,603,443,us_house_of_representatives_district_11
haywood_WO,112,76,us_house_of_representatives_district_11
haywood_LJ,664,581,us_house_of_representatives_district_11
haywood_ABSENTEE,577,433,us_house_of_representatives_district_11
haywood_AC,858,490,us_house_of_representatives_district_11
haywood_JC,1251,704,us_house_of_representatives_district_11
haywood_IH,1517,836,us_house_of_representatives_district_11
haywood_FC-2,72,34,us_house_of_representatives_district_11
haywood_CR,624,404,us_house_of_representatives_district_11
haywood_BE-3,810,388,us_house_of_representatives_district_11
haywood_BE56,680,465,us_house_of_representatives_district_11
haywood_HA,339,251,us_house_of_representatives_district_11
haywood_WC,192,220,us_house_of_representatives_district_11
macon_11,475,160,us_house_of_representatives_district_11
macon_8,116,34,us_house_of_representatives_district_11
macon_2,132,57,us_house_of_representatives_district_11
macon_5,324,127,us_house_of_representatives_district_11
macon_10,136,44,us_house_of_representatives_district_11
macon_ABSENTEE,555,321,us_house_of_representatives_district_11
macon_13,248,48,us_house_of_representatives_district_11
macon_3,261,113,us_house_of_representatives_district_11
macon_9,312,136,us_house_of_representatives_district_11
macon_6,295,124,us_house_of_representatives_district_11
macon_OSBOE,6412,3264,us_house_of_representatives_district_11
macon_4,248,106,us_house_of_representatives_district_11
macon_1,220,99,us_house_of_representatives_district_11
macon_14,186,57,us_house_of_representatives_district_11
macon_15,359,160,us_house_of_representatives_district_11
macon_12,317,140,us_house_of_representatives_district_11
macon_OSHOS,704,471,us_house_of_representatives_district_11
macon_7,305,117,us_house_of_representatives_district_11
mcdowell_NEBO,1447,474,us_house_of_representatives_district_11
mcdowell_N.COVE,426,122,us_house_of_representatives_district_11
mcdowell_FORT 2,533,184,us_house_of_representatives_district_11
mcdowell_CCREEK,1308,504,us_house_of_representatives_district_11
mcdowell_DYSART,1110,311,us_house_of_representatives_district_11
mcdowell_43894,406,182,us_house_of_representatives_district_11
mcdowell_WEST M,1658,563,us_house_of_representatives_district_11
mcdowell_GLENWD,919,231,us_house_of_representatives_district_11
mcdowell_43891,1355,501,us_house_of_representatives_district_11
mcdowell_PLEASA,1195,369,us_house_of_representatives_district_11
mcdowell_T.COVE,448,81,us_house_of_representatives_district_11
mcdowell_M.COVE,909,210,us_house_of_representatives_district_11
mcdowell_43893,405,145,us_house_of_representatives_district_11
mcdowell_43892,510,461,us_house_of_representatives_district_11
mcdowell_43895,391,164,us_house_of_representatives_district_11
mcdowell_HIGGIN,607,190,us_house_of_representatives_district_11
mcdowell_FORT 1,639,253,us_house_of_representatives_district_11
madison_GRAPEV,470,252,us_house_of_representatives_district_11
madison_LAUREL,358,222,us_house_of_representatives_district_11
madison_BEECH,1179,570,us_house_of_representatives_district_11
madison_MARS H,1466,1087,us_house_of_representatives_district_11
madison_EBBS C,457,238,us_house_of_representatives_district_11
madison_SANDY,213,137,us_house_of_representatives_district_11
madison_REVERE,77,113,us_house_of_representatives_district_11
madison_HOT SP,304,226,us_house_of_representatives_district_11
madison_NORTH,925,617,us_house_of_representatives_district_11
madison_SPRING,289,222,us_house_of_representatives_district_11
madison_WALNUT,523,322,us_house_of_representatives_district_11
madison_SOUTH,354,299,us_house_of_representatives_district_11
mitchell_9,662,278,us_house_of_representatives_district_11
mitchell_6,336,68,us_house_of_representatives_district_11
mitchell_3,349,68,us_house_of_representatives_district_11
mitchell_7,124,19,us_house_of_representatives_district_11
mitchell_4,3203,890,us_house_of_representatives_district_11
mitchell_1,705,192,us_house_of_representatives_district_11
mitchell_2,201,14,us_house_of_representatives_district_11
mitchell_8,181,35,us_house_of_representatives_district_11
mitchell_5,428,77,us_house_of_representatives_district_11
transylvania_EF,435,265,us_house_of_representatives_district_11
transylvania_LR,788,365,us_house_of_representatives_district_11
transylvania_BD,1204,580,us_house_of_representatives_district_11
transylvania_PF,566,293,us_house_of_representatives_district_11
transylvania_B1,555,701,us_house_of_representatives_district_11
transylvania_CC,1152,498,us_house_of_representatives_district_11
transylvania_DR,1005,774,us_house_of_representatives_district_11
transylvania_B3,747,654,us_house_of_representatives_district_11
transylvania_WC,725,496,us_house_of_representatives_district_11
transylvania_B2,441,591,us_house_of_representatives_district_11
transylvania_TC7,856,281,us_house_of_representatives_district_11
transylvania_RE,1003,261,us_house_of_representatives_district_11
transylvania_CM,311,247,us_house_of_representatives_district_11
transylvania_B4,497,586,us_house_of_representatives_district_11
transylvania_TC1,501,86,us_house_of_representatives_district_11
swain_WHCH,771,785,us_house_of_representatives_district_11
swain_BC1,881,585,us_house_of_representatives_district_11
swain_BC2,798,676,us_house_of_representatives_district_11
swain_ALARKA,334,226,us_house_of_representatives_district_11
swain_ALMOND,551,332,us_house_of_representatives_district_11
yancey_07 BRU,160,100,us_house_of_representatives_district_11
yancey_09 SOU,770,611,us_house_of_representatives_district_11
yancey_08 CRA,1223,595,us_house_of_representatives_district_11
yancey_02 CAN,646,305,us_house_of_representatives_district_11
yancey_11 PRI,625,235,us_house_of_representatives_district_11
yancey_03 EGY,206,125,us_house_of_representatives_district_11
yancey_04 RAM,152,65,us_house_of_representatives_district_11
yancey_05 GRE,195,128,us_house_of_representatives_district_11
yancey_01 BUR,1319,929,us_house_of_representatives_district_11
yancey_10 PEN,240,135,us_house_of_representatives_district_11
yancey_06 JAC,628,370,us_house_of_representatives_district_11
