prec_id,Brenda Cleary,George Holding,election
wake_43846,106,93,us_house_of_representatives_district_13
wake_44024,537,418,us_house_of_representatives_district_13
wake_44174,506,829,us_house_of_representatives_district_13
wake_44170,795,1522,us_house_of_representatives_district_13
wake_18-07,368,818,us_house_of_representatives_district_13
wake_43927,600,592,us_house_of_representatives_district_13
wake_43988,855,941,us_house_of_representatives_district_13
wake_43987,451,887,us_house_of_representatives_district_13
wake_44173,691,731,us_house_of_representatives_district_13
wake_20-03,507,650,us_house_of_representatives_district_13
wake_43928,499,791,us_house_of_representatives_district_13
wake_43933,529,594,us_house_of_representatives_district_13
wake_20-04,649,632,us_house_of_representatives_district_13
wake_43986,532,523,us_house_of_representatives_district_13
wake_20-08,578,860,us_house_of_representatives_district_13
wake_18-05,852,1149,us_house_of_representatives_district_13
wake_43931,573,552,us_house_of_representatives_district_13
wake_44166,614,1285,us_house_of_representatives_district_13
wake_18-02,646,1199,us_house_of_representatives_district_13
wake_18-03,428,561,us_house_of_representatives_district_13
wake_44171,403,792,us_house_of_representatives_district_13
wake_20-09,479,584,us_house_of_representatives_district_13
wake_18-08,659,693,us_house_of_representatives_district_13
wake_20-05,659,874,us_house_of_representatives_district_13
wake_44167,683,888,us_house_of_representatives_district_13
wake_43989,534,704,us_house_of_representatives_district_13
wake_15-03,517,1251,us_house_of_representatives_district_13
wake_44077,346,663,us_house_of_representatives_district_13
wake_19-09,481,977,us_house_of_representatives_district_13
wake_44105,131,337,us_house_of_representatives_district_13
wake_16-07,737,815,us_house_of_representatives_district_13
wake_16-05,404,531,us_house_of_representatives_district_13
wake_17-06,270,421,us_house_of_representatives_district_13
wake_44076,701,533,us_house_of_representatives_district_13
wake_15-02,672,1233,us_house_of_representatives_district_13
wake_19-16,457,556,us_house_of_representatives_district_13
wake_19-10,803,1488,us_house_of_representatives_district_13
wake_44172,289,574,us_house_of_representatives_district_13
wake_19-07,326,374,us_house_of_representatives_district_13
wake_44169,405,1009,us_house_of_representatives_district_13
wake_15-01,510,1078,us_house_of_representatives_district_13
wake_15-04,363,605,us_house_of_representatives_district_13
wayne_8,98,444,us_house_of_representatives_district_13
wayne_5,157,437,us_house_of_representatives_district_13
wayne_ONESTOP,2747,6851,us_house_of_representatives_district_13
wayne_2,209,520,us_house_of_representatives_district_13
wayne_30,52,7,us_house_of_representatives_district_13
wayne_16,212,332,us_house_of_representatives_district_13
wayne_1,227,450,us_house_of_representatives_district_13
wayne_14,133,445,us_house_of_representatives_district_13
wayne_9,116,405,us_house_of_representatives_district_13
wayne_24,132,717,us_house_of_representatives_district_13
wayne_6,165,229,us_house_of_representatives_district_13
wayne_3,117,514,us_house_of_representatives_district_13
wayne_23,158,216,us_house_of_representatives_district_13
wayne_15,122,440,us_house_of_representatives_district_13
wayne_28,232,416,us_house_of_representatives_district_13
wayne_25,103,331,us_house_of_representatives_district_13
wayne_4,217,644,us_house_of_representatives_district_13
wilson_CURBSIDE,111,60,us_house_of_representatives_district_13
wilson_PRWA,0,0,us_house_of_representatives_district_13
wilson_PRWH,122,5,us_house_of_representatives_district_13
wilson_PRBL,281,838,us_house_of_representatives_district_13
wilson_PRWN,2,0,us_house_of_representatives_district_13
wilson_PRTO,758,868,us_house_of_representatives_district_13
wilson_PRGA,122,186,us_house_of_representatives_district_13
wilson_PRWD,313,622,us_house_of_representatives_district_13
wilson_PRWL,490,748,us_house_of_representatives_district_13
wilson_PRWJ,756,696,us_house_of_representatives_district_13
wilson_PRST,319,266,us_house_of_representatives_district_13
wilson_PRSP,299,611,us_house_of_representatives_district_13
wilson_PRSA,0,3,us_house_of_representatives_district_13
wilson_PRCR,307,681,us_house_of_representatives_district_13
wilson_PROL,452,1251,us_house_of_representatives_district_13
wilson_PRWP,309,639,us_house_of_representatives_district_13
wilson_PRWK,309,641,us_house_of_representatives_district_13
wilson_PRWM,706,984,us_house_of_representatives_district_13
wilson_PRTA,1068,1583,us_house_of_representatives_district_13
