prec_id,Richard Hudson,Thomas Mills,election
montgomery_T1,818,551,us_house_of_representatives_district_8
montgomery_MTG,411,841,us_house_of_representatives_district_8
montgomery_CHE,348,143,us_house_of_representatives_district_8
montgomery_ROC,175,333,us_house_of_representatives_district_8
montgomery_OPH,196,38,us_house_of_representatives_district_8
montgomery_BIS,474,515,us_house_of_representatives_district_8
montgomery_UWH,762,193,us_house_of_representatives_district_8
montgomery_ELD,773,187,us_house_of_representatives_district_8
montgomery_PEE,547,185,us_house_of_representatives_district_8
montgomery_STA,806,233,us_house_of_representatives_district_8
montgomery_CAN,511,474,us_house_of_representatives_district_8
montgomery_WAD,152,186,us_house_of_representatives_district_8
montgomery_T2,621,328,us_house_of_representatives_district_8
rowan_4,2254,447,us_house_of_representatives_district_8
rowan_8,1621,632,us_house_of_representatives_district_8
rowan_44,1445,257,us_house_of_representatives_district_8
rowan_28,509,574,us_house_of_representatives_district_8
rowan_14A,2235,691,us_house_of_representatives_district_8
rowan_30,931,507,us_house_of_representatives_district_8
rowan_10,1589,328,us_house_of_representatives_district_8
rowan_9,1211,204,us_house_of_representatives_district_8
rowan_3,1448,226,us_house_of_representatives_district_8
rowan_15,1754,454,us_house_of_representatives_district_8
rowan_17,1006,476,us_house_of_representatives_district_8
rowan_19A,2153,539,us_house_of_representatives_district_8
rowan_23,880,147,us_house_of_representatives_district_8
rowan_26,1062,202,us_house_of_representatives_district_8
rowan_33,1140,154,us_house_of_representatives_district_8
rowan_31,817,242,us_house_of_representatives_district_8
rowan_13,1234,179,us_house_of_representatives_district_8
rowan_18,50,489,us_house_of_representatives_district_8
rowan_25,1988,374,us_house_of_representatives_district_8
rowan_1,1018,183,us_house_of_representatives_district_8
rowan_16,738,423,us_house_of_representatives_district_8
rowan_2,480,377,us_house_of_representatives_district_8
rowan_05A,2088,659,us_house_of_representatives_district_8
rowan_22,518,81,us_house_of_representatives_district_8
stanly_7,908,574,us_house_of_representatives_district_8
stanly_26,880,271,us_house_of_representatives_district_8
stanly_24,1894,307,us_house_of_representatives_district_8
stanly_27,1237,486,us_house_of_representatives_district_8
stanly_13,981,258,us_house_of_representatives_district_8
stanly_15,539,363,us_house_of_representatives_district_8
stanly_18,622,243,us_house_of_representatives_district_8
stanly_22,1044,296,us_house_of_representatives_district_8
stanly_23,1704,309,us_house_of_representatives_district_8
stanly_25,1852,332,us_house_of_representatives_district_8
stanly_3,895,691,us_house_of_representatives_district_8
stanly_20,1496,232,us_house_of_representatives_district_8
stanly_14,568,196,us_house_of_representatives_district_8
stanly_16,602,279,us_house_of_representatives_district_8
stanly_11,717,258,us_house_of_representatives_district_8
stanly_28,563,401,us_house_of_representatives_district_8
stanly_21,862,142,us_house_of_representatives_district_8
stanly_19,953,195,us_house_of_representatives_district_8
stanly_17,1074,309,us_house_of_representatives_district_8
stanly_8,134,1005,us_house_of_representatives_district_8
stanly_2,517,269,us_house_of_representatives_district_8
stanly_12,572,137,us_house_of_representatives_district_8
stanly_10,574,305,us_house_of_representatives_district_8
