prec_id,Larry Kissell,Richard Hudson,Antonio Blue (Write-in),Write-in (miscellaneous),election
robeson_09,236,206,0,0,us_house_of_representatives_district_8
robeson_11,474,881,0,0,us_house_of_representatives_district_8
robeson_11A,255,182,0,0,us_house_of_representatives_district_8
robeson_12,280,149,0,0,us_house_of_representatives_district_8
robeson_13,253,232,0,0,us_house_of_representatives_district_8
robeson_14,192,120,0,0,us_house_of_representatives_district_8
robeson_15,162,33,0,0,us_house_of_representatives_district_8
robeson_16,233,2,0,0,us_house_of_representatives_district_8
robeson_17,151,49,0,0,us_house_of_representatives_district_8
robeson_18A,251,305,0,0,us_house_of_representatives_district_8
robeson_19,1086,197,0,0,us_house_of_representatives_district_8
robeson_20,241,199,0,0,us_house_of_representatives_district_8
robeson_22,682,180,0,0,us_house_of_representatives_district_8
robeson_23,637,283,0,0,us_house_of_representatives_district_8
robeson_24,230,105,0,0,us_house_of_representatives_district_8
robeson_25,284,127,0,0,us_house_of_representatives_district_8
robeson_26,452,114,0,0,us_house_of_representatives_district_8
robeson_28,248,146,0,0,us_house_of_representatives_district_8
robeson_29,536,125,0,0,us_house_of_representatives_district_8
robeson_30,512,196,0,0,us_house_of_representatives_district_8
robeson_31,580,484,0,0,us_house_of_representatives_district_8
robeson_32,365,386,0,0,us_house_of_representatives_district_8
robeson_35,504,233,0,0,us_house_of_representatives_district_8
robeson_36,209,138,0,0,us_house_of_representatives_district_8
robeson_37,79,188,0,0,us_house_of_representatives_district_8
robeson_38,98,70,0,0,us_house_of_representatives_district_8
robeson_39,398,122,0,0,us_house_of_representatives_district_8
robeson_40,154,88,0,0,us_house_of_representatives_district_8
robeson_41,530,549,0,0,us_house_of_representatives_district_8
robeson_CURBSIDE,0,0,0,0,us_house_of_representatives_district_8
robeson_ACCUMULATED,0,0,19,68,us_house_of_representatives_district_8
rowan_01,231,952,0,0,us_house_of_representatives_district_8
rowan_02,422,431,0,0,us_house_of_representatives_district_8
rowan_03,315,1311,0,1,us_house_of_representatives_district_8
rowan_05A,738,1940,0,1,us_house_of_representatives_district_8
rowan_09,274,1063,0,1,us_house_of_representatives_district_8
rowan_10,382,1378,0,0,us_house_of_representatives_district_8
rowan_13,246,1028,0,0,us_house_of_representatives_district_8
rowan_14A,851,2090,1,6,us_house_of_representatives_district_8
rowan_15,554,1540,1,5,us_house_of_representatives_district_8
rowan_16,456,669,0,2,us_house_of_representatives_district_8
rowan_17,536,856,1,2,us_house_of_representatives_district_8
rowan_19A,666,1987,3,0,us_house_of_representatives_district_8
rowan_22,107,447,0,0,us_house_of_representatives_district_8
rowan_23,205,784,0,1,us_house_of_representatives_district_8
rowan_25,459,1807,0,1,us_house_of_representatives_district_8
rowan_26,248,944,0,1,us_house_of_representatives_district_8
rowan_31,286,732,0,0,us_house_of_representatives_district_8
rowan_33,194,987,0,2,us_house_of_representatives_district_8
scotland_1,1462,189,157,1,us_house_of_representatives_district_8
scotland_2,988,169,96,2,us_house_of_representatives_district_8
scotland_3,1187,727,57,3,us_house_of_representatives_district_8
scotland_4,1469,992,50,3,us_house_of_representatives_district_8
scotland_5,414,413,10,0,us_house_of_representatives_district_8
scotland_6,241,95,11,0,us_house_of_representatives_district_8
scotland_7,1329,519,125,0,us_house_of_representatives_district_8
scotland_8,390,331,27,0,us_house_of_representatives_district_8
scotland_9,631,396,46,0,us_house_of_representatives_district_8
scotland_10,717,416,34,1,us_house_of_representatives_district_8
stanly_0002,108,152,1,0,us_house_of_representatives_district_8
stanly_0003,253,232,1,0,us_house_of_representatives_district_8
stanly_0007,192,255,4,4,us_house_of_representatives_district_8
stanly_0008,362,36,70,0,us_house_of_representatives_district_8
stanly_0010,176,255,0,1,us_house_of_representatives_district_8
stanly_0011,122,203,3,0,us_house_of_representatives_district_8
stanly_0012,69,142,0,0,us_house_of_representatives_district_8
stanly_0013,122,306,0,1,us_house_of_representatives_district_8
stanly_0014,113,220,1,0,us_house_of_representatives_district_8
stanly_0015,232,241,3,1,us_house_of_representatives_district_8
stanly_0016,142,209,2,1,us_house_of_representatives_district_8
stanly_0017,151,325,0,0,us_house_of_representatives_district_8
stanly_0018,146,288,0,0,us_house_of_representatives_district_8
stanly_0019,150,417,0,2,us_house_of_representatives_district_8
stanly_0020,148,575,0,2,us_house_of_representatives_district_8
stanly_0021,88,324,0,0,us_house_of_representatives_district_8
stanly_0022,246,476,0,1,us_house_of_representatives_district_8
stanly_0023,199,691,0,0,us_house_of_representatives_district_8
stanly_0024,151,502,0,1,us_house_of_representatives_district_8
stanly_0025,236,700,0,1,us_house_of_representatives_district_8
stanly_0026,198,374,1,1,us_house_of_representatives_district_8
stanly_0027,229,348,3,0,us_house_of_representatives_district_8
stanly_0028,161,165,3,0,us_house_of_representatives_district_8
union_001,522,174,23,1,us_house_of_representatives_district_8
union_002,769,368,57,0,us_house_of_representatives_district_8
union_003,421,283,20,0,us_house_of_representatives_district_8
union_004,783,115,48,2,us_house_of_representatives_district_8
union_005,291,599,2,0,us_house_of_representatives_district_8
union_006,340,875,3,0,us_house_of_representatives_district_8
union_007,685,981,4,1,us_house_of_representatives_district_8
union_008,1145,598,32,0,us_house_of_representatives_district_8
union_009,731,278,28,1,us_house_of_representatives_district_8
union_010,605,238,33,1,us_house_of_representatives_district_8
union_011,327,1338,4,1,us_house_of_representatives_district_8
union_012,260,1353,0,0,us_house_of_representatives_district_8
union_013,309,1523,4,0,us_house_of_representatives_district_8
union_016,860,1814,1,0,us_house_of_representatives_district_8
union_021,37,123,0,0,us_house_of_representatives_district_8
union_023,424,901,10,1,us_house_of_representatives_district_8
union_024,376,1138,5,1,us_house_of_representatives_district_8
union_025,414,864,10,0,us_house_of_representatives_district_8
union_026,406,802,6,0,us_house_of_representatives_district_8
union_027,384,842,2,0,us_house_of_representatives_district_8
union_030,1061,1673,19,1,us_house_of_representatives_district_8
union_031,178,305,6,0,us_house_of_representatives_district_8
union_032,576,1575,6,1,us_house_of_representatives_district_8
union_034,688,1494,13,0,us_house_of_representatives_district_8
union_035,36,87,0,0,us_house_of_representatives_district_8
union_036,534,846,6,1,us_house_of_representatives_district_8
union_037A,23,42,0,0,us_house_of_representatives_district_8
union_038A,891,1251,3,2,us_house_of_representatives_district_8
union_038B,536,1146,2,1,us_house_of_representatives_district_8
union_039,287,1081,2,0,us_house_of_representatives_district_8
union_042,347,526,9,0,us_house_of_representatives_district_8
union_043,583,73,46,1,us_house_of_representatives_district_8
union_CURBSIDE,0,0,0,0,us_house_of_representatives_district_8
