prec_id,Hayden Rogers,Mark Meadows,election
henderson_FR,723,1362,us_house_of_representatives_district_11
henderson_GM,271,514,us_house_of_representatives_district_11
henderson_GR,402,1150,us_house_of_representatives_district_11
henderson_HC,689,1303,us_house_of_representatives_district_11
henderson_HS,506,1011,us_house_of_representatives_district_11
henderson_HV-1,707,726,us_house_of_representatives_district_11
henderson_HV-2,682,530,us_house_of_representatives_district_11
henderson_HV-3,722,663,us_house_of_representatives_district_11
henderson_LJ,475,857,us_house_of_representatives_district_11
henderson_LP,519,661,us_house_of_representatives_district_11
henderson_MG,242,373,us_house_of_representatives_district_11
henderson_NB,648,1374,us_house_of_representatives_district_11
henderson_NE,451,573,us_house_of_representatives_district_11
henderson_NM,656,1122,us_house_of_representatives_district_11
henderson_NW,421,666,us_house_of_representatives_district_11
henderson_PR,500,920,us_house_of_representatives_district_11
henderson_PV,503,819,us_house_of_representatives_district_11
henderson_RG,462,916,us_house_of_representatives_district_11
henderson_RR,233,348,us_house_of_representatives_district_11
henderson_SB,421,1186,us_house_of_representatives_district_11
henderson_SE,250,451,us_house_of_representatives_district_11
henderson_SM,769,1461,us_house_of_representatives_district_11
henderson_SW,581,965,us_house_of_representatives_district_11
henderson_CURBSIDE,498,728,us_house_of_representatives_district_11
jackson_BCK,345,407,us_house_of_representatives_district_11
jackson_CAN,135,137,us_house_of_representatives_district_11
jackson_CAS,365,793,us_house_of_representatives_district_11
jackson_CFK,191,160,us_house_of_representatives_district_11
jackson_CUL,1984,1200,us_house_of_representatives_district_11
jackson_DIL,375,337,us_house_of_representatives_district_11
jackson_GCK,355,268,us_house_of_representatives_district_11
jackson_GLV,319,654,us_house_of_representatives_district_11
jackson_QUA,963,725,us_house_of_representatives_district_11
jackson_RIV,227,229,us_house_of_representatives_district_11
jackson_SAV,335,366,us_house_of_representatives_district_11
jackson_SCC,547,417,us_house_of_representatives_district_11
jackson_SNW,649,359,us_house_of_representatives_district_11
jackson_SSW,1067,618,us_house_of_representatives_district_11
jackson_WEB,762,448,us_house_of_representatives_district_11
jackson_CURBSIDE,92,50,us_house_of_representatives_district_11
jackson_ACCUMULATED,0,0,us_house_of_representatives_district_11
macon_01,151,182,us_house_of_representatives_district_11
macon_02,106,172,us_house_of_representatives_district_11
macon_03,217,255,us_house_of_representatives_district_11
macon_04,124,213,us_house_of_representatives_district_11
macon_05,237,301,us_house_of_representatives_district_11
macon_06,157,220,us_house_of_representatives_district_11
macon_07,171,252,us_house_of_representatives_district_11
macon_08,45,124,us_house_of_representatives_district_11
macon_09,398,645,us_house_of_representatives_district_11
macon_10,65,139,us_house_of_representatives_district_11
macon_11,279,452,us_house_of_representatives_district_11
macon_12,228,298,us_house_of_representatives_district_11
macon_13,107,201,us_house_of_representatives_district_11
macon_14,100,173,us_house_of_representatives_district_11
macon_15,219,269,us_house_of_representatives_district_11
madison_BEECH,669,820,us_house_of_representatives_district_11
madison_EBBS C,236,384,us_house_of_representatives_district_11
madison_GRAPEV,296,319,us_house_of_representatives_district_11
madison_HOT SP,287,209,us_house_of_representatives_district_11
madison_LAUREL,261,254,us_house_of_representatives_district_11
madison_MARS H,1056,1025,us_house_of_representatives_district_11
madison_NORTH,735,666,us_house_of_representatives_district_11
madison_REVERE,110,52,us_house_of_representatives_district_11
madison_SANDY,152,131,us_house_of_representatives_district_11
madison_SOUTH,322,263,us_house_of_representatives_district_11
madison_SPRING,291,161,us_house_of_representatives_district_11
madison_WALNUT,345,417,us_house_of_representatives_district_11
madison_CURBSIDE,42,29,us_house_of_representatives_district_11
mcdowell_CCREEK,512,1070,us_house_of_representatives_district_11
mcdowell_DYSART,430,794,us_house_of_representatives_district_11
mcdowell_FORT 1,350,501,us_house_of_representatives_district_11
mcdowell_FORT 2,274,408,us_house_of_representatives_district_11
mcdowell_GLENWD,333,709,us_house_of_representatives_district_11
mcdowell_HIGGIN,284,439,us_house_of_representatives_district_11
mcdowell_M.COVE,333,705,us_house_of_representatives_district_11
mcdowell_MAR 1,662,1038,us_house_of_representatives_district_11
mcdowell_MAR 2,572,381,us_house_of_representatives_district_11
mcdowell_MAR 3,209,314,us_house_of_representatives_district_11
mcdowell_MAR 4,232,315,us_house_of_representatives_district_11
mcdowell_MAR 5,187,332,us_house_of_representatives_district_11
mcdowell_N.COVE,167,337,us_house_of_representatives_district_11
mcdowell_NEBO,644,1101,us_house_of_representatives_district_11
mcdowell_PLEASA,487,978,us_house_of_representatives_district_11
mcdowell_T.COVE,134,400,us_house_of_representatives_district_11
mcdowell_WEST M,784,1250,us_house_of_representatives_district_11
mitchell_01,84,290,us_house_of_representatives_district_11
mitchell_02,22,115,us_house_of_representatives_district_11
mitchell_03,31,133,us_house_of_representatives_district_11
mitchell_04,304,873,us_house_of_representatives_district_11
mitchell_05,54,273,us_house_of_representatives_district_11
mitchell_06,34,164,us_house_of_representatives_district_11
mitchell_07,21,89,us_house_of_representatives_district_11
mitchell_08,20,90,us_house_of_representatives_district_11
mitchell_09,121,263,us_house_of_representatives_district_11
swain_ALARKA,304,227,us_house_of_representatives_district_11
swain_ALMOND,381,446,us_house_of_representatives_district_11
swain_BC1,746,654,us_house_of_representatives_district_11
swain_BC2,736,607,us_house_of_representatives_district_11
swain_WHCH,959,577,us_house_of_representatives_district_11
swain_ACCUMULATED,0,0,us_house_of_representatives_district_11
transylvania_B1,658,526,us_house_of_representatives_district_11
transylvania_B2,654,375,us_house_of_representatives_district_11
transylvania_B3,641,606,us_house_of_representatives_district_11
transylvania_B4,568,453,us_house_of_representatives_district_11
transylvania_BD,720,927,us_house_of_representatives_district_11
transylvania_CC,571,938,us_house_of_representatives_district_11
transylvania_CM,231,283,us_house_of_representatives_district_11
transylvania_DR,765,884,us_house_of_representatives_district_11
transylvania_EF,296,335,us_house_of_representatives_district_11
transylvania_LR,410,685,us_house_of_representatives_district_11
transylvania_PF,406,519,us_house_of_representatives_district_11
transylvania_RE,368,783,us_house_of_representatives_district_11
transylvania_TC1,150,398,us_house_of_representatives_district_11
transylvania_TC7,358,711,us_house_of_representatives_district_11
transylvania_WC,503,664,us_house_of_representatives_district_11
yancey_01 BUR,1179,1063,us_house_of_representatives_district_11
yancey_02 CAN,383,488,us_house_of_representatives_district_11
yancey_03 EGY,155,166,us_house_of_representatives_district_11
yancey_04 RAM,112,125,us_house_of_representatives_district_11
yancey_05 GRE,175,163,us_house_of_representatives_district_11
yancey_06 JAC,516,443,us_house_of_representatives_district_11
yancey_07 BRU,136,125,us_house_of_representatives_district_11
yancey_08 CRA,797,971,us_house_of_representatives_district_11
yancey_09 SOU,655,622,us_house_of_representatives_district_11
yancey_10 PEN,155,206,us_house_of_representatives_district_11
yancey_11 PRI,316,493,us_house_of_representatives_district_11
yancey_ACCUMULATED,0,0,us_house_of_representatives_district_11
