prec_id,Mel Watt,Jack Brosch,election
mecklenburg_135,3637,541,us_house_of_representatives_district_12
mecklenburg_138,1384,329,us_house_of_representatives_district_12
mecklenburg_141,1861,591,us_house_of_representatives_district_12
mecklenburg_146,2405,408,us_house_of_representatives_district_12
mecklenburg_147,1948,359,us_house_of_representatives_district_12
mecklenburg_149,2404,497,us_house_of_representatives_district_12
mecklenburg_151,1876,568,us_house_of_representatives_district_12
mecklenburg_203,2622,773,us_house_of_representatives_district_12
mecklenburg_204.1,2628,516,us_house_of_representatives_district_12
mecklenburg_205,1297,680,us_house_of_representatives_district_12
mecklenburg_210,3792,329,us_house_of_representatives_district_12
mecklenburg_211,3612,1276,us_house_of_representatives_district_12
mecklenburg_212,4647,1264,us_house_of_representatives_district_12
mecklenburg_213,2560,256,us_house_of_representatives_district_12
mecklenburg_222,3116,918,us_house_of_representatives_district_12
mecklenburg_237,1931,530,us_house_of_representatives_district_12
mecklenburg_CURBSIDE,3021,144,us_house_of_representatives_district_12
rowan_04,594,1945,us_house_of_representatives_district_12
rowan_08,811,1381,us_house_of_representatives_district_12
rowan_18,685,24,us_house_of_representatives_district_12
rowan_28,961,515,us_house_of_representatives_district_12
rowan_30,567,741,us_house_of_representatives_district_12
rowan_34,1029,673,us_house_of_representatives_district_12
rowan_35,583,215,us_house_of_representatives_district_12
rowan_36,1267,516,us_house_of_representatives_district_12
rowan_38,1402,548,us_house_of_representatives_district_12
rowan_42,1189,14,us_house_of_representatives_district_12
rowan_44,356,1190,us_house_of_representatives_district_12
