prec_id,Patsy Keever,Patrick McHenry,election
polk_CL07,697,911,us_house_of_representatives_district_10
polk_CL08,638,1026,us_house_of_representatives_district_10
polk_GC09,718,1025,us_house_of_representatives_district_10
polk_SA04,385,615,us_house_of_representatives_district_10
polk_TR123,1195,888,us_house_of_representatives_district_10
polk_WO06,508,634,us_house_of_representatives_district_10
polk_ACCUMULATED,0,0,us_house_of_representatives_district_10
rutherford_03A,289,995,us_house_of_representatives_district_10
rutherford_04A,414,902,us_house_of_representatives_district_10
rutherford_05A,545,953,us_house_of_representatives_district_10
rutherford_06A,543,835,us_house_of_representatives_district_10
rutherford_09A,608,1381,us_house_of_representatives_district_10
rutherford_10A,137,571,us_house_of_representatives_district_10
rutherford_11,997,2188,us_house_of_representatives_district_10
rutherford_13,1390,1098,us_house_of_representatives_district_10
rutherford_14,715,764,us_house_of_representatives_district_10
rutherford_16A,474,1055,us_house_of_representatives_district_10
rutherford_18,479,799,us_house_of_representatives_district_10
rutherford_19,374,743,us_house_of_representatives_district_10
rutherford_27,889,1347,us_house_of_representatives_district_10
rutherford_28,372,558,us_house_of_representatives_district_10
rutherford_29,467,692,us_house_of_representatives_district_10
rutherford_30,1098,921,us_house_of_representatives_district_10
rutherford_34,245,616,us_house_of_representatives_district_10
rutherford_CURBSIDE,164,174,us_house_of_representatives_district_10
