prec_id,Tony Foriest,Howard Coble,election
guilford_SF1,536,1741,us_house_of_representatives_district_6
guilford_SF2,265,976,us_house_of_representatives_district_6
guilford_SF3,716,1330,us_house_of_representatives_district_6
guilford_SF4,799,1817,us_house_of_representatives_district_6
guilford_SMAD,711,1154,us_house_of_representatives_district_6
guilford_STOK,618,2055,us_house_of_representatives_district_6
guilford_SUM2,737,514,us_house_of_representatives_district_6
guilford_SUM3,175,719,us_house_of_representatives_district_6
guilford_SUM4,200,1250,us_house_of_representatives_district_6
guilford_SWASH,125,523,us_house_of_representatives_district_6
guilford_CURBSIDE,60,104,us_house_of_representatives_district_6
orange_CG,142,305,us_house_of_representatives_district_6
orange_CP,254,362,us_house_of_representatives_district_6
orange_CW,245,718,us_house_of_representatives_district_6
orange_EF,278,365,us_house_of_representatives_district_6
orange_ENO,283,371,us_house_of_representatives_district_6
orange_SM,290,451,us_house_of_representatives_district_6
orange_TO,134,297,us_house_of_representatives_district_6
person_ALVI,713,648,us_house_of_representatives_district_6
person_BFRK,263,590,us_house_of_representatives_district_6
person_CUCL,496,725,us_house_of_representatives_district_6
person_FLRI,1063,2218,us_house_of_representatives_district_6
person_HLWY,238,431,us_house_of_representatives_district_6
person_HUML,206,283,us_house_of_representatives_district_6
person_MTTZ,582,1035,us_house_of_representatives_district_6
person_OLHI,346,778,us_house_of_representatives_district_6
person_ROX1,945,417,us_house_of_representatives_district_6
person_ROX2,605,661,us_house_of_representatives_district_6
person_ROX3,896,423,us_house_of_representatives_district_6
person_ROX4,636,417,us_house_of_representatives_district_6
person_RX1A,585,866,us_house_of_representatives_district_6
person_WDSD,386,314,us_house_of_representatives_district_6
rockingham_DR,632,817,us_house_of_representatives_district_6
rockingham_EC,1084,1611,us_house_of_representatives_district_6
rockingham_ED-1,1028,1584,us_house_of_representatives_district_6
rockingham_HO,395,856,us_house_of_representatives_district_6
rockingham_HU,639,1891,us_house_of_representatives_district_6
rockingham_IR,409,1301,us_house_of_representatives_district_6
rockingham_LI,846,1667,us_house_of_representatives_district_6
rockingham_LK-2,965,1449,us_house_of_representatives_district_6
rockingham_MA,926,1648,us_house_of_representatives_district_6
rockingham_MC,1366,1733,us_house_of_representatives_district_6
rockingham_MS,3153,2371,us_house_of_representatives_district_6
rockingham_NB,505,1781,us_house_of_representatives_district_6
rockingham_RC,1080,2275,us_house_of_representatives_district_6
rockingham_SE,1250,1472,us_house_of_representatives_district_6
rockingham_WS,1619,2717,us_house_of_representatives_district_6
stokes_01,76,240,us_house_of_representatives_district_6
stokes_02,260,517,us_house_of_representatives_district_6
stokes_03,102,495,us_house_of_representatives_district_6
stokes_04,127,465,us_house_of_representatives_district_6
stokes_05,97,252,us_house_of_representatives_district_6
stokes_06,86,247,us_house_of_representatives_district_6
stokes_07,86,189,us_house_of_representatives_district_6
stokes_08,124,380,us_house_of_representatives_district_6
stokes_09,259,534,us_house_of_representatives_district_6
stokes_10,231,629,us_house_of_representatives_district_6
stokes_11,204,653,us_house_of_representatives_district_6
stokes_12,162,580,us_house_of_representatives_district_6
stokes_13,126,525,us_house_of_representatives_district_6
stokes_14,189,613,us_house_of_representatives_district_6
stokes_15,152,419,us_house_of_representatives_district_6
stokes_16,236,272,us_house_of_representatives_district_6
stokes_17,164,342,us_house_of_representatives_district_6
stokes_18,127,74,us_house_of_representatives_district_6
stokes_19,129,298,us_house_of_representatives_district_6
stokes_20,154,438,us_house_of_representatives_district_6
surry_01,344,792,us_house_of_representatives_district_6
surry_02,219,175,us_house_of_representatives_district_6
surry_03,528,868,us_house_of_representatives_district_6
surry_04,484,769,us_house_of_representatives_district_6
surry_05,325,1142,us_house_of_representatives_district_6
surry_06,403,467,us_house_of_representatives_district_6
surry_07,333,435,us_house_of_representatives_district_6
surry_08,342,769,us_house_of_representatives_district_6
surry_09,230,541,us_house_of_representatives_district_6
surry_10,140,550,us_house_of_representatives_district_6
surry_11,275,518,us_house_of_representatives_district_6
surry_12,560,711,us_house_of_representatives_district_6
surry_13,350,473,us_house_of_representatives_district_6
surry_14,405,724,us_house_of_representatives_district_6
surry_15,406,640,us_house_of_representatives_district_6
surry_16,243,601,us_house_of_representatives_district_6
surry_17,208,465,us_house_of_representatives_district_6
surry_18,397,892,us_house_of_representatives_district_6
surry_19,517,865,us_house_of_representatives_district_6
surry_20,249,401,us_house_of_representatives_district_6
surry_21,374,940,us_house_of_representatives_district_6
surry_22,264,485,us_house_of_representatives_district_6
surry_23,262,672,us_house_of_representatives_district_6
surry_24,125,375,us_house_of_representatives_district_6
surry_25,384,683,us_house_of_representatives_district_6
surry_26,457,1053,us_house_of_representatives_district_6
surry_27,284,643,us_house_of_representatives_district_6
surry_28,200,565,us_house_of_representatives_district_6
surry_33,363,581,us_house_of_representatives_district_6
surry_CURBSIDE,0,0,us_house_of_representatives_district_6
