prec_id,Steve Wilkins,Renee Ellmers,Brian Irving,election
moore_PHA1,246,674,30,us_house_of_representatives_district_2
moore_PHA2,99,353,10,us_house_of_representatives_district_2
moore_PHB1,207,522,24,us_house_of_representatives_district_2
moore_PHB2,170,478,14,us_house_of_representatives_district_2
moore_PHC,382,947,35,us_house_of_representatives_district_2
moore_RBN,111,294,7,us_house_of_representatives_district_2
moore_SLS,159,433,26,us_house_of_representatives_district_2
moore_SSP,593,253,18,us_house_of_representatives_district_2
moore_TLT,162,44,4,us_house_of_representatives_district_2
moore_VSS,228,377,21,us_house_of_representatives_district_2
moore_WAB,390,605,28,us_house_of_representatives_district_2
moore_WEM,187,651,12,us_house_of_representatives_district_2
moore_WKWD,134,290,11,us_house_of_representatives_district_2
moore_WND,139,215,19,us_house_of_representatives_district_2
randolph_01,138,401,31,us_house_of_representatives_district_2
randolph_02,119,350,16,us_house_of_representatives_district_2
randolph_03,207,605,35,us_house_of_representatives_district_2
randolph_04,172,360,22,us_house_of_representatives_district_2
randolph_05,300,163,10,us_house_of_representatives_district_2
randolph_06,262,278,22,us_house_of_representatives_district_2
randolph_07,226,282,30,us_house_of_representatives_district_2
randolph_08,164,189,16,us_house_of_representatives_district_2
randolph_09,122,278,14,us_house_of_representatives_district_2
randolph_10,247,352,31,us_house_of_representatives_district_2
randolph_11,138,257,12,us_house_of_representatives_district_2
randolph_12,152,357,26,us_house_of_representatives_district_2
randolph_13,193,709,31,us_house_of_representatives_district_2
randolph_14,103,315,14,us_house_of_representatives_district_2
randolph_15,202,472,30,us_house_of_representatives_district_2
randolph_16,3,7,1,us_house_of_representatives_district_2
randolph_17,157,500,14,us_house_of_representatives_district_2
randolph_19,199,537,30,us_house_of_representatives_district_2
randolph_20,225,557,26,us_house_of_representatives_district_2
randolph_21,279,757,34,us_house_of_representatives_district_2
randolph_22,247,681,26,us_house_of_representatives_district_2
randolph_23,528,776,32,us_house_of_representatives_district_2
randolph_25,123,547,32,us_house_of_representatives_district_2
randolph_26,181,521,37,us_house_of_representatives_district_2
randolph_27,40,190,8,us_house_of_representatives_district_2
randolph_28,147,449,22,us_house_of_representatives_district_2
randolph_29,224,898,50,us_house_of_representatives_district_2
randolph_30,180,773,23,us_house_of_representatives_district_2
randolph_31,351,613,30,us_house_of_representatives_district_2
randolph_32,338,919,65,us_house_of_representatives_district_2
randolph_33,178,336,23,us_house_of_representatives_district_2
randolph_34,195,563,38,us_house_of_representatives_district_2
randolph_35,222,735,19,us_house_of_representatives_district_2
randolph_37,136,448,22,us_house_of_representatives_district_2
randolph_38,221,864,44,us_house_of_representatives_district_2
randolph_39,157,699,43,us_house_of_representatives_district_2
randolph_40,146,427,17,us_house_of_representatives_district_2
wake_36586,318,544,42,us_house_of_representatives_district_2
wake_43922,376,355,30,us_house_of_representatives_district_2
wake_43923,402,435,42,us_house_of_representatives_district_2
wake_43925,259,228,27,us_house_of_representatives_district_2
wake_43929,353,334,49,us_house_of_representatives_district_2
wake_43930,323,406,36,us_house_of_representatives_district_2
wake_43934,437,496,51,us_house_of_representatives_district_2
wake_43935,286,311,46,us_house_of_representatives_district_2
wake_43936,403,415,50,us_house_of_representatives_district_2
wake_43937,363,335,54,us_house_of_representatives_district_2
wake_43938,274,272,55,us_house_of_representatives_district_2
wake_43939,362,415,41,us_house_of_representatives_district_2
wake_43940,245,327,24,us_house_of_representatives_district_2
wake_43941,404,363,53,us_house_of_representatives_district_2
wake_43952,523,531,63,us_house_of_representatives_district_2
wake_43954,312,479,37,us_house_of_representatives_district_2
wake_43957,529,730,41,us_house_of_representatives_district_2
wake_43990,264,314,35,us_house_of_representatives_district_2
wake_43991,308,513,45,us_house_of_representatives_district_2
wake_43992,191,379,25,us_house_of_representatives_district_2
wake_20-01,360,384,44,us_house_of_representatives_district_2
wake_20-06A,468,528,56,us_house_of_representatives_district_2
wake_20-06B,443,646,62,us_house_of_representatives_district_2
wake_20-10,417,558,57,us_house_of_representatives_district_2
wake_20-11,492,659,64,us_house_of_representatives_district_2
wake_20-12,247,407,32,us_house_of_representatives_district_2
wake_20-13,927,939,94,us_house_of_representatives_district_2
wake_20-14,569,663,60,us_house_of_representatives_district_2
