prec_id,Larry Kissell,Harold Johnson,Thomas Hill,Write-in,election
cabarrus_43930,289,411,32,0,us_house_of_representatives_district_8
cabarrus_43931,333,573,32,1,us_house_of_representatives_district_8
cabarrus_36647,223,464,26,0,us_house_of_representatives_district_8
cabarrus_36678,232,527,38,1,us_house_of_representatives_district_8
cabarrus_36708,116,278,20,0,us_house_of_representatives_district_8
cabarrus_36739,428,825,46,1,us_house_of_representatives_district_8
cabarrus_36770,211,529,31,0,us_house_of_representatives_district_8
cabarrus_36800,453,1024,72,1,us_house_of_representatives_district_8
cabarrus_44136,415,551,40,0,us_house_of_representatives_district_8
cabarrus_44137,266,507,37,1,us_house_of_representatives_district_8
cabarrus_44166,136,67,6,0,us_house_of_representatives_district_8
cabarrus_44167,278,129,17,3,us_house_of_representatives_district_8
cabarrus_44168,245,341,25,0,us_house_of_representatives_district_8
cabarrus_44169,265,249,21,0,us_house_of_representatives_district_8
cabarrus_44170,305,343,29,2,us_house_of_representatives_district_8
cabarrus_44171,244,214,16,0,us_house_of_representatives_district_8
cabarrus_44172,337,17,4,0,us_house_of_representatives_district_8
cabarrus_44173,151,154,13,0,us_house_of_representatives_district_8
cabarrus_44174,214,364,24,0,us_house_of_representatives_district_8
cabarrus_44175,164,237,17,1,us_house_of_representatives_district_8
cabarrus_44176,171,235,14,0,us_house_of_representatives_district_8
cabarrus_44177,230,295,33,0,us_house_of_representatives_district_8
cumberland_AH49,755,312,30,3,us_house_of_representatives_district_8
cumberland_G5A,1102,618,32,4,us_house_of_representatives_district_8
cumberland_G5C,479,314,20,1,us_house_of_representatives_district_8
cumberland_CC04,256,214,16,0,us_house_of_representatives_district_8
cumberland_CC06,215,240,23,2,us_house_of_representatives_district_8
cumberland_CC07,195,314,17,0,us_house_of_representatives_district_8
cumberland_CC08,313,473,21,0,us_house_of_representatives_district_8
cumberland_CC10,245,218,9,1,us_house_of_representatives_district_8
cumberland_CC12,309,673,15,1,us_house_of_representatives_district_8
cumberland_CC14,472,708,27,1,us_house_of_representatives_district_8
cumberland_CC18,278,537,20,1,us_house_of_representatives_district_8
cumberland_G4B,317,369,24,2,us_house_of_representatives_district_8
cumberland_CC24,195,205,12,0,us_house_of_representatives_district_8
cumberland_CC25,402,286,15,0,us_house_of_representatives_district_8
cumberland_CC27,654,248,28,0,us_house_of_representatives_district_8
cumberland_G5B,1462,287,35,2,us_house_of_representatives_district_8
cumberland_CC29,523,254,18,1,us_house_of_representatives_district_8
cumberland_G4A,304,275,21,4,us_house_of_representatives_district_8
cumberland_CC31,384,297,33,1,us_house_of_representatives_district_8
cumberland_CC34,376,576,20,0,us_house_of_representatives_district_8
cumberland_G8B,346,303,29,1,us_house_of_representatives_district_8
cumberland_CU02,384,356,39,0,us_house_of_representatives_district_8
cumberland_G8C,414,261,19,2,us_house_of_representatives_district_8
cumberland_G8A,655,367,23,3,us_house_of_representatives_district_8
cumberland_G8D,397,514,33,3,us_house_of_representatives_district_8
cumberland_G9A,388,429,30,2,us_house_of_representatives_district_8
cumberland_G10B,426,391,39,2,us_house_of_representatives_district_8
cumberland_LR63,857,226,18,0,us_house_of_representatives_district_8
cumberland_MB62,429,128,11,1,us_house_of_representatives_district_8
cumberland_MR02,588,350,25,0,us_house_of_representatives_district_8
cumberland_G3A,1041,515,42,0,us_house_of_representatives_district_8
cumberland_G4C,286,108,7,1,us_house_of_representatives_district_8
cumberland_G10C,302,539,28,0,us_house_of_representatives_district_8
cumberland_G10A,588,869,24,1,us_house_of_representatives_district_8
hoke_01,70,28,2,0,us_house_of_representatives_district_8
hoke_02,433,108,12,2,us_house_of_representatives_district_8
hoke_03,237,60,9,0,us_house_of_representatives_district_8
hoke_04,161,167,10,0,us_house_of_representatives_district_8
hoke_05,226,222,16,0,us_house_of_representatives_district_8
hoke_06A,680,607,33,2,us_house_of_representatives_district_8
hoke_12,403,596,39,9,us_house_of_representatives_district_8
hoke_13,216,235,10,1,us_house_of_representatives_district_8
hoke_14,503,332,20,1,us_house_of_representatives_district_8
hoke_61,476,168,19,3,us_house_of_representatives_district_8
hoke_62,209,119,14,7,us_house_of_representatives_district_8
hoke_63,638,156,17,2,us_house_of_representatives_district_8
hoke_64,391,192,19,2,us_house_of_representatives_district_8
hoke_65,393,7,3,0,us_house_of_representatives_district_8
mecklenburg_2,591,293,33,1,us_house_of_representatives_district_8
mecklenburg_4,634,228,19,0,us_house_of_representatives_district_8
mecklenburg_5,334,117,10,1,us_house_of_representatives_district_8
mecklenburg_6,559,125,10,3,us_house_of_representatives_district_8
mecklenburg_7,406,217,27,0,us_house_of_representatives_district_8
mecklenburg_15,742,292,33,2,us_house_of_representatives_district_8
mecklenburg_17,431,57,6,0,us_house_of_representatives_district_8
mecklenburg_29,441,172,21,0,us_house_of_representatives_district_8
mecklenburg_33,400,167,19,0,us_house_of_representatives_district_8
mecklenburg_34,470,239,31,0,us_house_of_representatives_district_8
mecklenburg_45,376,217,20,1,us_house_of_representatives_district_8
mecklenburg_46,569,206,24,0,us_house_of_representatives_district_8
mecklenburg_61,626,287,23,0,us_house_of_representatives_district_8
mecklenburg_62,504,136,27,2,us_house_of_representatives_district_8
mecklenburg_63,469,164,27,0,us_house_of_representatives_district_8
mecklenburg_64,281,146,16,3,us_house_of_representatives_district_8
mecklenburg_84,589,151,20,1,us_house_of_representatives_district_8
mecklenburg_95,511,159,15,1,us_house_of_representatives_district_8
mecklenburg_108,579,95,15,0,us_house_of_representatives_district_8
mecklenburg_109,475,237,30,0,us_house_of_representatives_district_8
mecklenburg_117,456,194,22,3,us_house_of_representatives_district_8
mecklenburg_123,690,204,15,1,us_house_of_representatives_district_8
mecklenburg_124,777,121,23,2,us_house_of_representatives_district_8
mecklenburg_130,345,168,17,0,us_house_of_representatives_district_8
mecklenburg_141,212,58,7,0,us_house_of_representatives_district_8
mecklenburg_149,1138,261,27,2,us_house_of_representatives_district_8
mecklenburg_204.1,1372,329,21,4,us_house_of_representatives_district_8
mecklenburg_205,680,501,17,5,us_house_of_representatives_district_8
mecklenburg_237,819,246,42,4,us_house_of_representatives_district_8
mecklenburg_CURBSIDE,50,13,1,0,us_house_of_representatives_district_8
montgomery_BIS,425,121,11,0,us_house_of_representatives_district_8
montgomery_CAN,416,158,14,0,us_house_of_representatives_district_8
montgomery_CHE,160,117,4,0,us_house_of_representatives_district_8
montgomery_ELD,148,312,11,2,us_house_of_representatives_district_8
montgomery_LIT,125,107,2,0,us_house_of_representatives_district_8
montgomery_MTG,631,117,15,1,us_house_of_representatives_district_8
montgomery_OPH,83,60,2,0,us_house_of_representatives_district_8
montgomery_PEE,160,171,9,1,us_house_of_representatives_district_8
montgomery_ROC,215,40,6,0,us_house_of_representatives_district_8
montgomery_STA,428,237,13,2,us_house_of_representatives_district_8
montgomery_T1,379,183,11,2,us_house_of_representatives_district_8
montgomery_T2,337,141,7,0,us_house_of_representatives_district_8
montgomery_UWH,192,212,16,4,us_house_of_representatives_district_8
montgomery_WAD,140,58,7,0,us_house_of_representatives_district_8
richmond_01,650,165,30,1,us_house_of_representatives_district_8
richmond_02,659,483,43,2,us_house_of_representatives_district_8
richmond_03,139,95,15,0,us_house_of_representatives_district_8
richmond_04,243,147,30,1,us_house_of_representatives_district_8
richmond_05,82,51,5,0,us_house_of_representatives_district_8
richmond_06,200,155,20,2,us_house_of_representatives_district_8
richmond_07,143,43,17,1,us_house_of_representatives_district_8
richmond_08,588,208,29,1,us_house_of_representatives_district_8
richmond_09,803,484,54,2,us_house_of_representatives_district_8
richmond_10,190,56,5,0,us_house_of_representatives_district_8
richmond_11,196,103,5,0,us_house_of_representatives_district_8
richmond_12,369,212,25,0,us_house_of_representatives_district_8
richmond_13,177,93,9,0,us_house_of_representatives_district_8
richmond_14,81,9,0,0,us_house_of_representatives_district_8
richmond_15,36,28,2,0,us_house_of_representatives_district_8
richmond_16,57,59,5,0,us_house_of_representatives_district_8
scotland_1,401,60,8,0,us_house_of_representatives_district_8
scotland_2,243,40,2,0,us_house_of_representatives_district_8
scotland_3,367,260,17,1,us_house_of_representatives_district_8
scotland_4,431,327,15,0,us_house_of_representatives_district_8
scotland_5,167,193,8,1,us_house_of_representatives_district_8
scotland_6,98,45,2,0,us_house_of_representatives_district_8
scotland_7,473,194,10,0,us_house_of_representatives_district_8
scotland_8,154,134,9,0,us_house_of_representatives_district_8
scotland_9,226,163,12,0,us_house_of_representatives_district_8
scotland_10,275,129,13,0,us_house_of_representatives_district_8
stanly_0002,105,118,18,0,us_house_of_representatives_district_8
stanly_0003,318,291,14,6,us_house_of_representatives_district_8
stanly_0007,221,259,29,4,us_house_of_representatives_district_8
stanly_0008,398,9,3,3,us_house_of_representatives_district_8
stanly_0010,153,213,23,3,us_house_of_representatives_district_8
stanly_0011,169,191,11,1,us_house_of_representatives_district_8
stanly_0012,82,146,9,0,us_house_of_representatives_district_8
stanly_0013,121,264,20,2,us_house_of_representatives_district_8
stanly_0014,126,198,15,6,us_house_of_representatives_district_8
stanly_0015,266,205,20,2,us_house_of_representatives_district_8
stanly_0016,157,159,15,0,us_house_of_representatives_district_8
stanly_0017,196,310,13,0,us_house_of_representatives_district_8
stanly_0018,157,198,15,1,us_house_of_representatives_district_8
stanly_0019,180,338,24,6,us_house_of_representatives_district_8
stanly_0020,149,455,29,10,us_house_of_representatives_district_8
stanly_0021,120,293,14,8,us_house_of_representatives_district_8
stanly_0022,222,354,21,74,us_house_of_representatives_district_8
stanly_0023,212,532,26,72,us_house_of_representatives_district_8
stanly_0024,184,569,40,7,us_house_of_representatives_district_8
stanly_0025,201,604,30,7,us_house_of_representatives_district_8
stanly_0026,209,306,24,1,us_house_of_representatives_district_8
stanly_0027,286,375,29,0,us_house_of_representatives_district_8
stanly_0028,239,159,5,3,us_house_of_representatives_district_8
union_001,206,76,7,0,us_house_of_representatives_district_8
union_002,369,215,29,1,us_house_of_representatives_district_8
union_003,237,194,18,0,us_house_of_representatives_district_8
union_004,375,60,4,0,us_house_of_representatives_district_8
union_008,575,285,28,1,us_house_of_representatives_district_8
union_009,358,159,15,0,us_house_of_representatives_district_8
union_010,322,132,19,1,us_house_of_representatives_district_8
union_011,231,671,34,2,us_house_of_representatives_district_8
union_025,244,470,19,0,us_house_of_representatives_district_8
union_026,220,406,24,2,us_house_of_representatives_district_8
union_027,253,477,32,3,us_house_of_representatives_district_8
union_036,315,475,20,3,us_house_of_representatives_district_8
union_043,296,54,4,0,us_house_of_representatives_district_8
union_CURBSIDE,0,0,0,0,us_house_of_representatives_district_8
