prec_id,Billy Kennedy,Virginia Foxx,election
forsyth_071,485,1090,us_house_of_representatives_district_5
forsyth_072,663,1492,us_house_of_representatives_district_5
forsyth_073,402,1157,us_house_of_representatives_district_5
forsyth_074,498,774,us_house_of_representatives_district_5
forsyth_075,90,224,us_house_of_representatives_district_5
forsyth_091,247,662,us_house_of_representatives_district_5
forsyth_092,216,628,us_house_of_representatives_district_5
forsyth_111,217,592,us_house_of_representatives_district_5
forsyth_112,375,723,us_house_of_representatives_district_5
forsyth_122,859,879,us_house_of_representatives_district_5
forsyth_123,411,708,us_house_of_representatives_district_5
forsyth_131,503,896,us_house_of_representatives_district_5
forsyth_132,607,1011,us_house_of_representatives_district_5
forsyth_133,632,1425,us_house_of_representatives_district_5
forsyth_602,914,721,us_house_of_representatives_district_5
forsyth_607,527,554,us_house_of_representatives_district_5
forsyth_701,313,421,us_house_of_representatives_district_5
forsyth_702,432,278,us_house_of_representatives_district_5
forsyth_703,367,210,us_house_of_representatives_district_5
forsyth_704,439,319,us_house_of_representatives_district_5
forsyth_705,489,337,us_house_of_representatives_district_5
forsyth_706,299,245,us_house_of_representatives_district_5
forsyth_707,264,301,us_house_of_representatives_district_5
forsyth_708,755,824,us_house_of_representatives_district_5
forsyth_709,491,522,us_house_of_representatives_district_5
forsyth_801,340,372,us_house_of_representatives_district_5
forsyth_802,410,590,us_house_of_representatives_district_5
forsyth_803,376,734,us_house_of_representatives_district_5
forsyth_804,332,440,us_house_of_representatives_district_5
forsyth_805,587,812,us_house_of_representatives_district_5
forsyth_806,350,682,us_house_of_representatives_district_5
forsyth_807,400,589,us_house_of_representatives_district_5
forsyth_808,585,456,us_house_of_representatives_district_5
forsyth_809,636,911,us_house_of_representatives_district_5
forsyth_901,575,410,us_house_of_representatives_district_5
forsyth_906,715,738,us_house_of_representatives_district_5
forsyth_907,488,443,us_house_of_representatives_district_5
forsyth_908,558,972,us_house_of_representatives_district_5
forsyth_909,292,367,us_house_of_representatives_district_5
iredell_BA,296,796,us_house_of_representatives_district_5
iredell_BE,303,1023,us_house_of_representatives_district_5
iredell_CD,305,962,us_house_of_representatives_district_5
iredell_CH-A,231,516,us_house_of_representatives_district_5
iredell_CH-B,164,440,us_house_of_representatives_district_5
iredell_CS,199,496,us_house_of_representatives_district_5
iredell_EM,105,262,us_house_of_representatives_district_5
iredell_NH,86,359,us_house_of_representatives_district_5
iredell_OL,111,377,us_house_of_representatives_district_5
iredell_SB,134,535,us_house_of_representatives_district_5
iredell_ST1,326,617,us_house_of_representatives_district_5
iredell_ST2,188,360,us_house_of_representatives_district_5
iredell_ST3,353,284,us_house_of_representatives_district_5
iredell_ST4,258,417,us_house_of_representatives_district_5
iredell_ST5,309,334,us_house_of_representatives_district_5
iredell_ST6,466,236,us_house_of_representatives_district_5
iredell_TB,218,444,us_house_of_representatives_district_5
iredell_UG,99,399,us_house_of_representatives_district_5
rockingham_HO,138,379,us_house_of_representatives_district_5
rockingham_HU,349,1093,us_house_of_representatives_district_5
rockingham_NB,330,1067,us_house_of_representatives_district_5
stokes_01,104,206,us_house_of_representatives_district_5
stokes_02,198,429,us_house_of_representatives_district_5
stokes_03,112,438,us_house_of_representatives_district_5
stokes_04,130,518,us_house_of_representatives_district_5
stokes_05,107,197,us_house_of_representatives_district_5
stokes_06,61,202,us_house_of_representatives_district_5
stokes_07,66,159,us_house_of_representatives_district_5
stokes_08,111,346,us_house_of_representatives_district_5
stokes_09,213,491,us_house_of_representatives_district_5
stokes_10,288,783,us_house_of_representatives_district_5
stokes_11,223,741,us_house_of_representatives_district_5
stokes_12,167,552,us_house_of_representatives_district_5
stokes_13,118,480,us_house_of_representatives_district_5
stokes_14,199,581,us_house_of_representatives_district_5
stokes_15,144,434,us_house_of_representatives_district_5
stokes_16,238,306,us_house_of_representatives_district_5
stokes_17,238,365,us_house_of_representatives_district_5
stokes_18,135,64,us_house_of_representatives_district_5
stokes_19,116,245,us_house_of_representatives_district_5
stokes_20,139,296,us_house_of_representatives_district_5
surry_01,242,512,us_house_of_representatives_district_5
surry_02,128,102,us_house_of_representatives_district_5
surry_03,318,549,us_house_of_representatives_district_5
surry_04,337,512,us_house_of_representatives_district_5
surry_05,172,720,us_house_of_representatives_district_5
surry_06,273,323,us_house_of_representatives_district_5
surry_07,233,267,us_house_of_representatives_district_5
surry_08,224,487,us_house_of_representatives_district_5
surry_09,140,381,us_house_of_representatives_district_5
surry_10,61,296,us_house_of_representatives_district_5
surry_11,181,305,us_house_of_representatives_district_5
surry_12,280,416,us_house_of_representatives_district_5
surry_13,214,329,us_house_of_representatives_district_5
surry_14,226,528,us_house_of_representatives_district_5
surry_15,197,399,us_house_of_representatives_district_5
surry_16,135,347,us_house_of_representatives_district_5
surry_17,115,313,us_house_of_representatives_district_5
surry_18,207,561,us_house_of_representatives_district_5
surry_19,253,474,us_house_of_representatives_district_5
surry_20,170,252,us_house_of_representatives_district_5
surry_21,228,576,us_house_of_representatives_district_5
surry_22,194,341,us_house_of_representatives_district_5
surry_23,159,394,us_house_of_representatives_district_5
surry_24,97,249,us_house_of_representatives_district_5
surry_25,187,418,us_house_of_representatives_district_5
surry_26,223,625,us_house_of_representatives_district_5
surry_27,158,381,us_house_of_representatives_district_5
surry_28,112,331,us_house_of_representatives_district_5
surry_33,218,364,us_house_of_representatives_district_5
surry_CURBSIDE,31,63,us_house_of_representatives_district_5
watauga_01,63,84,us_house_of_representatives_district_5
watauga_02,149,210,us_house_of_representatives_district_5
watauga_03,365,406,us_house_of_representatives_district_5
watauga_04,285,453,us_house_of_representatives_district_5
watauga_05,162,71,us_house_of_representatives_district_5
watauga_06,151,109,us_house_of_representatives_district_5
watauga_07,274,280,us_house_of_representatives_district_5
watauga_08,266,415,us_house_of_representatives_district_5
watauga_09,61,111,us_house_of_representatives_district_5
watauga_10,155,180,us_house_of_representatives_district_5
watauga_11,277,411,us_house_of_representatives_district_5
watauga_12,91,47,us_house_of_representatives_district_5
watauga_13,148,116,us_house_of_representatives_district_5
watauga_14,233,281,us_house_of_representatives_district_5
watauga_15,318,362,us_house_of_representatives_district_5
watauga_16,16,42,us_house_of_representatives_district_5
watauga_17,96,122,us_house_of_representatives_district_5
watauga_18,196,472,us_house_of_representatives_district_5
watauga_19,310,434,us_house_of_representatives_district_5
watauga_20,59,85,us_house_of_representatives_district_5
wilkes_101,94,164,us_house_of_representatives_district_5
wilkes_102,163,269,us_house_of_representatives_district_5
wilkes_103,54,173,us_house_of_representatives_district_5
wilkes_104,135,328,us_house_of_representatives_district_5
wilkes_105,110,289,us_house_of_representatives_district_5
wilkes_106,108,233,us_house_of_representatives_district_5
wilkes_107,225,751,us_house_of_representatives_district_5
wilkes_108,170,235,us_house_of_representatives_district_5
wilkes_109,95,169,us_house_of_representatives_district_5
wilkes_110,46,81,us_house_of_representatives_district_5
wilkes_111,156,397,us_house_of_representatives_district_5
wilkes_112,153,481,us_house_of_representatives_district_5
wilkes_113,185,332,us_house_of_representatives_district_5
wilkes_114,62,161,us_house_of_representatives_district_5
wilkes_115A,218,750,us_house_of_representatives_district_5
wilkes_117,107,278,us_house_of_representatives_district_5
wilkes_118,256,308,us_house_of_representatives_district_5
wilkes_119,237,661,us_house_of_representatives_district_5
wilkes_120,146,403,us_house_of_representatives_district_5
wilkes_121,162,382,us_house_of_representatives_district_5
wilkes_122,30,315,us_house_of_representatives_district_5
wilkes_123,70,208,us_house_of_representatives_district_5
wilkes_124,90,311,us_house_of_representatives_district_5
wilkes_125,64,197,us_house_of_representatives_district_5
wilkes_126,75,181,us_house_of_representatives_district_5
wilkes_127,228,347,us_house_of_representatives_district_5
wilkes_128,287,590,us_house_of_representatives_district_5
wilkes_129,188,509,us_house_of_representatives_district_5
yadkin_BNVL,279,867,us_house_of_representatives_district_5
yadkin_DCRK,135,520,us_house_of_representatives_district_5
yadkin_EBND,203,683,us_house_of_representatives_district_5
yadkin_FBSH,241,1010,us_house_of_representatives_district_5
yadkin_NBCK,106,495,us_house_of_representatives_district_5
yadkin_NFAL,86,375,us_house_of_representatives_district_5
yadkin_NKNB,282,816,us_house_of_representatives_district_5
yadkin_NLIB,278,958,us_house_of_representatives_district_5
yadkin_SBCK,103,235,us_house_of_representatives_district_5
yadkin_SFAL,114,581,us_house_of_representatives_district_5
yadkin_SKNB,78,435,us_house_of_representatives_district_5
yadkin_SLIB,192,681,us_house_of_representatives_district_5
