prec_id,Sam Turner,Howard Coble,election
randolph_34,107,515,us_house_of_representatives_district_6
randolph_35,120,560,us_house_of_representatives_district_6
randolph_36,65,528,us_house_of_representatives_district_6
randolph_37,77,465,us_house_of_representatives_district_6
randolph_38,88,748,us_house_of_representatives_district_6
randolph_39,104,751,us_house_of_representatives_district_6
randolph_40,79,322,us_house_of_representatives_district_6
rowan_01,57,451,us_house_of_representatives_district_6
rowan_02,140,203,us_house_of_representatives_district_6
rowan_03,103,658,us_house_of_representatives_district_6
rowan_05,114,517,us_house_of_representatives_district_6
rowan_06,116,342,us_house_of_representatives_district_6
rowan_08,220,678,us_house_of_representatives_district_6
rowan_10,126,702,us_house_of_representatives_district_6
rowan_13,79,488,us_house_of_representatives_district_6
rowan_14,147,419,us_house_of_representatives_district_6
rowan_15,193,662,us_house_of_representatives_district_6
rowan_16,130,305,us_house_of_representatives_district_6
rowan_17,153,456,us_house_of_representatives_district_6
rowan_19,169,576,us_house_of_representatives_district_6
rowan_20,62,308,us_house_of_representatives_district_6
rowan_21,199,525,us_house_of_representatives_district_6
rowan_22,34,233,us_house_of_representatives_district_6
rowan_23,66,375,us_house_of_representatives_district_6
rowan_25,134,635,us_house_of_representatives_district_6
rowan_26,67,374,us_house_of_representatives_district_6
rowan_29,88,262,us_house_of_representatives_district_6
rowan_30,145,331,us_house_of_representatives_district_6
rowan_31,107,381,us_house_of_representatives_district_6
rowan_33,53,506,us_house_of_representatives_district_6
rowan_46,134,517,us_house_of_representatives_district_6
