prec_id,G. K. Butterfield,Ashley Woolard,election
lenoir_K8,510,3,us_house_of_representatives_district_1
lenoir_MH,941,878,us_house_of_representatives_district_1
lenoir_SH,76,247,us_house_of_representatives_district_1
lenoir_V,481,462,us_house_of_representatives_district_1
lenoir_CURBSIDE,69,11,us_house_of_representatives_district_1
martin_BG,148,428,us_house_of_representatives_district_1
martin_CR,152,185,us_house_of_representatives_district_1
martin_GN,243,143,us_house_of_representatives_district_1
martin_GR,143,314,us_house_of_representatives_district_1
martin_HM,218,122,us_house_of_representatives_district_1
martin_HS,92,47,us_house_of_representatives_district_1
martin_J,308,390,us_house_of_representatives_district_1
martin_PP,38,53,us_house_of_representatives_district_1
martin_R1,219,128,us_house_of_representatives_district_1
martin_R2,292,154,us_house_of_representatives_district_1
martin_W,140,189,us_house_of_representatives_district_1
martin_W1,434,340,us_house_of_representatives_district_1
martin_W2,561,322,us_house_of_representatives_district_1
nash_0031,191,82,us_house_of_representatives_district_1
nash_0032,276,179,us_house_of_representatives_district_1
nash_0033,535,96,us_house_of_representatives_district_1
nash_0034,721,154,us_house_of_representatives_district_1
nash_0040A,0,0,us_house_of_representatives_district_1
northampton_CONWAY,100,212,us_house_of_representatives_district_1
northampton_CREEKS,83,144,us_house_of_representatives_district_1
northampton_GALATI,87,142,us_house_of_representatives_district_1
northampton_GARYSB,437,31,us_house_of_representatives_district_1
northampton_GASTON,551,190,us_house_of_representatives_district_1
northampton_JACKSO,108,117,us_house_of_representatives_district_1
northampton_LAKE G,277,312,us_house_of_representatives_district_1
northampton_LASKER,37,116,us_house_of_representatives_district_1
northampton_MILWAU,107,88,us_house_of_representatives_district_1
northampton_NEWTOW,118,140,us_house_of_representatives_district_1
northampton_PENDLE,57,48,us_house_of_representatives_district_1
northampton_PLEASA,92,43,us_house_of_representatives_district_1
northampton_POTECA,54,37,us_house_of_representatives_district_1
northampton_REHOBE,71,42,us_house_of_representatives_district_1
northampton_RICH S,409,152,us_house_of_representatives_district_1
northampton_SEABOA,229,114,us_house_of_representatives_district_1
northampton_SEVERN,81,88,us_house_of_representatives_district_1
northampton_WOODLA,168,144,us_house_of_representatives_district_1
pasquotank_1-A,117,86,us_house_of_representatives_district_1
pasquotank_1-B,157,173,us_house_of_representatives_district_1
pasquotank_2-A,133,76,us_house_of_representatives_district_1
pasquotank_2-B,121,57,us_house_of_representatives_district_1
pasquotank_3-A,147,68,us_house_of_representatives_district_1
pasquotank_3-B,194,5,us_house_of_representatives_district_1
pasquotank_4-A,226,14,us_house_of_representatives_district_1
pasquotank_4-B,243,58,us_house_of_representatives_district_1
pasquotank_MH,325,338,us_house_of_representatives_district_1
pasquotank_NEW,287,186,us_house_of_representatives_district_1
pasquotank_NIX,242,429,us_house_of_representatives_district_1
pasquotank_PRO,282,502,us_house_of_representatives_district_1
pasquotank_SAL,80,192,us_house_of_representatives_district_1
perquimans_BELVID,109,175,us_house_of_representatives_district_1
perquimans_BETHEL,414,929,us_house_of_representatives_district_1
perquimans_EAST H,218,192,us_house_of_representatives_district_1
perquimans_WEST H,131,194,us_house_of_representatives_district_1
perquimans_NEW HO,240,605,us_house_of_representatives_district_1
perquimans_NICANO,50,69,us_house_of_representatives_district_1
perquimans_PARKVI,350,427,us_house_of_representatives_district_1
pitt_0200A,8,16,us_house_of_representatives_district_1
pitt_0200B,447,283,us_house_of_representatives_district_1
pitt_0301,533,314,us_house_of_representatives_district_1
pitt_0401,378,243,us_house_of_representatives_district_1
pitt_0501,146,264,us_house_of_representatives_district_1
pitt_0800B,351,378,us_house_of_representatives_district_1
pitt_0901,124,169,us_house_of_representatives_district_1
pitt_1001,421,531,us_house_of_representatives_district_1
pitt_1101,190,191,us_house_of_representatives_district_1
pitt_1201,346,448,us_house_of_representatives_district_1
pitt_1501,227,15,us_house_of_representatives_district_1
pitt_1503,396,45,us_house_of_representatives_district_1
pitt_1504A,460,67,us_house_of_representatives_district_1
pitt_1504B,399,138,us_house_of_representatives_district_1
pitt_1505A,265,153,us_house_of_representatives_district_1
pitt_1505B,539,58,us_house_of_representatives_district_1
pitt_1506,227,96,us_house_of_representatives_district_1
pitt_1509,3,0,us_house_of_representatives_district_1
vance_CC,571,650,us_house_of_representatives_district_1
vance_EH1,815,69,us_house_of_representatives_district_1
vance_MIDD,846,571,us_house_of_representatives_district_1
vance_NH,1024,628,us_house_of_representatives_district_1
vance_NH1,761,103,us_house_of_representatives_district_1
vance_NV,231,134,us_house_of_representatives_district_1
vance_SH1,650,175,us_house_of_representatives_district_1
vance_WH,974,1015,us_house_of_representatives_district_1
warren_001,208,332,us_house_of_representatives_district_1
warren_002,168,263,us_house_of_representatives_district_1
warren_003,256,166,us_house_of_representatives_district_1
warren_004,231,104,us_house_of_representatives_district_1
warren_005,455,97,us_house_of_representatives_district_1
warren_006,387,114,us_house_of_representatives_district_1
warren_007,266,91,us_house_of_representatives_district_1
warren_008,448,65,us_house_of_representatives_district_1
warren_009,174,99,us_house_of_representatives_district_1
warren_010,659,175,us_house_of_representatives_district_1
warren_011,141,52,us_house_of_representatives_district_1
warren_012,133,339,us_house_of_representatives_district_1
warren_013,137,138,us_house_of_representatives_district_1
warren_014,436,186,us_house_of_representatives_district_1
washington_LM,426,174,us_house_of_representatives_district_1
washington_P1,242,87,us_house_of_representatives_district_1
washington_P2,229,66,us_house_of_representatives_district_1
washington_P3,349,341,us_house_of_representatives_district_1
washington_SC,227,257,us_house_of_representatives_district_1
washington_SK,164,162,us_house_of_representatives_district_1
wayne_7,259,571,us_house_of_representatives_district_1
wayne_10,240,148,us_house_of_representatives_district_1
wayne_11,204,170,us_house_of_representatives_district_1
wayne_12,256,258,us_house_of_representatives_district_1
wayne_13,271,154,us_house_of_representatives_district_1
wayne_17,204,10,us_house_of_representatives_district_1
wayne_18,204,53,us_house_of_representatives_district_1
wayne_19,338,17,us_house_of_representatives_district_1
wayne_20,268,36,us_house_of_representatives_district_1
wayne_21,232,148,us_house_of_representatives_district_1
wayne_22,155,180,us_house_of_representatives_district_1
wayne_23,158,230,us_house_of_representatives_district_1
wayne_26,262,248,us_house_of_representatives_district_1
wayne_27,300,90,us_house_of_representatives_district_1
wayne_29,260,126,us_house_of_representatives_district_1
wayne_UNIVERSAL,0,0,us_house_of_representatives_district_1
wilson_PRGA,638,540,us_house_of_representatives_district_1
wilson_PRSA,324,244,us_house_of_representatives_district_1
wilson_PRTO,871,925,us_house_of_representatives_district_1
wilson_PRWA,342,58,us_house_of_representatives_district_1
wilson_PRWB,447,24,us_house_of_representatives_district_1
wilson_PRWC,641,77,us_house_of_representatives_district_1
wilson_PRWE,450,210,us_house_of_representatives_district_1
wilson_PRWH,439,10,us_house_of_representatives_district_1
wilson_PRWI,537,279,us_house_of_representatives_district_1
wilson_PRWN,1064,59,us_house_of_representatives_district_1
wilson_PRWQ,339,1,us_house_of_representatives_district_1
wilson_PRWR,702,66,us_house_of_representatives_district_1
wilson_CURBSIDE,22,4,us_house_of_representatives_district_1
