prec_id,Mel Watt,Greg Dority,Lon Cecil,election
mecklenburg_11,1028,581,57,us_house_of_representatives_district_12
mecklenburg_12,602,39,5,us_house_of_representatives_district_12
mecklenburg_13,557,161,20,us_house_of_representatives_district_12
mecklenburg_14,586,37,13,us_house_of_representatives_district_12
mecklenburg_16,1316,6,7,us_house_of_representatives_district_12
mecklenburg_22,718,205,17,us_house_of_representatives_district_12
mecklenburg_23,405,51,8,us_house_of_representatives_district_12
mecklenburg_24,561,72,8,us_house_of_representatives_district_12
mecklenburg_25,863,4,1,us_house_of_representatives_district_12
mecklenburg_26,1092,175,10,us_house_of_representatives_district_12
mecklenburg_27,642,40,9,us_house_of_representatives_district_12
mecklenburg_28,475,108,9,us_house_of_representatives_district_12
mecklenburg_30,487,133,32,us_house_of_representatives_district_12
mecklenburg_31,701,18,4,us_house_of_representatives_district_12
mecklenburg_39,531,20,1,us_house_of_representatives_district_12
mecklenburg_40,549,93,7,us_house_of_representatives_district_12
mecklenburg_41,585,63,11,us_house_of_representatives_district_12
mecklenburg_42,1070,43,4,us_house_of_representatives_district_12
mecklenburg_43,711,124,7,us_house_of_representatives_district_12
mecklenburg_44,398,228,15,us_house_of_representatives_district_12
mecklenburg_52,946,24,1,us_house_of_representatives_district_12
mecklenburg_53,785,105,8,us_house_of_representatives_district_12
mecklenburg_54,836,15,3,us_house_of_representatives_district_12
mecklenburg_55,597,4,2,us_house_of_representatives_district_12
mecklenburg_56,437,7,0,us_house_of_representatives_district_12
mecklenburg_60,823,40,12,us_house_of_representatives_district_12
mecklenburg_77,781,53,2,us_house_of_representatives_district_12
mecklenburg_078.1,365,130,13,us_house_of_representatives_district_12
mecklenburg_79,424,280,12,us_house_of_representatives_district_12
mecklenburg_80,668,286,11,us_house_of_representatives_district_12
mecklenburg_81,1021,266,12,us_house_of_representatives_district_12
mecklenburg_82,761,43,10,us_house_of_representatives_district_12
mecklenburg_98,542,97,11,us_house_of_representatives_district_12
mecklenburg_104,1052,86,9,us_house_of_representatives_district_12
mecklenburg_105,716,203,18,us_house_of_representatives_district_12
mecklenburg_107.1,907,295,16,us_house_of_representatives_district_12
mecklenburg_126,837,181,18,us_house_of_representatives_district_12
mecklenburg_127,519,1170,19,us_house_of_representatives_district_12
mecklenburg_132,452,219,15,us_house_of_representatives_district_12
mecklenburg_135,1499,289,22,us_house_of_representatives_district_12
mecklenburg_138,543,190,14,us_house_of_representatives_district_12
mecklenburg_145,1749,1627,66,us_house_of_representatives_district_12
mecklenburg_146,1015,229,18,us_house_of_representatives_district_12
mecklenburg_147,875,173,14,us_house_of_representatives_district_12
mecklenburg_200,174,216,10,us_house_of_representatives_district_12
mecklenburg_206,947,752,25,us_house_of_representatives_district_12
mecklenburg_210,2087,201,22,us_house_of_representatives_district_12
mecklenburg_211,1536,687,37,us_house_of_representatives_district_12
mecklenburg_212,1892,667,37,us_house_of_representatives_district_12
mecklenburg_213,1140,193,14,us_house_of_representatives_district_12
mecklenburg_225,3,4,0,us_house_of_representatives_district_12
mecklenburg_228,681,375,28,us_house_of_representatives_district_12
mecklenburg_239,689,387,15,us_house_of_representatives_district_12
mecklenburg_CURBSIDE,592,35,2,us_house_of_representatives_district_12
rowan_04,184,768,43,us_house_of_representatives_district_12
rowan_07,213,297,22,us_house_of_representatives_district_12
rowan_09,103,547,28,us_house_of_representatives_district_12
rowan_11,263,471,29,us_house_of_representatives_district_12
rowan_12,195,220,11,us_house_of_representatives_district_12
rowan_18,253,6,2,us_house_of_representatives_district_12
rowan_24,102,338,6,us_house_of_representatives_district_12
rowan_27,136,287,8,us_house_of_representatives_district_12
rowan_28,294,241,12,us_house_of_representatives_district_12
rowan_32,153,348,15,us_house_of_representatives_district_12
rowan_34,350,299,12,us_house_of_representatives_district_12
rowan_35,172,86,9,us_house_of_representatives_district_12
rowan_36,376,221,9,us_house_of_representatives_district_12
rowan_38,403,195,8,us_house_of_representatives_district_12
rowan_39,192,229,17,us_house_of_representatives_district_12
rowan_40,355,333,20,us_house_of_representatives_district_12
rowan_41,321,287,20,us_house_of_representatives_district_12
rowan_42,270,6,0,us_house_of_representatives_district_12
rowan_44,121,578,21,us_house_of_representatives_district_12
rowan_45,186,162,6,us_house_of_representatives_district_12
