prec_id,Johnny G. Rouse,Walter B. Jones,Darryl Holloman,election
pamlico_4HB,3,112,2,us_house_of_representatives_district_3
pamlico_4MSIC,59,44,0,us_house_of_representatives_district_3
pamlico_2OT,331,730,21,us_house_of_representatives_district_3
pamlico_1RB,95,408,5,us_house_of_representatives_district_3
pamlico_2SW,73,152,5,us_house_of_representatives_district_3
pamlico_4VM A,55,41,2,us_house_of_representatives_district_3
pamlico_CURBSIDE,49,31,2,us_house_of_representatives_district_3
pitt_0101,357,537,7,us_house_of_representatives_district_3
pitt_0200A,248,515,16,us_house_of_representatives_district_3
pitt_0601,115,711,7,us_house_of_representatives_district_3
pitt_0701,153,454,5,us_house_of_representatives_district_3
pitt_0800A,315,551,11,us_house_of_representatives_district_3
pitt_0901,15,46,0,us_house_of_representatives_district_3
pitt_1102A,165,481,9,us_house_of_representatives_district_3
pitt_1102B,231,754,16,us_house_of_representatives_district_3
pitt_1301,55,232,3,us_house_of_representatives_district_3
pitt_1402A,162,379,5,us_house_of_representatives_district_3
pitt_1402B,132,374,8,us_house_of_representatives_district_3
pitt_1403A,301,803,19,us_house_of_representatives_district_3
pitt_1403B,374,710,17,us_house_of_representatives_district_3
pitt_1507,267,333,15,us_house_of_representatives_district_3
pitt_1507B,97,107,4,us_house_of_representatives_district_3
pitt_1508A,117,84,3,us_house_of_representatives_district_3
pitt_1508B,142,192,13,us_house_of_representatives_district_3
pitt_1509,335,600,13,us_house_of_representatives_district_3
pitt_1510A,192,577,7,us_house_of_representatives_district_3
pitt_1510B,259,551,16,us_house_of_representatives_district_3
pitt_1511A,220,750,13,us_house_of_representatives_district_3
pitt_1511B,186,313,4,us_house_of_representatives_district_3
pitt_1512A,419,460,7,us_house_of_representatives_district_3
pitt_1512B,232,328,16,us_house_of_representatives_district_3
tyrrell_1,70,13,2,us_house_of_representatives_district_3
tyrrell_2,132,297,12,us_house_of_representatives_district_3
tyrrell_3,18,53,3,us_house_of_representatives_district_3
tyrrell_14,2,38,2,us_house_of_representatives_district_3
tyrrell_15,86,88,2,us_house_of_representatives_district_3
tyrrell_16,3,9,0,us_house_of_representatives_district_3
tyrrell_CURBSIDE,0,0,0,us_house_of_representatives_district_3
wayne_1,175,491,11,us_house_of_representatives_district_3
wayne_2,141,535,11,us_house_of_representatives_district_3
wayne_3,87,577,14,us_house_of_representatives_district_3
wayne_4,179,737,25,us_house_of_representatives_district_3
wayne_5,133,514,14,us_house_of_representatives_district_3
wayne_6,159,280,3,us_house_of_representatives_district_3
wayne_8,73,516,7,us_house_of_representatives_district_3
wayne_9,96,474,24,us_house_of_representatives_district_3
wayne_14,109,606,10,us_house_of_representatives_district_3
wayne_15,84,503,6,us_house_of_representatives_district_3
wayne_16,157,371,8,us_house_of_representatives_district_3
wayne_24,84,737,10,us_house_of_representatives_district_3
wayne_25,120,417,9,us_house_of_representatives_district_3
wayne_28,189,472,13,us_house_of_representatives_district_3
wayne_30,180,105,6,us_house_of_representatives_district_3
wayne_UNIVERSAL,0,0,0,us_house_of_representatives_district_3
wilson_PRBL,291,936,19,us_house_of_representatives_district_3
wilson_PRCR,317,735,26,us_house_of_representatives_district_3
wilson_PROL,407,1232,56,us_house_of_representatives_district_3
wilson_PRSP,276,576,16,us_house_of_representatives_district_3
wilson_PRST,327,334,6,us_house_of_representatives_district_3
wilson_PRTA,998,1852,45,us_house_of_representatives_district_3
wilson_PRWD,228,723,29,us_house_of_representatives_district_3
wilson_PRWJ,737,802,38,us_house_of_representatives_district_3
wilson_PRWK,265,737,22,us_house_of_representatives_district_3
wilson_PRWL,479,809,25,us_house_of_representatives_district_3
wilson_PRWM,834,1176,33,us_house_of_representatives_district_3
wilson_PRWP,242,717,14,us_house_of_representatives_district_3
wilson_CURBSIDE,4,16,4,us_house_of_representatives_district_3
