prec_id,Heath Shuler,Jeff Miller,election
henderson_HV-2,349,407,us_house_of_representatives_district_11
henderson_HV-3,488,566,us_house_of_representatives_district_11
henderson_LJ,388,753,us_house_of_representatives_district_11
henderson_LP,413,621,us_house_of_representatives_district_11
henderson_MG,162,275,us_house_of_representatives_district_11
henderson_NB,456,929,us_house_of_representatives_district_11
henderson_NE,236,449,us_house_of_representatives_district_11
henderson_NM,491,768,us_house_of_representatives_district_11
henderson_NW,329,554,us_house_of_representatives_district_11
henderson_PR,370,712,us_house_of_representatives_district_11
henderson_PV,370,731,us_house_of_representatives_district_11
henderson_RG,340,744,us_house_of_representatives_district_11
henderson_RR,161,255,us_house_of_representatives_district_11
henderson_SB,301,781,us_house_of_representatives_district_11
henderson_SE,134,306,us_house_of_representatives_district_11
henderson_SM,589,1026,us_house_of_representatives_district_11
henderson_SW,399,804,us_house_of_representatives_district_11
henderson_CURBSIDE,115,238,us_house_of_representatives_district_11
jackson_BCK,321,258,us_house_of_representatives_district_11
jackson_CAN,119,92,us_house_of_representatives_district_11
jackson_CAS,382,670,us_house_of_representatives_district_11
jackson_CFK,150,117,us_house_of_representatives_district_11
jackson_CUL,961,431,us_house_of_representatives_district_11
jackson_DIL,325,198,us_house_of_representatives_district_11
jackson_GCK,315,156,us_house_of_representatives_district_11
jackson_GLV,232,380,us_house_of_representatives_district_11
jackson_QUA,717,457,us_house_of_representatives_district_11
jackson_RIV,236,133,us_house_of_representatives_district_11
jackson_SAV,299,237,us_house_of_representatives_district_11
jackson_SCC,488,257,us_house_of_representatives_district_11
jackson_SNW,532,238,us_house_of_representatives_district_11
jackson_SSW,858,391,us_house_of_representatives_district_11
jackson_WEB,665,298,us_house_of_representatives_district_11
jackson_CURBSIDE,47,26,us_house_of_representatives_district_11
macon_01,261,171,us_house_of_representatives_district_11
macon_02,169,124,us_house_of_representatives_district_11
macon_03,271,204,us_house_of_representatives_district_11
macon_04,210,139,us_house_of_representatives_district_11
macon_05,359,217,us_house_of_representatives_district_11
macon_06,272,198,us_house_of_representatives_district_11
macon_07,308,187,us_house_of_representatives_district_11
macon_08,62,104,us_house_of_representatives_district_11
macon_09,422,529,us_house_of_representatives_district_11
macon_10,78,94,us_house_of_representatives_district_11
macon_11,390,335,us_house_of_representatives_district_11
macon_12,337,203,us_house_of_representatives_district_11
macon_13,122,127,us_house_of_representatives_district_11
macon_14,146,149,us_house_of_representatives_district_11
macon_15,308,183,us_house_of_representatives_district_11
madison_BEECH,401,304,us_house_of_representatives_district_11
madison_EBBS C,230,247,us_house_of_representatives_district_11
madison_GRAPEV,316,197,us_house_of_representatives_district_11
madison_HOT SP,174,81,us_house_of_representatives_district_11
madison_LAUREL,283,152,us_house_of_representatives_district_11
madison_MARS H,787,473,us_house_of_representatives_district_11
madison_NORTH,812,379,us_house_of_representatives_district_11
madison_REVERE,106,36,us_house_of_representatives_district_11
madison_SANDY,137,71,us_house_of_representatives_district_11
madison_SOUTH,327,165,us_house_of_representatives_district_11
madison_SPRING,240,103,us_house_of_representatives_district_11
madison_WALNUT,397,237,us_house_of_representatives_district_11
madison_CURBSIDE,0,0,us_house_of_representatives_district_11
mcdowell_CCREEK,486,563,us_house_of_representatives_district_11
mcdowell_DYSART,368,393,us_house_of_representatives_district_11
mcdowell_FORT 1,336,293,us_house_of_representatives_district_11
mcdowell_FORT 2,215,228,us_house_of_representatives_district_11
mcdowell_GLENWD,375,381,us_house_of_representatives_district_11
mcdowell_HIGGIN,285,239,us_house_of_representatives_district_11
mcdowell_M.COVE,328,392,us_house_of_representatives_district_11
mcdowell_MAR 1,650,652,us_house_of_representatives_district_11
mcdowell_MAR 2,442,223,us_house_of_representatives_district_11
mcdowell_MAR 3,200,158,us_house_of_representatives_district_11
mcdowell_MAR 4,199,155,us_house_of_representatives_district_11
mcdowell_MAR 5,161,169,us_house_of_representatives_district_11
mcdowell_N.COVE,182,194,us_house_of_representatives_district_11
mcdowell_NEBO,623,580,us_house_of_representatives_district_11
mcdowell_PLEASA,511,572,us_house_of_representatives_district_11
mcdowell_T.COVE,162,212,us_house_of_representatives_district_11
mcdowell_WEST M,731,654,us_house_of_representatives_district_11
polk_CG05,224,392,us_house_of_representatives_district_11
polk_CL07,637,562,us_house_of_representatives_district_11
polk_CL08,589,781,us_house_of_representatives_district_11
polk_GC09,588,698,us_house_of_representatives_district_11
polk_SA04,282,433,us_house_of_representatives_district_11
polk_TR123,1019,684,us_house_of_representatives_district_11
polk_WO06,412,422,us_house_of_representatives_district_11
rutherford_09A,547,858,us_house_of_representatives_district_11
rutherford_13,900,704,us_house_of_representatives_district_11
rutherford_18,114,133,us_house_of_representatives_district_11
rutherford_27,792,940,us_house_of_representatives_district_11
rutherford_28,264,419,us_house_of_representatives_district_11
rutherford_30,752,617,us_house_of_representatives_district_11
rutherford_34,215,427,us_house_of_representatives_district_11
rutherford_CURBSIDE,40,34,us_house_of_representatives_district_11
swain_ALARKA,339,174,us_house_of_representatives_district_11
swain_ALMOND,433,265,us_house_of_representatives_district_11
swain_BC1,770,391,us_house_of_representatives_district_11
swain_BC2,768,436,us_house_of_representatives_district_11
swain_WHCH,702,279,us_house_of_representatives_district_11
transylvania_B1,547,349,us_house_of_representatives_district_11
transylvania_B2,417,214,us_house_of_representatives_district_11
transylvania_B3,521,428,us_house_of_representatives_district_11
transylvania_B4,446,301,us_house_of_representatives_district_11
transylvania_BD,593,608,us_house_of_representatives_district_11
transylvania_BG,82,127,us_house_of_representatives_district_11
transylvania_CC,576,577,us_house_of_representatives_district_11
transylvania_CM,197,193,us_house_of_representatives_district_11
transylvania_DR,729,652,us_house_of_representatives_district_11
transylvania_EF,266,205,us_house_of_representatives_district_11
transylvania_GL,67,135,us_house_of_representatives_district_11
transylvania_LR,320,386,us_house_of_representatives_district_11
transylvania_LT,141,206,us_house_of_representatives_district_11
transylvania_PF,299,294,us_house_of_representatives_district_11
transylvania_QB,159,114,us_house_of_representatives_district_11
transylvania_RE,399,495,us_house_of_representatives_district_11
transylvania_SW,93,142,us_house_of_representatives_district_11
transylvania_WC,496,534,us_house_of_representatives_district_11
yancey_01 BUR,1386,921,us_house_of_representatives_district_11
yancey_02 CAN,494,351,us_house_of_representatives_district_11
yancey_03 EGY,196,137,us_house_of_representatives_district_11
yancey_04 RAM,139,97,us_house_of_representatives_district_11
yancey_05 GRE,221,116,us_house_of_representatives_district_11
yancey_06 JAC,616,290,us_house_of_representatives_district_11
yancey_07 BRU,177,81,us_house_of_representatives_district_11
yancey_08 CRA,1013,691,us_house_of_representatives_district_11
yancey_09 SOU,700,439,us_house_of_representatives_district_11
yancey_10 PEN,186,150,us_house_of_representatives_district_11
yancey_11 PRI,426,378,us_house_of_representatives_district_11
