prec_id,David Price,William (B.J.) Lawson,election
orange_WW,280,56,us_house_of_representatives_district_4
wake_17168,425,563,us_house_of_representatives_district_4
wake_43862,574,763,us_house_of_representatives_district_4
wake_43863,771,1285,us_house_of_representatives_district_4
wake_43864,490,855,us_house_of_representatives_district_4
wake_43865,371,650,us_house_of_representatives_district_4
wake_43866,206,319,us_house_of_representatives_district_4
wake_43867,402,700,us_house_of_representatives_district_4
wake_36586,360,492,us_house_of_representatives_district_4
wake_43922,507,323,us_house_of_representatives_district_4
wake_43924,342,279,us_house_of_representatives_district_4
wake_43926,577,498,us_house_of_representatives_district_4
wake_43927,577,587,us_house_of_representatives_district_4
wake_43928,506,722,us_house_of_representatives_district_4
wake_43929,438,344,us_house_of_representatives_district_4
wake_43930,395,561,us_house_of_representatives_district_4
wake_43931,521,582,us_house_of_representatives_district_4
wake_43932,273,188,us_house_of_representatives_district_4
wake_43933,522,495,us_house_of_representatives_district_4
wake_43934,699,727,us_house_of_representatives_district_4
wake_43935,373,394,us_house_of_representatives_district_4
wake_43936,467,412,us_house_of_representatives_district_4
wake_43938,345,290,us_house_of_representatives_district_4
wake_43939,456,424,us_house_of_representatives_district_4
wake_43940,354,399,us_house_of_representatives_district_4
wake_43941,521,424,us_house_of_representatives_district_4
wake_43942,307,155,us_house_of_representatives_district_4
wake_43952,589,647,us_house_of_representatives_district_4
wake_43954,403,579,us_house_of_representatives_district_4
wake_43955,1113,987,us_house_of_representatives_district_4
wake_43956,874,891,us_house_of_representatives_district_4
wake_43957,691,898,us_house_of_representatives_district_4
wake_43986,440,421,us_house_of_representatives_district_4
wake_43987,410,806,us_house_of_representatives_district_4
wake_43988,585,740,us_house_of_representatives_district_4
wake_43989,455,610,us_house_of_representatives_district_4
wake_43990,396,414,us_house_of_representatives_district_4
wake_43991,401,630,us_house_of_representatives_district_4
wake_43992,240,369,us_house_of_representatives_district_4
wake_44015,386,390,us_house_of_representatives_district_4
wake_44018,672,806,us_house_of_representatives_district_4
wake_44019,740,742,us_house_of_representatives_district_4
wake_07-07A,199,153,us_house_of_representatives_district_4
wake_44045,718,832,us_house_of_representatives_district_4
wake_44046,671,780,us_house_of_representatives_district_4
wake_44047,354,465,us_house_of_representatives_district_4
wake_44048,464,516,us_house_of_representatives_district_4
wake_44049,438,220,us_house_of_representatives_district_4
wake_44050,479,689,us_house_of_representatives_district_4
wake_44051,703,975,us_house_of_representatives_district_4
wake_44052,424,379,us_house_of_representatives_district_4
wake_44053,426,446,us_house_of_representatives_district_4
wake_44054,643,673,us_house_of_representatives_district_4
wake_44136,602,493,us_house_of_representatives_district_4
wake_44137,779,706,us_house_of_representatives_district_4
wake_44166,445,929,us_house_of_representatives_district_4
wake_44167,444,606,us_house_of_representatives_district_4
wake_44169,295,766,us_house_of_representatives_district_4
wake_44170,604,1241,us_house_of_representatives_district_4
wake_44171,284,480,us_house_of_representatives_district_4
wake_44172,308,530,us_house_of_representatives_district_4
wake_44173,540,588,us_house_of_representatives_district_4
wake_44174,339,456,us_house_of_representatives_district_4
wake_15-01,447,1015,us_house_of_representatives_district_4
wake_15-02,702,1117,us_house_of_representatives_district_4
wake_15-03,495,1112,us_house_of_representatives_district_4
wake_15-04,326,489,us_house_of_representatives_district_4
wake_18-02,600,1122,us_house_of_representatives_district_4
wake_18-03,454,524,us_house_of_representatives_district_4
wake_18-04,548,917,us_house_of_representatives_district_4
wake_18-05,797,997,us_house_of_representatives_district_4
wake_18-07,432,849,us_house_of_representatives_district_4
wake_18-08,577,664,us_house_of_representatives_district_4
wake_20-01,377,316,us_house_of_representatives_district_4
wake_20-02,1225,1499,us_house_of_representatives_district_4
wake_20-03,418,465,us_house_of_representatives_district_4
wake_20-04,549,616,us_house_of_representatives_district_4
wake_20-05,566,720,us_house_of_representatives_district_4
wake_20-06A,536,508,us_house_of_representatives_district_4
wake_20-06B,443,669,us_house_of_representatives_district_4
wake_20-08,492,687,us_house_of_representatives_district_4
wake_20-09,379,527,us_house_of_representatives_district_4
wake_20-10,568,642,us_house_of_representatives_district_4
wake_20-11,452,621,us_house_of_representatives_district_4
wake_20-12,280,455,us_house_of_representatives_district_4
