Wallace E. ''Mickey'' Johnson,Wilbert E. Cook Iii,Chauncey L. Stroud,Sondra R. (Sam) Spellman,Melissa L. Williams,Valerie F. Leonard,Vetress Boyce,Michael D. Chandler,Julius Anderson,Shavonda Fields,Jimmy Lee Lard,Regina D. Lewis,Jeffery D. Turner,Martavius ''Mark'' Carter,Larry G. Nelson,Donielle C. Lawson,Frank M. Bass,Sharon Denise Dixon,prec_id
8.0,12.0,15.0,7.0,8.0,17.0,11.0,23.0,3.0,6.0,2.0,5.0,5.0,3.0,3.0,1.0,7.0,43.0,C24037
11.0,4.0,8.0,4.0,18.0,28.0,20.0,29.0,3.0,11.0,1.0,8.0,0.0,3.0,2.0,0.0,5.0,43.0,C24038
1.0,4.0,7.0,2.0,9.0,13.0,11.0,56.0,3.0,9.0,1.0,13.0,1.0,0.0,4.0,0.0,5.0,29.0,C24039
4.0,8.0,9.0,5.0,15.0,43.0,14.0,21.0,6.0,18.0,0.0,6.0,7.0,1.0,1.0,0.0,14.0,27.0,C24040
10.0,6.0,11.0,6.0,6.0,9.0,3.0,24.0,5.0,8.0,1.0,3.0,0.0,1.0,2.0,6.0,14.0,49.0,C24041
3.0,13.0,0.0,2.0,2.0,7.0,4.0,52.0,1.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,6.0,15.0,C24042
13.0,9.0,15.0,9.0,20.0,9.0,17.0,29.0,19.0,9.0,2.0,4.0,2.0,1.0,2.0,0.0,6.0,50.0,C24043
8.0,9.0,5.0,11.0,17.0,18.0,36.0,36.0,18.0,6.0,0.0,7.0,2.0,0.0,10.0,1.0,13.0,52.0,C24044
4.0,6.0,10.0,1.0,6.0,13.0,9.0,16.0,2.0,11.0,1.0,2.0,5.0,1.0,1.0,2.0,8.0,34.0,C24045
16.0,23.0,15.0,6.0,2.0,2.0,18.0,15.0,0.0,17.0,0.0,9.0,1.0,0.0,2.0,11.0,3.0,47.0,C24046
4.0,9.0,15.0,4.0,6.0,12.0,10.0,10.0,4.0,17.0,0.0,9.0,0.0,0.0,1.0,2.0,9.0,23.0,C24047
2.0,2.0,5.0,4.0,0.0,0.0,38.0,26.0,6.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,10.0,C24048
47.0,12.0,10.0,34.0,7.0,17.0,20.0,40.0,15.0,17.0,0.0,3.0,5.0,0.0,1.0,5.0,9.0,65.0,C24049
27.0,8.0,18.0,11.0,9.0,15.0,12.0,31.0,27.0,54.0,3.0,10.0,3.0,1.0,3.0,0.0,4.0,61.0,C24050
17.0,11.0,6.0,15.0,12.0,13.0,12.0,38.0,34.0,13.0,0.0,2.0,4.0,0.0,1.0,2.0,4.0,61.0,C24051
10.0,3.0,12.0,6.0,6.0,5.0,21.0,38.0,0.0,4.0,2.0,1.0,11.0,2.0,1.0,1.0,1.0,19.0,C24052
7.0,2.0,3.0,5.0,20.0,6.0,0.0,13.0,11.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,3.0,78.0,C24053
7.0,17.0,55.0,1.0,4.0,37.0,3.0,9.0,5.0,3.0,0.0,3.0,4.0,1.0,0.0,9.0,26.0,28.0,C24054
9.0,18.0,12.0,9.0,2.0,4.0,15.0,15.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,43.0,C24055
5.0,14.0,8.0,3.0,7.0,68.0,6.0,14.0,7.0,8.0,0.0,11.0,3.0,0.0,1.0,7.0,24.0,22.0,C24056
